PS No & Name,Address,Constituency Number
1 - Ramnagar,"Zilha Parishad Primary School, East- west Building, Room No.1 from east",17
2 - Visapur,"Zilha Parishad Primary school, East - west Building, Room No.1 from east",17
3 - Daregaon,"Zilha Parishad Primary school, East-west Building, Room No.2 from east",17
4 - Daregaon,"Zilha Parishad Primary school, Single room building in North- west corner",17
5 - Londhe,"Zilha Parishad Kendra school East - west Building, Room No.1 from east",17
6 - Londhe,"Zilha Parishad Kendra school, East - west Building, Room No.4 from east",17
7 - Krushnapuri,"Zilha Parishad Primary school, Krushnapuri East - west Building ,Room No.1 from east",17
8 - Chinchgavhan,"Zilha Parishad Primary school, East - west Building, Room No.1 from east",17
9 - Chinchgavhan,"Zilha Parishad Primary school, North-south Building, Room No.1 from south",17
10 - Palasare,"Zilha Parishad Primary school, East - west Building, Room No.2 from east",17
11 - Dahivad,"Zilha Parishad Primary School East - West building ,Room No.9 from east",17
12 - Dahivad,Zilha Parishad Primary School East - West building Room No.7 from east,17
13 - Dahivad,Zilha Parishad Primary School East - West building Room No.5 from east,17
14 - Dahivad,"Zilha Parishad Primary School East - West building , Room No.3 from east",17
15 - Rajmane,"Zilha Parishad Primary school, East - west Tiled roof Building, Room No.1 from east",17
16 - Kalmadu,"Zilha Parishad Primary Boy's School, East-West Building Room No. 1 from west",17
17 - Kalmadu,"Zilha Parishad Primary Boy's School, East-West Building Room No. 3 from west",17
18 - Kalmadu,"Zilha Parishad Primary Boy's School, East-West Building Room No. 3 from East",17
19 - Kalmadu,"Zilha Parishad Primary Boy's School, North-south Building Room No. 2 from North",17
20 - Abhone,"Zilha Parishad Primary school, North - South Building, Room No.1 from north",17
21 - Kunzar,"Zilha Parishad Primary school, East Side New North-South Building ,Room No. 2 from North",17
22 - Kunzar,"Zilha Parishad Primary school, East West Building, Room No.1 from east",17
23 - Kunzar,"Zilha Parishad Primary school, East West Building, Room No.4 from east",17
24 - Pohore,"Zilha Parishad Primary school, North - South Building, Room No.1 from north",17
25 - Pohore,"Zilha Parishad Primary school, North - South Building, Room No.3 from north",17
26 - Pohore,"Zilha Parishad Primary school, East West Building, Room No.1 from east",17
27 - Khedgaon,"Zilha Parishad Kendriya Primary school, North - South Tiled roof Building, Room No.1 from south",17
28 - Khedgaon,"Zilha Parishad Kendriya Primary school, North - South Tiled roof Building, Room No.3 from south",17
29 - Khedgaon,"Zilha Parishad Kendriya Primary school, southern side East - west Tiled roof Building, Room No.2 from west",17
30 - Khedgaon,"Zilha Parishad Kendriya Primary school, northern side East - west Tiled roof Building, Room No.2 from east",17
31 - Khedi.Kh,"Zilha Parishad Primary school, North - South New Building, Room No.1 from south",17
32 - Khedi.Kh,"Zilha Parishad Primary school, North - South New Building, Room No.2 from south",17
33 - Daskebardi,"Zilha Parishad Primary school, East - west Building, Room No.1 from west",17
34 - Daskebardi,"Zilha Parishad Primary school, East - west Tiled roof Building, Room No.3 from west",17
35 - Shidwadi,"Zilha Parishad Primary school, New East - west Building, Room No.1 from east",17
36 - Dhamangaon,"Zilha Parishad Primary school, New East - west Building, Room No.2 from east",17
37 - Dhamangaon,"Zilha Parishad Primary school, New North South Building, Room No.1 from south",17
38 - Khadkisim,"Zilha Parishad Primary school, New North - South Building, Room No.1 from north",17
39 - Khadkisim,"Zilha Parishad Primary school, New North - South Building, Room No.4 from north",17
40 - Varkhede bk,"Shri Annasaheb Udesing Pawar Sarvoday Ashram Shala (Anudanit) North South Building, Room No 1 from north",17
41 - Varkhede bk,"Shri Annasaheb Udesing Pawar Sarvoday Ashram Shala (Anudanit) North South Building, Room No 3 from north",17
42 - Upkhed,"Zilha Parishad higher Primary school, East - west Building, Room No.3 from east",17
43 - Upkhed,"Zilha Parishad higher Primary school, East - west Building, Room No.6 from east",17
44 - Sevanagar,"Zilha Parishad Primary school, Sevanagar North - South Building, Room No.2 from south",17
45 - Sevanagar,"Zilha Parishad Primary school, Sevanagar, East-west new Building, Room No. 1 from east",17
46 - Mandurne,"Zilha Parishad Primary school, East - west Building, Room No.2 from east",17
47 - Mandurne,"Zilha Parishad Primary school, East - west Building, Room No.4 from east",17
48 - Pilkhod,"Zilha Parishad Kendriya Primary school, North - South Building, Room No.1 from north",17
49 - Pilkhod,"Zilha Parishad Kendriya Primary school, North - South Building, Room No.2 from north",17
50 - Pilkhod,"Zilha Parishad Kendriya Primary school, North - South Building, Room No 4 from North",17
51 - Pilkhod,"Zilha Parishad Kendriya Primary school, Saygaon Road, North south new building, Room No. 2 from north",17
52 - Tamaswadi,"Zilha Parishad Primary school, North - South Building, Room No.2 from south",17
53 - Pimplawad Mhalsa,"Zilha Parishad Higher Primary school, North South Building,Room No.3 from south",17
54 - Pimplawad Mhalsa,"Zilha Parishad Higher Primary school, East West Building, Room No.2 from east",17
55 - Varkhede Kh,"Zilha Parishad Primary school, North - South Building, Room No.2 from south",17
56 - Tirpole,"Zilha Parishad higher Primary school, North - South Building, Room No.2 from north",17
57 - Mehunbare,"Zilha Parishad Kendriya school, Mehunbare No.1, northern side East - west Building, Room No.2 from east",17
58 - Mehunbare,"Zilha Parishad Kendriya school, Mehunbare No.1, Southern side East - west Building, Room No.3 from east",17
59 - Mehunbare,"Girana Vidya Prasarak Mandal High school, western side North - South Building, Room No.1 from north",17
60 - Mehunbare,"Girana Vidya Prasarak Mandal High school, western side North - South Building, Room No.3 from north",17
61 - Mehunbare,"Girana Vidya Prasarak Mandal High school, Western side North - South Building, Room No.5 from north",17
62 - Mehunbare,"Girana Vidya Prasarak Mandal High school, Eastern side North - South Building, Room No.2 from north",17
