PS No & Name,Address,Constituency Number
"1 - K.A.Subramaniam Road, Matunga, Mumbai-19","South Indian Education Society High School, Ground Floor, Room No.01",180
"2 - K.A.Subramaniam Road, Matunga, Mumbai-19","South Indian Education Society High School, Ground Floor, Room No.03",180
"3 - K.A.Subramaniam Road, Matunga, Mumbai-19","South Indian Education Society High School, Ground Floor, Room No.04",180
"4 - Shradhanand Marg, Matunga (East), Mumbai-19","Shri Hirji Bhojraj & Sons Kutchi Visa Oswal Jain Chhatralaya, Ground Floor Hall, Partition - A",180
"5 - Shradhanand Marg, Matunga (East), Mumbai-19","Shri Hirji bhojraj & Sons Kutchi Visa Oswal Jain Chhatralaya, Ground Floor Hall, Partition - B",180
"6 - 304, Veera Heights, Bhimani Street, Matunga (E), Mumbai-19","MCGM, L K Waghji, Mumbai Public School, Ground Floor Varanda, Partition - A",180
"7 - 304, Veera Heights, Bhimani Street, Matunga (E), Mumbai-19","MCGM, L K Waghji, Mumbai Public School, Ground Floor Varanda, Partition - B",180
"8 - Bahu Daji Road, Near Maheshwari Circle, Matunga (East), Mumbai-19","Brihanmumbai Municipal Corporation F/North Ward Office, Ground Floor, Open Passage, Pandal - A",180
"9 - Bahu Daji Road, Near Maheshwari Circle, Matunga (East), Mumbai-19","Brihanmumbai Municipal Corporation F/North Ward Office, Ground Floor, Open Passage, Pandal - B",180
"10 - Bahu Daji Road, Near Maheshwari Circle, Matunga (East), Mumbai-19","Brihanmumbai Municipal Corporation F/North Ward Office, Ground Floor, Open Passage, Pandal - C",180
"11 - Mahilashram Marg, Matunga (East), Mumbai-19","Matunga King Circle Mahanagarpalika Marathi School, Ground Floor, Room No.1",180
"12 - Mahilashram Marg, Matunga (East), Mumbai-19","Matunga King Circle Mahanagarpalika Marathi School, Ground Floor, Room No.2",180
"13 - R.A.Kidwai Marg, Matunga (East), Mumbai-19","Shree Amulak Amichand Bhimji Vividlakshi Vidyalaya, Ground Floor Open Passage Near Hall",180
"14 - R.A.Kidwai Marg, Matunga (East), Mumbai-19","Shree Amulak Amichand Bhimji Vividlakshi Vidyalaya, Ground Floor Hall, Partition - A",180
"15 - R.A.Kidwai Marg, Matunga (East), Mumbai-19","Shree Amulak Amichand Bhimji Vividlakshi Vidyalaya, Ground Floor Hall, Partition - B",180
"16 - Bhimani Street, Matunga (East), Mumbai-19","Shree Dayanand Balak Vidyalay, Ground Floor, Hall No. 1",180
"17 - Bhimani Street, Matunga (East), Mumbai-19","Shree Dayanand Balak Vidyalay, Ground Floor, Hall No. 2",180
"18 - Nathalal Parekh Marg, Matunga (East), Mumbai-19","Guru Nanak Khalsa College, Annex Building, Ground Floor",180
"19 - Nathalal Parekh Marg, Matunga (East), Mumbai-19","Guru Nanak Khalsa College, Annex Building, Ground Floor",180
"20 - L.N. Road, Matunga (East), Mumbai-19","R.A. Poddar College Of Commerce And Economics, Ground Floor, Room No.-G-4",180
"21 - L.N. Road, Matunga (East), Mumbai-19","R.A. Poddar College Of Commerce And Economics, Ground Floor, Multi Purpose Hall",180
"22 - L.N. Road, Matunga (East), Mumbai-19","R.A. Poddar College Of Commerce And Economics, Ground Floor, Room No. G-5",180
"23 - L.N. Road, Matunga (East), Mumbai-19","R.A. Poddar College Of Commerce And Economics, Ground Floor, Room No. G-6",180
