PS No & Name,Address,Constituency Number
"1 - Mahim Machchhimar Colony Mahim , Mumbai 16",Mahim Police Colony Mun. Marathi School Building No 2 Room no. 1. Mumbai 16,181
"2 - Mahim Machchhimar Colony Mahim , Mumbai 16",Mahim Police Colony Mun. Marathi School Building No ' 2 Room no. 2. Mumbai 16,181
"3 - Mahim Machchhimar Colony Mahim , Mumbai 16",Mahim Police Colony Mun. Marathi School Building No 2 Room no. 3 . Mumbai 16,181
"4 - Mahim Machchhimar Colony Mahim , Mumbai 16",Mahim Police Colony Mun. Marathi School Building No 3 Room no. 9,181
"5 - Mahim Machchhimar Colony Mahim , Mumbai 16",Mahim Police Colony Mun. Marathi School Building No 3 Room no. 10,181
"6 - Mahim Machchhimar Colony Mahim , Mumbai 16",Mahim Police Colony Mun. Marathi School Building No 3 Room no. 11,181
"7 - Mahim Machchhimar Colony Mahim , Mumbai 16",Mahim Police Colony Mun. Marathi School Building No 3 Room no. 12,181
"8 - Mahim Causeway, Mahim Machchhimar Colony Mahim (E) , Mumbai 16","St. Xavier Technical Institute, Old Building, Ground Floor, Room at the Right side Of Main door",181
"9 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Technical Institute, Old Building.Ground Floor Room No. 1",181
"10 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Technical Institute, Old Building, Open Parking, Free Space West side of Building (Pendol) Partition-A",181
"11 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Technical Institute, Old Building, Open Parking, Free Space West side of Building (Pendol) Partition-B",181
"12 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Technical Institute, Old Building, Open Parking, Free Space West side of Building (Pendol) Partition-C",181
"13 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Technical Institute, X I E Food Court, West Side, Partition-I",181
"14 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Technical Institute, X I E Food Court, East Side, Partition-II",181
"15 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Institute of Engineering.(New Building)Ground Floor, Seminar Hall A Room No.1",181
"16 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Institute of Engineering.(New Building)Ground Floor, Seminar Hall B, Room No. 2",181
"17 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Engineering Institute, New Building. Ground Floor, Basic Electrical Engineering Lab",181
"18 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Engineering Institute, New Building, Open Space Turf Ground, (Pendol) Partition-A",181
"19 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Engineering Institute, New Building, Open Space Turf Ground, (Pendol) Partition-B",181
"20 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Engineering Institute, New Building, Open Space Turf Ground, (Pendol) Partition-C",181
"21 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Engineering Institute, New Building Ground Floor Dinning Room",181
"22 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Engineering Institute, New Building, Ground Floor, Canteen- A",181
"23 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Engineering Institute, New Building, Ground Floor, Canteen- B,",181
"24 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Engineering Institute, New Building, Open Space Turf Ground, (Pendol) Partition-D",181
"25 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Engineering Institute, New Building, Open Space Turf Ground, (Pendol) Partition-E",181
"26 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Engineering Institute, New Building, Open Space Turf Ground, (Pendol) Partition-F",181
"27 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Engineering Institute, New Building, Open Space Turf Ground, (Pendol) Partition-G",181
"28 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Engineering Institute, New Building, Open Space Turf Ground, (Pendol) Partition-H",181
"29 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Engineering Institute, New Building, Open Space Turf Ground, (Pendol) Partition-I",181
"30 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Engineering Institute, New Building, Open Space Turf Ground, (Pendol) Partition-J",181
"31 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Engineering Institute, New Building, Open Space Turf Ground, (Pendol) Partition-K",181
"32 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Engineering Institute, New Building, Open Space Turf Ground, (Pendol) Partition-L",181
"33 - Mahim Causeway,(E) Mahim , Mumbai 16","St. Xavier Engineering Institute, New Building, Open Space Turf Ground, (Pendol) Partition-M",181
"34 - Mahim Causeway, (w).Mahim, Mumbai 16","Municipal School Mahim Causeway, Ground Floor",181
"35 - Mahim Causeway, (w).Mahim, Mumbai 16","Municipal School Mahim Causway, Ground Floor Room No 02",181
"36 - Mori Road, Mahim, Mumbai-16","K J Khilnani High School And Junior College, Ground Floor, K G Room No. 1",181
"37 - Mori Road, Mahim, Mumbai-16","K J Khilnani High School And Junior College, Ground Floor, K G Room No. 2",181
"38 - Mori Road, Mahim, Mumbai-16","K J Khilnani High School And Junior College, Ground Floor, Hall, Partition-A",181
"39 - Mori Road, Mahim, Mumbai-16","K J Khilnani High School And Junior College, Ground Floor, Hall, Partition-B",181
"40 - Mori Road, Mahim, Mumbai-16","K J Khilnani High School And Junior College, Ground Floor, Hall, Partition-C",181
"41 - Mori Road, Mahim, Mumbai-16","K J Khilnani High School And Junior College, Ground Floor, Room at the North Side Of Hall",181
"42 - Lady Jamshetjee Road, Mahim, Mumbai - 16","St. Michael School, Ground Floor. Room No.05",181
"43 - Lady Jamshetjee Road, Mahim, Mumbai - 16","St Michael School, Ground Floor. Hall Partition-A",181
"44 - Lady Jamshetjee Road, Mahim, Mumbai - 16","St Michael School, Ground Floor, Hall Partition-B",181
"45 - Miya Mohammad Chhotani Road No. 4, Mahim, Mumbai - 16",New Mahim Mun. Madhyamik School .Ground Floor Room No. 5,181
"46 - Miya Mohammad Chhotani Road No. 4, Mahim, Mumbai - 16",New Mahim Mun. Madhyamik School .Ground Floor Room No. 6,181
"47 - Miya Mohammad Chhotani Road No. 4, Mahim, Mumbai - 16",New Mahim Mun. Madhyamik School .Ground Floor Hall Left Side .,181
"48 - Lady Jamshetjee Cross Road No. 2 Mahim, Mumbai - 16",R. C . Mahim Urdu School.Ground Floor. Room No. 9,181
"49 - Lady Jamshetjee Cross Road No. 2 Mahim, Mumbai - 16",R. C . Mahim Urdu School.Ground Floor. Room No. 12,181
"50 - Lady Jamshetjee Cross Road No. 2 Mahim, Mumbai - 16",R. C . Mahim Urdu School.Ground Floor. Room No. 2,181
"51 - Lady Jamshetjee Cross Road No. 2 Mahim, Mumbai - 16",R. C . Mahim Urdu School. Ground Floor .Room No. 04,181
"52 - Lady Jamshetjee Cross Road No. 2 Mahim, Mumbai - 16",R. C . Mahim Urdu School.Ground Floor. Room No. 3 .,181
"53 - Lady Jamshetjee Cross Road No. 2 Mahim, Mumbai - 16",R. C . Mahim Urdu School.Ground Floor. Room No. 11,181
"54 - Lady Jamshetjee Cross Road No. 2 Mahim, Mumbai - 16",R.C.Mahim Urdu School.Ground Floor. Room No. 10,181
"55 - Lady Jamshetjee Cross Road No. 2 Mahim, Mumbai - 16",R. C . Mahim Urdu School.Ground Floor. Room No. 5,181
