PS No & Name,Address,Constituency Number
"1 - Senapati Bapat Marg, Elphinstone-400013","Holy Cross High school, primary section, Ground floor, Room no. 1,",183
"2 - Senapati Bapat Marg, Elphinstone-400013","Holy Cross High School, Primary Section, Ground Floor, Room no. 2,",183
"3 - Senapati Bapat Marg, Elphinstone - 400013","Holy Cross High School, Primary Section, Ground Floor, Room no. 3,",183
"4 - Senapati Bapat Marg, Elphinstone-400013","Holy Cross High school, Primary Section, Ground floor, Room no. 4,",183
"5 - Senapati Bapat Marg, Elphinstone-400013","Holy Cross High school, Primary Section, Ground Floor, Room no. 5,",183
"6 - Senapati Bapat Marg, Elphinstone-400013","Holy Cross High School, Primary Section, Ground floor, Room no. 6,",183
"7 - Senapati Bapat Marg, Elphinstone-400013","Holy Cross High School, Primary Section, Ground Floor, Room no. 7,",183
"8 - Senapati Bapat Marg, Elphinstone-400013","Holy Cross High School, Primary Section, Ground Floor, Room no. 8,",183
"9 - Senapati Bapat Marg, Elphinstone-400013","Holy Cross High School, Primary Section, Ground Floor, Room no. 9,",183
"10 - Senapati Bapat Marg, Elphinstone-400013","Holy Cross High School, Primary Section, Ground Floor, Room no. 10,",183
"11 - Senapati Bapat Marg, Elphinstone-400013","Holy Cross High School, Primary Section, Ground Floor, Room no. 11,",183
"12 - Senapati Bapat Marg, Elphinstone-400013","Holy Cross High School, Primary Section, Ground Floor, Room no. 12 Church Office,",183
"13 - Dr. Babasaheb Ambedkar road, Parel Mumbai-12","Central Railway Prathamik School, Ground Floor, 5th standard,",183
"14 - Dr. Babasaheb Ambedkar road, Parel Mumbai-12","Central Railway Prathamik School, Ground Floor, 6th Standard",183
"15 - Jagannath Bhatankar Marg,Parel, Mumbai-400012","Jagannath Bhatankar Marg Uppar Primary Municipal school no.2 Ground Floor, Room No. 1,",183
"16 - Jagannath Bhatankar Marg,Parel, Mumbai-400012","Jagannath Bhatankar Marg Uppar Primary Municipal school no.2 Ground Floor, Room No. 2",183
"17 - Jagannath Bhatankar Marg,Parel, Mumbai-400012","Jagannath Bhatankar Marg Uppar Primary Municipal school no.2 Ground Floor, Room No. 3",183
"18 - Jagannath Bhatankar Marg,Parel, Mumbai-400012","Jagannath Bhatankar Marg Uppar Primary Municipal school no.2 Ground Floor, Room No. 4,",183
"19 - Jagannath Bhatankar Marg,Parel, Mumbai-400012","Jagannath Bhatankar Marg Uppar Primary Municipal school no.2 Ground Floor, Room No.9 Sharirik Shikshan Office",183
"20 - Jagannath Bhatankar Marg,Parel, Mumbai-400012","Jagannath Bhatankar Marg Uppar Primary Municipal school no.2 Ground Floor, Room No. 7,",183
"21 - Jerabai Wadi Road,Bhoiwada, Mumbai-400012","Mandap A, Best Colonial Grounds in the Backyard of Mahatma Phule Technical High School",183
"22 - Jerabai Wadi Road,Bhoiwada, Mumbai-400012","Mandap B, Best Colonial Grounds in the Backyard of Mahatma Phule Technical High School",183
"23 - Jerabai Wadi Road,Bhoiwada, Mumbai-400012","Mandap C, Best Colonial Grounds in the Backyard of Mahatma Phule Technical High School",183
"24 - Jerabai Wadi Road,Bhoiwada, Mumbai-400012","Mandap D, Best Colonial Grounds in the Backyard of Mahatma Phule Technical High School",183
"25 - D.G.Mahajani Path, Shivadi, Mumbai-400015","Mumbai Public School (English Medium), Mandap A",183
"26 - D.G.Mahajani Path, Shivadi, Mumbai-400015","Mumbai Public School, (English Medium), Mandap B",183
"27 - D.G.Mahajani Path, Shivadi, Mumbai-400015","Mumbai Public School,(English Medium), Mandap C,",183
"28 - D.G.Mahajani Path, Shivadi, Mumbai-400015","Mumbai Public School,(English Medium),Mandap- E,",183
"29 - D.G.Mahajani Path, Shivadi, Mumbai-400015","Mumbai Public School, (English Medium), Mandap E,",183
"30 - D.G.Mahajani Path, Shivadi, Mumbai-400015","Mumbai Public School,(English Medium),Mandap F,",183
"31 - D.G.Mahajani Path, Shivadi, Mumbai-400015","Mumbai Public School, (English Medium), Ground Floor, Open Hall Semi Enclosed Space A, D.G.Mahajani Road",183
"32 - Dr. Babasaheb Ambedkar road, Parel Mumbai-12","Social Service League Highschool, Silver Jubilee Building, Room No. 1,Ground Floor,",183
"33 - Dr. Babasaheb Ambedkar road, Parel Mumbai-12","Social Service League Highschool, Silver Jubilee Building, Room No. 4,Ground Floor,",183
"34 - Dr. Babasaheb Ambedkar road, Parel Mumbai-12","Social Service League Highschool, Silver Jubilee building, Room No. 5, Ground Floor,",183
"35 - Dr. Babasaheb Ambedkar road, Parel Mumbai-12","Social Service League Highschool, Silver Jubilee Building, Room No. 6, Ground Floor,",183
"36 - Jerbai Wadia Road, Bhoiwada, Mumbai-400012","Mahatma Phule Technical High School,Ground Floor, Room No.1",183
"37 - Jerbai Wadia Road, Bhoiwada, Mumbai-400012","Mahatma Phule Technical High School,Ground Floor, Room No.2",183
"38 - Jerbai Wadia Road, Bhoiwada, Mumbai-400012","Mandap E, Best Colony, Grounds in the Backyard of Mahatma Phule Technical High School,",183
