PS No & Name,Address,Constituency Number
1 - Dr.Babasaheb Ambedkar Road.,"Shri Mammabai High School ,Ground Floor, K.G.Hall A,",184
2 - Dr.Babasaheb Ambedkar Marg,"Shri Mammabai High School, Ground Floor ,K.G.Hall B,",184
3 - Dr.Babasaheb Ambedkar Marg,"Shri Mammabai High School Ground Floor K.G.Hall C,",184
4 - Dr.Babasaheb Ambedkar Marg,"Shri Mammabai High School, Ground Floor, Mandap -A",184
5 - Dr.Babasaheb Ambedkar Marg,"Shri Mammabai High School, Ground Floor, Mandap B",184
6 - Dr.Babasaheb Ambedkar Marg,"Shri Mammabai High School, Gr.floor,K.G..Hall D,",184
7 - Dr.Babasaheb Ambedkar Marg,"Shri Mammabai High School, Ground Floor, Mandap -C",184
8 - Dr.Babasaheb Ambedkar Marg,"Shri Mammabai High School, Ground Floor, Mandap -D",184
9 - Dr.Babasaheb Ambedkar Marg,"Shri Mammabai High School, Ground Floor, Mandap -E",184
10 - Dr.Babasaheb Ambedkar Marg,"Shishu Vihar School,Shri Velji Lakhamshi Nappu High School Compound, Gr.floor,R.No.1",184
11 - Dr.Babasaheb Ambedkar Marg,"Shishu Vihar School,Shri Velji Lakhamshi Nappu High School Compound, Gr.floor, R.No.2",184
12 - Dr.Babasaheb Ambedkar Marg,"Shishu Vihar School,Shri Velji Lakhamshi Nappu High School Compound, Gr.floor, R.No.3",184
13 - Dr.Babasaheb Ambedkar Marg,"Shishu Vihar School,Shri Velji Lakhamshi Nappu High School Compound,,Gr.floor, R.No.4",184
14 - Dr.Babasaheb Ambedkar Marg,"Shishu Vihar School,Shri Velji Lakhamshi Nappu High School Compound,,Gr.floor,R.No.5",184
15 - Dr.Babasaheb Ambedkar Marg,"Shishu Vihar School,Shri Velji Lakhamshi Nappu High School Compound,,Gr.floor,Hall A1",184
16 - Dr.Babasaheb Ambedkar Marg,"Shishu Vihar School,Shri Velji Lakhamshi Nappu High School Compound,,Gr.floor,Hall A2",184
17 - Dr.Babasaheb Ambedkar Marg,"Shishu Vihar School,Shri Velji Lakhamshi Nappu High School Compound,,Gr.floor,Hall B1",184
18 - Dr.Babasaheb Ambedkar Marg,"Shishu Vihar School,Shri Velji Lakhamshi Nappu High School Compound,,Gr.floor,Hall B 2",184
19 - E.S.Patanwala Marg,"Byculla East Municipal School, Ground Floor, Room No.41",184
20 - E.S.Patanwala Marg,"Byculla East Municipal School, Ground Floor, Room No.42,",184
21 - E.S.Patanwala Marg,"Byculla East Municipal School, Ground Floor, Room No.43,",184
22 - E.S.Patanwala Marg,"Byculla East Municipal School, Ground Floor, Hall B",184
23 - Rambhau Bhogale Marg,"Rambhau Bhogale Marg, Mun.Marathi Primary School,Gr.floor, R.No.1,",184
24 - Rambhau Bhogale Marg,"Rambhau Bhogale Marg, Mun.Marathi Primary School,Gr.floor, R.No.2,",184
25 - Mohammed Umer Rajab Road,"Mohammed Umer Rajab Road, Mun. Madhyamik School,Gr.floor, R.No.1,",184
26 - Sane Guruji Marg,"Saint Ignetitious High School,Gr.floor, R.No.4,",184
27 - Sane Guruji Marg,"Saint Ignetitious High School,Gr.floor, R.No.5,",184
28 - Sane Guruji Marg,"Saint Ignetitious High School,Gr.floor, R.No.6,",184
29 - Sane Guruji Marg,"Saint Ignetitious High School,Gr.floor, R.No.8,",184
30 - Rambhau Bhogale Marg,"Maharashtra Kamgar Kalyan Kendra,",184
31 - E.S.Patanwala Marg,"Byculla East, Municipal School, Gr.Floor, R.No.1,",184
32 - E.S.Patanwala Marg,"Byculla East, Municipal School,Gr. Floor, R.No.5,",184
33 - E.S.Patanwala Marg,"Byculla East, Municipal School, Gr.Floor, R.No.2,",184
34 - E.S.Patanwala Marg,"Byculla East, Municipal School,Gr.Floor, R.No.3",184
35 - E.S.Patanwala Marg,"Byculla East, Municipal School,Gr.Floor, R.No.4",184
36 - E.S.Patanwala Marg,"Byculla East, Municipal School,Gr.Floor, R.No.6,",184
37 - E.S.Patanwala Marg,"Byculla East, Municipal School,Gr.Floor, R.No.10,",184
38 - E.S.Patanwala Marg,"Byculla East, Municipal School,Gr.Floor, R.No.12,",184
39 - E.S.Patanwala Marg,"Byculla East, Municipal School,Gr.Floor, R.No.13,",184
40 - E.S.Patanwala Marg,"Byculla East, Municipal School,Gr.Floor, R.No.11",184
