PS No & Name,Address,Constituency Number
"1 - BHULABHAI DESAI ROAD, MUMBAI-26","SHETH DAMODAR MADHAVJI CHARITY TRUST DAMUL NIWAS, GR.FLOOR HALL NO 2 BHULABHAI DESAI ROAD, MUMBAI-26",185
"2 - BHULABHAI DESAI ROAD, MUMBAI-26","SHETH DAMODAR MADHAVJI CHARITY TRUST DAMUL NIWAS, GROUND FLOOR HALL NO 1 PARTITION-1 BHULABHAI DESAI ROAD, MUMBAI-26",185
"3 - BHULABHAI DESAI ROAD, MUMBAI-26","SHETH DAMODAR MADHAVJI CHARITY TRUST DAMUL NIWAS, GROUND FLOOR HALL NO 1 PARTITION-2 BHULABHAI DESAI ROAD, MUMBAI-26",185
"4 - BHULABHAI DESAI ROAD, MUMBAI-26","SHIVSHANKAR BUILDERS & DEVELOPERS (TULSIDAS GOPALJI TRUST) OPEN GROUND NEAR MARRIAGE HALL, PARTITION-1",185
"5 - BHULABHAI DESAI ROAD, MUMBAI-26","SHIVSHANKAR BUILDERS & DEVELOPERS (TULSIDAS GOPALJI TRUST), OPEN GROUND NEAR MARRIAGE HALL, PARTITION-2",185
"6 - BHULABHAI DESAI ROAD, MUMBAI-26","SHIVSHANKAR BUILDERS & DEVELOPERS (TULSIDAS GOPALJI TRUST), OPEN GROUND NEAR MARRIAGE HALL, PARTITION-3",185
"7 - BHULABHAI DESAI ROAD, MUMBAI-26","SHIVSHANKAR BUILDERS & DEVELOPERS (TULSIDAS GOPALJI TRUST) OPEN GROUND NEAR MARRIAGE HALL, PARTITION-4",185
"8 - BHULABHAI DESAI ROAD, MUMBAI-26","SHIVSHANKAR BUILDERS & DEVELOPERS (TULSIDAS GOPALJI TRUST) OPEN GROUND NEAR MARRIAGE HALL, PARTITION-5",185
"9 - 102 PANDIT MADAN MOHAN MALVIA ROAD, (TARDEO ROAD), MUMBAI-34","MODEL CO.-OP.HOUSING SOCIETY HALL (SAHAKAR NIWAS), GR. FLOOR",185
"10 - 102 PANDIT MADAN MOHAN MALVIA ROAD, (TARDEO ROAD), MUMBAI-34","SHRI. B.P.K. SAHAKARI VIDYA MANDIR, GROUND FLOOR, STD.10TH CLASS",185
"11 - 102 PANDIT MADAN MOHAN MALVIA ROAD, (TARDEO ROAD), MUMBAI-34","SHRI. B.P.K. SAHAKARI VIDYA MANDIR, GROUND FLOOR, STD.9TH/A CLASS",185
"12 - 102 PANDIT MADAN MOHAN MALVIA ROAD, (TARDEO ROAD), MUMBAI-34","SHRI. B.P.K. SAHAKARI VIDYA MANDIR, GROUND FLOOR, STD.9TH/B CLASS",185
"13 - 102 PANDIT MADAN MOHAN MALVIA ROAD, (TARDEO ROAD), MUMBAI-34","Shri B.P.K Sahakari Vidya Mandir, Ground floor, computer room",185
"14 - 102 PANDIT MADAN MOHAN MALVIA ROAD, (TARDEO ROAD), MUMBAI-34","VICTORIA MEMORIAL SCHOOL FOR THE BLIND, GROUND FLOOR HALL , PANDIT MALVIA ROAD ( TARDEO ROAD) MUM-34",185
"15 - 102 PANDIT MADAN MOHAN MALVIA ROAD, (TARDEO ROAD), MUMBAI-34","VICTORIA MEMORIAL SCHOOL FOR THE BLIND ,SEMINAR HALL , PANDIT MALVIA ROAD ( TARDEO ROAD) MUM-34",185
"16 - 102 PANDIT MADAN MOHAN MALVIA ROAD, (TARDEO ROAD), MUMBAI-34","SHRI. B.P.K. SAHAKARI VIDYA MANDIR, GROUND FLOOR, STAFF ROOM",185
"17 - R.T.O. BODY GUARD LANE, MUMBAI-34","R.T.O. CANTEEN NEAR P.R.O. ROOM, GROUND FLOOR",185
"18 - R.T.O. BODY GUARD LANE, MUMBAI-34",R.T.O. GROUND SHED NO. 1,185
"19 - R.T.O. BODY GUARD LANE, MUMBAI-34","R.T.O. G-BLOCK (TRAINING SECTION), GROUND FLOOR,",185
"20 - R.T.O. BODY GUARD LANE, MUMBAI-34","R.T.O. E-BLOCK (TRANSPORT/HEAVY VEHICLE SECTION), GROUND FLOOR",185
"21 - R.T.O. BODY GUARD LANE, MUMBAI-34","R.T.O. E-BLOCK (PRIVATE VEHICLE SECTION), GROUND FLOOR",185
