PS No & Name,Address,Constituency Number
1 - GILDER GALLI MUMBAI -08,"Gilder Lane Municipal School, Ground Floor Room No - 1",186
2 - GILDER GALLI MUMBAI -08,"Gilder Lane Municipal School, Ground Floor Room No - 3",186
3 - GILDER GALLI MUMBAI -08,"Gilder Lane Municipal School, Ground Floor Room No - 4",186
4 - JAHANGIR BOMAN BEHRAM MARG MUMBAI - 08,"Saint Anthonys Home and High School, Ground Floor Room No - 2",186
5 - JAHANGIR BOMAN BEHRAM MARG MUMBAI - 08,"Saint Anthonys Home and High School, Ground Floor Room No - 3",186
6 - JAHANGIR BOMAN BEHRAM MARG MUMBAI - 08,"Saint Anthonys Home and High School, Ground Floor Room No - 4",186
7 - JAHANGIR BOMAN BEHRAM MARG MUMBAI - 08,"Saint Anthonys Home and High School, Ground Floor Room No - 5",186
8 - BABURAO MORE ROAD,"Bhagini Samaj Seva Mandir School, Ground Floor Hall",186
9 - JAHANGIR BOMAN BEHRAM MARG MUMBAI - 08,"Bhagini Samaj Seva Mandir School, Ground Floor Room",186
"10 - 109, SAFIA ZUBER ROAD MUMBAI -08","Nagpada Neighbourhood House (Modern English High School ), Ground Floor Room No - 2",186
"11 - 109, SAFIA ZUBER ROAD MUMBAI -08","Nagpada Neighbourhood House (Modern English High School ), Ground Floor Room No - 3",186
12 - 2nd Peer Khan Street,"Municipal Urdu School, Ground Floor, Hall Partition No 1",186
13 - 2nd Peer Khan Street,"Municipal Urdu School, Ground Floor, Hall Partition No 2",186
14 - 2nd Peer Khan Street,"Municipal Urdu School, Ground Floor, Hall Partition No 3",186
15 - JAHANGIR BOMAN BEHRAM MARG MUMBAI - 08,"Vocational Upper Primary Municipal Marathi School, Ground Floor Room No - 1",186
16 - JAHANGIR BOMAN BEHRAM MARG MUMBAI - 08,"Vocational Upper Primary Municipal Marathi School, Ground Floor Room No - 2",186
17 - UNDRIYA ROAD,"Nagpada Municipal Lower Primary Urdu School, Ground Floor Room No - 1",186
18 - DIMTIMKAR ROAD,"Nagpada Municipal Lower Primary Urdu School, Ground Floor Room No - 2",186
19 - UNDRIYA ROADTANK ROAD,"Nagpada Municipal Lower Primary Urdu School, Ground Floor Room No - 3",186
20 - KAZI PURA STREET,"Nagpada Municipal Lower Primary Urdu School, Ground Floor Room No - 4",186
21 - TANK ROAD,"Nagpada Municipal Lower Primary Urdu School, Ground Floor Room No - 5",186
22 - TANK ROAD,"Nagpada Municipal Lower Primary Urdu School, Ground Floor Room No - 7",186
23 - TANK ROAD TEMKAR ROAD,"Nagpada Municipal Lower Primary Urdu School, Ground Floor Room No - 8",186
24 - MASTAN TANK MARG BARKAT ALI VIRANI ROAD,"Nagpada Municipal Lower Primary Urdu School, Ground Floor Room No - 9",186
25 - KHANDIA MARG TANK ROAD Nagpada,"Anjuman Islam Ahmed Sailor High School, Room No 01",186
26 - Temkar Road,"Anjuman Islam Ahmed Sailor High School, Room No 02",186
27 - Temkar Road Temkar Road,"Chandramani Buddhavihar Urdu School, Ground Floor Room No. 5",186
28 - Sir J.J. Road,"Chandramani Buddhavihar Urdu School, Ground Floor Room No. 6",186
"29 - Alibhai Premji Road, GRANT ROAD","Bai Ratanbai F.D. Panday Girls High School, Ground Floor, Hall Partition No 1",186
"30 - P.G. SOLANKI ROAD, GRANT ROAD","Bai Ratanbai F.D. Panday Girls High School, , Ground Floor, Hall Partition No 2",186
"31 - P.G. SOLANKI ROAD, GRANT ROAD PATTHE BAPOORAO ROAD","Bai Ratanbai F.D. Panday Girls High School, Ground Floor, Hall Partition No 3",186
32 - MAULANA AZAD ROAD,"Municipal Urdu School, Ground Floor, Hall Partition No 4",186
33 - TANK ROAD,"Office of The Inspector of Legal Metrology, Hall Partition 1",186
"34 - MAULANA AZAD ROAD VASIL KHAN MARG, MUMBAI CENTRAL","Office of The Inspector of Legal Metrology, Hall Partition 2",186
35 - M T ANSARI MARG MAULANA SHUKAT ALI ROAD,"Bhruhanmumbai Mahanagar Palika, Kamathipura Mahanagar Palika Shala Sankul, Ground Floor Room No. 1",186
36 - MOHD. TAHIR ANSARI MARG JAYRAJBHAI LANE,"Bhruhanmumbai Mahanagar Palika, Kamathipura Mahanagar Palika Shala Sankul, Ground Floor Room No. 2",186
37 - SUKHALAJI ROAD,"Bhruhanmumbai Mahanagar Palika, Kamathipura Mahanagar Palika Shala Sankul, Ground Floor Room No. 3",186
38 - SUKHALAJI ROAD,"Bhruhanmumbai Mahanagar Palika, Kamathipura Mahanagar Palika Shala Sankul, Ground Floor Room No. 4",186
