PS No & Name,Address,Constituency Number
"1 - 109 Dr. Babasaheb Jaykar Marg, Mumbai 400002","Nathuram Poddar Baug, Graund flooer Hall A",187
"2 - 109 Dr. Babasaheb Jaykar Marg, Mumbai 400002","Nathuram Poddar Baug, Graund flooer Hall B",187
"3 - Zabwawadi Thakurdwar, Mumbai - 400 002","Gorakshak Shree Krishna CHS, Darshan Heights, B wing, Zawabawadi, Thakurdwar, Ground Floor, Patrashed A",187
"4 - Zabwawadi Thakurdwar, Mumbai - 400 002","Gorakshak Shree Krishna CHS, Darshan Heights, B wing, Zawabawadi, Thakurdwar, Ground Floor, Patrashed B",187
"5 - 134-144, Sitaram Poddar Marg Mumbai 400002","Sitaram Poddar Balika Vidyalaya, Gound Floor, Room No. 4",187
6 - 134-144 Sitaram Poddar Marg Mumbai 400002,"Sitaram Poddar Balika Vidyalaya, Gound Floor, Room No. 3",187
7 - 134-144 Sitaram Poddar Marg Mumbai 400002,"Sitaram Poddar Balika Vidyalaya, Ground Floor Room No. 1",187
8 - 134-144 Sitaram Poddar Marg Mumbai 400002,"Sitaram Poddar Balika Vidyalaya, Ground Floor, Room No. 2",187
"9 - 109 Dr. Babasaheb Jaykar Marg, Mumbai 400002","Nathuram Poddar Baug, Ground Floor, Hall - C",187
"10 - 109 Dr. Babasaheb Jaykar Marg, Mumbai 400002","Nathuram Poddar Baug, Ground Floor, Hall - D",187
"11 - 183, Dr. Vegas Street,Mumbai - 400 002","Barrato High school, Ground Floor, Room No. 5",187
"12 - 183, Dr. Vegas Street,Mumbai - 400 002","Barrato High school, Open Ground, Mandap-1",187
"13 - 183, Dr. Vegas Street,Mumbai - 400 002","Barrato High school, Open Ground, Mandap-2",187
"14 - 183, Dr. Vegas Street,Mumbai - 400 002","Barrato High school, Open Ground, Mandap-3",187
"15 - 183, Dr. Vegas Street,Mumbai - 400 002","Barrato High school, Open Ground, Mandap-4",187
16 - 187 Dadi Sheth Agyari Lane Mumbai 400002,"Maha Pragya Public School Dadi Sheth Agyari Lane Kalbadevi Mumbai Ground Floor, Hall - A-4",187
17 - 187 Dadi Sheth Agyari Lane Mumbai 400002,"Maha Pragya Public School Dadi Sheth Agyari Lane Kalbadevi Mumbai Ground Floor, Hall -A-5",187
"18 - 183, Dr. Vegas Street,Mumbai - 400 002","Barrato High school, Open Ground, Mandap-5",187
"19 - Zabwawadi Thakurdwar, Mumbai - 400 002","Gorakshak Shree Krishna CHS, Darshan Heights, B wing, Zawabawadi, Thakurdwar, Ground Floor, Patrashed C",187
"20 - Zabwawadi Thakurdwar, Mumbai - 400 002","Gorakshak Shree Krishna CHS, Darshan Heights, B wing, Zawabawadi, Thakurdwar, Ground Floor, Patrashed D",187
21 - 20 St. Francis Xavier Road Mumbai 400002,St. Sebestian High School Ground Floor K. G.B,187
22 - 20 St. Francis Xavier Road Mumbai 400002,St. Sebestian High School Ground Floor K. G. C,187
23 - 20 St. Francis Xavier Road Mumbai 400002,St. Sebestian High School Ground Floor Std 1 st Class,187
24 - 9 Bhai Jeevanji Lane Mumbai 400002,Prabhu SeminariHigh School Ground Floor Hall A 1,187
25 - 9 Bhai Jeevanji Lane Mumbai 400002,Prabhu Seminary High School 2 nd Floor Hall B 1,187
"26 - 27,Navroji Shet Marg,Mumbai-400002","Student Literary Scientific Society School, Ground Floor, Room No. A",187
27 - 24 Navroji sheth marg mumbai 400002,"Student Literary Scientific Society School, Ground Floor, Room No. A 1",187
28 - 24 Navroji sheth marg mumbai 400002,"Student Literary Scientific Society School, Ground Floor, Room No. A-2",187
29 - 187 Dadi Sheth Agyari Lane Mumbai-400002,"Dakhibai Singhaniya Dharmashala Trust, Singhaniya Wadi (Ganesh Baug) Ground Floor, Hall A-1",187
30 - 187 Dadi Sheth Agyari Lane Mumbai-400002,"Marwadi Commercial Highschool, Gajdhar Street, Ground Floor, Room No.1",187
31 - 187 Dadi Sheth Agyari Lane Mumbai-400002,"Marwadi Commercial Highschool, Gajdhar Street, Ground, Mandap-1",187
