PS No & Name,Address,Constituency Number
1 - Dhansar 1,R. Z. P. Pri Marathi School Dhansar Room No. 1,188
2 - Dhansar 2 (Dharanacamp),R. Z. P. Pri marathi School Dharanacamp Room No. 1,188
3 - Dhansar 3 (dharanacamp),R. Z. P. Pri marathi School Dharanacamp Room No. 3,188
4 - Turbhe,R. Z. P. Pri marathi School turbhe Room No. 1,188
5 - Karavale Budruk,R. Z. P. Pri marathi School Karavale Budruk Room No. 1,188
6 - Nitalas,R. Z. P. Pri marathi School Nitalas Room No. 3,188
7 - Nitalas,R. Z. P. Pri marathi School Nitalas Room No. 2,188
8 - Pisarve,R.Z.P.Pra. Marathi School Pisarve Room No 1,188
9 - Rohinjan,R.Z.P.Pra. Marathi School Rohinjan Room No.01,188
10 - Rohinjan,R. Z. P. Pri marathi School Rohinjan room no. 2,188
11 - Rohinjan,R. Z. P. Pri marathi School khutari Room No. 1,188
12 - Taloje Majakur,R. Z. P. Pri marathi School taloje Majakur West Side Room No. 1,188
13 - Taloje Majakur,R. Z. P. Pri marathi School taloje Majakur North Side Room No. 1,188
14 - Vavanje 1,R. Z. P. Pri marathi School vavanje south side room No. 1,188
15 - Vavanje 2,R. Z. P. Pri Marathi School North Side Room No. 1,188
16 - Vavanje 2,R. Z. P. Pri Marathi School Vavanje New Building Ground Floor Room No. 1,188
17 - Kherane khurd,R. Z. P. Pri marathi School kherane khurd Room No. 1,188
18 - Ghot,R. Z. P. Pri marathi School Ghot East side Room No. 2,188
19 - Ghot,R.Z.P.School Ghot East Side Room No. 4,188
20 - Ghot 1,R. Z. P. Pri marathi School Ghot south side Room No. 2,188
21 - Pendhar,R. Z. P. Pri. Marathi School Pendhar Ground Floor New Building Room No. 1,188
22 - Pendhar,R. Z. P. Pri. Marathi School Pendhar Ground Floor New Building Room No. 2,188
23 - Pendhar 2,Open Metropolitan Palika Pendhar Office (formerly Gram Panchayat Office). No. 1,188
24 - Taloja Pachnand 1,R. Z. P. Pri. Urdu School Taloja Pachnand New Building North side Room No. 2,188
25 - Taloja Pachnand 1,R. Z. P. Pri. Urdu School Taloja Pachnand New Building North Side Room No. 3,188
26 - Taloja Pachnand 2,R. Z. P. Pri. Urdu School Taloja Pachnand New Building South Side Room No. 1,188
27 - Taloje Pachanand 3,Nationl urdu Primary and Secondary School Taloje Room no 3,188
28 - Taloje Pachanand 3,Nationl urdu Primary and Secondary School Taloje Room no 5,188
29 - Taloja Pachnand 4,R. Z. P. Pri. Marathi School Taloja pachnand New Building North Side Room No. 1,188
30 - Taloja Pachnand 4,R. Z. P. Pri. Marathi School Papadicha Pada Room No. 1,188
31 - Taloja Pachnand 4,R. Z. P. Pri. Marathi School Taloja pachnand New Building North Side Room No. 2,188
32 - Taloje Pachanand 5 (Pethali ),R Z P Pri Marathi School Pethali South side room No. 1,188
33 - Taloja Pachnand 5 ( Pethali),R. Z. P. Pri. Marathi School Pethali South Side Room No. 2,188
34 - Taloje Pachanand 5 (Pethali ),Kamalgauru Hiru Patil Mandal The Elite Public School Taloje Phase 1 Room No. 1,188
35 - Taloje Pachanand 5 (Pethali ),Kamalgauru Hiru Patil Mandal The Elite Public School Taloje Phase 1 Room No. 2,188
36 - Taloje Pachanand 5 (Pethali ),"The Elight Public School, Ground Floor Room No. 4, Taloje Phase -",188
37 - Taloje Pachanand 5 (Pethali ),Kamalgauru Hiru Patil Mandal The Elite Public School Taloje Phase 1 Room No. 3,188
38 - Mahodar,"Raigad Zilla Parishad School Mahodar, Room No 1",188
39 - Shiravali,"Raigad Zilla Parishad School Shiravali, North Side Room No 1",188
40 - Shiravali,"Raigad Zilla Parishad School Shiravali, North Side Room No 2",188
41 - Palekhurd 1,"Raigad Zilla Parishad Primary School Palekhurd, Old Building, East side Room No 1",188
42 - Palekhurd 11,"Raigad Zilha Parishad Primary School Palekhurd, New Building, East side Room No 1",188
43 - Palekhurd 1,"Raigad Zilla Parishad School Devichapada, West side Room No 1",188
44 - Palekhurd 2,"Raigad Zilla Parishad School Devichapada, West side Room No 2",188
45 - Palekhurd 2,Raigad Zilla Parishad Primary School Dhongaryacha Pada West side Room No 1,188
46 - Tondhare 1,R.Z.P. Pri Marathi School tondhare north side Room No. 2,188
47 - Tondhare 1,R.Z.P. Pri Marathi School Room No. 3 tondhare,188
48 - Tondhare2,"R.Z.P. Primary Marathi School, tondhare, North Buliding Room no 1",188
49 - Ghot 2 Koyanavele,R Z P Pri Marathi School ghotcamp (Koyanavele) Room No. 1,188
50 - Ove 2,R.Z.P.Pra. Marathi School Ove Room No.1,188
51 - Owe 2,Imperium School Owe Opening of a polling station set up in the parking area room no 1,188
52 - Ove 2,R.Z.P.Pra. Marathi School Ovepeth west side Room No. 1,188
53 - Ove 2,R.Z.P.Pra.Urdu School Ove east side Ground Floor Room No.2,188
54 - Ove 2,R.Z.P Pri. Urdu School Owe east side Ground Floor Room No. 6,188
55 - Ove 2,R.Z.P.Pra.Urdu School Ove east side Ground Floor Room No.3,188
56 - Owe 2,R Z P Pri .Urdu School owe east side Ground Floor Room no 4,188
57 - Owe 2,"Imperium School Owe Ground Floor Opening of a polling station set up in the Parking Area , Room no 2",188
58 - Owe 2,Imperium School Ove ground floor Opening of a polling station set up in the parking area room . No.3,188
59 - Owe 2,Imperium School Ove ground floor Opening of a polling station set up in the parking area room . No.4,188
60 - Owe 2,Imperium School Ove ground floor Opening of a polling station set up in the parking area room . No.5,188
61 - Owe 2,Imperium School Ove ground floor Opening of a polling station set up in the parking area room . No.6,188
62 - Owe 3,R Z P Pri .Marathi school owepeth west side Room No. 2,188
63 - Ove 4,R.Z.P.Pra. Marathi School Ove Camp ground floor east side Room No.1,188
64 - Ove 3,R.Z.P. Urdu School Ovepeth west side Room No. 1,188
65 - Ove 4,R.Z.P.Pra. Marathi School Murbi west side Room No.1,188
66 - Ove 4,R.Z.P.Pra. Marathi School Murbi west side Room No.2,188
67 - Owe 4,R.Z.P.Pra. Marathi School Murbi west side Room No.3,188
68 - Chindhran,"Raigad Zilla Parishad Kendra School Chindhran South Side, Room No. 1",188
69 - Chindhran,"Raigad Zilla Parishad Kendra School Chindhran South Side, Room No. 3",188
70 - Karambeli Tarfe Taloje,Raigad Zilla Parishad School Karambeli Tarfe Taloja (Yarmal) North Side Room No. 2,188
71 - Kanpoli,R. Z. P. Pri Marathi School kanpoli Room No. 1,188
72 - Valap,"Raigad Zilla Parishad Primary School Valap, North-South Side Building, North Side Room No 2",188
73 - Valap,"Raigad Zilla Parishad Primary School Valap, North-South Side Building, North Side Room No 3",188
74 - Navade 1,R Z P Pri . Marathi School Navade Ground Floor south side Room No. 1,188
75 - Navade 1,R Z P Pri . Marathi School Navade Ground Floor south side Room No. 2,188
76 - Navade 2,"Anganwadi Navde, South Side, Room No 1",188
77 - Navade 3,"Rayat Shikshan swanstha Parshuram Joma Mhatre Vidyalay, navde, North Side Room No 01.",188
78 - Navade 3,"Rayat Shikshan swanstha Parshuram Joma Mhatre Vidyalay, navde, North Side Room No 02.",188
79 - Navade 3,"Rayat Shikshan swanstha Parshuram Joma Mhatre Vidyalay, navde, North Side Room No 03.",188
80 - Kharghar 1,the Gokhale education society namdar gopal krushna gokhale vidhyalay Kharghar Ground Floor east side Room No. 6,188
