PS No & Name,Address,Constituency Number
1 - Zugarewadi,Ra. Z. P. Primary Marathi School Zugarevadi (new building) Room no-1,189
2 - Olman,Ra. Z. P. Primary Marathi School Olaman,189
3 - Baliware,Ra. Z. P. Primary Marathi School Balivare,189
4 - Chai,Ra. Z. P. Primary Marathi School Chai,189
5 - Chevane,Ra. Z. P. Primary Marathi School Chevane,189
6 - Khadakwadi,Ra. Z. P. Primary Marathi School Khadakavadi,189
7 - Bhagachiwadi,Ra. Z. P. Primary Marathi School Bhagachivadi,189
8 - Nandgaon,Ra. Z. P. Primary Marathi School Nandagav,189
9 - Chafewadi,Ra. Z. P. Primary Marathi School Chafevadi,189
10 - Borgaon,Ra. Z. P. Primary Marathi School Boragav,189
11 - Salokh T. Waredi-1,Ra. Z. P. Primary Marathi School Salokh T. Varedi Room No. 1,189
12 - Salokh T. Waredi-2,Ra. Z. P. Primary Marathi SchoolSalokh T. Varedi Room No. 2,189
13 - Male,Ra. Z. P. Primary Marathi School Male,189
14 - Ardhe,Ra. Z. P. Primary Marathi School Ardhe,189
15 - Pashane,Ra. Z. P. Primary Marathi School Pashane,189
16 - Pashane,Ra. Z. P. Primary Marathi School Khadyacha Pada Pasha,189
17 - Kalamb-1,Ra. Z. P. Primary Marathi School Kalamb East Side Room No. 1,189
18 - Kalamb-2,Ra. Z. P. Primary Marathi School East Side Room No. 2,189
19 - Kalamb-3,Ra. Z. P. Primary Marathi School Kalamb,189
20 - Pohi,Ra. Z. P. Primary Marathi School Pohi,189
21 - Bangarwadi,Ra. Z. P. Primary Marathi School Bangaravadi,189
22 - Ambherpada,Ra. Z. P. Primary Marathi School Ambherapada,189
23 - Ware,Ra. Z. P. Primary Marathi School Vare Room No. 1,189
24 - Ware-2,Ra. Z. P. Primary Marathi School Vare Room No. 2,189
25 - Poshir,Ra. Z. P. Primary Marathi School Poshir,189
26 - Poshir,Ra. Z. P. Primary Marathi School Poshir West Side Room No. 2,189
27 - Manivali,Ra. Z. P. Primary Marathi School Manivali,189
28 - Shelu,Ra. Z. P. Primary Marathi School Shelu South Side Room No. 1,189
29 - Bandhiwali,Ra. Z. P. Primary Marathi School Shelu South Side Room No. 1,189
30 - Shelu-1,Ra. Z. P. Primary Marathi School Shelu South Side Room No. 2,189
31 - Shelu-2,Ra. Z. P. Primary Marathi School Shelu South Side Roo,189
32 - Bedisgaon,Ra. Z. P. Primary Marathi School Bedisagav,189
33 - Margachiwadi,Ra. Z. P. Primary Marathi School Margachivadi,189
34 - Khandas-1,Ra. Z. P. Primary Marathi School North Side Room No.,189
35 - Khandas-2,Ra. Z. P. Primary Marathi School North Side Room No.,189
36 - Pathraj,Ra. Z. P. Primary Marathi School Patharaj,189
37 - Kurung,Ra. Z. P. Primary Marathi School Kurung,189
38 - Bhadval-1,Ra. Z. P. Primary Marathi School Bhadaval Room No. 1,189
39 - Bhadval-2,Ra. Z. P. Primary Marathi School Bhadaval Room No. 2,189
40 - Avasare,Ra. Z. P. Primary Marathi School Avsare,189
41 - Kodivale,Ra. Z. P. Primary Marathi School Kodivale,189
42 - Birdole,Ra. Z. P. Primary Marathi School Biradole,189
43 - Devpada-1,Ra. Z. P. Primary Marathi School Devapada Room No. 1,189
44 - Devpada-2,Ra. Z. P. Primary Marathi School Devapada Room No. 2,189
45 - Dahivali T. Varedi,Ra. Z. P. Primary Marathi School Dahivali T. Varedi,189
46 - Damat-1,"Ra. Z. P. Pra. Urdu School, Damat Room no.1",189
47 - Damat-2,"Ra. Z. P. Pra. Urdu School, Damat Room no.2",189
48 - Bhadval,Ra. Z. P. Primary Marathi School Thakuravadi,189
49 - Malegaon T. Waredi,Ra. Z. P. Primary Marathi School Malegaon T. Varedi,189
50 - Mamdapur-1,Ra. Z. P. Primary Marathi School Mamadapur Room No. 1,189
51 - Mamdapur-2,Ra. Z. P. Urdu School Mamadapur Room No. 2,189
52 - Dhamote-1,"Ra. Z. P. Pra. Marathi School, Dhamote, Room No 1",189
53 - Dhamote-2,"Ra. Z. P. Pra. Marathi School, Dhamote, Room No 3",189
54 - Dhamote-3,Ra. Z. P. Primary Marathi School Dhamote,189
55 - Sugave,Ra. Z. P. Primary Marathi School Sugave,189
56 - Sugave,Ra. Z. P. Primary Marathi School Sugave Room No.2,189
57 - Tungi,Ra. Z. P. Primary Marathi School Tungi,189
58 - Rajape,Ra. Z. P. Primary Marathi School Rajape,189
59 - Gudvan,Ra. Z. P. Primary Marathi School Gudhavan,189
60 - Borivali,Ra. Z. P. Primary Marathi School Borivali,189
61 - Vanjarpada,Ra. Z. P. Primary Marathi School Vanjarapada,189
62 - Neral,Ra. Z. P. Primary Urdu Dagadi School Chavadi Front East Side Neral,189
63 - Neral,Ra. Z. P. Primary Urdu Dagadi School Chavadi Front East Side Neral,189
64 - Neral,Ra. Z. P. Primary Urdu Dagadi School Chavadi Front East Side Neral,189
65 - Neral,Ra. Z. P. Primary Urdu Dagadi School Chavadi Front East Side Neral,189
66 - Neral,Ra. Z. P. Primary Neral Gujrathi School South Side,189
67 - Neral,Ra. Z. P. Primary Neral Gujrathi School South Side,189
