PS No & Name,Address,Constituency Number
1 - Adalse,Z. P. marathi boys school north south Building room no. 1 from northern side,18
2 - Juvardi,Z. P. marathi boys school east west Building room no. 1 from eastern side,18
3 - Juvardi,Z. P. marathi boys school east west Building room no. 2 from eastern side,18
4 - Pendgaon,Z.P. Marathi Boys School North South New Building South West Facing Room No.1,18
5 - Pathrad,"Z. P. Pri. School east west Building, room no.1 from eastern side",18
6 - Pathrad,"Z. P. Pri. School east west Building, room no. 3 from eastern side",18
7 - Kolgaon,"Z. P.Pri. boys school, southern side, east west Building, room no. 1 from eastern side",18
8 - Kolgaon,"Z. P.Pri. boys school,southern side, east west Building, room no. 3 from eastern side",18
9 - Kolgaon,"Z. P. Pri. School, northern side, east west Building, room no. 01 from eastern side",18
10 - Savade,"Z. P. Pri. School, northern side, east west Building, room no. 1 from eastern side",18
11 - Savade,"Z. P. Pri. School,northern side, east west Building, room no. 2 from eastern side",18
12 - Navare,Z. P. Pri. School east west Building room no. 1 from eastern side,18
13 - Gudhe,"Z. P. pri. marathi boys school east west Building, room no.2 from eastern side",18
14 - Gudhe,"Z. P. pri. marathi boys school east west Building, room no. 4 from eastern side",18
15 - Gudhe,"Z. P. pri. marathi boys school east west Building, room no.6 from eastern side",18
16 - Gudhe,Anganwadi school eastern side room no. 01,18
17 - Gudhe,"In the scheme Javahar rojgar yojna, new middle Building,",18
18 - Gudhe,"In the scheme Javahar rojgar yojna, new weastern side Building,",18
19 - Gondgaon,Z. P. Pri. School east west Building room no.1 from eastern side,18
20 - Gondgaon,Z. P. Pri. School east west Building room no.3 from eastern side,18
21 - Gondgaon,Z. P. Pri. School east west Building room no.5 from eastern side,18
22 - Bambrud P.B.,"Z.P. School ,South North Main Building South East Facing Room No.1",18
23 - Bambrud P.B.,"Z. P. Pri. School southern side, east west Building , room no. 2 from eastern side",18
24 - wade,Z. P. Pri. School east west Building room no.2 from eastern side,18
25 - wade,Z. P. Pri. School east west Building room no.4 from eastern side,18
26 - wade,Z. P. Pri. Girls School east west Building room no.2 from eastern side,18
27 - wade,Z. P. Pri. Girls School nourth south Building room no.1 from northern side,18
28 - Malgaon,Z. P. Pri. School nourth south Building eastern side door room no.3,18
29 - Bhortek Bk.,Z. P. Pri. School nourth south Building room no.1 from northern side,18
30 - Tandulvadi,Z. P. Pri. School east west Building south side room no.2,18
31 - Umarkhed,Z. P. Pri. School north south Building room no.1 from northern side,18
32 - Kajgaon,Z. P. girls school north south Building north side room no.1 from,18
33 - Kajgaon,Z. P. girls school east west Building room no.3 from eastern side,18
34 - Kajgaon,Z. P. boys school east west Building room No. 9 from eastern side,18
35 - Kajgaon,Z. P. Boys School east west Building room No. 11 from eastern side,18
36 - Kajgaon,Z. P. Boys School east west Building room No. 13 from eastern side,18
37 - Pasrdi,Z. P. Boys School East West Building Room No.3 from Eastern Side,18
38 - Kanashi,Z. P. Pri. School east west Building room no.2 from eastern side,18
39 - Kanashi,Z. P. Pri. School north south Building room no.01 from north side,18
40 - Devhari,Z. P. Pri. School east west Building room no.1 from eastern side,18
41 - Lon P.B.,Z. P. Pri. School east west Building eastern side room no.01,18
42 - Ghusardi Kh.,Z. P. Pri. School east west Building room no.1 from eastern side,18
43 - Pimprihat,"Z. P.pri. marathi boys school, South North New Building East Facing South room no.1",18
44 - Pimprihat,Z. P.pri. marathi boys school east west Building room no.3 from eastern side,18
45 - Khedgaon Kh.,"Z. P. Pri. School nourth south Building weastern side door, room no.2 from side",18
46 - Khedgaon Kh.,"Z. P. Pri. School north south Building, eastern side door, room no.2 from northern side",18
47 - Shindi,"Z. P. pri marathi boys school east west Building, southernn side door, room no.3 from west side",18
48 - Shindi,"Z. P. pri marathi boys school east west Building, southernn side door, room no.1 from west side",18
49 - Shindi,"Z. P. pri marathi boys school north south Building, western side door, room no.2 from northern side",18
50 - walvadi Bk.,"Z. P. pri marathi boys school east west Building, room no.1 from eastern side",18
51 - walvadi Bk.,"Z. P.pri marathi boys school east west Building, room no.3 from eastern side",18
52 - Mahindale,"Z. P. pri marathi boys school new east west Building, room no.1 from eastern side",18
53 - Mahindale,"Z. P. pri marathi boys school new east west Building, room no.3 from eastern side",18
54 - Mahindale,"Z. P. pri marathi boys school north south Building, room no.1 from northern side",18
55 - Palaskhede,"Z. P. Pri marathi school north south New Building, East Facing Independent room",18
56 - Palaskhede,"Z. P. pri marathi boys school east west Building, room no. 4 from eastern side",18
57 - Vadgaon Nalbandi,"Sarva Shiksha Abhiyan Antargat Z. P. Shatkoni marathi school, north south Building, room no.1 from northern side",18
58 - Vadgaon Nalbandi,"Sarva Shiksha Abhiyan Antargat Z. P. Shatkoni marathi school, north south Building, room no.3 from northern side",18
59 - Wak,"Z. P. school western side new Building, room No. 1",18
60 - Wadaji,Z. P. Primary School North South building Eastern facing Room No 2 From Northern side,18
61 - Wadaji,"z.p. pri. school, In the scheme sarwa siksha ahiyan , north south Building, room no.1",18
62 - Wadaji,"z.p. pri. School, In the scheme sarwa siksha ahiyan , east west Building, room no.1",18
63 - wadji,Z. P. Pri. School north south Building room no.1 from northern side,18
64 - Shivani,"Z. P. Pri. school east west Building, room no.1 from eastern side",18
65 - Shivani,"Z. P. pri. school east west Building, room no.3 from eastern side",18
66 - Picharde,"Z. P. pri.marathi boys school east west Building, room no.1 from eastern side",18
67 - Picharde,"Z. P. pri marathi boys school east west Building, room no.3 from eastern side",18
68 - Batsar,"Z. P. marahi boys school southern side, east west Building, room no.4 from eastern side",18
69 - Batsar,"Z. P. Marathi boys school southern side, east west Building, room no.6 from eastern side",18
70 - Bodarde,"Z.P.School, New Building East Facing no.1 from northern side",18
71 - Bodarde,"Z. P. Pri. School nourth south Building, room no.3 from northern side",18
72 - Bornar,"Z. P. Pri. school east west Building, room no.2 from eastern side",18
73 - Nimbhora,"Z. P. Pri. school east west Building, room no.2 from eastern side",18
74 - Nimbhora,"Z. P. Pri. School, Nimbhora east west Building, room no.4 from eastern side",18
75 - Nimbhora,"Z. P. Pri. School, Nagardeola Station, east west Building, room no.2 from eastern side",18
76 - Vadgaon Bk.,"Z. P. Pri. school sarav shiksha abhiyan new Building, north south side room no.3",18
77 - Vadgaon Bk.,Z. P. Pri. school sarwa shiksha abhiyana antargat building room no 01,18
78 - Vadgaon Bk.,"Z. P. Pri. school near railway gate cotton mill, east west Building, room no.3 from eastern side",18
79 - Kothali,"Z. P. Pri. school east west Building, room no.2 from eastern side",18
80 - Kothali,"Z. P. Pri. school east west Building, room no.3 from eastern side",18
81 - Balad Kh.,East West Building North facing Integrated Child Development Anganwadi,18
82 - Pandharad,Z. P. marathi boys school north south Building room no.3 from northern side,18
83 - Tongaon,Office of B.D.O. Panchayat Samiti Bhadgaon,18
84 - Tongaon,Z. P. Pri. Urdu school western side door building (western side ),18
85 - Tongaon,Z.P.Pri Urdu School having eastrn door Building (Eastrn Side),18
86 - Tongaon,"Panchayat Samiti bhadgaon Small Saving Bhavan, ground floor, (Pachora Road)",18
87 - Tongaon,Yunus Khan Haji Musa Khan Urdu High School East West Building Room No. 3 Form Eastern Side,18
88 - Tongaon,Yunus Khan Haji Musa Khan Urdu High School East West Building Room No. 5 Form Eastern Side,18
89 - Tongaon,"in sarwa shiksha abhiyan, gat sadhan kendra, panchayat samiti Bhadgaon, north south building room no.2 from northern side",18
90 - Tongaon,"late.poonam vijayrao pawar, high school, room no.2 from northern side having western side door",18
91 - Tongaon,"late.poonam vijayrao pawar, high school, room no.3 from northern side having easttarn side door",18
92 - Tongaon,"late.poonam vijayrao pawar, high school, room no.1 from northern side having easttarn side door",18
