PS No & Name,Address,Constituency Number
1 - Vaghivali,Ra. Z. P. Marathi School Vaghivali East Side 1st Room,190
2 - Taraghar 1,R.Z.P School Cidco New Building Ulve Node sector no.25 West side Room no. 1,190
3 - Taraghar 2,R.Z.P School Cidco New Building Ulve Node sector no.25 West side Room no.5,190
4 - Ovale 1,Ra. Z. P. Marathi School Owle East Side 1st Room,190
5 - Ovale 2,Ra. Z. P. Marathi School Owle East Side 2nd Room,190
6 - Ovale 3,"Punarvasnan RZP School Chinchpada,Ground Flower,From the south Room No.6,Sec-R2,Plot No.17, Pushpak Vadghar Nod",190
7 - Kopar,"Punarvasnan RZP School Chinchpada,Ground Flower,From the south Room No.1,Sec-R2,Plot No.17, Pushpak Vadghar Nod",190
8 - Ulave1,"R.Z.P Marathi School Ulve, Targhar, Kombadbhuje Ulve Node sector no.25 West side Room no. 2",190
9 - Ulave 2,"R.Z.P Marathi School Ulve, Targhar, Kombadbhuje Ulve Node sector no.25 West side Room no. 3",190
10 - Ulave 3,"R.Z.P Marathi School Ulve, Targhar, Kombadbhuje Ulve Node sector no.25 West side Room no.4",190
11 - Ulave 4,"Grampanchyat Karyalay Targhar Plot No. 151, 152 Sector 25, Ulwe",190
12 - Ulave 5,"Grampanchayat karyalay Ulwe Plot No.36, Sector24, Ulwe",190
13 - Morave,Ra. Z. P. Marathi School Morave East Side 1st Room,190
14 - Morave,Ra. Z. P. Marathi School Morave East Side 2nd Room,190
15 - Vadaghar 1,Ra. Z. P. Marathi School Vadaghar East side Room No.1,190
16 - Vadaghar 2 (Chinchpada),"Punarvasnan RZP School Chinchpada,Ground Flower,From the south Room No.2,Sec-R2,Plot No.17,Pushpak Vadghar Nod",190
17 - Vadaghar 3,"Punarvasnan RZP School Chinchpada,Ground Flower,From the south Room No.3,Sec-R2,Plot No.17,Pushpak Vadghar Nod",190
18 - Vadaghar 3,"Punarvasnan RZP School Chinchpada,Ground Flower,From the south Room No.4,Sec-R2,Plot No.17,Pushpak Vadghar Nod",190
19 - Kolakhe 1,Raigad Zilha Parishad Purn Prathmik School Kolakhe East Side Room No. 1,190
20 -  Kolakhe 2,Raigad Zilha Parishad Purn Prathmik School Kolakhe East Side Room No. 2,190
