PS No & Name,Address,Constituency Number
1 - Dushmi,Ra. Z. P. Pra. Marathi School Dushmi,191
2 - Kharpada1,Ra. Z. P. Pra. Marathi School Kharapada (North Side Room ),191
3 - Kharpada2,Ra. Z. P. Pra. Marathi School Kharapada (South Side Room ),191
4 - Kharoshi1,Ra. Z. P. Pra. Marathi School Kharoshi (East Side Room ),191
5 - Kharoshi2,Ra. Z. P. Pra. Marathi School Kharoshi (West Side Room ),191
6 - Jambhulwadi (mohili inam),Ra. Z. P. Pra. Marathi School Jambhulavadi (mohili Inam ),191
7 - Ghote,Ra. Z. P. Pra. Marathi School Ghote,191
8 - Javli,Ra. Z. P. Pra. Marathi School Javali,191
9 - Nifad,Ra. Z. P. Pra. Marathi School Nifad,191
10 - Karodi,Ra. Z. P. Pra. Marathi School Karodi,191
11 - Jite1,Ra. Z. P. Pra. Marathi School Jite (East Side First Room ),191
12 - Jite2,Ra. Z. P. Pra. Marathi School Jite (East Side Second Room ),191
13 - Jite3,Ra. Z. P. Pra. Marathi School Jite (South Side Room ),191
14 - Jite4,Ra. Z. P. Pra. Marathi School Jite (North Side Room ),191
15 - Rave 1,SU A SO. Paliche Sarwajanik Mad. Vidya Mandir Rave Pashimekadil Dusari Kholi,191
16 - Rave 2,SU A SO. Paliche Sarwajanik Mad. Vidya Mandir Rave South Side 1,191
17 - Rave 3,SU A SO. Paliche Sarwajanik Mad. Vidya Mandir Rave South Side 2,191
18 - Rave 4,SU A SO. Paliche Sarwajanik Mad. Vidya Mandir Rave South Side 3,191
19 - Rave 5,SU A SO. Paliche Sarwajanik Mad. Vidya Mandir Rave South Side 4,191
20 - Rave 6,SU A SO. Paliche Sarwajanik Mad. Vidya Mandir Rave (uttarekadil Dusari Kholi ),191
21 - Dadar 1,Ra. Z. P. Pra. Marathi School Dadar (North Side First Room ),191
22 - Dadar 2,Ra. Z. P. Pra. Marathi School Dadar (South Side First Room ),191
23 - Dadar 3,Ra. Z. P. Pra. Marathi School Dadar (South Side Second Room ),191
24 - Dadar 4,Sudhagad Education Society Vidyamandir Dadar (East Side Room),191
25 - Dadar 5,Sudhagad Education Society Vidyamandir Dadar (West Side Room ),191
26 - Dadar 6,Ra. Z. P. Pra. Marathi School Dadar (North Side Second Room ),191
27 - Dadar 7,Ra. Z. P. Pra. Marathi School Dadar (South Side Second Room ),191
28 - Hanuman pada,Ra. Z. P. Pra. Marathi School Hanumanapada,191
29 - Davre,Ra. Z. P. Pra. Marathi School Davre,191
30 - Kopar,Ra. Z. P. Pra. Marathi School Kopar Room No.1,191
