PS No & Name,Address,Constituency Number
1 - Ranjankhar Davali-1,Ra. G. P. Pra. M. Shala Navakhar Revas Ru. No. 1,192
2 - Ranjankhar Davali-2,Ra. G. P. Pra. M. Shala Navakhar Revas Ru. No. 2,192
3 - Milkatkhar-1,Ra. G. P. Pra. M. Shala Milakatakhar Ru. No. 1,192
4 - Yelavane,Ra. G. P. Pra. M. Shala Milakatakhar Ru. No. 2,192
5 - Mandva-1,Ra. G. P. Pra. M. Shala Mandava Uttarekadil Ru. No. 1,192
6 - Mandva-2,Ra. G. P. Pra. M. Shala Mandava Uttarekadil Ru. No. 2,192
7 - Revas,Ra. G. P. Pra. M. Shala Revas,192
8 - Saral-1,Ra. G. P. Pra. M. Shala Saral D. Baju,192
9 - Saral-2,Ra. G. P. Pra. M. Shala Saral Uttar Baju,192
10 - Kolgaon,Ra. G. P. Pra. M. Shala Kolaganv P. Baju Ru. No. 1,192
11 - Koproli-1,Ra. G. P. Pra. M. Shala Koproli Ru. No. 1,192
12 - Bodani-1,Ra. G. P. Pra. M. Shala Koproli Ru. No. 2,192
13 - Bodani-2,Ra. G. P. Pra. M. Shala Koproli Ru. No. 2,192
14 - Saral-3,Ra. G. P. Pra. M. Shala Saral Uttar Baju,192
15 - Saral-4,Ra. G. P. Pra. M. Shala Saral Dakshin Baju,192
16 - Kawade-1,Ra. G. P. Pra. M. Shala Kavade Ru. No. 2,192
17 - Belpada,Ra. G. P. Pra. M. Shala Kavade Ru. No. 3,192
18 - Dhokawade-1,Ra. G. P. Pra. M. Shala Dhokavade Ru. No. 1 Pu. P. Imarat,192
19 - Dhokawade-2,Ra. G. P. Pra. M. Shala Dhokavade Ru. No. 2 Pu. P. Imarat,192
20 - Vaijali-1,Ra. G. P. Pra. M. Shala Vaijali East West Imarat Ru. No. 2,192
21 - Vaijali-2,Ra. G. P. Pra. M. Shala Vaijali East West Imarat Ru. No. 3,192
22 - Vaijali-3,Ra. G. P. Pra. M. Shala Vaijali Dakshin Baju Imarat Rumanan. 2,192
23 - Vaijali-4,Ra. G. P. Pra. M. Shala Vaijali Dakshin Baju Imarat Ru. No. 3,192
24 - Sasavne-1,Ra. G. P. Pra. M. Shala Sasavane East West Imarat Madhil Ru. No. 1,192
25 - Sasavne-2,Ra. G. P. Pra. M. Shala Sasavane East West Imarat Madhil Ru. No. 2,192
26 - Sasvane-3,Ra. G. P. Pra. M. Shala Sasavane Uttar Dakshin Imarat Madhil Ru. No. 4,192
27 - Hashivare,Ra. G. P. Pra. M. Shala Shiravali East West Ru No. 2,192
28 - Mankule-1,Ra. G. P. Pra. M. Shala Manakule East West Ru. No. 1,192
29 - Mankule-2,Ra. G. P. Pra. M. Shala Manakule East West Ru. No. 2,192
30 - Bahiricha Pada-1,Ra. G. P. Pra. M. Shala Manakule East West Ru. No. 3,192
31 - Bahiricha Pada-2,Ra. G. P. Pra. M. Shala Bahiricha Pada Room No.2,192
32 - Awas-1,Ra. G. P. Pra. M. Shala AvasEast WestImaratRu. No. 1,192
33 - Awas-2,Ra. G. P. Pra. M. Shala AvasEast WestImaratRu. No.?,192
34 - Awas-3,Ra. G. P. Pra. M. Shala Avas South North Imarat Ru. No.3,192
35 - Zirad-1,Ra. G. P. Pra. M. Shala Jhirad Dakshin Imarat Ru. No. 1,192
36 - Zirad-2,Ra. G. P. Pra. M. Shala Uttarakedil Imarat Ru. No. 2,192
37 - Zirad-3,Ra. G. P. Pra. M. Shala Uttarakedil Imarat Ru. No. 3,192
38 - Mandavkhar-1,Ra. G. P. Pra. M. Shala Mandavakhar Dakshin Uttar Imarat Ru. No. 1,192
39 - Mandavkhar-2,Ra. G. P. Pra. M. Shala Mandavakhar Dakshin Uttar Imarat Ru. No. 2,192
40 - Foferi-1,Madhyamik Shala Foferi Purvekadil Khali No. 1,192
41 - Foferi-2,Madhyamik Shala Foferi Purvekadil Khali No. 4,192
42 - Narangi,Ra. G. P. Pra. M. Shala Narangi,192
43 - Dherend,Ra. G. P. Pra. M. Shala Dherand Dakshinekadil Baju Ru. No. 1,192
44 - Pedhambe-1,Ra. Z. P. Pra. M. School Pedhambe East West Room No. 1,192
45 - Pedhambe-2,Ra. G. P. Pra. M. Shala Pedhambe D. U. Imarat Pendhabe Ru. No. 2,192
46 - Satghar,Ra. G. P. Pra. M. Shala Satghar,192
47 - Narangi-1,Ra. G. P. Pra. M. Shala Narangi Dakshin Uttar Imarat Madhali Rum,192
48 - Narangi-2,Ra. G. P. Pra. M. Shala Narangi,192
49 - Agarsure-1,Ra. G. P. Pra. M. Shala Agarasure Juni Imarat,192
50 - Agarsure-2,Ra. G. P. Pra. M. Shala Agarasure Ru. No.2,192
51 - Agarsure-3,Ra. G. P. Pra. M. Shala Agarasure Room No.3,192
52 - Satirje-1,Ra. G. P. Pra. M. Shala Sattirje Ru. No. 1,192
53 - Satirje-2,Ra. G. P. Pra. M. Shala Sattirje Ru. No. 2,192
54 - Waghran,Ra. G. P. Pra. M. Shala Vaghran East West Ru. No. 1,192
55 - Shahapur-1,Ra. G. P. Pra. M. Shala Shahpur (pashchim Imarat ) Dakshinekadil Baju Ru. No. 1,192
56 - Shahapur-2,Ra. G. P. Pra. M. Shala Shahpur (pashchim Imarat ) Dakshinekadil Baju Ru. No. 2,192
57 - Shahapur-3,Ko. A. So. Adarsh Vidyamandir Shahpur Utarekadil Madhali Room No. 2,192
58 - Bahirole,Ra. G. P. Pra. M. Shala Bahirole Ru. No. 1,192
59 - Bahirole,Ra. G. P. Pra. M. Shala Bahirole Ru. No. 2,192
60 - Bamansure-1,Ra. G. P. Pra. M. Shala Bamanasure Dakshinekedil Ru. No. 1,192
61 - Bamansure-2,Ra. G. P. Pra. M. Shala Bamanasure Ru. No. 2 Dakshinekadil,192
62 - Kihim-1,Lokamany Shikshan Prasarak Mandalachi Shishu Mandir School Room No 1,192
63 - Kihim-2,Lokamany Shikshan Prasarak Mandalachi Shishu Mandir School Room No 2,192
64 - Kihim-3,Ra. G. P. Pra. M. Shala Kihim Ru. No. 3 Dakshinekadil,192
65 - Mapgaon-1,Ra. G. P. Pra. M. Shala Mapagav Ru. No. 1,192
66 - Mapgaon-2,Ra. G. P. Pra. Marathi Shala Mapagav Ru. No. 2,192
67 - Kamarle-1,Ra. G. P. Pra. M. Shala Kamarle Dakshin Uttar Juni Imarat Ru. No. 1,192
68 - Kamarle-2,Ra. G. P. Pra. M. Shala Lonaghar D. U. Juni Imarat Ru. No. 1,192
69 - Kamarle-3,Anganwadi Sutarpada Room No.2,192
70 - Kamarle-4,R.Z.P. Primary Marathi School Sutarpada New Building Roon No.1,192
71 - Kamarle-5,R.Z.P. Primary Marathi School Sutarpada New Building Roon No.2,192
72 - Kopar-1,Ra. G. P. Pra. M. Shala Kopar East West Ru. No. 2,192
73 - Kopar-2,Ra. G. P. Pra. M. Shala Kopar East West Ru. No. 3,192
74 - Sogaon-1,Ra. G. P. Pra. M. Shala Sogav Ru. No. 1,192
75 - Sogaon-2,Ra. G. P. Pra. M. Shala Sogav Ru. No. 2,192
76 - Shahabaj-1,Ra. G. P. Pra. M. Shala Shahbaz Navin Imarat Uttarekadil Imarat Pashchimekadil Ru. No. 1,192
77 - Shahabaj-2,Ra. G. P. Pra. M. Shala Shahbaz Navin Imarat Uttarekadil Imarat Pashchimekadil Ru. No. 2,192
78 - Shahabaj-3,Ra. G. P. Pra. M. Shala Shahbaz Navin Imarat Uttarekadil Imarat Pashchimekadil Ru. No. 3,192
79 - Shahabaj-4,Ra. G. P. Pra. M. Shala Shahbaz Navin Imarat Uttarekadil Imarat Pashchimekadil Ru. No. 4,192
80 - Talavde-1,Ra. G. P. Pra. M. Shala Talavade East West Ru. No. 1,192
81 - Talavde-2,Ra. G. P. Pra. M. Shala Talavade East West Ru. No. 2,192
82 - Navedar Navgaon -1,Ra. G. P. Pra. M. Shala Navedar Navagav Navin Imarat Dakshinekadil Ru. No. 1,192
83 - Navedar Navgaon -2,Ra. G. P. Pra. M. Shala Navedar Navagav Navin Imarat Dakshinekadil Ru. No. 2,192
84 - Navedar Navgaon - 3,Ra. G. P. Pra. M. Shala Navedar Navagav Navin Imarat Dakshinekadil Ru. No. 3,192
85 - Gunjis Boris,Ra. G. P. Pra. M. Shala Gunjis Navin Imarat,192
86 - Vaishet-1,Ra. G. P. Pra. M. Shala Vayashet Purvekadil Ru. No. 1,192
87 - Vaishet- 2,Ra. G. P. Pra. M. Shala Vayashet Purvekadil Ru. No. 3,192
88 - Vaishet- 3,Ra. G. P. Pra. M. Shala Vayashet Purvekadil Ru. No. 2,192
89 - Parhur-1,Ra. G. P. Pra. M. Shala Parahur Navi Imarat,192
90 - Parhur-2,Raigad Jilha Parishad Prathamik Marathi Shala Parahur Pada Navin Imarat,192
91 - Chari-1,Ra. G. P. Pra. M. Shala Chari East West Ru. No. 1,192
92 - Chari-2,Ra. G. P. Pra. M. Shala Chari East West Ru. No. 2,192
93 - Pezari-1,Ra. G. P. Pra. M. Shalapezari Dakshinekadil Juni Imarat Ru. No. 1,192
94 - Pezari-2,Ra. G. P. Pra. M. Shalapezari Dakshinekadil Juni Imarat Ru. No. 2,192
95 - Pezari-3,Ra. G. P. Pra. M. Shalapezari Dakshinekadil Juni Imarat Ru. No. 3,192
96 - Walavade 1,Ra. G. P. Pra. M. Shala Valavade Chaukicha Pada Dakshinekadil Imarat Madhali Rum No. 2,192
97 - Ambepur-1,Ra. G. P. Pra. M. Shala Bandhan Pashchimekadil Imarat Uttarekadil Ru. No. 1,192
98 - Ambepur-2,Ra. G. P. Pra. M. Shala Bandhan Pashchimekadil Imarat Uttarekadil Ru. No. 2,192
99 - Ambepur-3,Nana Patil High School Poyanad Madhali Ru. No. 1,192
100 - Ambepur-4,Nana Patil High School Poyanad Madhali Ru. No. 2,192
101 - Bhal,Alibag Taluka Shikshan Prasarak Mandal Marathi Shala Bhal Ru. No. 1,192
102 - Thal Agar-1,Ra. G. P. Pra. M. Shala Chalamala Ru. No. 1,192
103 - Thal Agar-2,Ra. G. P. Pra. M. Shala Chalamala Ru. No. 2,192
104 - Thal Bajar-1,Ra. G. P. Pra. M. Shala Thal Bazaar Pashchimekadun Room No.2,192
105 - Thal Bajar-2,Ra. G. P. Pra. M. Shala Thal Bazaar Pashchimekadun Room No.3,192
106 - Thal Bajar 3,Ra. G. P. Pra. M. Shala Thal Bazaar Pashchimekadun Room No.4,192
107 - Thal Bajar 4,Ra. G. P. Pra. M. Shala Thal Bazaar Dakshinekadil Ru. No.7,192
108 - Poynad-1,Ra. G. P. Pra. M. Shala Poyanad Dakshinekadil Ru. No. 1,192
109 - Poynad-2,Ra. G. P. Pra. M. Shala Poyanad Dakshinekadil Ru. No. 2,192
110 - Poynad-3,Ra. G. P. Pra. M. Shala Poyanad Pashchimekadil Imarat Ru. No. 2,192
111 - Poynad-4,Ra. G. P. Pra. M. Shala Poyanad Pashchimekadil Imarat Ru. No. 3,192
112 - Bhakarvad,Ra. G. P. Pra. M. Shala Bhakaravad Juni Imarat Ru. No. 2,192
113 - Waghode-1,Ra. G. P. Pra. M. Shala Vaghode Purvapashchim Imarat Ru. No. 2,192
114 - Waghode-2,Ra. G. P. Pra. M. Shala Nagazari East West Imarat Ru. No. 1,192
115 - Talvali Tarfe Khandale-1,Ra. G. P. Pra. M. Shala Talavali T. Khandale East West Imarat Ru. No. 1,192
116 - Talvali Tarfe Khandale-2,Ra. G. P. Pra. M. Shala Talavali T. Khandale Madhali Imarat Ru. No. 2,192
117 - Karle,Ra. G. P. Pra. M. Shala Shala Talavali T. Khandale D. U. Imarat Ru. No. 3,192
118 - Lonare,Ra. G. P. Pra. M. Shala Lonare D. U. Imarat Ru. No. 1,192
119 - Bamnoli-1,Ra. Z. P. Pra. M. School Bamanoli Old Building South North Room No. 1,192
120 - Bamnoli-2,Ra. G. P. Pra. M. Shala Bamanoli Juni Imarat Dakshin Uttar Ru. No. 3,192
121 - Bamnoli-3,Ra. G. P. Pra. M. Shala Bamanoli Navin Imarat Dakshin Uttar Uttarekadil Ru. No. 1,192
122 - Bamnoli-4,Ra. G. P. Pra. M. Shala Bamanoli Navin Imarat Dakshin Uttar Uttarekadil Ru. No. 2,192
123 - Khandale-1,Ra. G. P. Pra. M. Shala Khandale Dakshin Uttar Imarat Ru. No. 1,192
124 - Khandale-2,Ra. G. P. Pra. M. Shala Khandale Dakshin Uttar Imarat Ru. No. 2,192
125 - Nehuli,R. Z. P. Pri. M. School Nehuli R.No.1,192
126 - Sagar machi,Ra. G. P. Pra. M. Shala Sagaragad,192
127 - Medhekhar-1,Ra. G. P. Pra. M. Shala Mendhekhar Purvekadil Ru. No. 1,192
128 - Medhekhar-2,Ra. G. P. Pra. M. Shala Shreeegaon Purvekadil Ru. No. 4,192
129 - Kachali,Ra. G. P. Pra. M. Shala Kachali Ru. No. 1,192
130 - Varsoli-1,Ra. G. P. Pra. M. Shala Varasoli Navin Imarat Purvekadil Ru. No. 1,192
131 - Varsoli -2,Ra. Z. P. Pra. M. School Varasoli East Side New Building Room No. 2,192
132 - Varsoli- 3,Ra. Z. P. Pra. M. School Varasoli East Side New Building Room No. 3,192
133 - Varsoli- 4,Ra. Z. P. Pra. M. School Varasoli West Side New Building Room No. 3,192
134 - Varsoli- 5,Ra. Z. P. Pra. M. School Varasoli Old Building Room No. 2,192
135 - Varsoli- 6,Ra. Z. P. Pra. M. School Varasoli Old Building Room No. 4,192
136 - Wadgaon-1,Ra. G. P. Pra. M. Shala Vadagav East West Imarat Ru. No. 2,192
137 - Wadgaon-2,Ra. G. P. Pra. M. Shala Vadagav East West Imarat Ru. No. 3,192
138 - Kusumble-1,Ra. G. P. Pra. M. Shala Kusumbale Ru. No. 1,192
139 - Kusumble-2,Ra. G. P. Pra. Shala Hemnagar Kholi Kramank 1,192
140 - Waghvira,Ra. G. P. Pra. Shala Hemnagar Kholi Kramank 3,192
141 - Shrigaon-1,Ra. G. P. Pra. M. Shala Shrigav Purvekadil Ru. No. 1,192
142 - Shrigaon-2,Ra. G. P. Pra. M. Shala Medhekhar Purvekadil Ru. No.2,192
143 - Shrigaon-3,Ra. G. P. Pra. M. Shala Shrigav Purvekadil Ru. No. 2,192
144 - Tadvagale-1,Ra. G. P. Pra. M. Shala Tadavagale Dakshinekadil Ru. No. 1,192
145 - Tadvagle-2,Ra. G. P. Pra. M. Shala Tadavagale Dakshinekadil Ru. No. 2,192
146 - Veshvi-1,Ra. Z. P. Pra. M. School Veshvi South North Building Room No. 2,192
147 - Veshvi-2,Ra. Z. P. Pra. M. School Veshvi south North Building Room No. 1,192
148 - Veshvi-3,Ra. G. P. Pra. M. Shala Veshvi East West Imarat Ru. No. 2,192
149 - Veshvi-4,Ra. Z. P. Pra. M. School Veshvi East West No. 3,192
150 - Sarkhel Kanoji Angre Nagar -1,Rashtriy Chemicals And Farti. Kholi Kra. 1,192
151 - Chendhare-1,Alibag Nagarapalika Pra. Marathi Shala No. 5 Chendhare South North Building Room No. 1,192
152 - Chendhare- 2,Alibag Nagarpalika Paryatan Mahiti Kendra Tal Majala Hall Alibag,192
153 - Chendhare- 3,Alibag Nagarapalika Pra. Marathi Shala No. 5 Chendhare Dakshin Uttar Imarat Ru. No. 2,192
154 - Chendhare- 4,Alibag Nagarapalika Pra. Marathi Shala No. 5 Chendhare Dakshin Uttar Imarat Ru. No.5,192
155 - Chendhare- 5,Alibag Nagarapalika Pri. Marathi School no. 5 Chendhare South North Building Room No. 3,192
156 - Chendhare- 6,Alibag Nagarapalika Pri. Marathi School no. 5 Chendhare South North Building Room No. 4,192
157 - Chendhare - 7,Sent Meary Convent School Chendhare Alibag Room No. 1,192
158 - Chendhare - 8,Sent Meary Convent School Chendhare Alibag Uttarekadil Hall,192
159 - Chendhare - 9,Sent Meary Convent School Room No. 2,192
160 - Chendhare-10,Sent Meary Convent School Room No. 3,192
161 - Kolaghar 1,Navin Ekatmik Adiwasi Vikas Prakalp Pen Dist Raigad Shasakiy Madhyamik Ashram Shala Kolghar South Side Room No 1,192
162 - Kolaghar 2,Navin Ekatmik Adiwasi Vikas Prakalp Pen Dist Raigad Shasakiy Madhyamik Ashram Shala Kolghar South Side Room No 2,192
163 - Ravet,Ra. Z. P. Pra. M. School Ravet Room. No. 1,192
164 - Belkade,Ra. Z. P. Pra. M. School Belkade North Side Middle Room,192
165 - Kurul-1,Ra. G. P. Pra. M. Shala Kurul Ru. No. 1,192
166 - Kurul-2,Ra. Z. P. Pra. M. School Kurul Room No. 1,192
167 - Kurul-2,Ra. G. P. Pra. M. Shala Kurul From East Side Room No.1 Computer Room,192
168 - Alibag-1,Alibag Nagarapalika Prath. Marathi Shala No. 4 Ramnath Purvekadil Rum No. 1,192
169 - Alibag -2,Alibag Nagarapalika Prath. Marathi Shala No. 4 Ramnath Pashchimekadil Madhali Room No 3,192
170 - Alibag - 3,Alibag Nagarapalika Prath. Marathi Shala No. 4 New Building,192
171 - Alibag - 4,K. I. S. J. R. H. Kanyashala Alibag Pu. P. E Room No. 7,192
172 - Alibag - 5,K. I. S. J. R. H. Kanyashala Alibag Pu. P. E Room No. 6,192
173 - Alibag - 6,Alibag Nagarapalika Prathamik Mulanchi Marathi Shala Room No. 1,192
174 - Alibag - 7,Alibag Nagarapalika Prathamik Marathi Mulanchi Shala Room No. 2,192
175 - Alibag - 8,Alibag Nagarapalika Prathamik Marathi Mulanchi Shala Room No. 3,192
176 - Alibag - 9,K. E S. J. R. H. Kanyashala Alibag D. U. K. . E Room No. 2,192
177 - Alibag - 10,Alibag Nagarapalika Prathamik Urdu Shala No. 6 Ru. No. 1,192
178 - Alibag - 11,Alibag Nagarapalika Prathamik Urdu Shala No. 6 Ru. No. 2,192
