PS No & Name,Address,Constituency Number
1 - Tareghar,R.Z.P. Primary Marathi School Tareghar,193
2 - Khari,R.Z.P Primary Marathi School Khari East Side Room No.. 2,193
3 - Roha N. Pa. 1,Roha Nagar Parishad Primary Marathi School Ashtami ( Pandurang Shastri Aathawale School ) South Side Room No.. 2,193
4 - Roha N. Pa. 2,Roha Nagar Parishad Primary Marathi School Ashtami (pandurang Shastri Aathawale School ) North Side Room No. 3,193
5 - Roha N. Pa. 3,Roha Nagar Parishad Primary Urdu School No. 5 Ashtami Room No. 2,193
6 - Roha N. Pa. 4,Roha Nagar Parishad Primary Marathi School Nehru Nagar School No.8 New building,193
7 - Roha N. Pa. 5,Roha Nagar Parishad Primary Marathi School Gorobanagar Room No.. 1,193
8 - Roha N. Pa. 6,Roha Nagar Parishad Primary Marathi School Gorobanagar Room No..2,193
9 - Roha N. Pa. 7,Roha Nagar Parishad Primary Marathi School Nehru Nagar School No.. 8 West Side,193
10 - Roha N. Pa. 8,Roha Nagar Parishad Primary Marathi School Nehru Nagar School No.. 8 South Side,193
11 - Roha N. Pa. 9,Roha Nagar Parishad Dagadi Building Room No.. 2,193
12 - Roha N. Pa. 10,Roha Nagar Parishad Dagadi Building,193
13 - Roha N. Pa. 11,Roha Nagar Parishad Mangalavadi Primarry Marathi School No.. 10 Room No.. 1,193
14 - Roha N. Pa. 12,Roha Nagar Parishad Mangalavadi Primarry Marathi School No.. 10 Room No. 3,193
15 - Roha N. Pa. 13,Roha Nagar Parishad Mangalavadi Primarry Marathi School No.. 10 Room No.2,193
16 - Roha N. Pa. 14,Roha Nagar Parishad C. D. Deshmukh Mulichi School Room No.. 1,193
17 - Roha N. Pa. 15,Roha Nagar Parishad Primary Urdu School Room No.. 1,193
18 - Roha N. Pa. 16,Roha Nagar Parishad Primary Urdu School Room No.. 2,193
19 - Roha N. Pa. 17,Roha Nagar Parishad Primary Urdu School Room No.. 3,193
20 - Killa 1,R.Z.P Primary Marathi School Killa Room No.3,193
21 - Killa 2,R.Z.P Priamary Marathi School Killa West side Roomno.2,193
22 - Dhatav 1,R.Z.P Priamary Marathi School Dhatav Old Building East side Room no.4,193
23 - Dhatav 2,R.Z.P Primary Marathi School Dhatav Old Building East side Room no.5,193
24 - Dhatav 3,R.Z.P Priamary Marathi School Dhatav New Building North side Room no.2,193
25 - Dhatav 4,R.Z.P Primary Marathi School Dhatav New Building North side Room no.3,193
26 - Nivi,R.Z.P Priamary Marathi School Nivi,193
27 - Nivi,R.Z.P Primary Marathi School Nivi Thakurwadi,193
28 - Bhuvaneshvar 1,R.Z.P Primary Marathi School Bhuvaneshvar ( Near Niralon Colony ) Room No.1,193
29 - Bhuvaneshvar 2,R.Z.PPrimary Marathi School Bhuvaneshwar (Near Niralon Colony ) Room No.2,193
30 - Bhuvaneshvar 3,Government Food Godawn Bhuvaneshvar North side Shed (West),193
31 - Bhuvaneshvar 4,Government Food Godawn Bhuvaneshvar North side Shed (East),193
32 - Bhuvaneshvar 5,R.Z.P Primary Marathi Boys School Varase North side Room No.1,193
33 - Bhuvaneshvar 6,R.Z.P Primary Marathi Boys School Varase North side Room No.2,193
34 - Varase 1,R.Z.P Primary Marathi Boys School Varase South side Room No.3,193
35 - Varase 2,R.Z.P Priamary Marathi Boys School Varase South Side Room No. 4,193
36 - Varathi,R.Z.P Primary Marathi School Varathi,193
37 - Tambadi Bu,R.Z.P Primary Marathi School Tambadi Bu,193
38 - Talaghar,R.Z.P Primary Marathi School Talaghar,193
39 - Borghar,R.Z.P Primary Marathi School Borghar,193
40 - Vashi,R.Z.P Primary Marathi School Vashi,193
41 - Karivane,R.Z.P Primary Marathi School Karivane,193
42 - Landhar,R.Z.P Primary Marathi School Landhar,193
43 - Tamhanashet Khurd,Anganwadi Tamhanshet Khurd,193
44 - Tamhanashet Aa. Wadi,R.Z.P Primary Marathi School Tamhanashet Aa. Wadi,193
45 - Tambadi Khu,R.Z.P Primary Marathi School Tambadi Kh.,193
46 - Ghosale 1,R.Z.P Primary Marathi School Ghosale Room No.2,193
