PS No & Name,Address,Constituency Number
1 - Khireshvar,Zilha Parishad Primary School Khireshvar,195
2 - Kolhevadi,Zilha Parishad Primary School Kolhevadi (2),195
3 - Kopre,Zilha Parishad Primary School Kopre (3),195
4 - Jambhulashi,Zilha Parishad Primary School Jambhulashi (4),195
5 - Mandave,Zilha Parishad Primary School Mandave (gavathan ) (5),195
6 - Muthalane,Zilha Parishad Primary School Muthalane (6),195
7 - Chilhevadi,Zilha Parishad Primary School Chilhevadi (7),195
8 - Pachagharavadi,Zilha Parishad Primary School Pachagharavadi (8),195
9 - Ambegavhan,Zilha Parishad Primary School Ambegavhan (9),195
10 - Alu,Zilha Parishad Primary School Alu (10),195
11 - Bhoiravadi,Zilha Parishad Primary School Bhoiravadi (11),195
12 - Pimpalagavajoga,Zilha Parishad Primary School East Side Room No. 1(12),195
13 - Pimpalagavajoga,Zilha Parishad Primary School North Side Room No. (13),195
14 - Sanganore,Zilha Parishad Primary School Sanganore (14),195
15 - Gavaravadi,Zilha Parishad Primary School Gavaravadi (15),195
16 - Khubi,Zilha Parishad Primary School Khubi (16),195
17 - Karanjale,Zilha Parishad Primary School Karanjale (17),195
18 - Bagadavadi,Zilha Parishad Primary School Bagadavadi (18),195
19 - Taleran,Zilha Parishad Primary School North Side Room No. (19),195
20 - Taleran,Zilha Parishad Primary School Room No. 2 (20),195
21 - Talamachivadi,Zilha Parishad Primary School Talamachivadi (21),195
22 - Nimagiri,Zilha Parishad Primary School Nimagiri (22),195
23 - Paragav T Madh,Zilha Parishad Primary School Paragav T Madh (23),195
24 - Sitevadi,Zilha Parishad Primary School Sitevadi (24),195
25 - Vatakhale,Zilha Parishad Primary School Vatakhale (25),195
26 - Madh,Zilha Parishad Primary School North Side Room No. (26),195
27 - Madh,Z. P. Pra. School Room No. 4 Madh (27),195
28 - Pangari T. Madh,Zilha Parishad Primary School Pangari T. Madh (28),195
29 - Kolavadi,Zilha Parishad Primary School Kolavadi (29),195
30 - Mandarane,Zilha Parishad Primary School Mandarane (30),195
31 - Ahinavevadi,Zilha Parishad Primary School New Building East Si(31),195
32 - Rohakadi,Zilha Parishad Primary School Rohakadi (32),195
33 - Mengalavadi (eotur,Zilha Parishad Primary School Mengalavadi (eotur )(33),195
34 - Fapaleshivar (otur ),Zilha Parishad Primary School Fapaleshivar (otur )(34),195
35 - Fapaleshivar (otur ),Zilha Parishad Primary School (anganavadi Building(35),195
36 - Kolamala (otur ),Zilha Parishad Primary School Room No. 1 Kolamala (36),195
37 - Kolamala (otur ),Zilha Parishad Primary School Room No. 2 Kolamala (37),195
38 - Otur,Zilha Parishad Primary School Girls New Building W(38),195
39 - Otur,Z.P. School Mulanchi East Side Room No.6 OTUR(39),195
40 - Otur,Z.P. School Mulanchi East Side Room No.8 OTUR(40),195
41 - Otur,Zilha Parishad Primary School Boys East Side Room (41),195
42 - Otur,Zilha Parishad Primary School Boys West Side Room (42),195
43 - Otur,"Chaitany School West Side Room No. 2, Otur (43)",195
44 - Otur,Zilha Parishad Primary School Girls Old Building W(44),195
45 - Otur,Chaitany School East Side Room No. 2 Otur (45),195
46 - Dubanravadi (otur ),Zilha Parishad Primary School Dubanravadi (otur ) (46),195
47 - Domevadi (otur ),Zilha Parishad Primary School Domevadi (otur ) Roo(47),195
48 - Thikekaravadi (otur ),Zilha Parishad Primary School Thikekaravadi (otur (48),195
49 - Panasarevadi,Zilha Parishad Primary School Panasarevadi (otur )(49),195
50 - Shetevadi (otur ),Zilha Parishad Primary School Shetevadi (otur ) Ro(50),195
51 - Udapur,Zilha Parishad Primary School New Building East Si(51),195
52 - Udapur,Zilha Parishad Primary School New Building East Si(52),195
53 - Udapur,Zilha Parishad Primary School New Building East Si(53),195
54 - Dingore,Z.P. Primary School New Building South Side Room (54),195
55 - Dingore,Z.P. Primary School New Building South Side Room (55),195
56 - Dingore,"Pushpavati Vidyalaya, North facing Room no 3 from East, Dingore(56)",195
57 - Dingore,"Pushpavati Vidyalaya, North facing Room no 5 from East, Dingore(57)",195
58 - Dingore,"Pushpavati Vidyalaya, North facing Room no 2 from East, Dingore(58)",195
59 - Alame,Zilha Parishad Primary School Room No. 1 Alame (59),195
60 - Alame,Zilha Parishad Primary School Room No. 2 Alame (60),195
61 - Godre,Z.P. School West Side Room No. 2 GODRE(61),195
62 - Godre,Z.P. School West Side Room No. 3 GODRE(62),195
63 - Hadasar,Zilha Parishad Primary School Hadasar (63),195
64 - Kodamavadi,Zilha Parishad Primary School Kodamavadi (hadasar (64),195
65 - Khatakale,Zilha Parishad Primary School Khatakale (65),195
66 - Devale,Zilha Parishad Primary School Devale (66),195
67 - Chinchechivadi,Zilha Parishad Primary School Chinchechivadi (67),195
68 - Anjanavale,Zilha Parishad Primary School Anjanavale (68),195
69 - Ghataghar,Zilha Parishad Primary School Ghataghar (69),195
70 - Khadakambhe,Zilha Parishad Primary School Khadakambhe (70),195
71 - Jalavaedi,Zilha Parishad Primary School Jalavaedi (71),195
72 - Usaran,Zilha Parishad Primary School Usaran (72),195
73 - Kevadi,Zilha Parishad Primary School Kevadi (73),195
74 - Undekhadak,Zilha Parishad Primary School Undekhadak (74),195
75 - RAJUR NO -1,ZILHA PARISHAD PRIMARIY SCHOOL RAJUR NO -1 ROOM NO 1,195
76 - RAJUR NO - 2,ZILHA PARISHAD PRIMARIY SCHOOL RAJUR NO - 2 ROOM NO 1,195
77 - Khamgaon,ZILHA PARISHAD PRIMARIY SCHOOL KHAMGAON ROOM NO 2,195
