PS No & Name,Address,Constituency Number
1 - Karmad,Z.P.Primary School West Side North South Building North side Room No.1,19
2 - Gadegaon Pr.N.,Z.P.Primary Marathi Boys School Old Building North side Room No.2,19
3 - Hingane Bk,Z.P.Primary School North South Building North Side Room 1,19
4 - Hingane Bk,Z.P.Primary School East West Sepreat Building East Side Room 1,19
5 - Khadgaon,Z.P Marathi Boys Girls School East West Building East Side Room No.1,19
6 - Khadgaon,Z.P Marathi Boys Girls School East West Building East Side Room No.5,19
7 - Shingait,Z.P.Primary School Central Room,19
8 - Dohari,Z.P.Primary School East Side Room No.1,19
9 - Dohari Tanda,Z.P.Primary School East Side Room No.1,19
10 - Garkheda Bk,Z.P.Primary School East Side Room No.1,19
11 - Garkheda Bk,Z.P.Primary School East Side Room No.3,19
12 - Garkheda Kh.,Z.P.Primary School West Side Room No.3,19
13 - Gangapuri,Balwadi Single new Room Building,19
14 - Mahukheda,Z.P.Primary School East West Building East Side Room No. 1,19
15 - Holhaveli,Z.P.Primary School North South Building North Side Room No. 1,19
16 - Mundkhede,Z.P.Primary School East Side Balwadi Side Room No.2,19
17 - Khadki,Z.P.Primary School Old Building East Side Room No.1,19
18 - Khadki,Z.P.Primary Marathi School South Side one Room New Building,19
19 - Borgaon,Z.P.Primary School one Room Building,19
20 - Navi Dabhadi,Z.P.Primary School West Side Room No.1,19
21 - Wadi,Z.P.Primary School New Room Building,19
22 - Maldabhadi,Z.P.Primary School East Side Room No.2,19
23 - Sonari,Z.P.Primary School West Side Room No.1,19
24 - Sonari,Z.P.Primary School Southside Building West Side Room No.2,19
25 - Ambilhol Deviche,Z.P.Primary School East West Building East Side Room No.2,19
26 - Ambilhol,Z.P.Primary School North South Building North Side Room No. 1,19
27 - Chinchkheda Bk.,New Resetalment Gavthan No.1 Z.P.Primary school East West Building East Side Room No.1,19
28 - Chinchkheda Bk.,New Resetalment Gavthan No.1 Z.P.Primary school North South Building South Side Room No.1,19
29 - Chinchkheda Bk.,New Resetalment Gavthan No.2 Z.P. Primary school East West Building East Side Room No.1,19
30 - Neri Bk,Z.P.Primary Girls School North Side East West Building East Side Room No.2,19
31 - Neri Bk,Z.P.Primary Girls School New Building North South Building South Side Room No.1,19
32 - Neri Bk,Z.P.Primary Boys School North Side North South Building North Side Room No.1,19
33 - Neri Bk,Z.P.Primary Boys School South Side East West Building East Side Room No.2,19
34 - Neri Digar,Z.P.Primary Boys School West Side East West Building Hexagon room,19
35 - Neri Digar,Z.P.Primary Boys School South Side one Room Sepreat Building,19
36 - Neri Digar,Z.P.Primary Boys School South Side Anganwadi Room,19
37 - Neri Digar,Z.P.Primary Boys School South Side East West Building East Side Room No.2,19
38 - Palaskhede P.N,Z.P.Primary School Near Grampanchayat North Side Room No.1,19
39 - Palaskhede P.N,Z.P. New Primary School Near of Grampachayat South Side Room No.1,19
40 - Palaskhede P.N,"Z.P. New Primary School East-West Building, Separate Room No.1",19
41 - Palaskhede P.N,"ZP Primary School, New Building, North side Room No 4",19
42 - Mohadi,Z.P.Primary School New Building West Side Room No.1,19
43 - Mohadi,Z.P.Primary School New New Building West Side Room No.3,19
44 - Devpimpri,Z.P.Primary Vidya Mandir East West New Building East Side Room No.2,19
45 - Devpimpri,Z.P.Primary Vidya Mandir East West Old Building East Side Room No.2,19
46 - Kumbhari Sim,Z.P. Primary Vidya Mandir East- West Building East Side Hexagon Room No.1,19
47 - Malpimpri,Z.P.Primary Vidya Mandir North South Building North side Room No.1,19
48 - Malpimpri,Z.P.Primary Vidya Mandir East West Building West Side Room No 3,19
49 - Kekatnimbhora,Z P Primary North South Building South side Room No. 1,19
50 - Kekatnimbhora,Z P Primary East West Building East side Room No. 2,19
51 - Hiwarkheda Bk,Z.P.Primary School East West Building East Side Room No.1,19
52 - Hiwarkheda Bk,Z.P.Primary School East West Building East Side Room No.4,19
53 - Hiwarkheda Bk,Z.P.Primary School East West Building West Side Room No.1,19
54 - Palaskhede Bk.,Z.P.Primary School East West Building East Side Room No.2,19
55 - Palaskhede Bk.,Z.P.Primary School East West Building West Side Room No.2,19
56 - Jamner,New English School Main Builing East Side North South Building North side Room No 2,19
57 - Jamner,New English School Main Builing East Side North South Building North side Room No 3,19
