PS No & Name,Address,Constituency Number
1 - Manibeli,"Jivan School, South Side East-West Building , From West side Room No. 1 Manibeli",1
2 - Dhankhedi,Zilha Parishad School Singolapada (Private House of Vikas Gavaya Vasave) Dhankhedi,1
3 - Kukadipadar,"Zilha Parishad School, Kukadipadar",1
4 - Jangathi,"Zilha Parshad School, Jangathi",1
5 - Sinduri,"Zilha Parshad School, South Side Building Sinduri",1
6 - Sinduri (Sinpanpada),"Anganvadi Kendra (Sipanpada), Sinduri",1
7 - Chimalkhedi,"Zilha Parishad School, Chimalkhedi",1
8 - Gaman,"Zilha Parishad School, Gaman",1
9 - Gaman,"Zilha Parishad Anganvadi Building, Gaman",1
10 - Bamani,"Anganwadi Kendra Guradipada, Bamani",1
11 - Danel,"Zilha Parishad School, Sujavapada, Danel",1
12 - Danel,"Narmda Vikas Jivan School, Danel (Fitapada)",1
13 - Mukhadi,"Temporary Shade, Mukhadi",1
14 - Mandava,"Zilha Parishad School, Mandava (Patilpada)",1
15 - Kanjala,"Zilha Parishad School, Kanjala",1
16 - Sambar,"Zilha Parishad School Room No.1, Sambar",1
17 - Debramal,"Grampanchayat Office, Debramal (Patilpada)",1
18 - Veri,"Zilha Parishad School, Veri",1
19 - chanvai,"Zilha Parishad School, Chanvai",1
20 - Bhangrapani,"Govt. Aashram School East-West Building East side Room No.1, Bhangrapani",1
21 - Pimprapani,"Zilha Parishad School, Pimprapani",1
22 - Jamali Ka.,"Zilha Parishad School, Jamali Ka",1
23 - Jamali Ka.,"Zilha Parishad School, Jamali Ka",1
24 - Bhagadari,Govt. Aashram School South - North Bldg. North side Room. No..1 Bhagdari,1
25 - Bhagadari,Govt. Aashram School South - North Bldg. North side Room. No..2 Bhagdari,1
26 - Bhagadari,Govt. Aashram School South - North Bldg. East side Room. No..1 Bhagdari,1
27 - Bhagadari,Govt. Aashram School South - North Bldg. East side Room. No..2 Bhagdari,1
28 - Bhagadari,Govt. Aashram School South - North Bldg. East side Room. No..3 Bhagdari,1
29 - Pimpalkhunta,"Z .P .School East- West Bldg. East side Room.No..1, Pimpalkhunta",1
30 - Pimpalkhunta,"Z .P .School East- West Bldg. East side Room.No..2, Pimplakhunta",1
31 - Bardi,"Govt. Ashram School North Side Room No. 1, Bardi",1
32 - Bardi,"Govt. Ashram School North Side Room No. 2, Bardi",1
33 - Jugalkhet,"Zilha Parishad School, Jugalkhet",1
34 - Vehagi,"Zilha Parishad School, Palhapati New Building, Vehagi",1
35 - Hunakhamb,Zilha Parishad School East-West Building East side Room No. 1 Hunakhamb,1
36 - Bagada,"Zilha Parishad School, Bagada",1
37 - Mokas,"Zilha Parishad School, Mokas",1
38 - Mokas (Kelapani),Zilha Parishad School Kelpani Mokas Old Building Room No.2,1
39 - Vadfali,Zilha Parishad School Sourth-North Building North Side Room No.1 Vadfali,1
40 - Vadfali,Zilha Parishad School Sourth-North Building North SideRoom No.2 Vadfali,1
41 - Pandharamati,"Zilha Parishad School East West Building Purvekadil Room No.1, Pandharamati",1
42 - Kevadi,"Zilha Parishad School, Kevadi",1
43 - Chapadi,"Zilha Parishad School, Chapadi",1
44 - Dahel,Govt. Aashram School East-West Building West Side Room No.1 Dahel,1
45 - Dahel,Govt. Aashram School East-West Building West Side Room No.2 Dahel,1
