PS No & Name,Address,Constituency Number
1 - SAVALA,Z.P.PRIMARY SCHOOL SAVALA ROOM NO. 2,204
2 - MALEGAON BU,Z.P.PRIMARY SCHOOL MALEGAON BUDRUKH ROOM NO. 2,204
3 - KHAND,Z.P.PRIMARY SCHOOL KHAND ROOM NO. 1,204
4 - MALEGAON KHURD,Z.P.PRIMARY SCHOOL MALEGAON KHURDK ROOM NO. 1,204
5 - KUNE AUNSUTE,Z.P.PRIMARY SCHOOL KUNE ANSUTE ROOM NO. 1,204
6 - ENGLUN,Z.P.PRIMARY SCHOOL ENGLUN (PARITEWADI) ROOM NO. 1,204
7 - KIVALE,Z.P.PRIMARY SCHOOL KIVALE ROOM NO. 1,204
8 - VAHANGAON,Z.P.PRIMARY SCHOOL VAHANGAON ROOM NO. 1,204
9 - KAMBRE A.M,Z.P.PRIMARY SCHOOL KAMBRE A.M ROOM NO. 1,204
10 - DAHULI,Z.P.PRIMARY SCHOOLDAHULI ROOM NO. 1,204
11 - KUSUR,Z.P.PRIMARY SCHOOL KUSUR ROOM NO. 1,204
12 - THORAN,Z.P.PRIMARY SCHOOL THORAN ROOM NO. 1,204
13 - UKSAN,Z.P.PRIMARY SCHOOL UKSAN FROM EAST ROOM NO. 2,204
14 - SHIRDE (SOMWADI ),Z.P.PRIMARY SCHOOL SOMWADI ROOM NO. 1,204
15 - KUSAVALI,Z.P.PRIMARY SCHOOL SCHOOL KUSAVALI ROOM NO. 1,204
16 - NAGATHALI,Z.P.PRIMARY SCHOOL NAGATHALI ROOM NO. 1,204
17 - KASHAL,Z.P.PRIMARY SCHOOL KASHAL ROOM NO. 2,204
18 - KALHAT,Z.P.PRIMARY SCHOOL KALHAT ROOM NO. 1,204
19 - BHOYARE,Z.P.PRIMARY SCHOOL BHOYARE I ROOM NO. 1,204
20 - VADESHWAR,Z.P.PRIMARY SCHOOL VADESHWAR ROOM NO. 1,204
21 - VADESHWAR,Z.P.PRIMARY SCHOOL VADESHWAR ROOM NO. 2,204
22 - VADAVLI,Z.P.PRIMARY SCHOOL VALVANTI VASAHAT FROM NORTH ROOM NO. 2,204
23 - UDHEWADI,Z.P.PRIMARY SCHOOL UDHEWADI ROOM NO. 1,204
24 - KUNE N.M.,Z.P.PRIMARY SCHOOL KUNE N.M.ROOM NO. 1,204
25 - KHANDSHI,Z.P.PRIMARY SCHOOL KHANDSHI ROOM NO. 1,204
26 - NESAVE,Z.P.PRIMARY SCHOOL NESAVE ROOM NO. 2,204
27 - KARANJGAON,Z.P.PRIMARY SCHOOL KARANJGAON ROOM NO. 1,204
28 - PALE N.M,Z.P.PRIMARY SCHOOL PALE N.M.ROOM NO. 1,204
29 - MOREMAREWADI,Z.P.PRIMARY SCHOOL MOREMAREWADI ROOM NO. 1,204
30 - BRAMHANWADI (KARANJGAON),Z.P.PRIMARY SCHOOL BRAMHANWADI ROOM NO. 1,204
31 - KACHREWADI VAUND,Z.P.PRIMARY SCHOOL KACHREWADI VAUND ROOM NO. 1,204
32 - MAU,Z.P.PRIMARY SCHOOL MAU ROOM NO. 1,204
33 - KONDIVADE A.M.,Z.P.PRIMARY SCHOOL KONDIVADE A.M.ROOM NO. 1,204
34 - PAVLEWADI,Z.P.PRIMARY SCHOOL PAVLEWADI ROOM NO. 1,204
35 - NIGADE,Z.P.PRIMARY SCHOOL NIGADE ROOM NO. 1,204
36 - NIGADE,Z.P.PRIMARY SCHOOL NIGADE ROOM NO. 2,204
37 - PHALANE,Z.P.PRIMARY SCHOOL PHALANE ROOM NO. 1,204
38 - GHONSHET,Z.P.PRIMARY SCHOOL GHONSHET ROOM NO. 1,204
39 - SAI,Z.P.PRIMARY SCHOOL SAI ROOM NO. 1,204
40 - NANOLI NA.MA.,Z.P.PRIMARY SCHOOL NANOLI NA.MA. ROOM NO. 1,204
41 - KONDIVADE N.M.,Z.P.PRIMARY SCHOOL KONDIVADE N.M NEW BUILDING .ROOM NO. 1,204
42 - GOVITRI,Z.P.PRIMARY SCHOOL GOVITRI FROM WEST ROOM NO. 2,204
43 - SANGISE,Z.P.PRIMARY SCHOOL SANGISE ROOM NO. 1,204
44 - VEHARGAON,VEHARGAON ANGANWADI BUILDING SOUTH SIDE ROOM NO. 1,204
45 - PANGLOLI,Z.P.PRIMARY SCHOOL PANGLOLI BALWADI ROOM NO. 1,204
46 - TUNGARLI,GURUKUL HIGH SCHOOL TUNGARLI EAST SIDE ROOM NO.4,204
47 - TUNGARLI,GURUKUL HIGH SCHOOL TUNGARLI EAST SIDE ROOM NO. 3,204
48 - TUNGARLI,DON BASCO HIGH SCHOOL TUNGARLI D 1 SOUTH SIDE ROOM NO. 1,204
49 - TUNGARLI,DON BASCO HIGH SCHOOL TUNGARLI D 3 SOUTH SIDE ROOM NO. 2,204
50 - VALVAN,NAGARPALIKA PRIMARY SCHOOL NO.7 VALAVAN NEW BUILDING ROOM NO.1,204
51 - VALVAN,NAGARPALIKA PRIMARY SCHOOL NO.7 VALAVAN NEW BUILDING ROOM NO.2,204
52 - VALVAN,NAGARPALIKA PRIMARY SCHOOL NO.7 VALAVAN NEW BUILDING ROOM NO.3,204
53 - KHANDALA,"BLIND VRUDDHASHRAM EAST SIDE OF ROOM NO.1,",204
54 - KHANDALA,"BLIND VRUDDHASHRAM EAST SIDE OF ROOM NO.2,",204
55 - KHANDALA,NAGARPALIKA HIGHSCHOOL KHANDALA KELPETH EAST SIDE ROOM NO.1,204
56 - KHANDALA,D.C. HIGHSCHOOL KHANDALA 1ST FLOOR ROOM NO.1,204
57 - KHANDALA,NAGARPALIKA PRIMARY SCHOOL NO.10 KHANDALA OST OFFICE EAST SIDE ROOM NO.1,204
58 - LONAVALA,PANDIT JAWAHARLAL NEHRU HIGHSCHOOL ROOM NO.2,204
59 - LONAVALA,PANDIT JAWAHARLAL NEHRU HIGHSCHOOL ROOM NO.3,204
60 - LONAVALA,PANDIT JAWAHARLAL NEHRU HIGHSCHOOL ROOM NO.4,204
61 - LONAVALA,DR. B.N.PURANDARE BAHUVIDH HIGHSCHOOL LONAVALA GROUND FLOOR ROOM NO. 3 LONAVALA.,204
62 - LONAVALA,DR. B.N.PURANDARE BAHUVIDH HIGHSCHOOL LONAVALA GROUND FLOOR ROOM NO. 1,204
63 - LONAVALA,Dr. B.N.PURANDARE BAHUVID HIGHSCHOOL LONAVAL GROUND FLOOR ROOM NO. 4,204
64 - LONAVALA,NAGARPALIKA SCHOOL NO.1 WEST SIDE FROM NORTH SIDE ROOM NO. 1,204
65 - LONAVALA,NAGARPALIKA SCHOOL NO.1 EAST SIDE FROM NORTH SIDE ROOM NO. 1,204
66 - LONAVALA,NAGARPALIKA SCHOOL NO.1 EAST FACING ROOM NO. 2,204
67 - LONAVALA,A.C.H. CONVENT HIGHSCHOOL MAIN BUILDING RAIWOOD PARK EAST LANE ROOM NO. 1 LONAVALA,204
68 - LONAVALA,A.C.H. CONVENT HIGHSCHOOL MAIN BUILDING RAIWOOD PARK EAST LANE ROOM NO. 2 LONAVALA,204
