PS No & Name,Address,Constituency Number
1 - Mamurdi,"St.George English Medium School, Thomus Nagar, Mamurdi, South North building, Ground Floor, Southern side Room No. 1",206
2 - Mamurdi,"St.George English Medium School, Thomus Nagar, Mamurdi, South North building, Ground Floor, Southern side Room No. 2",206
3 - Vikasnagar (Kiwale),"Wisdom English Medium High school, South North building, East face, Southern side Room no. 2, Vikasnagar, Kiwale",206
4 - Mamurdi,"St.George English Medium School, Thomus Nagar, Mamurdi, South North building, Ground Floor, Southern side Room No. 3",206
5 - Vikasnagar (Kiwale),"Wisdom English Medium High school, South North building, East face, Southern side Room no. 3, Vikasnagar, Kiwale",206
6 - Vikasnagar (Kiwale),"Wisdom English Medium High school, South North building, East face, Southern side Room no. 4, Vikasnagar, Kiwale",206
7 - Vikasnagar (Kiwale),"Wisdom English Medium High school, South North building, East face, Ground Floor Southern side Room no. 5, Vikasnagar, Kiwale",206
8 - Vikasnagar (Kiwale),"Wisdom English Medium High school, South North building, East face, Ground Floor Southern side Room no. 6, Vikasnagar, Kiwale",206
9 - Vikasnagar (Kiwale),"Wisdom English Medium School South North Western face, Ground Floor Southern side room no 2 Vikasnagar Kiwale",206
10 - Vikasnagar (Kiwale),"Wisdom English Medium School South-North-Westface Building Ground Floor Southern side Room No. 3, Vikas Nagar Kiwale.",206
11 - Vikasnagar (Kiwale),Wisdom English Medium School South-North-Westface Building Ground Floor Stage cloth Partition 1,206
12 - Vikasnagar (Kiwale),Wisdom English Medium School South-North- Westface Building Ground Floor Southern sideRoom No. 4Vikas Nagar Kiwale,206
13 - Vikasnagar (Kiwale),Wisdom English Medium School South-North- Westface Building Ground Floor Southern sideRoom No. 5 Vikas Nagar Kiwale,206
14 - Vikasnagar (Kiwale),Wisdom English Medium School South-North-Westface Building Ground Floor Southrthern sideRoom No. 6 Vikas Nagar Kiwale,206
15 - Vikasnagar (Kiwale),Wisdom English Medium School South-North-Westface Building Ground Floor Southrthern sideRoom No. 7 Vikas Nagar Kiwale,206
16 - Vikasnagar (Kiwale),"St. Joseph Bethany School, Dattanagar, Vikasnagar, East West Building, Ground Floor, No. 1 from East",206
17 - Vikasnagar (Kiwale),"St. Joseph Bethany School, Dattanagar, Vikasnagar, East West Building, Ground Floor, Room No. 2 from East",206
18 - Vikasnagar (Kiwale),"Vidya Bhuvan School (VIBS) Pendse Colony, Vikasnagar, Kiwale, East West Building, North Face, Ground Floor, Eastern side Room No 1",206
19 - Vikasnagar (Kiwale),"Vidya Bhuvan School (VIBS) Pendse Colony, Vikasnagar, Kiwale, East West Building, North Face, Ground Floor, Eastern side Room No 3",206
20 - Vikasnagar (Kiwale),"Vidya Bhuvan School (VIBS) Pendse Colony, Vikasnagar, Kiwale, East West Building, North Face, Ground Floor, Eastern side Room No 2",206
21 - Vikasnagar (Kiwale),"Vidya Bhuvan School (VIBS) Pendse Colony, Vikasnagar, Kiwale, South North Building, Ease Face, Ground Floor, Southern side Room No 4",206
22 - Vikasnagar (Kiwale),"Vidya Bhuvan School (VIBS) Pendse Colony, Vikasnagar, Kiwale, South North Building, East Face, Ground Floor, Southern side Room No 2",206
23 - Vikasnagar (Kiwale),"Vidya Bhuvan School (VIBS) Pendse Colony, Vikasnagar, Kiwale, South North Building, East Face, Ground Floor, Southern side Room No 3",206
24 - Kiwalegaon,"P.C.M.C. Primary school no.96 Kiwale, North South Building, East Face, Ground Floor, Southern side, Room No 4",206
25 - Kiwalegaon,"P.C.M.C. Primary school no.96 Kiwale, North South Building, East Face, Ground Floor, Southern side, Room No 2",206
26 - Kiwalegaon,"P.C.M.C. Primary school no.96 Kiwale, North South Building, East Face, Ground Floor, Southern side, Room No 5",206
27 - Kiwalegaon,"P.C.M.C. Primary school no.96 Kiwale, North South Building, East Face, Ground Floor, Southern side, Room No 6",206
28 - Ravet Gaon,"Late Babanrao Bhondave Primary School, Rawet School no.97, Rawet gaon. East West, North face building, Ground Floor, Western side, Room No 2",206
29 - Ravet Gaon,"Late Babanrao Bhondave Primary School, Rawet School no.97, Rawet gaon. East West, North face building,Ground Floor, Western side, Room No 1",206
30 - Ravet Gaon,"Late Babanrao Bhondave Primary School, Rawet School no.97, Rawet gaon. East West, North face building,Ground Floor, Principal Office",206
31 - Ravet Gaon,City Pride School Rawet East Facing Building Ground Floor Room No 1 From North,206
32 - Ravet Gaon,City Pride School Rawet East Facing Building Ground Floor Room No 2 From North,206
33 - Ravet Gaon,City Pride School Rawet East Facing Building Ground Floor Room No 3 From North,206
34 - Ravet Gaon,City Pride School Rawet East Facing Building Ground Floor Room No 4 From North,206
35 - Ravet Gaon,City Pride School Rawet East Facing Building Room No 1 From South,206
36 - Ravet Gaon,City Pride School Ravet East Facing Building Room No 2 From South,206
37 - Ravet Gaon,City Pride School Ravet East Facing Building Room No 3 From South,206
38 - Ravet Gaon,City Pride School Ravet East Facing Building Room No 4 From South,206
39 - Ravet Gaon,City Pride School Rawet East Facing Building 2 Ground Floor Room No 1 From North,206
40 - Ravet Gaon,City Pride School Rawet East Facing Building 2 Ground Floor Room No 2 From North,206
41 - Ravet Gaon,City Pride School Ravet East Facing Building 2 Room No 3 From South,206
42 - Ravet Gaon,City Pride School Ravet East Facing Building 2 Room No 4 From South,206
43 - Ravet Gaon,City Pride School Rawet East Facing Building 3 Ground Floor Room No 2 From North,206
