PS No & Name,Address,Constituency Number
1 - Nigadi,Kirti Vidyalaya Municipal Building South Room No 1,207
2 - Nigadi,Kirti Vidyalaya Municipal Building Sector No. 25 South Room No.2,207
3 - Nigadi,Kirti Vidyalaya Municipal Building Sector No. 25 South Room No.3,207
4 - Nigadi,Dhyanprabodhini Navnagar Vidyalaya Sector No 25 North From Room No.1,207
5 - Nigadi,Dhyanprabodhini Navnagar Vidyalaya Sector No 25 North From Room No.2,207
6 - Nigadi,Dhyanprabodhini Navnagar Vidyalaya Sector No. 25 North From Room No.3,207
7 - Nigadi,Dhyanprabodhini Navnagar Vidyalaya Sector No 25 North From Room No 4,207
8 - Nigadi,Dhyanprabodhini Navnagar Vidyalaya Sector No 25 North From room No.5,207
9 - Nigadi,Dhyanprabodhini Navnagar Vidyalaya Sector No 25 North From Room No.6,207
10 - Nigadi,Dhyanprabodhini Navnagar Vidyalaya Sector No. 25 North From Room No.7,207
11 - Nigadi,Dhyanprabodhini Navnagar Vidyalaya Sector No. 25 North From Room No.8,207
12 - Nigadi,Dhyanprabodhini Navnagar Vidyalaya Sector No 25 North From room No.9,207
13 - Nigadi,Dhyanprabodhini Prabodhini Navnagar Vidyalaya Sector No 25 North From Room No 10,207
14 - Nigadi,Dhyanprabodhini Navnagar Vidyalaya Sector No 25 North From room No. 11,207
15 - Nigadi,Dhyanprabodhini Navnagar Vidyalaya School No. 25 Technical Education Ground Floor Room No. 12,207
16 - Nigadi,Pimpri Chinchwad Municipal Girls' School No 1 Room No 1,207
17 - Nigadi,Pimpri Chinchwad Municipal Girls' School No. 1 Room No 2,207
18 - Nigadi,Pimpri Chinchwad Municipal Girls' School No 1 Room No 3,207
19 - Nigadi,"Kamayani Matimand Children's School Sector 24, Nigdi Room No.1",207
20 - Nigadi,Kamayani Matimand mulanchi shala Sector 24 Nigdi Room No. 2,207
21 - Sambhajinagr,Subodh Vidyalaya Sambhajinagar New Building Room No.1,207
22 - Sambhajinagr,Subodh Vidyalaya Sambhajinagar New building Room no 2,207
23 - Sambhajinagr,Subodh Vidyalaya Sambhajinagar New building Room no 3,207
24 - Shahunagar,Dr. DY Patil English Medium School Shahunagar Ground Floor Room No.1,207
25 - Shahu nagar,Dr. DY Patil English Medium School Shahunagar Ground Floor Room No.2,207
26 - Shahu nagar,Dr. DY Patil English Medium School Shahunagar Ground Floor Room No.3,207
27 - Shahu nagar,Dr. DY Patil College of Arts Commerce Science Shahunagar Ground Floor Room No. 1,207
28 - Shahu nagar,Dr. DY Patil College of Arts Commerce Science Shahunagar Ground Floor Room No. 2,207
29 - Shahu nagar,Dr. DY Patil College of Arts Commerce Science Shahunagar Ground Floor Room No. 3,207
30 - Shahu nagar,Abhishek School English Medium School Shahunagar Ground Floor South From Room No.1,207
31 - Shahu nagar,Abhishek School English Medium School Shahunagar Ground Floor South Room Room No 2,207
32 - Shahu nagar,Abhishek School English Medium School Shahunagar Ground Floor South From Room No.3,207
33 - Shahu nagar,Abhishek School English Medium School Shahunagar Ground Floor South From Room No.4,207
34 - Shahu nagar,Abhishek School English Medium School Shahunagar Ground Floor Room No.5,207
35 - Shahu nagar,Abhishek School English Medium School Shahunagar Ground Floor Room No.6,207
36 - Sambhaji nagr,Kamalnayan Bajaj High School Sambhaji Nagar from North Room No. 1,207
37 - Sambhaji nagr,Kamalnayan Bajaj High School Sambhaji Nagar from North Room No. 2,207
38 - Sambhaji nagr,Kamalnayan Bajaj High School Sambhaji Nagar from North Room No. 4,207
39 - Sambhaji nagr,Kamalnayan Bajaj High School Sambhaji Nagar from North Room No. 5,207
40 - Sambhaji nagr,Kamalnayan Bajaj High School Sambhaji Nagar from North Room No. 6,207
41 - Sambhaji nagr,Kamalnayan Bajaj High School Sambhaji Nagar from North Room No. 7,207
42 - Sambhaji nagr,Kamalnayan Bajaj High School Sambhaji Nagar from North Room No. 8,207
43 - Aakurdi,Smt. Godavari Hindi School Khandoba Mal Ground Floor East From Room No.1,207
44 - Aakurdi,Mrs. Godavari Hindi School Khandoba Mal Ground Floor East From Room No.2,207
45 - Aakurdi,Smt. Godavari Hindi School Khandoba Mal Ground Floor East From Room No.3,207
46 - Aakurdi,Mrs. Godavari Hindi School Khandoba Mal Ground Floor East From Room No.4,207
47 - Aakurdi,Mrs. Godavari Hindi School Khandoba Mal Ground Floor East Room Room No.5,207
48 - Aakurdi,Smt. Godavari Hindi School Khandoba Mal Ground Floor East From Room No.6,207
49 - Aakurdi,Mrs. Godavari Hindi School Khandoba Mal Ground Floor East Room Room No.7,207
50 - Aakurdi,Smt. Godavari Hindi School Khandoba Mal Ground Floor East From Room No.8,207
51 - Aakurdi,Pcmc Public School late Vasantdada Patil Vidyamandir Akurdi Ground Floor Room No. 1,207
52 - Aakurdi,Pcmc Public School late Vasantdada Patil Vidyamandir Akurdi Ground Floor Room No. 2,207
53 - Aakurdi,Pcmc Public School late Vasantdada Patil Vidyamandir Akurdi Ground Floor Room No. 3,207
54 - Aakurdi,Pcmc Public School late Vasantdada Patil Vidyamandir Akurdi Ground Floor Room No. 4,207
55 - Aakurdi,Pcmc Public School late Vasantdada Patil Vidyamandir Akurdi Ground Floor Room No. 5,207
56 - Aakurdi,Pcmc Public School late Vasantdada Patil Vidyamandir Akurdi Ground Floor Room No. 6,207
57 - Aakurdi,Pcmc Public School Maulana Abdul Kalam Aajad Urdu Secindary School Akurdi Ground Floor Room NO 1,207
58 - Aakurdi,Pcmc Public School Maulana Abdul Kalam Aajad Urdu Secindary School Akurdi Ground Floor Room NO 2,207
59 - Aakurdi,Pcmc Public School Maulana Abdul Kalam Aajad Urdu Secindary School Akurdi New Building Ground Floor Room NO 1,207
60 - Aakurdi,Pcmc Public School Maulana Abdul Kalam Aajad Urdu Secindary School Akurdi New Building Ground Floor Room NO 2,207
61 - Aakurdi,St. Ursula High School Nigdi Ground Floor K G Section Room No. 1,207
62 - Aakurdi,St. Ursula High School Nigdi Ground Floor K G Section Room No. 2,207
63 - Aakurdi,St. Ursula High School Nigdi Ground Floor K G Section Room No. 3,207
64 - Aakurdi,St. Ursula High School Nigdi Ground Floor K G Section Room No. 4,207
65 - Aakurdi,St. Ursula High School Nigdi Primary School Room No 1,207
66 - Aakurdi,St. Ursula High School Nigdi Primary School Room No 2,207
67 - Aakurdi,St. Ursula High School Nigdi Primary School Room No 3,207
68 - Aakurdi,St. Ursula secondary High School Nigdi Room No 4,207
69 - Aakurdi,St. Ursula secondary High School Nigdi Room No 5,207
70 - Aakurdi,Saraswati Elementary School Akurdi Ground Floor Room No.1,207
71 - Aakurdi,Saraswati Elementary School Akurdi Ground Floor Room No.2,207
72 - Aakurdi,Saraswati Elementary School Akurdi Ground Floor Room No.3,207
73 - Nigadi,"Shri Guru Ganesha Vidyamandir of Jain Vidya Prasarak Mandal, Pradhikaran Basement Room No.1",207
74 - Nigadi,"Shri Guru Ganesha Vidyamandir of Jain Vidya Prasarak Mandal, Pradhikaran Ground Floor Room No.2",207
75 - Nigadi,"Shri Guru Ganesha Vidyamandir of Jain Vidya Prasarak Mandal, Pradhikaran Ground Floor Room No. 3",207
76 - Nigadi,"Shri Guru Ganesh Vidyamandir of Jain Vidya Prasarak Mandal, Pradhikaran Ground Floor Room No.4",207
77 - Nigadi,"Shri Guru Ganesha Vidyamandir of Jain Vidya Prasarak Mandal, Pradhikaran Ground Floor Room No.5",207
