PS No & Name,Address,Constituency Number
1 - Nirgudi,Z.P. Pra Boys Girls School Niragudi Room No. 1,209
2 - Vadagaon Shinde,Z.P. Primary Boys & Girls School Wadgaon Shinde East Side Room No. 1,209
3 - Vadgaon Shinde,Z.P. Primary Boys & Girls School Wadgaon Shinde East Side Room No. 2,209
4 - Vadgaon Shinde,Z.P. Primary Boys & Girls School Wadgaon Shinde East Side Room No. 3,209
5 - Lohgaon,Sant Tukaram Secondary & higher secondary School Lohgaon Department of Arts Commerce Science and Vocational Courses near bus stand New Building North Side Room No. 1,209
6 - Lohgaon,Sant Tukaram Secondary & higher secondary School Lohgaon Department of Arts Commerce Science and Vocational Courses near bus stand New Building North Side Room No. 2,209
7 - Lohgaon,Sant Tukaram Secondary & higher secondary School Lohgaon Department of Arts Commerce Science and Vocational Courses near bus stand New Building North Side Room No. 3,209
8 - Lohgaon,Sant Tukaram Secondary & higher secondary School Lohgaon Department of Arts Commerce Science and Vocational Courses near bus stand New Building North Side Room No. 4,209
9 - Lohgaon,Shree Eknathrao Khese English Medium School Room No.1,209
10 - Lohgaon,Shree Eknathrao Khese English Medium School Room No.2,209
11 - Lohgaon,Shree Eknathrao Khese English Medium School Room No.3,209
12 - Lohgaon,Shree Eknathrao Khese English Medium School Room No.4,209
13 - Lohgaon,Shree Eknathrao Khese English Medium School Hall Partition Room No.5,209
14 - Lohgaon,Shree Eknathrao Khese English Medium School Hall Partition Room No.6,209
15 - Lohgaon,Shree Eknathrao Khese English Medium School Hall Partition Room No.7,209
16 - Lohgaon,Shree Eknathrao Khese English Medium School Hall Partition Room No.8,209
17 - Lohgaon,Sant Tukaram Secondary & higher secondary Lohgaon near (Bajar Tal) New Building North Side Room No. 1,209
18 - Lohgaon,Sant Tukaram Secondary & higher secondary Lohgaon near (Bajar Tal) New Building North Side Room No. 2,209
19 - Lohgaon,Sant Tukaram Secondary & higher secondary Lohgaon near (Bajar Tal) New Building North Side Room No. 3,209
20 - Lohgaon,Sant Tukaram Secondary & higher secondary Lohgaon near (Bajar Tal) New Building North Side Room No. 4,209
21 - Lohgaon,Sant Tukaram Secondary & higher secondary Lohgaon near (Bajar Tal) New Building North Side Room No. 5,209
22 - Lohgaon,Sant Tukaram Secondary & higher secondary Lohgaon near (Bajar Tal) New Building North Side Room No. 6,209
23 - Lohgaon,Sant Tukaram Secondary & higher secondary Lohgaon near (Bajar Tal) New Building North Side Room No. 7,209
24 - Lohgaon,Sant Tukaram Secondary & higher secondary Lohgaon near (Bajar Tal) New Building North Side Room No. 8,209
25 - Lohgaon,Sant Tukaram Secondary & higher secondary Lohgaon near (Bajar Tal) New Building North Side Room No. 9,209
26 - Lohgaon,Sant Tukaram Secondary & higher secondary Lohgaon near (Bajar Tal) New Building North Side Room No. 10,209
27 - Lohgaon,Sant Tukaram Secondary & higher secondary Lohgaon near (Bajar Tal) New Building North Side Room No. 11,209
28 - Lohgaon,Z. P Primary Boys & Girls School Lohgaon North Side New Building Room No. 1,209
29 - Lohgaon,Z. P Primary Boys & Girls School Lohgaon North Side New Building Room No. 2,209
30 - Lohgaon,Z. P Primary Boys & Girls School Lohgaon North Side New Building Room No. 3,209
