PS No & Name,Address,Constituency Number
1 - Kochur Bk,"ZP Marathi Boys School ,South Side Building , East side Room No.1",20
2 - Kochur Bk,"ZP Marathi Boys School ,south side Building, East side Room No.3",20
3 - Kochur Kh,Grampanchyat office,20
4 - Borkhede Sim,Anganwadi Buildingnear water tank,20
5 - Waghode Bk,"Z.P MARATHI GIRLS SCHOOL NORTH SOUTH Building, NORTH Side ROOM NO. 4",20
6 - Waghode Bk,"Z.P. MARATHI GIRLS SCHOOL, NORTH SOUTH Building, NORTH SIDE ROOM NO. 6",20
7 - Waghode Bk,"Z.P. MARATHI BOYS SCHOOL, EAST WEST NEW Building, EAST ROOM NO. 2",20
8 - Waghode Bk,"Z.P. MARATHI BOYS SCHOOL, EAST WEST NEW Building FROM EAST ROOM NO. 4",20
9 - Waghode Bk,Shree Chakradhar Shikshan Prasarak Mandal Primary Vidyamandir Big Waghode East West Building Room No.2,20
10 - Waghode Bk,Shree Chakradhar Shikshan Prasarak Mandal Primary Vidyamandir Mothe Waghode East West Building Room No.4,20
11 - Waghode Bk,Prakash Vidyalaya and Junior College Mothe Waghode East West Building Room No.5,20
12 - Savada,Muslim Society Anganwadi Building South Side Room No.1,20
13 - Savada,"Savda Nagarpalika New Administrative Building, Near west Side Gate , left side room no 2",20
14 - Savada,"Lokmanya Shikshak Prasarak Mandal Balasaheb Deshamukh Balak Mandir English Medium School East West Building, East Side Room No.1",20
15 - Savada,"Savda Nagarpalika , Primary Urdu school , salibag , West side Building, North side room no.5",20
16 - Savada,"Savda Nagarpalika , Primary Urdu school , salibag , West Side Building, North side room no.3",20
17 - Savada,"Welfare Society Savdas , Urdu primary school , Athwade Bazar East side Building, North Side Room No.2",20
18 - Savada,"Welfare Society Savdas , Urdu primary school ,Athwade Bazar , West side Building, North Side Room No.2",20
19 - Savada,Smt Anandibai Gambhirrao High School South Building North From Room No. 1.,20
20 - Savada,Smt Anandibai Gambhirrao High School South East West Building East to Room No. 2.,20
21 - Savada,Smt Anandibai Gambhirrao High School South North South Building North Side Room No. 1.,20
22 - Savada,Nanasaheb Vishnu Hari Patil Vidya Mandir Girls School West Building South Side Room No. 2.,20
23 - Savada,Nagarpalika Muslim Panch Mangal Karyalay Savada ( Khwaja Nagar) East Side Building North Side Room No.1,20
24 - Savada,N.P. Muslim Panch Mangal Karyalay Savada ( Khwaja Nagar) East Side Building North Side Room No.2,20
25 - Savada,Nanasaheb Vishnu Hari Patil Vidya Mandir Girls' School East Building North From Room No. 1.,20
26 - Savada,Nanasaheb Vishnu Hari Patil Vidya Mandir Girls' School East Building North From Room No. 3.,20
27 - Savada,"Savda Nagarpalika , Urdu school Salibag, East side Building, North side room no.5",20
28 - Savada,"Savda Nagarpalika Urdu school Salibag, East side Building, North side room no.3",20
29 - Savada,"Savda Nagarpalika New Urdu School Salibag ,East side Building , North side Room No. 1",20
30 - Savada,"Savda Nagarpalika New Urdu School Salibag ,East side Building, North side Room No. 2",20
31 - Savada,"Savda Nagarpalika New Urdu School , Salibag ,West side Building ,North side Room No. 1",20
32 - Savada,"Savda Nagarpalika New Urdu School , Salibag ,West side Building ,North side Room No. 2",20
33 - Savada,"Savda Nagarpalika New Administrative Building, Near west Side Gate , Right side room no. 1",20
34 - Savada,Savda Nagarpalika New Meeting Hall Building,20
35 - Khirdi Bk,"Z.P. Marathi School, East Side Room No.2",20
36 - Khirdi Bk,"Z.P. Marathi School, East Side Room No.4",20
37 - Khirdi Bk,"Z.P. Marathi School,East Side Room No.7",20
38 - Khirdi Kh,Vidya Vikas Mandal Sanchalit Primary Vidya Mandir Khirdi Kh North South Building North Side Room No. 1,20
39 - Khirdi Kh,Vidya Vikas Mandal Sanchalit Primary Vidya Mandir Khirdi Kh North South Building North Side Room No. 3,20
40 - Khirdi Kh,Smt Shantabai Prahlad Rane Secondary School and Junior High School Khirdi Khurd East West Building Room No.2 from East,20
41 - Rembhote,"Z.P. Primary School, East Side Room No.1",20
42 - Nimbol,"Z.P. Primary School, North side Room No.1",20
43 - Nimbol,"Z.P. Primary School,ol North side Room No.2",20
44 - Nimbol,"Z.P. Primary School, East Side Office Building",20
45 - Vitve,"Z.P Marathi boys school , North South Building, From North Anganwadi Room No. 1",20
46 - Vitve,"Z.P Marathi boys school , East West Building, East side room no. 3",20
47 - Ainpur,"Z.P. Primary Girls School, Sarva Siksha Abhiyan, North South New Building, North Side Room No. 3",20
48 - Ainpur,"Z.P. Primary Girls School, Sarv Siksha Abhiyan, North South New Building, North Side Room No. 1",20
49 - Ainpur,"Z.P. Primary Boys School, Sarva Siksha Abhiyan ,East West New Building, West Side Room No. 2",20
50 - Ainpur,"Z.P. Primary Boys School, Sarva Siksha Abhiyan ,East West New Building, West Side Room No. 3",20
51 - Ainpur,"Z.P. Primary Girls School, Sarva Siksha Abhiyan ,North South New Building,North Side Room No.2",20
52 - Ainpur,"Z.P. Primary Boys School, Sarva Siksha Abhiyan ,East West New Building, West Side Room No. 4",20
53 - Waghadi,"Z.P. Marathi Boys School , East Side Room No.4",20
54 - Dasnur,"Z.P. Primary School, East West New Building, East Side Room No.2",20
55 - Dasnur,"Z.P. Primary School, East West New Building, East Side Room No.6",20
56 - Singnur,"Z.P. Primary School, East West New Building, East Side Room No.1",20
57 - Maskawadsim,"Z.P. Marathi Boys School, East side Room No. 1",20
58 - Maskawadsim,"Z.P. Marathi Boys School, Maskawadsim , East side Room No.5",20
59 - Maskawad Bk,"Z.P. Primary Girls School , South Side New Building, East Side Room No.1",20
60 - Maskawad Bk,"Z.P. Primary Girls School, South Side New Building, East Side Room No.4",20
61 - Maskawad Kh,Grampanchayat Office,20
62 - Waghode Kh,"Z.P. Primary School, East West New Building , East Side Room No.1",20
63 - Waghode Kh,"Z.P. Primary School,East West New Building, East side Room No.2",20
64 - Andalwadi,"Z.P. School, East West New Hexagonal Building, west side Room No.1",20
65 - Andalwadi,"Z.P. School, East West Building, East Side Room No.2",20
66 - Balwadi,"Z.P. Marathi Boys School , Sarva Siksha Abhiyan , East West New Building, East Side Room No.1",20
67 - Balwadi,"Z.P. Marathi Boys School, Sarva Siksha Abhiyan, East West New Building, East Side Room No.5",20
68 - Dhamodi,"Z.P. Primary Marathi School, Sarva Siksha Abhiyan ,East West New Building, East Side Room No.2",20
69 - Pimprinandu,"Z.P. Marathi Boys School , North Side Building, East Side No.1",20
70 - Pimprinandu,"Z.P. Kendra School, South Side Building, East Side Room No.1",20
71 - Belsavadi,"Z.P.Primary Marathi School, East Side Room No.1",20
72 - Belsavadi,"Z.P.Marathi Primary School, East Side Room No.2, East West Building,",20
73 - Bhokari,"Z.P. Primary School, West Side Room No.2",20
74 - Dhamande/ Belkhede,"Z.P. Primary School, East Side Room No.1 (New Gavthan)",20
75 - Narwel,"Z.P. Primary School, East Side Room No.2",20
76 - Anturli,"Z.P. Marathi Girls School, East Side building, North Side Room No.1",20
77 - Anturli,"Z.P.Marathi Girls School, East Side building, North Side Room No.3",20
78 - Anturli,"Z. P. Marathi Boys Kendra School, East Side building North Side Room No.2 (Hexagonal Building)",20
79 - Anturli,Z.P. Marathi Boys Kendra School (New Building) East Side Room No. 1,20
80 - Anturli,Anganwadi Anturli,20
81 - Anturli,Z. P. Urdu School Anturli,20
82 - Anturli,"Z. P. Urdu School, North Side Room No-2",20
83 - Patondi,"Z. P. Marathi Boys School, West Side Room No.1",20
84 - Patondi,"Z. P. Marathi Boys School, West Side Room No.4",20
85 - Loharkheda,"Z. P. Primary School Lohharkheda, East Side Room No.2",20
86 - Pimpribhojana,"Z. P.Primary School, East Side Room No.1",20
87 - Karki,"Z. P Marathi School , East Side Room No.1 Anganwadi",20
88 - Karki,"Z. P Marathi School, West Side Room No.2 Anganwadi",20
89 - Naygaon/ Kothe,"Z. P Marathi Boys School, East Side Room No.1 (New Gaothan)",20
90 - Naygaon/ Kothe,"Z. P Marathi Boys School, East Side Room No.3 (New Gaothan)",20
91 - Sulwadi,"Z.P. Primary School , Sarva Siksha Abhiyan , West Side New Room No.1",20
92 - Koloda,"Z.P. Primary School, East west Building, East side Room No.1",20
93 - Kandwel,"Z.P. Marathi Boys School, East West Building, East Side Room No.6",20
94 - Kandwel,"Z.P. Marathi Boys School, East West Building, East Side Room No.5",20
95 - Shingadi,"Z.P. Marathi Boys School ,East West Building, West Side Room No 1",20
96 - Bhmalwadi,"Z.P. Marathi Boys School, ,North-south Building, North Side room no. 1",20
97 - Singat,"Z.P. Marathi Boys School, West Side Room No.1",20
98 - Thorgavan,"Anganwadi No. 3, North South Building , South Side Room No. 3",20
99 - Thorgavan,"Z.P. School , Sarva Siksha Abhiyan , New Building North Side Room No. 3",20
100 - Thorgavan,"Z.P. School , Sarva Siksha Abhiyan , New Building North Side Room No. 4",20
101 - Mangi,"Z.P.Marathi School , South Side Room No. 1",20
102 - Gate,"Z.P. Marathi Boys School, East Side North South Building ,South Side Room No.1",20
103 - Gate,"Z.P. Marathi Boys School, East Side North South Building ,South Side Room No.2",20
104 - Sunode,"Z.P. Primary School, New Building, East side Room No.1",20
105 - Golwade,"Z.P. Marathi Boys School, East West Building, East Side Room No.2",20
106 - Mendhode,"Z. P. Marathi School, West Side Room No. 1",20
107 - Pimpri- pacham,"Z. P. Marathi. School, East Side Room No.1",20
108 - Pimpri- pacham,"Z. P. Primary. School, Dhabe Room No-1 From North",20
109 - Shemalade,"Z. P. Marathi School, West Side Room No.1 (New Building)",20
110 - Mundholde,"Z. P. Marathi School, North Side Room No.1 New Building",20
111 - Puri,"Z.P. Marathi Boys School , North South Building, South Side Room No.2",20
112 - Tandalwadi,"Z.P. Marathi Girls School, East West Building, East side Room No.2",20
113 - Tandalwadi,"Z.P. Marathi Girls School, East West Building, East side Room No.4",20
114 - Tandalwadi,"Z.P. Marathi Girls School, North South Building , North Side Room No.2",20
115 - Tandalwadi,"Z.P. Marathi Girls School, North South Building, North Side Room No.4",20
