PS No & Name,Address,Constituency Number
1 - Aundh Gaon,"Rayat Shikshan Sansta's Priamary Vidhya Mandir, Aundhgaon room no. 1",210
2 - Aundh Gaon,"Rayat Shikshan Sansta's Priamary Vidhya Mandir, Aundhgaon room no. 2",210
3 - Bopodi,"Dr. Rajendraprasad PMC School, Room No. 1",210
4 - Bopodi,"E learning school ,Right Side Room No. 1,",210
5 - Bopodi,"Dr. Rajendraprasad PMC School, Room No. 2",210
6 - Bopodi,"E learning school ,Right Side Room No. 3,",210
7 - Bopodi,"Dr. Rajendraprasad PMC School, Room No. 3",210
8 - Bopodi,"Dr. Rajendraprasad PMC School, Room No. 4",210
9 - Bopodi,"Dr. Rajendraprasad PMC School, Room No.13",210
10 - Bopodi,"Dr. Rajendraprasad PMC School, Room No. 5",210
11 - Bopodi,"Dr. Rajendraprasad PMC School, Room No.11",210
12 - Bopodi,"Dr. Rajendraprasad PMC School, Room No. 12",210
13 - Khadaki,Oridians Club Room No 1,210
14 - Khadaki,"Lal Bahadur Shastri High School, Room No. 1",210
15 - Khadaki,"Lal Bahadur Shastri High School, Room No. 2",210
16 - Khadaki,"Lal Bahadur Shastri High School, Room No. 6",210
17 - Khadaki,"Lal Bahadur Shastri High School, Room No. 3",210
18 - Khadaki,"Lal Bahadur Shastri High School, Room No. 4",210
19 - Khadaki,"Lal Bahadur Shastri High School, Room No. 5",210
20 - Khadaki,"Khadaki Cantonment Board, Col.Bhagat English school, (Eastern Side of road), North Side Room no. 1",210
21 - Khadaki,"Khadaki Cantonment Board, Col.Bhagat English school, (Eastern Side of road), North Side Room no. 2",210
22 - Khadaki,"Khadaki Cantonment Board, Col.Bhagat English school, (Eastern Side of road), North Side, Room no. 3",210
23 - Khadaki,"Khadaki Cantonment Board, Col.Bhagat English school, (Eastern Side of road), South Side, Room no. 4",210
24 - Khadaki,"Khadaki Cantonment Board, Col.Bhagat English school, (Eastern Side of road), South Side Room no. 5",210
25 - Bopodi,"Dr. Zakir Hussein Urdu School, Room No. 1",210
26 - Bopodi,"Dr. Zakir Hussein Urdu School, Room No. 2",210
27 - Bopodi,"Dr. Zakir Hussein Urdu School, Room No. 3",210
28 - Bopodi,"Dr. Sarvapalli Radhakrishanan High School, Room No. 1",210
29 - Bopodi,"Dr. Sarvapalli Radhakrishanan High School, Room No. 2",210
30 - Bopodi,"Dr. Sarvapalli Radhakrishanan High School, Room No. 3",210
31 - Bopodi,Anantrao Pawar Memorial School P.M.C building left side Room no.1,210
32 - Bopodi,Anantrao Pawar Memorial School P.M.C building left side Room no.2,210
33 - Bopodi,Anantrao Pawar Memorial School P.M.C building left side Room no.3,210
34 - Bopodi,Anantrao Pawar Memorial School P.M.C building middle Room no.4,210
35 - Bopodi,Anantrao Pawar Memorial School P.M.C building Right side Room no.5,210
36 - Bopodi,Anantrao Pawar Memorial School P.M.C building Right side Room no.6,210
37 - Bopodi,Anantrao Pawar Memorial School P.M.C building Right side Room no.7,210
38 - Chikhalwadi,"Mata Ramabai Ambedkar Primary School, PMC No.60, Room No. 1",210
39 - Chikhalwadi,"Mata Ramabai Ambedkar Primary School, PMC No.60, Room No. 2",210
40 - Chikhalwadi,"Mata Ramabai Ambedkar Primary School, PMC No.60, Room No. 3",210
41 - Chikhalwadi,"Mata Ramabai Ambedkar Primary School, PMC No.60, Computer Room",210
42 - Chikhalwadi,"Mata Ramabai Ambedkar Primary School, PMC No.60, Room No. 4",210
43 - Chikhalwadi,"Rail Police Headquarter (Chikhalwadi) Yoga Shed, (Near S. P. Office) East Side Hall NO 1",210
44 - Chikhalwadi,"Mata Ramabai Ambedkar Primary School, PMC No.60, Left side room No. 2",210
45 - Chikhalwadi,"Rail Police Headquarter (Chikhalwadi) Yoga Shed, (Near S. P. Office) West Side Hall No. 2",210
46 - Chikhalwadi,"Pune Corporation Arogya Kothi, Chikhalwadi (Near PMC School)",210
47 - Khadaki,"St. Thomas English Public School, Room No 2",210
48 - Chikhalwadi,"Mata Ramabai Ambedkar Primary School, PMC No.60, last Room,",210
49 - Khadaki,"St. Thomas English Public School, Room No 3",210
50 - Chikhalwadi,"Mata Ramabai Ambedkar Primary School, PMC No.60, Principal Office (Marathi School)",210
51 - Chikhalwadi,"Mata Ramabai Ambedkar Primary School, PMC No.60, Principal Office (English School)",210
52 - Khadaki,"St. Thomas English Public School, Room No 4",210
53 - Chikhalwadi,"Mata Ramabai Ambedkar Primary School, PMC No.60, Parking shed backside of School",210
54 - Chikhalwadi,"Mata Ramabai Ambedkar Primary School, PMC No.60, left side room",210
55 - Aundh Gaon,"Golvalkar Guruji Primary School Aundh Gaon, PMC 42 / 54, Room No.1",210
56 - Aundh Gaon,"Golvalkar Guruji Primary School Aundh Gaon, PMC 42 / 54, Room No. 2",210
57 - Aundh Gaon,"Golvalkar Guruji Primary School Aundh Gaon, PMC 42 / 54, Room No. 3",210
58 - Aundh Gaon,"Golvalkar Guruji Primary School Aundh Gaon, PMC 42 / 54, Room No. 4",210
59 - Aundh Gaon,"Golvalkar Guruji Primary School Aundh Gaon, PMC 42 / 54, Room No. 5",210
60 - Aundh Gaon,"Golvalkar Guruji Primary School Aundh Gaon, PMC 42 / 54, Room No. 6",210
61 - Aundh Gaon,"Golvalkar Guruji Primary School Aundh Gaon, PMC 42 / 54, Room No. 7",210
62 - Aundh Gaon,"Golvalkar Guruji Primary School Aundh Gaon, PMC 42 / 54, Room No. 8",210
63 - Aundh Road,"Indira Gandhi Primary Boys School No. 87, Room No.7",210
64 - Aundh Gaon,"Golvalkar Guruji Primary School Aundh Gaon, PMC 42 / 54, Room No. 9",210
65 - Aundh Road,"Indira Gandhi PMC School No. 87, Room No.9",210
66 - Aundhgaon,"Indira Gandhi Primary School No. 87, Room No.1",210
67 - Aundhgaon,"Indira Gandhi Primary School No. 87, Room No.2",210
68 - Aundhgaon,"Indira Gandhi Primary School No. 87, Room No.3",210
69 - Aundhgaon,"Indira Gandhi Primary School No. 87, Room No.4",210
70 - Aundhgaon,"Indira Gandhi Primary School No. 87, Room No.5",210
71 - Aundhgaon,"Indira Gandhi Primary School No. 87, Room No.6",210
72 - Aundh,"Spicer College Primary School, Room No.1",210
73 - Aundh,"Spicer College Primary School, Room No.2",210
74 - Aundh,"Spicer College Primary School, Room no. 4",210
75 - Aundh,"Spicer College Primary School, room no. 3",210
76 - Chikhalwadi,"Rail police Head Quarters Hall, Khadki (Chikhal wadi), Conference Hall, Room No. 1",210
77 - Chikhalwadi,"Rail police Head Quarters Hall, Khadki (Chikhal wadi), Conference Hall, Room No. 2",210
78 - Khadaki,"Moledina Urdu Primary School, Khadki Can. Khadki. Room No. 1",210
79 - Khadaki,"Moledina Urdu Primary School, Khadki Can. Khadki. Room No. 2",210
80 - Khadaki,"Moledina Urdu Primary School, Khadki Can. Khadki. Room No. 3",210
81 - Khadaki,"Moledina Urdu Primary School, Khadki Can. Khadki. Room No. 4",210
82 - Khadaki,"Khadaki Cantonment Board, Col.Bhagat English school, (Western Side of road) Room no.1",210
83 - Khadaki,"Khadaki Cantonment Board, Col.Bhagat English school, (Western Side of road) Room no.2",210
84 - Khadaki,"SVS High School, Room No. 1",210
85 - Khadaki,"SVS High School, Room No. 2",210
86 - Khadaki,"Khadaki Cantonment Board, Col.Bhagat English school, (Western Side of road) Room no.3",210
87 - Khadaki,"Khadaki Cantonment Board, Col.Bhagat English school, (Western Side of road) Room no.4",210
88 - Khadaki,"Oridinans Club. Womens Welfair, Shishu Niketan",210
89 - Aundh,"ITI, Aundh, Room of Vice Principle",210
90 - Aundh,"ITI, Aundh, C Room, Near Susanvad Kendra Room",210
91 - Aundh,"ITI, Aundh, Room No. 26",210
92 - Aundh,"ITI, Aundh, Room No. 21",210
93 - Aundh,"ITI, Aundh, Room No. 22",210
94 - Aundh,"ITI, Aundh, room no. 17",210
95 - Aundh,"ITI, Aundh, Room No. 26",210
96 - Aundh Road,"Khanderao Junewane Primary School, Room No.1",210
97 - Aundh Road,"Khanderao Junewane Primary School, Room No.6",210
98 - Aundh Road,"Khanderao Junewane Primary School, Room No.3",210
99 - Aundh Road,"Kendriya Vidyalay Ganeshkhind, Kaksha 9 B",210
100 - Aundh Road,"Kendriya Vidyalay Ganeshkhind, Kaksha 10 c",210
101 - Pune University,Maharshi Karve Stri shikshan sanstheche shishu vihar pre primary school room no 1,210
102 - Pune University,Maharshi Karve Stri shikshan sanstheche shishu vihar pre primary school room no 2,210
103 - Khadaki,"Range Hills Primary School, Room No.1",210
104 - Khadaki,"Range Hills Primary School, Room No.2",210
105 - Khadaki,"Range Hills Primary School, Room No.5",210
106 - Khadaki,"Range Hills Secondary School, Room No 6,",210
107 - Khadaki,"Range Hills Secondary School, Room No 7,",210
108 - Khadaki,"Range Hills Secondary School, Room No 8,",210
109 - Khadaki,"Sent. Joseph Girls High School, Room No.1",210
110 - Khadaki,"Sent. Joseph Girls High School, Room No.3",210
111 - Khadaki,"Sent. Joseph Girls High School, Room No.2",210
112 - Khadaki,"Lokmanya Tilak School, Room No 6",210
113 - Khadaki,"Lokmanya Tilak School, Room No 11",210
114 - Khadaki,"Range hills Secondary School, Room No.1",210
115 - Khadaki,"Range hills Secondary School, Room No 2",210
116 - Khadaki,"Range hills Secondary School, Room No.3",210
117 - Khadaki,"Range hills Secondary School, Room No.4",210
118 - Khadaki,"Range hills English School, Room No.1",210
119 - Khadaki,"Range hills English School, Room No.2",210
120 - Khadaki,"Range hills English School, Room No.5",210
121 - Khadaki,"Range hills English School, Room No.3",210
122 - Khadaki,"Range hills English School, Room No.7",210
123 - Khadaki,"Range hills English School, Room No.4",210
124 - Aundh Road,"Kendriya Vidyalay, Ganeshkhind, Room No.1 X-A",210
125 - Aundh Road,"Kendriya Vidyalay, Ganeshkhind, Room No.2 IX-B",210
126 - Aundh Road,"Kendriya Vidyalay, Ganeshkhind, Room No.3 XII SCI.",210
127 - Mula Rd,"Central Eggs Hatching Centre, Boys Hostel, Room No. 1",210
128 - Mula Rd,"Central Eggs Hatching Centre, Boys Hostel, Training Hall No. 1",210
129 - Mula Rd,"Central Eggs Hatching Centre, Boys Hostel, Room No. 2",210
130 - Mula Rd,"Central Eggs Hatching Centre, Boys Hostel, Room No. 3",210
131 - Mula Rd,"Central Eggs Hatching Centre, Boys Hostel, Room No. 4",210
132 - Ganeshkhind Road,"Sawmi Vivekanad Primary PMC School, Vidyaniketan, University Gate Room No. 1",210
133 - Ganeshkhind Road,"Sawmi Vivekanad Primary PMC School, Vidyaniketan, University Gate Room No. 4",210
134 - Ganeshkhind Road,"Sawmi Vivekanad Primary PMC School, Vidyaniketan, University Gate Room No. 2",210
135 - Ganeshkhind Road,"Sawmi Vivekanad Primary PMC School, Vidyaniketan, University Gate Room No. 3",210
136 - Yerwada,"Kendriya Vidyalay, BEG Yerwada Main Gate No. 2, Room No.3 East side Primary Section wing no.1",210
137 - Yerwada,"Kendriya Vidyalay, BEG Yerwada, Main Gate No. 2, Room No.4, East side Primary Section wing no.1",210
138 - Yerwada,"Kendriya Vidyalay, BEG Yerwada, Main Gate No. 2, Room No.5, East side Primary Section wing no.1",210
139 - Yerwada,"Kendriya Vidyalay, BEG Yerwada, Main Gate No. 2, Room No.16, Middle Building wing no.2",210
140 - Yerwada,"Kendriya Vidyalay, BEG Yerwada, Main Gate No. 2, Room No 17, Middle Building wing no.2",210
141 - Yerwada,"Kendriya Vidyalay, BEG Yerwada, Main Gate No. 2, Room No 18, Middle Building wing no.2",210
142 - Yerwada,"Kendriya Vidyalay, BEG Yerwada, Main Gate No.2, Room No. 32 West side wing no 3",210
143 - Yerwada,"Kendriya Vidyalay, BEG Yerwada, Main Gate No.2, Room No 33, West side wing no 3",210
144 - Yerwada,"Kendriya Vidyalay, BEG Yerwada, Main Gate No. 3, Room No 34, West side wing no 3",210
145 - Ramnagar,"Matoshri English Medium School, Ramnagar Yerawda Room No.1 leftside room",210
146 - Ramnagar,"Matoshri English Medium School, Ramnagar Yerawda Room No.1 rightside room",210
147 - Ramnagar,"Matoshri English Medium School, Ramnagar Yerawda Room No.2 leftside room",210
148 - Ramnagar,"Matoshri English Medium School, Ramnagar Yerawda Room No.2 rightside room",210
149 - Ramnagar,"Matoshri English Medium School, Ramnagar Yerawda Room No.3 leftside room",210
150 - Ramnagar,"Matoshri English Medium School, Ramnagar Yerawda Room No.3 rightside room",210
151 - Sangamwadi,Major R.R.Rane Primary School Sangamwadi Room No.1,210
152 - Sangamwadi,Major R.R.Rane Primary School Sangamwadi Room No.2,210
153 - Ganeshkhind Road,"Govt. Polytechnic, Room No. 1",210
