PS No & Name,Address,Constituency Number
1 - Balewadi,"Late Baburav Genuji Balwadkar, PMC School No. 152, Balewadi, Room No.1",211
2 - Balewadi,"Late Baburav Genuji Balwadkar, PMC School No. 152, Balewadi, Room No.2",211
3 - Balewadi,"Late Baburav Genuji Balwadkar, PMC School No. 152, Balewadi, Room No.3",211
4 - Balewadi,"Late Baburav Genuji Balwadkar, PMC School No. 152, Balewadi, Room No.4",211
5 - Balewadi,"Bharati Vidyapeeth Sanstha, Ravindranath Tagor English Medium School, balewadi, Pune-45 Room No.-1",211
6 - Balewadi,"Bharati Vidyapeeth Sanstha, Ravindranath Tagor English Medium School, balewadi, Pune-45 Room No.- 2",211
7 - Balewadi,"Bharati Vidyapeeth Sanstha, Ravindranath Tagor English Medium School, balewadi, Pune-45 Room No.- 3",211
8 - Balewadi,"Bharati Vidyapeeth Sanstha, Ravindranath Tagor English Medium School, balewadi, Pune-45 Room No.- 4",211
9 - Balewadi,"Bharati Vidyapeeth Sanstha, Ravindranath Tagor English Medium School, balewadi, Pune-45 Room No.- 5",211
10 - Balewadi,"Bharati Vidyapeeth Sanstha, Ravindranath Tagor English Medium School, balewadi, Pune-45 Room No.- 6",211
11 - Balewadi,"CM International School, Survey No. 4/2+3, SKP Campus, Baner, Balewadi, Pune-45 Room no - 1",211
12 - Balewadi,"CM International School, Survey No. 4/2+3, SKP Campus, Baner, Balewadi, Pune-45 Room no - 2",211
13 - Balewadi,"CM International School, Survey No. 4/2+3, SKP Campus, Baner, Balewadi, Pune-45 Room no - 3",211
14 - Balewadi,"CM International School, Survey No. 4/2+3, SKP Campus, Baner, Balewadi, Pune-45 Room no - 4",211
15 - Balewadi,"CM International School, Survey No. 4/2+3, SKP Campus, Baner, Balewadi, Pune-45 Room no - 5",211
16 - Balewadi,"CM International School, Survey No. 4/2+3, SKP Campus, Baner, Balewadi, Pune-45 Room no - 6",211
17 - Balewadi,"CM International School, Survey No. 4/2+3, SKP Campus, Baner, Balewadi, Pune-45 Room no - 7",211
18 - Balewadi,"CM International School, Survey No. 4/2+3, SKP Campus, Baner, Balewadi, Pune-45 Room no - 8",211
19 - Balewadi,"CM International School, Survey No. 4/2+3, SKP Campus, Baner, Balewadi, Pune-45 Room no - 9",211
20 - Balewadi,"CM International School, Survey No. 4/2+3, SKP Campus, Baner, Balewadi, Pune-45 Room no - 10",211
21 - Baner,"Pathshala School, Opposite Siemens Office, High Street, Baner Balewadi Road, Pune-45 Room No.- 1",211
22 - Baner,"Pathshala School, Opposite Siemens Office, High Street, Baner Balewadi Road, Pune-45 Room No.- 2",211
23 - Baner,"Pathshala School, Opposite Siemens Office, High Street, Baner Balewadi Road, Pune-45 Room No.- 3",211
24 - Baner,"Pathshala School, Opposite Siemens Office, High Street, Baner Balewadi Road, Pune-45 Room No.- 4",211
25 - Baner,"Sampling School, Plot No 2 Ram Indu Park, Baner Road, Baner, Pune - 45, (Behind Pune Sahakari Bank) Room no - 1",211
26 - Baner,"Sampling School, Plot No 2 Ram Indu Park, Baner Road, Baner, Pune - 45, (Behind Pune Sahakari Bank) Room no - 2",211
27 - Baner,The Orchid School Baner Room No. 1,211
28 - Baner,The Orchid School Baner Room No. 2,211
29 - Baner,The Orchid School Baner Room No.3,211
30 - Baner,The Orchid School Baner Room No. 4,211
31 - Baner,The Orchid School Baner Room No. 5,211
32 - Baner,The Orchid School Baner Room No. 6,211
33 - Baner,The Orchid School Baner Room No. 7,211
34 - Baner,The Orchid School Baner Room No. 8,211
35 - Baner,"Aditya English Medium School, Dhankude Nagar, Pancard Club Road, Baner, Pune - 45 Room No.-1",211
36 - Baner,"Aditya English Medium School, Dhankude Nagar, Pancard Club Road, Baner, Pune- 45 Room No.-2",211
37 - Baner,"Aditya English Medium School, Dhankude Nagar, Pancard Club Road, Baner, Pune - 45 Room No.-3",211
38 - Baner,"Aditya English Medium School, Dhankude Nagar, Pancard Club Road, Baner, Pune - 45 Room No.-4",211
39 - Baner,"Aditya English Medium School, Dhankude Nagar, Pancard Club Road, Baner, Pune - 45 Room No.-5",211
40 - Baner,"Aditya English Medium School, Dhankude Nagar, Pancard Club Road, Baner, Pune - 45 Room No.-6",211
41 - Baner,"Aditya English Medium School, Dhankude Nagar, Pancard Club Road, Baner, Pune - 45 Room No.-7",211
42 - Baner,"Aditya English Medium School, Dhankude Nagar, Pancard Club Road, Baner, Pune - 45 Room No.-8",211
43 - Baner,"Aditya English Medium School, Dhankude Nagar, Pancard Club Road, Baner, Pune - 45 Room No.-9",211
44 - Baner,"Late Sopanrao Baburao Katke, Primary School, 151 B, Baner, Pune, Room No. 1",211
45 - Baner,"Late Sopanrao Baburao Katke, Primary School, 151 B, Baner, Pune, Room No. 2",211
46 - Baner,"Late Sopanrao Baburao Katke, Primary School, 151 B, Baner, Pune, Room No. 3",211
47 - Baner,"Late Sopanrao Baburao Katke, Primary School, 151 B, Baner, Pune, Room No. 4",211
48 - Baner,"Late Sopanrao Baburao Katke, Primary School, 151 B, Baner, Pune, Room No. 5",211
49 - Baner,"Late Sopanrao Baburao Katke, Primary School, 151 B, Baner, Pune, Room No. 6",211
50 - Baner,"Late Sopanrao Baburao Katke, Primary School, 151 B, Baner, Pune, Room No. 7",211
51 - Baner,"Late Sopanrao Baburao Katke, Primary School, 151 B, Baner, Pune, Room No. 8",211
