PS No & Name,Address,Constituency Number
1 - Dattawadi,"Satyanarayan Shivlal Agarwal English Medium School, Ground Floor, Room No. 1",213
2 - Dattawadi,"Satyanarayan Shivlal Agarwal English Medium School, Ground Floor, Room No. 2",213
3 - Dattawadi,"Satyanarayan Shivlal Agarwal English Medium School, Ground Floor, Room No. 3",213
4 - Sinhagad Road Area,"Raosaheb Patvardhan High School, Saneguruji Smarak, Dandekar Bridge, Ground Floor, Room No. 1",213
5 - Sinhagad Road Area,"Raosaheb Patvardhan High School, Saneguruji Smarak, Dandekar Bridge, Ground Floor, Room No. 2",213
6 - Sinhagad Road Area,"Raosaheb Patvardhan High School, Saneguruji Smarak, Dandekar Bridge, Ground Floor, Room No. 3",213
7 - Sinhagad Road Area,"Raosaheb Patvardhan High School, Saneguruji Smarak, Dandekar Bridge, Ground Floor, Room No. 4",213
8 - Sinhagad Road Area,"Raosaheb Patvardhan High School, Saneguruji Smarak, Dandekar Bridge, Ground Floor, Room No. 5",213
9 - Sinhagad Road Area,"Raosaheb Patvardhan High School, Saneguruji Smarak, Dandekar Bridge, Ground Floor, Room No. 6",213
10 - Sinhagad Road Area,"Raosaheb Patvardhan High School, Saneguruji Smarak, Dandekar Bridge, Ground Floor, Room No. 7",213
11 - Sinhagad Road Area,"Raosaheb Patvardhan High School, Saneguruji Smarak, Dandekar Bridge, Ground Floor, Room No. 8",213
12 - Sinhagad Road Area,"Raosaheb Patvardhan High School, Saneguruji Smarak, Dandekar Bridge, Ground Floor, Room No. 9",213
13 - Sinhagad Road Area,"Raosaheb Patvardhan High School, Saneguruji Smarak, Dandekar Bridge, Ground Floor, Room No. 10",213
14 - Sinhagad Road Area,"Raosaheb Patvardhan High School, Saneguruji Smarak, Dandekar Bridge, Ground Floor, Room No. 11",213
15 - Sinhagad Road Area,"Raosaheb Patvardhan High School, Saneguruji Smarak, Dandekar Bridge, Ground Floor, Room No. 12",213
