PS No & Name,Address,Constituency Number
1 - Tadivala Road,Shri. Samarth Shripati Baba Janta Primary Vidyalay Tadivala Road Room No. 1,214
2 - Tadivala Road,Shri. Samarth Shripati Baba Janta Primary Vidyalay Tadivala Road Room No. 2,214
3 - Tadivala Road,Shri. Samarth Shripati Baba Janta Primary Vidyalay Tadivala Road Room No. 4,214
4 - Tadivala Road,Shri. Samarth Shripati Baba Janta Primary Vidyalay Tadivala Road Room No. 5,214
5 - Tadivala Road,Shri. Samarth Shripati Baba Janta Primary Vidyalay Tadivala Road Room No. 6,214
6 - Mangaldas Road,"Anjuman Urdu High School Bandgarden, Room No. 1",214
7 - Mangaldas Road,"Anjuman Urdu High School Bandgarden, Room No. 2",214
8 - Koregaon Park,Kasturaba Gandhi Vidyalay Municipal corporation School No. 39 Koregaon Park Northside Room No. 1 (English Medium),214
9 - Koregaon Park,Kasturaba Gandhi Vidyalay Municipal corporation School No. 39 Koregaon Park Northside Room No. 2 (English Medium),214
10 - Koregaon Park,Kasturaba Gandhi Vidyalay Municipal corporation School No. 39 Koregaon Park Northside Room No. 3 (English Medium),214
11 - Koregaon Park,Kasturaba Gandhi Vidyalay Municipal Corporation School No.39 Koregaon Park Southside Room No. 4 (English Medium),214
12 - Koregaon Park,Sant Gadge Maharaj Vidyalaya Koregaon Park from East Room No. 1,214
13 - Koregaon Park,Sant Gadge Maharaj Vidyalaya Koregaon Park from East Room No. 2,214
14 - Koregaon Park,Sant Gadge Maharaj Vidyalay Koregaon Park from East Room No. 3,214
15 - Koregaon Park,Sant Gadge Maharaj Vidyalay Koregaon Park from East Room No. 4,214
16 - Koregaon Park,Sant Gadge Maharaj Vidyalay Koregaon Park from East Room No. 5,214
17 - Mangaldas Road,Naurosaji Wadiya College South Side building Groundfloor From Westside Room No. 13,214
18 - Mangaldas Road,Naurosaji Wadiya College South Side building Groundfloor From Westside Room No. 14,214
19 - Mangaldas Road,Naurosaji Wadiya College South Side building Groundfloor From Westside Room No. 15,214
20 - Mangaldas Road,Naurosaji Wadiya College South Side building Groundfloor From Westside Room No. 4,214
21 - Mangaldas Road,Naurosaji Wadiya College South Side building Groundfloor Eastside Seminar Hall.,214
22 - Tadivala Road,Late. Shrimati Shantabai Balkrushna Dhole Patil Madhyamik Vidylay Doing Partition Yogasan Hall No. 1,214
23 - Tadivala Road,Late. Shrimati Shantabai Balkrushna Dhole Patil Madhyamik Vidylay Doing Partition Yogasan Hall No. 2,214
24 - Tadivala Road,Late. Shrimati Shantabai Balkrushna Dhole Patil Madhyamik Vidylay Doing Partition Yogasan Hall No. 3,214
25 - Tadivala Road,"Little Angles Nursery & Play Group Sanskar Bharti,Mahila Seva Samitis Balavadi Behind Railway Colony Tadivala Road, Pune , Room No. 1",214
26 - Tadivala Road,"Little Angles Nursery & Play Group Sanskar Bharti,Mahila Seva Samitis Balavadi Behind Railway Colony Tadivala Road, Pune , Room No. 2",214
27 - Tadivala Road,"Little Angles Nursery & Play Group Sanskar Bharti,Mahila Seva Samitis Balavadi Behind Railway Colony Tadivala Road, Pune , Room No. 3",214
28 - Tadivala Road,"Little Angles Nursery & Play Group Sanskar Bharti,Mahila Seva Samitis Balavadi Behind Railway Colony Tadivala Road, Pune , Room No. 4",214
