PS No & Name,Address,Constituency Number
1 - Kasba peth,"Abdul karim Husain Attar Courtwale urdu Pune Muncipal Corporation School No 8.ground floor ,south side Room No 1, kasba peth,Pune - 11",215
2 - Kasba peth,"Abdul karim Husain Attar Courtwale urdu Pune Muncipal Corporation School No 8.ground floor ,south side Room No 1, kasba peth,Pune-11",215
3 - Kasba peth,"Rajmata Jijabai primary Shalagraha Pune Muncipal Corporation School No 6. Room No 1, kasba peth, Pune-11",215
4 - Kasba peth,"Rajmata Jijabai primary Shalagraha Pune Muncipal Corporation School No 6. Room No.2, kasba peth, Pune-11",215
5 - Kasba peth,"Rajmata Jijabai primary Shalagraha Pune Muncipal Corporation School No 6. Room No 3 Kasba peth,Pune-11",215
6 - Kasba peth,"Rajmata Jijabai primary Shalagraha Pune Muncipal Corporation School No 6. Room No 4, kasba peth , Pune-11",215
7 - Kasba peth,"Abdul karim Husain Attar Courtwale urdu Pune Muncipal Corporation School No 8.Ground floor , south side . Computer Room , kasba peth,Pune- 12",215
8 - Kasba peth,"Ahilyadevi Girls Highschool (ground floor ) room no. 4, 393 shanivar peth, pune- 30",215
9 - Kasba peth,"Ahilyadevi Girls Highschool (ground floor ) room no. 5, 393 shanivar peth, pune- 30",215
10 - Kasba peth,"Rajmata Jijabai primary Shalagraha PMC School No 6. West Side, Room No.6, Ground floor kasba peth, Pune-11",215
11 - Kasba peth,"RCM Gujrathi High School, west side, ground floor, near carrom hall, tennis hall, with partition, kasba peth, pune-11",215
12 - Kasba peth,"RCM Gujrathi High School, west side, ground floor, near gymnastics hall, tennis hall, with partition kasba peth, pune-11",215
13 - Kasba peth,"RCM Gujrathi High School, west side, ground floor, gymnastics hall, kasba peth, pune-11",215
14 - Kasba peth,"Rajmata Jijabai primary Shalagraha Pune Muncipal Corporation School No 6, Room No 5. Kasba peth,Pune-11",215
15 - Bhudhwarpeth,"H V Desai college ,ground floor, Room No 1, Budhwar Peth, Pune-2",215
16 - Budhawarpeth,"H V Desai college ,ground floor, Room No 2, Budhwar Peth,Pune-2",215
17 - Shaniwarpeth,"Ideal Highschool ground floor, West side Room No 1,Shaniwar Peth,Pune-30",215
18 - Shaniwarpeth,"Ideal Highschool ground floor ,West side Room No 2,Shaniwar Peth,Pune-30",215
19 - Shaniwarpeth,"Ideal Highschool ground floor, West side Room No 3, Shaniwar Peth,Pune-30",215
20 - Shaniwarpeth,"Ahilyadevi Girls Highschool, ground floor,Room No 1, 393, Shaniwar Peth,Pune-30",215
21 - Shaniwarpeth,"Ahilyadevi Girls Highschool, ground floor, Room No 2, 393, Shaniwar Peth, Pune-30.",215
22 - Shaniwarpeth,"Ahilyadevi Girls Highschool, ground floor, Room No 3, 393, Shaniwar Peth, Pune-30.",215
23 - Shaniwarpeth,"Deccan Education Society, Navin Marathi Primary school, North Side Building, Ground floor Room No 1, Shaniwar Peth,Pune-30",215
24 - Shaniwarpeth,"Deccan Education Society, Navin Marathi Primary school, North Side Building, Ground floor Room No 2, Shaniwar Peth,Pune-30",215
25 - Shaniwarpeth,"Deccan Education Society, Navin Marathi Primary school, North Side Building, Ground floor Room No 3, Shaniwar Peth,Pune-30",215
26 - Shaniwarpeth,"New English school Ramanbag, Ground floor, South Side building room No 5, 345 Shaniwar Peth, Pune-30",215
27 - Shaniwarpeth,"New English school Ramanbag, Ground floor, South Side building room No 6, 345 Shaniwar Peth, Pune-30",215
28 - Shaniwar peth,"New English school Ramanbag, Ground floor, West Side building room No 8, 345 Shaniwar Peth, Pune-30",215
29 - Shaniwar peth,"New English school Ramanbag, Ground floor, West Side building room No 9, 345 Shaniwar Peth, Pune-30",215
30 - Shaniwar peth,"New English school Ramanbag, Ground floor, West Side building room No 10, 345 Shaniwar Peth, Pune-30",215
31 - Narayan peth,"Pune Muncipal Corporation School No 7, Late V B Gogate vidya Niketan, South side Building, ground floor, Room No 1 Narayan Peth,Pune-30",215
32 - Narayan peth,"Pune Muncipal Corporation School No 7, Late V B Gogate vidya Niketan, South side Building, ground floor, Room No 2 Narayan Peth,Pune-30",215
33 - Narayan peth,"Pune Muncipal Corporation School No 7, Late V B Gogate vidya Niketan, South side Building, ground floor, Room No 3 Narayan Peth,Pune-30",215
34 - Narayan peth,"Pune Muncipal Corporation School No 7, Late V B Gogate vidya Niketan, South side Building, ground floor, Late Vasant dada Patil Sanskrutik Sabhagruh,P-1 Narayan Peth,Pune-30",215
35 - Narayan peth,"Pune Muncipal Corporation School No 7, Late V B Gogate vidya Niketan, South side Building, ground floor, Late Vasant dada Patil Sanskrutik Sabhagruh, P-2, Narayan Peth,Pune-30",215
36 - Sadashiv peth,"Dnyanprobhodhini School,510 ground floor Upasana Kendra Hall, Room No 1. sadashivpeth Pune- 30",215
37 - Sadashivpeth,"Dnyanprobhodhini School,510 ground floor Upasana Kendra Hall ,Room No 2. sadashivpeth Pune-30",215
38 - Sadashivpeth,"Maharashtra Rajya Shaikshnik Sanshodhan va Prashikhan Parishad Left Side Space hall of Mahatma Phule Sabhagraha 708, Jondhle chowk, Kumthekar Road, Pune 30",215
39 - Sadashiv peth,"Maharashtra Rajya Shaikshnik Sanshodhan va Prashikhan Parishad Right Side Samiti Kaksha of Mahatma Phule Sabhagraha 708, Jondhle chowk, Kumthekar Road, Pune 30",215
40 - Narayan peth,"S N D T Kanyashala, ground floor, North side building, Room No.1, 591, Narayan peth,Pune- 30.",215
41 - Narayan peth,"S N D T Kanyashala, ground floor, South side building, Room No.2, 591, Narayan peth,Pune- 30.",215
42 - Narayan peth,"S N D T Kanyashala, ground floor, South side building, Room No.3, 591, Narayan peth,Pune- 30.",215
43 - Narayan peth,"S N D T Kanyashala, ground floor, South side building, Room No.4, 591, Narayan peth,Pune- 30.",215
44 - Shaniwar peth,"N M V Shishu shalla ,Ground floor room No.1, Shaniwarpeth,Pune-30.",215
45 - Shaniwar peth,"N M V Shishu shalla ,Ground floor room No.3, Shaniwarpeth,Pune-30.",215
46 - Shaniwar peth,"N M V Shishu shalla ,Ground floor room No.2, Shaniwarpeth,Pune-30.",215
47 - Budhawar peth,"Nutan Marathi vidyalaya Prashala Ground Floor,East side, Room.No.1. 212 Budhwar peth Pune- 2",215
48 - Budhawar peth,"Nutan Marathi vidyalaya Prashala Ground Floor,East side, Room.No.2. 212 Budhwar peth Pune- 2",215
49 - Budhawar peth,"Nutan Marathi vidyalaya Prashala Ground Floor,East side, Room.No.3. 212 Budhwar peth Pune- 2",215
50 - Budhawar peth,"Prathana Samaj Bhandarkar Balmandir, ground floor Room No .1,Budhawar peth, Pune-2.",215
51 - Budhawar peth,"Prathana Samaj Bhandarkar Balmandir, ground floor, Room No .2., Budhwar Peth,Pune-2",215
52 - Kasba peth,"R C M Gujrathi High School, North Side Building,ground floor, Room No 1, Kasba peth,Pune-11",215
53 - Kasba peth,"R C M Gujrathi High School, North Side Building, ground floor,,Room No 2, Kasba peth,Pune - 11",215
