PS No & Name,Address,Constituency Number
1 - Pachpathawadi,"Pachpathawadi Z.P. School East - West Bulding, Room No.1 From Eastern Side",216
2 - Tiradhe Gavthan,"Government Secondary Ashram School Tiradhe East- West Building, Room No .2 From Eastern Side",216
3 - Shivajinagar (Vaitagwadi),Shivaji Nagar (Vaitagwadi) Z .P. School Southern Side Separate Room,216
4 - Pedhewadi,Pedhewadi Z.P. School Southern Side Separate Room,216
5 - Kokanwadi,KokanwadiZ.P. School Eastern Side Separate Room,216
6 - Ekdara,"Ekdara Z.P. School North - South Building, Room No 1 From Northern Side",216
7 - Pimpaldarawadi,"Pimpaldarawadi Z.P.School North South Building, Room No.1 from southern Side",216
8 - Padoshi,Z.P. School Padoshi East West New Building Room No. 1 Western Side,216
9 - Mhalungi,Mhalungi Z.P.School One room separate building,216
10 - Bitaka,"Z.P.School Bitaka East - West Bulding, Room No. 2 From Eastern Side",216
11 - Shenit Bk,Shenit Bk Z.P.School South North Biulding Room No 1 from Northern Side,216
12 - Shenit Kh,Z. P. School Shenit Khu (Thokalwadi) East - West Building Room No.2 From Eastern Side,216
13 - Khirvire,"Khirvire Z.P.School East -West Building, Room No.2 from Eastern Side",216
14 - Khirvire,"Khirvire Z.P.School East -West Building, Room No 6 from Eastern Side",216
15 - Khirvire,"Khirvire Z.P.School East -West Building, Room No. 4 from Eastern Side",216
16 - Sangvi,Sangvi Z.P School East -West Building No.1 From Roo No 1 from Western Side,216
17 - Sangvi,Sangvi Z.P School East - West Building Room No.2 From Westrn Side,216
18 - Keli Rumhanwadi,"Z.P. School Keli Rumhanwadi South - North Building, Room No. 1 from Northern side",216
19 - Nagwadi,Nagwadi (Dhonnarwadi ) Z.P School South North Bulding Room No.2 From South Side,216
20 - Ghodsarwadi,"Ghodserwadi Z.P.School East -West Building, Room No.2 from Eastern Side",216
21 - Sawargaon pat,"Sawargaon pat Z.P.Marathi School , North South Building, Room No.1 from Southern Side",216
22 - Sawargaon pat,"Sawargaon pat Z.P.Marathi School South- North, Room No.4 From Southern Side",216
23 - Samsherpur,"Samsherpur Z.P.School West Side Anganwadi Building, SeparateRoom",216
24 - Samsherpur,Z.P. School Samsherpur South North New Building Room No. 4 from Southern Side,216
25 - Samsherpur,Z.P. School Samsherpur South - North New Building Room No. 2 from Southern Side,216
26 - Tahakari,"Tahakari Z.P.School East -West Building, Room No3 from Eastern side",216
27 - Tahakari,"Tahakari Z.P.School East -West Building, Room No 5 from Eastern side",216
28 - Muthalne,"Muthalne, Z.P.School, Western Side Individual Separate Room",216
29 - Muthalne,Z.P.School Pagirwadi (Muthalne) North-South Building Room No 1 From Southern Side,216
30 - Kombhalne,"Kombhalne Z.P.School East -West Building, Room No.2 from Western Side",216
31 - Sherankhel,Sherankhel Z.P. School,216
32 - Babhulwandi,"Babhulwandi Z.P.School East -West Building, Room No.1 from Eastern side",216
33 - Devgaon,"Devgaon Z.P. School South Side East - West Building, Room No.2 From Eastern Side",216
34 - Pabhulwandi,Pabhulwandi Z.P. School North Side SeparateBuilding One Room,216
35 - Ladgaon,Ladgaon Z.P.School,216
36 - Ambevangan,"Ambevangan Z. P. School East -West Building,Room No 1 From Western side",216
37 - Manhere,Manhere Z.P. School,216
38 - Waranghushi,"Waranghushi Z.P.School North South Building, Room No.2 from Northern side",216
39 - Waranghushi,"Waranghushi Z.P.School North South Building,Room No.4 from Northern side",216
40 - Waranghushi,"Waranghushi Z.P.School North South Building, Room No. 2 from North (New Building)",216
41 - Chichondi,Chichondi Z.P.School East -West Building Room No. 2 from Eastern side,216
42 - Pendshet,"Pendshet Z.P.School North South Building, Room No.1 from Southern side",216
43 - Bari,"Kalsubai Madhyamik Vidyalaya Bari (Placement-Jahangirdarwadi) North - South, Building Room no 1 from South.",216
44 - Jahagirdarwadi,"Jahagirdarwadi Z.P.School South North Building, Room No.1 From Northern side",216
45 - Panjare,"Panjare Z.P.School East -West Building, Room No.2 from Eastern side",216
46 - Uddawane,"Uddawane Z.P.School East -West Building, Room No.2 from Eastern side",216
47 - Ghatghar,"Ghatghar Z.P.School South- North Building, Room No 1 From Southern side",216
48 - Samrad,"Samrad Z.P.School Western Side North South Building, SeparateRoom",216
49 - Ratanwadi,"Ratanwadi, Anganwadi Separate Room",216
50 - Shinganwadi,Shinganwadi Z P School North South Building South Side Room No.1,216
51 - Murshet,Murshet Z.P.Schoo South North Building One Separate Room,216
