PS No & Name,Address,Constituency Number
1 - Devkauthe,Zillha Parishad Primary School Devkauthe South-North Building Room No.1 From South,217
2 - Devkauthe,Zillha Parishad Primary School Devkauthe South-North Building Room No. 3 From South,217
3 - Chincholi Gurav,Zillha Parishad Primary School Chincholi Gurav South-North Building Room No. 3 From South,217
4 - Chincholi Gurav,Zillha Parishad Primary School Chincholi Gurav East West Building Room No. 3 From East,217
5 - Chincholi Gurav,Zillha Parishad Primary School Chincholi Gurav North-South Building Room No. 2 From South,217
6 - Paregaon Bu.,"Zillha Parishad Primary School Paregaon Bk. East-West Building Room No. 1, from West",217
7 - Paregaon Bu.,Zillha Parishad Primary School Paregaon Bk. East West Building Room No. 3 From West,217
8 - Paregaon Bu.,Zillha Parishad Primary School Paregaon Bk. South side East West Building Room No. 1,217
9 - Nimon,"Zillha Parishad Primary School Nimon East-West Building No. 1, Room No. 1. from East",217
10 - Nimon,"Zillha Parishad Primary School Nimon East-West Building No. 1, from East Room No. 4",217
11 - Nimon,"Zillha Parishad Primary School Nimon East-West Building No. 2, from East Room No. 1",217
12 - Nimon,Zillha ParishadPrimary Urdu School Nimon South-North Building Room No 1,217
13 - Palskhede,"Zillha Parishad Primary School Palskhede East-West Building Room No. 2, from West",217
14 - Karhe,"Zillha Parishad Primary School Karhe East-West Building Room No. 1, from East",217
15 - Karhe,"Zillha Parishad Primary School Karhe East-West Building Room No. 3, from East",217
16 - Sonewadi,"Zillha Parishad Primary School Sonewadi East-West Building Room No. 1, from East",217
17 - Pimpale,"Zillha Parishad Primary School Pimpale East-West Building Room No. 1, from West",217
18 - Pimpale,Zillha Parishad Primary School Pimpale East- West Building Room No. 2 from West Side,217
19 - Nannaj Dumala,Zillha Parishad Primary School Nannaj Dumala East-West Building Room No. 3 from West,217
20 - Nannaj Dumala,Zillha Parishad Primary School Nannaj Dumala North-South Building Room No. 2 from South,217
21 - Nannaj Dumala,Zillha Parishad Primary School Nannaj Dumala North-South Building Room No. 1 from South,217
22 - Kakadwadi,"Zillha Parishad Primary School Kakadwadi East-West Room No. 1, from East",217
23 - Talegaon,Zillha Parishad Primary School Talegaon South Side East-West Building Room No. 2 From East,217
24 - Talegaon,Zillha Parishad Primary School Talegaon South Side East-West Building Room No. 4 From East,217
25 - Talegaon,Zillha Parishad Primary School Talegaon East-West Building From West Side Seprate Room,217
26 - Talegaon,Zillha Parishad Primary School Talegaon North Side East-West Building Room No. 1 From East,217
27 - Talegaon,Zillha Parishad Primary School Talegaon West Side North South Building From North Room No. 1,217
28 - Talegaon (Dhangarwada),Zillha Parishad Primary School Talegaon (Dhangarwada) East-West Building Room No. 1 From East,217
29 - Talegaon (Bhagwatwadi),Zillha Parishad Anganwadi Bhagwatwadi -South - North Building Sapret Room,217
30 - Vadzari Bu.,"Zillha Parishad Primary School Vadzari Bk. North-South Building Room No. 3, from South",217
31 - Vadzari Khurd,Zillha Parishad Primary School Vadzari Kd. West Side North South Building Room No. 2 from North,217
32 - Tigaon,Zillha Parishad Primary School Tigaon East-West New Building Room No. 2 From East,217
33 - Paregaon Kd.,Zillha Parishad Primary School Paregaon Kd. North-South Building Room No. 2 From North,217
34 - Sonoshi,Zillha Parishad Primary School Sonoshi East-West Building Room No. 1 From East,217
35 - Maldad,"Shramshakti Madhymik vidyalaya, maldad south-north building room no. 2 from south",217
36 - Maldad,"Shramshakti Madhymik vidyalaya, maldad south-north building room no. 3 from south",217
37 - Saykhindi,"Zillha Parishad Primary School Saykhindi East-West Building No.1 Room No.1, from East",217
38 - Saykhindi,"Zillha Parishad Primary School Saykhindi East-West Building Room No. 1, from East",217
39 - Saykhindi (Mothebaba Wadi),"Zillha Parishad Primary School Saykhindi (Mothebaba Wadi) East-West Building Room No. 2, from West ,",217
40 - Chikani,"Zillha Parishad Primary School Chikani East-West Building Room No. 2, from East",217
41 - Chikani,"Zillha Parishad Primary School Chikani East-West Building Room No. 4, from East",217
42 - Nimgaon Bhojapur,Zillha Parishad Primary School Nimgaon Bhojapur East-West Building Room No.1 From East,217
43 - Nimgaon Bhojapur,Zillha Parishad Primary School Nimgaon Bhojapur East-West Building Room No. 3 From East,217
44 - Velhale,Zillha Parishad Primary School Velhale East-West Building Room No 1 from East,217
45 - Velhale,Zillha Parishad Primary School Velhale South Side East West Building room no 4 From East,217
46 - Velhale (Haribaba Wadi),Zillha Parishad Primary School Velhale (Haribaba Wadi) East-West Building Room No. 2 from West,217
47 - Ghulewadi,Z.P. Primary School Ghulewadi east - west Building Room No .1 From East,217
48 - Ghulewadi,Z.P. Primary School Ghulewadi East West Building Room No. 3 From East,217
49 - Ghulewadi,Z.P. Primary School Ghulewadi North - South Building Room No .1 From North,217
50 - Ghulewadi,Z.P. Primary School Ghulewadi North-South Building Room No. 1 From South,217
51 - Ghulewadi,Sau. Mathurabai bha. Thorat madhyamik vidyalaya east west building room no 5 from east,217
52 - Ghulewadi,Sau. Mathurabai bha. Thorat madhyamik vidyalaya east west building room no 3 from east,217
53 - Ghulewadi,Sangamner College Ghulewadi Between Commerce Building East-West Building Room No. 2 From East,217
54 - Ghulewadi,Sangamner College Ghulewadi Between Commerce Building East-West Building Room No. 4 From East,217
55 - Ghulewadi (Pavbaki),Z.P. Primary School Ghulewadi (Pavbaki) East-West Building Room No. 2 From East,217
56 - Ghulewadi (Amrutnagar),Z.P. Primary School Ghulewadi Amrutnagar East-West Building Room No. 1 From East,217
57 - Ghulewadi (Amrutnagar),Z.P. Primary School Ghulewadi Amrutnagar East-West Building Room No. 3 From East,217
58 - Ghulewadi (Amrutnagar),Z.P. Primary School Ghulewadi Amrutnagar North-South Building Room No. 2 From North,217
