PS No & Name,Address,Constituency Number
1 - Savalivihir Bk.,Z.P. School Savalivihir Bk. East- West Building Room no 1 From West,218
2 - Savalivihir Bk.,Z.P. School Savalivihir Bk. East- West Building Room no 3 FromWest,218
3 - Savalivihir Bk.,Z.P. School Savalivihir Bk. North- South Building Room no 2 From North,218
4 - Savalivihir Bk.,Z.P. School Savalivihir Bk. North- South Building Room no 4 From North,218
5 - Savalivihir Bk.,"New English School Savalivihir Bk, East-West Building Room No.1 From West",218
6 - Savalivihir Bk.,"New English School Savalivihir Bk, East-West Building Room No.3 From West",218
7 - Savalivihir Kd.,Z.P. School Savalivihir Kh.North-South Building Room No.1 From North,218
8 - Savalivihir Kd.,Z.P. School Savalivihir Kh.North South Building Room No.3 From North,218
9 - Savalivihir Kd.,Z.P. School Savalivihir Kh.North South Building Room No.4 From North,218
10 - Rui,"Z.P. School Rui South Side East West Building Ground Floor, Room No1 From East",218
11 - Rui,"Z.P. School Rui South Side East West Building Ground Floor, Room No.4 From East",218
12 - Rui,Z.P. School Rui North -South Building Room No 2 From North,218
13 - Rui,Z.P. School Rui North -South Building Room No 4 From North,218
14 - Nighoj,"Z.P. School Nighoj South side East West Building, Room No 2 From East",218
15 - Nighoj,"Z.P. School Nighoj South side East- West Building, Room No 1 From West",218
16 - Nighoj,"Z.P. School Nighoj North Side East- West Building, Room No1 From West",218
17 - Nimgaon Korale,"Z.P. School Nimgaon ko,New East West Building Room No.1 From West",218
18 - Nimgaon Korale,"Z.P. School Nimgaon ko,New East West Building Room No.2 From West",218
19 - Nimgaon Korale,"Z.P. School Nimgaon ko,New East West Building Room No.3 From West",218
20 - Kankuri,"Z.P. School Kankuri South Side East- WestBuilding, Room No.1 From West",218
21 - Dorhale,Z.P. School Dorhale East-West old Building Room No.2 From East,218
22 - Dorhale,Z.P. School Dorhale East-West old Building Room No.4 From East,218
23 - Walki,"Z.P. School Walki East West New Building, Room No 1 From West",218
24 - Nandurkhi Bk.,"Z.P. School Nandurkhi Bk South- North New Building, Room No.1 From South",218
25 - Nandurkhi Bk.,"Z.P. School Nandurkhi Bk South- North New Building, Room No.3 From South",218
26 - Shirdi,Z.P. School Shirdi South Side East- West Building Room No 4 From East,218
27 - Shirdi,Z.P. School Shirdi West Side North - South Building Room No 1 From North,218
28 - Shirdi,Sainath Prathamik Vidyalay Shirdi East -West New Building Room No 3 From East,218
29 - Shirdi,Sainath Madhyamic Vidyalay Shirdi East -West New Building Room No 2 From East,218
30 - Shirdi,Sainath Madhyamic Vidyalay Shirdi North South Building Room No 2 from North,218
31 - Shirdi,Sainath Madhyamic Vidyalay Shirdi North South Building Room No 3 from North,218
32 - Shirdi,Sainath PrathamikVidyalay Shirdi East West old Building Room No. 4 from East,218
33 - Shirdi,Sainath Prathamik Vidyalay Shirdi East-West old Building Room No. 5 from East,218
34 - Shirdi,Sainath Prathamik Vidyalay Shirdi East-West Old Building Room No. 2 from East,218
35 - Shirdi,Z.P.School Shirdi East Side North- South Building Room No 1 from South,218
36 - Shirdi,Z.P. School Shirdi East side North- South Building Room No 3 from South,218
37 - Shirdi,"Z.P. School Shirdi East-West Building South side, Room No 2 from East",218
38 - Shirdi,"Z.P. School Shirdi East - West Building South side,Room No 3 from East",218
39 - Shirdi,"Z.P.School Shirdi East side South- North Building,Room No. 5 From South",218
40 - Shirdi,Z.P.School Shirdi North side North- South BuildingRoom No.2 From North,218
41 - Shirdi,Z.P.School Shirdi North side East- West Building Room No 2 from East,218
42 - Shirdi,"Z.P. School Shirdi West side North- south Building, Room No 2 from North",218
43 - Shirdi,"Sainath Prathamik Vidyalaya Shirdi South-North Building, Room No 1 from South",218
44 - Shirdi,"Sainath Prathamik Vidyalaya Shirdi west SideNorth-south Building, Room No 2 from North",218
45 - Shirdi,"Sainath Madhyamic Vidyalaya Shirdi South Side East-West New Building, Room No 1 from West",218
46 - Shirdi,"Sainath Madhyamic Vidyalaya Shirdi South-North New Building, Room No 1 from North",218
47 - Shirdi,"Adarsh Madhyamik Vidyalaya East- West Building,Room No 3 from West",218
48 - Shirdi,Adarsh Madhyamik Vidyalay Shirdi East- West Building Room No 4 from West,218
49 - Shirdi,Adarsh Madhyamik Vidyalay Shirdi East- West Building Room No 5 from West,218
50 - Shirdi,Adarsh Madhyamik Vidyalay Shirdi East- West Building Room No 8 from West,218
51 - Shirdi,"Sainath Prathamik Vidyalaya Shirdi East Side,South-North Building, Room No 2 from South",218
52 - Shirdi,"Sainath Prathamik Vidyalaya Shirdi East Side,North-South Building, Room No3 from South",218
53 - Shirdi,Adarsh Primary Vidyalay Shirdi East- West Building Room No 1 from West,218
54 - Shirdi,Adarsh Primary Vidyalay Shirdi East- West Building Room No 3 from West,218
55 - Shirdi,Adarsh Primary Vidyalay Shirdi East- West Building Room No 4 from West,218
56 - Shirdi,Adarsh Primary Vidyalay Shirdi South-North Building Room No 1 from South,218
57 - Shirdi,Adarsh Primary Vidyalay Shirdi South-North Building Room No 2from South,218
58 - Pimpalwadi,Z.P. School Pimpalwadi North South New Building Room No 1 from North,218
59 - Pimpalwadi,Z.P. School Pimpalwadi North South New Building Room No 3 from North,218
60 - Pimpalwadi,Z.P.School Pimpalwadi North South New Building Room No 5 from North,218
61 - Nandurkhi Kd.,Z.P.School Nandurkhi KdSouth- NorthNew Building Room No 1 from North,218
62 - Korhale,Z.P.School Korhale East West New Building Room No 1 from East,218
63 - Korhale,Z.P.School Korhale East West New Building Room No 3 from East,218
64 - Korhale,Z.P. School Korhale East West New Building Room No 5 from East,218
65 - Sakuri,"Z.P. School Sakuri North Side,East- West New Building Room No .1 from West",218
66 - Sakuri,"Z.P. SchoolSakuri North Side,East- West New Building Room No .2 from West",218
67 - Sakuri,Z.P. SchoolSakuri East Side South – North Building Room No.1,218
