PS No & Name,Address,Constituency Number
1 - Nategaon,"Nategaon, Z P School, East - West Building, Eastern Side Room No. 2",219
2 - Nategaon,"Nategaon, Z P School, East - West Building, Eastern Side Room No. 4",219
3 - Brahmangaon,"Brahmangaon Z P Primary School East - West Building, Eastern Side Room No.1",219
4 - Brahmangaon,"Brahmangaon Z P Primary School East - West Building, Eastern Side Room No.7",219
5 - Brahmangaon,"Brahmangaon Z P Primary East - West Building, Eastern Side School Room No.3",219
6 - Brahmangaon,"Brahmangaon Z P Primary East - West Building, Eastern Side School Room No.5",219
7 - Brahmangaon,Bramhangaon Z.P. Primary School East-West Side Shatkoni Building From West,219
8 - Ravande,Ravande Z P Primary School Western Side South North Building Southern Side Room No 1,219
9 - Ravande,Ravande Z P Primary School Western Side South North Building Southern Side Room No 3,219
10 - Ravande,Ravande Z.P. Primary School Eastern Side South North Building Northern Side Room No 1,219
11 - Sangavibhusar,Sangavibhusar Z P School East - West Building Eastern Room No. 1,219
12 - Sangavibhusar,Sangavibhusar Z P School East - West Building Eastern Side Room No. 3,219
13 - Dhamori,"Dhamori Z P School, East - West Building Eastern Side Room No. 3",219
14 - Dhamori,"Dhamori Z P School, South North Building Southern side Room No. 1",219
15 - Dhamori,Dhamori Z P School East - West Building Western Side Room No. 1,219
16 - Dhamori,"Dhamori, Z P School East - West Building Western Side Room No.3",219
17 - Morvis,"Morvis, Z.P.School, South North Building From North Room No.1",219
18 - Baktarpur,"Baktarpur Z P School, East - West Building Western Side Room No 1",219
19 - Vadgaon,"Vadgaon Z P School, East - West Building Western Side Room No 1",219
20 - Chasnali,"Chasnali Z P School, East - West Building Western Side Room No 1",219
21 - Chasnali,"Chasnali Z P School, East - West Building Western Side Room No 2",219
22 - Chasnali,"Chasnali Z P School, East - West Building Western Side Room No 3",219
23 - Manjur,"Manjur Z P School, East - West Building, Eastern Side Room No 1",219
24 - Manjur,"Manjur Z P School, Boravke wasti East - West Building, Eastern Side Room No 4",219
25 - Maygaon Devi,"Maygaon Devi, Z P School East - West Building Eastern Side Room No. 1",219
26 - Maygaon Devi,"Maygaon Devi, Z P School East - West Building Eastern Side Room No. 3",219
27 - Velapur,Velapur Z.P School East-West Building Room No.1 From East,219
28 - Velapur,"Velapur Z P School, East - West Building, Eastern Side Room No 3",219
29 - Suregaon,"Old Gaothan Suregaon Z P School, South North Building Northern Side Room No. 1",219
30 - Suregaon,"Suregaon, Rayat Shikshan Sanstha's Shiviji Madhyamik Vidhyalaya East - West Building, Western Side Room No. 1",219
31 - Suregaon,"Rayat Shikshan Sanstha's Shiviji Madhyamik Vidhyalaya East - West Building, Western Side Room No. 2",219
32 - Suregaon,"Rayat Shikshan Sanstha's Shiviji Madhyamik Vidhyalaya East - West Building, Western Side Room No. 4",219
33 - Suregaon,Rayat Shikshan Sanstha's Shiviji Madhyamik Vidhyalaya East - West Building Western Side Room No. 5,219
34 - Suregaon,Rayat Shikshan Sanstha's Shiviji Madhyamik Vidhyalaya East - West Building Western Side Room No. 7,219
35 - Suregaon Gautam Nagar,Chatrapti Sambhaji Primary VidyalayaSouth North Building Northern Side Room No. 1,219
36 - Suregaon Gautam Nagar,Chatrapti Sambhaji Primary VidyalayaSouth North Building Northern Side Room No. 3,219
37 - Kolgaonthadi,Kolgaonthadi Z. P. School East-West Aanganwadi Building from East,219
