PS No & Name,Address,Constituency Number
1 - Dudhalgaon Khurd,"Zilla Parishad Marathi Primary School, Dudhalgaon Khurd North South Building Room No. 1",21
2 - Rantham,"Zilla Parishad Marathi Primary School, Rantham East West Building West Side Room No. 1",21
3 - Vaghola,"Zilla Parishad Marathi Primary School, Waghola North South Building South Side Room No. 1",21
4 - Vaghola,"Zilla Parishad Marathi Primary School, Waghola East Side Sarvashiksha Abhiyan Room",21
5 - Chinchol,"Zilla Parishad Marathi Primary School, Chinchol East West Building Westside Sarv Shiksha Abhiyan Room",21
6 - Mhaiswadi,"Zilla Parishad Marathi Upper Primary School, Mhaiswadi North South Building Northside Room N0. 2",21
7 - Mhaiswadi,"Zilla Parishad Marathi Upper Primary School, Mhaiswadi North South Building Southside Room No. 2",21
8 - Dasarkhed,"Zilla Parishad Marathi Primary School, Dasarkhed North South Building Southside Room No. 1",21
9 - Bhangura,"Zilla Parishad Marathi Primary School, Bhanagura East West Building East Side Room No. 1",21
10 - Tighra,"Zilla Parishad Marathi Primary School, Tighra North-South Building, Southside Room No. 1",21
11 - Talaswada,"Zilla Parishad Central Marathi Upper Primary School, Talaswada Southside East West Building Room No. 1",21
12 - Talaswada,"Zilla Parishad Central Marathi Upper Primary School, Talaswada Southside East-West Building,Room No.2",21
13 - Narvel,"Zilla Parishad Central Marathi Primary Boys School, Narvel North SouthBuilding Southside Room No.1",21
14 - Narvel,"Zilla Parishad Marathi Primary Girls School, Narvel North South Building, Northside Room No. 2",21
15 - Narvel,"Zilla Parishad Central Marathi Primary Boys School, Narvel North-South Building, Northside Last Room No.1",21
16 - Harsoda,"Zilla Parishad Marathi Upper Primary School,Harsoda East West Building Eastside Room No.1",21
17 - Harsoda,"Zilla Parishad Marathi Upper Primary School, Harsoda East West Building Eastside Room No. 3",21
18 - Kalegaon,"Zilla Parishad Marathi Primary School, Kalegaon East-West Building, Westside Room No. 1",21
19 - Savargaon Nehu,"Zilla Parishad Marathi Upper Primary School, Savargaon Nehu South North Buliding Southside Room No. 2",21
20 - Savargaon Nehu,"Zilla Parishad Marathi Upper Primary School, Savargaon Nehu East West Buliding East side Room No. 2",21
21 - Khedgaon,"Zilla Parishad Marathi Primary School, Khedgaon East West Buliding East side Room No. 1",21
22 - Isarkhed,"Zilla Parishad Marathi Primary School, Isarkhed Room No. 1",21
23 - Takli Vatpal,"Zilla Parishad Marathi Upper Primary School, Takli Vatpal North South Buliding South Side Room No. 1",21
24 - Takli Vatpal,"Zilla Parishad Marathi Upper Primary School, Takli Vatpal North South Buliding South Side Room No. 3",21
25 - Jigaon,"Zilla Parishad Marathi Upper Primary School, Jigaon East West Building East side Room No. 4",21
26 - Jigaon,"Zilla Parishad Marathi Upper Primary School, Jigaon East West Building West Side Room No. 2",21
27 - Palsoda,"Zilla Parishad Marathi Upper Primary School, Palsoda East West Building East Side Room No. 2",21
28 - Palsoda,Zilla Parishad Marathi Upper Primary Palsoda East- West building Eastern side Roon No.3,21
29 - Patonda,"Zilla Parishad Marathi Primary School, Patonda East West building Eastern Side Room No. 2",21
30 - Belad,"Zilla Parishad Marathi primary School, Belad East west building eastern side Room No. 1",21
31 - Yerali,"Zilla Parishad Marathi Upper Primary School, Yerali South North Building south side Room No. 2",21
32 - Yerali,"Zilla Parishad Marathi Upper Primary School, Yerali South North Building Northern side Room No. 1",21
33 - Dadgaon,"Zilla Parishad Marathi Upper Primary School, Dadgaon North South New building Sarv Shiksha abhiyan Room No. 1",21
34 - Hingana Isapur,"Zilla Parishad Marathi Primary School, Hingna Isapur East West New Building Western side Room No. 2",21
35 - Bhota,"Zilla Parishad Marathi Primary School, Bhota East West Building Eastern side Room No. 3",21
36 - Hingana Bhota,"Zilla Parishad Marathi Primary School, Hingna Bhota East West Building Eastern side Room No. 1",21
37 - Isapur,"Zilla Parishad Marathi Primary School, Isapur North South building room",21
38 - Narkhed,"Zilla Parishad Marathi Upper Primary School, Narkhed East West Building Eastern side Room No. 2",21
39 - Narkhed,"Zilla Parishad Marathi Upper Primary School, Narkhed East West Building Eastern side Room No. 1",21
40 - Nimgaon,"Zilla Parishad Marathi Primary Boys School, Nimgaon East West Building Northern Side old Building Eastern side room No. 1",21
41 - Nimgaon,"Zilla Parishad Marathi Primary Boys School, Nimgaon East West Building Northern Side old Building Eastern side Room No. 3",21
42 - Nimgaon,"Zilla Parishad Marathi Primary Boys School, Nimgaon North South Building Northern side Roon No. 2 (Hall)",21
43 - Nimgaon,"Zilla Parishad Marathi Primary Boys School, Nimgaon East West Building Eastern side Room No. 1",21
44 - Nimgaon,"Zilla Parishad Urdu Primary School, Nimgaon Eastern side Room No. 1",21
45 - Nimgaon,Gram Panchayat office Nimgaon East West New building Room No. 2,21
46 - Rampur,"Zilla Parishad Marathi Primary School, Rampur Room No. 1",21
47 - Alampur,"Zilla Parishad Marathi Upper Primary School, Alampur North South Buildingin Northen side Room No. 3",21
48 - Alampur,"Zilla Parishad Marathi Upper Primary School, Alampur North South Building Northern side Room No. 4",21
49 - Mamulwadi,"Zilla Parishad Marathi Upper Primary School, Mamulwadi North south Building room",21
50 - Mamulwadi,"Zilla Parishad Marathi Upper Primary School, Mamulwadi East West Building East side Room No. 2",21
51 - Dhadi,"Zilla Parishad Marathi Primary School, Dhadi Room No.2",21
52 - Hingane Gavhad,"Zilla Parishad Marathi Primary School, Hingne Gavhad North South Building South side Room No. 1",21
53 - Mominabad,"Zilla Parishad Marathi Upper Primary School, Mominabad East West Building west side Room No. 2",21
54 - Vadgaon Dighi,"Zilla Parishad Marathi Primary School, Vadgaon Dighi Northern side Room",21
55 - Wadoda,"Zilla Parishad Marathi Upper Primary School, Wadoda Outside Village New East West Building Eastside Room No. 1",21
56 - Wadoda,"Zilla Parishad Marathi Upper Primary School, Wadoda Outside Village New East West Building Room No. 1 Near Office",21
57 - Wadoda,"Zilla Parishad Urdu Primary School, Wadoda East West Building Room Near Office",21
58 - Zodaga,"Zilla Parishad Marathi Upper Primary School, Zodga East West Building West side Room No.1",21
59 - Zodaga,"Zilla Parishad Marathi Upper Primary School, Zodaga North South Building, Southside Room No. 1",21
60 - Tandulwadi,"Zilla Parishad Marathi Upper Primary School, Tandulwadi North South Building Room No. 1",21
61 - Vivra,"Zilla Parishad Marathi Upper Primary School, Vivra East West Building Eastside Room No.1",21
62 - Vivra,"Zilla Parishad Marathi Upper Primary School, Vivra Sarvashiksha Abhiyan Room",21
63 - Devdhaba,"Zilla Parishad Marathi Primary School, Deodhaba North South Eastside Building South Side Last Room No. 1",21
64 - Devdhaba,"Zilla Parishad Marathi Primary School, Deodhaba North South Westside Building Southside Room No.1",21
65 - Devdhaba,"Zilla Parishad Marathi Primary School, Deodhaba North South Westside Building Sarvashiksha Abhiyan Room",21
66 - Gorad,"Zilla Parishad Marathi Primary School, Gorad Westside Room No. 1",21
67 - Hingna Quazi,"Zilla Parishad Marathi Primary School, Hinganakazi North Sourth Building Northside Room No. 1",21
68 - Bhalegaon,"Zilla Parishad Marathi Upper Primary School, Bhalegaon East West Building Eastside Room No. 2",21
69 - Rangaon,"Zilla Parishad Marathi Primary School, Rangaon North South Building Northside Room No. 1",21
70 - Kund Khurd,"Zilla Parishad Marathi Upper Primary School, Kund Khurd East West Building Eastside Room No. 3",21
71 - Kund Bk,"Zilla Parishad Marathi Upper Primary School, Kund Bk. North South Building Northside Room No. 1",21
72 - Dharangaon,"Zilla Parishad Central Marathi Primary School, Dharangaon North South Building Southside Room No. 2",21
73 - Dharangaon,"Zilla Parishad Central Marathi Primary School, Dharangaon North South Building Northside Room No. 3",21
74 - Dharangaon,"Zilla Parishad Central Marathi Primary School, Dharangaon Sarvashiksha Abhiyan Room",21
75 - Anurabad,"Zilla Parishad Marathi Primary School, Anurabad East West Building Eastside Room No.1",21
76 - Panhera,"Zilla Parishad Marathi Upper Primary School, Panhera North South Building Northside Room No. 1",21
77 - Chandur Bisva,"Zilla Parishad Girls Primary School, Chandur Biswa East West Building Eastern Side Room No. 1",21
78 - Chandur Bisva,"Zilla Parishad Girls Primary School,Chandur Biswa North-South Building, North side Room No.2,",21
79 - Chandur Bisva,"Zilla Parishad Marathi Primary Boys School, Chandur Biswa North South Building Room No. 1",21
80 - Chandur Bisva,"Zilla Parishad Marathi Primary Boys School, Chandur Biswa East West Building Western side Room No. 2",21
81 - Chandur Bisva,"Zilla Parishad Marathi Primary Boys School, Chandur Biswa East West Building Eastern side Room No. 1",21
82 - Chandur Bisva,"Zilla Parishad Marathi Primary Boys School, Chandur Biswa Meeting Hall Chandur Biswa",21
83 - Chandur Bisva,"Zilla Parishad Marathi Primary Boys School, Chandur Biswa premises South side Anganwadi Room No. 1",21
84 - Kherda,"Zilla Parishad Marathi School, Room Kherda",21
85 - Khumgaon,"Zilla Parishad Marathi Upper Primary School, Khumgaon East West Building Eastern side Room No. 1",21
86 - Khumgaon,"Zilla Parishad Marathi Upper Primary School, Khumgaon East West Building Western side Room No. 1",21
87 - Dahigaon,"Zilla Parishad Marathi Primary School, Dahigaon Northern side East West Building Eastern side Room No. 1",21
88 - Dahigaon,"Zilla Parishad Marathi Primary School, Dahigaon Eastern side North South Building Southern side First Room",21
89 - Avdha Bk,"Zilla Parishad Marathi Primary School, Avadha Bk. old Building Southern side Room",21
90 - Avdha Kh,"Zilla Parishad Marathi Primary School, Avadha Khurd Room No. 1",21
91 - Bhuishinga,"Zilla Parishad Marathi Primary School, Bhuishinga South North New Building Southern side Room",21
92 - Nandura,"A.R.Umale English Convent School, Nandura East West Building Eastern Side Room No. 2,",21
93 - Nandura,A.R. Umale English Convent Nandura East West Building Eastern Side Room No. 3,21
94 - Nandura,Panchayat Samiti Office Nandura premises North South Center Line Meeting Hall Nandura,21
95 - Nandura,A.R. Umale English Convent Nandura East West Building Eastern Side Room No. 4,21
96 - Nandura,Panchayat Samiti Nandura premises North South Center Line Live Stock Development Office Room,21
97 - Nandura,Panchayat Samiti Nandura premises Gat Sadhan kendra Room Near Mahatma Gandhi Statue,21
98 - Nandura,"Nagar Parishad Girls Primary School, Nandura South Side East West Building Eastern side 2nd Room",21
99 - Nandura,"Nagar Parishad Girls Primary School, Nandura Western side North South Buliding Northern Side 2nd Room",21
100 - Nandura,"Nagar Parishad Girls Primary School, Nandura Western side North South Buliding 1st Room from North Side",21
101 - Nandura,"Shri Shivaji High School, Nandura North Side East West Building last corner Room No. 7",21
102 - Nandura,"Shri Shivaji High School, Nandura North Side East West Building West side near Teacher room Room No. 2",21
103 - Nandura,"Weekly Market Nagar Parishad Hindi primary School, Nandura East West Building West side Room No. 1",21
104 - Nandura,Panchayat Samiti office Nandura premises North South Center Line North side Farmers House Room,21
105 - Nandura,"Deputy Superitendent of Land Record office, Nandura Southward Western side middle room",21
106 - Nandura,"Kothari High School, Girls School, Nandura Northern side East West Building West side 1st room",21
107 - Nandura,Bhartiya Dnyanpith Vidyalay Nandura East side South North Building Room No. 5,21
108 - Nandura,"Bharatiya Dnyanpith Vidyalay Nandura South- North Bulding, East side Room No. 3",21
109 - Nandura,"N.P.Marathi primary School, No. 1 Nandura North South Building Northern side Room No. 3",21
110 - Nandura,"Nagar Parishad Marathi Primary School, No.1 Nandura East West Building Room Near Office",21
111 - Nandura,"Kothari High School, Boys School, Nandura South Side East West Building West Side 3rd Room No. 7",21
112 - Nandura,"Kothari Boys High School, Nandura , South side East-West Building, West side Room No.7,",21
113 - Nandura,"Kothari High School, Boys School, Nandura South Side East West Building West side 2nd Room No. 8",21
114 - Nandura,"Kothari High School, Boys School, Nandura South Side Back Building East side 3rd Room No. 5,",21
115 - Nandura,"Kothari High School, Boys School, Nandura North South Building South Side 3rd Room No. 27",21
116 - Nandura,"M.P. Kothari Ladies College, Nandura West wing North South Building southward first room (Lecturer Room)",21
117 - Nandura,"Kothari High School, Boys School, Nandura East West Building East side 2nd Room No. 4",21
118 - Nandura,"Nagar Parishad Marathi primary School, Nandura Khurd East West New Building East side 2nd Room No. 1",21
119 - Nandura,"Nagar Parishad Marathi primary School, Nandura Khurd East West New Building 2nd Room No. 3 from East side near stair case",21
120 - Nandura,"Nagar Parishad Marathi primary School, No..2 Nandura Khurd Saravshiksha Abhiyan Room",21
121 - Nandura,"Nagar Parishad Marathi primary School, Nandura Khurd East West New Building east side 3rd Room No. 2",21
122 - Nandura,"Nagar Parishad Marathi Primary School, Nandura Khurd., East-West New Building, Eastern side Room",21
123 - Nandura,"Nagar Parishad Marathi primary School, Nandura Khurd North South New Building South Side 2nd Room No. 4",21
124 - Nandura,Kothari D. Ed. Collage Nandura Khurd Ground Flower Room No. 2,21
125 - Nandura,Kothari D. Ed Collage Nandura Khurd Ground Flower Room No.4,21
126 - Nandura,"Kothari Boys High School, Nandura North South Building South side 4th Room No. 28",21
127 - Matoda,"Zilla Parishad Marathi Upper Primary School, Matoda North South Building Southern side 1st room",21
128 - Isabpur,"Zilla Parishad Marathi Primary School, Isabpur North South Building Northern side Room No. 2",21
