PS No & Name,Address,Constituency Number
1 - Matulthan,Matulthan Z. P. School South North Building From North Side Room No. 1,220
2 - Gondegaon,Gondegaon Z. P. School South North Building From North side Room No 2,220
3 - Gondegaon,Gondegaon Z.P.School South North Building From North side Room No 4,220
4 - Gondegaon,t Building From West side Room No 2,220
5 - Naygaon,est building from East Side Room No 2.,220
6 - Naygaon,Naygaon Z.P.School Old gaothan South-North building from South side room No. 1.,220
7 - Jafarabad,Jafarabad Z. P.School East-West Building from East side room No. 2.,220
8 - Naur,Z P School Naur East West building Room No 1 From East Side,220
9 - Naur,Z P School Naur East West building Room No 3 From East Side,220
10 - Rampur,Rampur Z. P. School East-West building from East side room No. 3.,220
11 - Govardhanpur,"Govardhanpur Z.P. School Anganwadi no.187 ,South North Building room no.1 from North",220
12 - Sarala,Sarala Z. P. School South-North building from North side room No.1.,220
13 - Malewadi,Z.P. School Malewadi South-North Building Room No 3 From South Side,220
14 - Malewadi,"Malewadi Z.P.School, South North Building, From South Side Room No. 1",220
15 - Mahankal Wadgaon,Mahankal Wadgaon Z.P.School South North Building From North Side Room No 1,220
16 - Mahankal Wadgaom,Mahankal Wadgaon Z.P.School South North Building From North Side Room No 3,220
17 - Khanapur (Old Gaunthan ),"Grampanchayat Office Room, Khanapur",220
18 - Khanapur(Ne w Gaunthan),Khanapur Z.P.School New Gaothan East west Building From East side Room 1,220
19 - Undirgaon,Undirgaon Z.P.School East west Building From East side Room No3,220
20 - Undirgaon,Bhaskarrov Galande Patil High School (New Building)South North Building From North Side Room No - 1,220
21 - Undirgaon,Bhaskarrov Galande Patil High School(New Building) South North Building From North Side Room No - 3,220
22 - Undirgaon,Sant Tereja Boys Highschool North South Building North side Room No 1,220
23 - Undirgaon,Sant Tereja Boys Highschool North South Building North side Room No 3,220
24 - Khairi,Khairi Z.P.School East west Building From East side Room No 2,220
25 - Khairi,Nimgaon khairi Z.P.School East west Building From East side Room No 4,220
26 - Nimgaon (Khairi),Nimgaon (Khairi) Z.P.School area Anganwadi building Khairi Nimgaon,220
27 - Nimgaon Khairi,Nimgaon Z. P. School East side South-North Building From North side Room 1.,220
28 - Nimgaon Khairi,Nimgaon Z. P. School East side South-North Building From North side Room 3.,220
29 - Nimgaon Khairi,Nimgaon Z.P.School New Gaothan West side North South BuildingNorth side Room No.1,220
30 - Dighi,Dighi Z.P.School South North Building From North side Room No 2,220
31 - Bhairavnath- nagar (Shrirampur),Shrirampur (Gondhawani)N P.School No 3 South- North building From SouthSideRoom No 2,220
32 - Bhairavnath- nagar (Shrirampur),Shrirampur (Gondhawani)N P.School No 3 East- West building From East SideRoom No 4,220
33 - Bhairavnath- nagar (Shrirampur),Shrirampur (Gondhawani)N P.School No 3 South- North building From South SideRoom No 4,220
34 - Bhairavnath- nagar (Shrirampur),Bhairavnathnagar Z.P. School Soot Girni East- West Building Room no-2 from West Side,220
35 - Bhairavnath- nagar (Shrirampur),Bhairavnathnagar Z.P. School Soot Girni East- West Building Room no-1 from East Side,220
36 - Bramhangaon vetal,Bramhangaon vetal Z.P.School South North building From North side Room No 1,220
37 - Haregaon,Haregaon Z. P. School East West building East Side Room No 4,220
38 - Haregaon,Z.P Primary School Haregaon East West Building From East Side Room No - 2,220
39 - Haregaon,Z.P Primary School Near Haregaon Anganwadi Building Haregaon,220
40 - Haregaon,Haregaon Belapur Sugar Factory Primary School East West Building East Side Room No 1,220
41 - Haregaon,Haregaon State Farmimg Corporation Z. P. School A Block,220
42 - Haregaon (Satwadi),"Haregaon Satwadi State farming co. Office, East wast building from East side Room No.3",220
43 - Malwadgaon,Malwadgaon Z.P.School South North Building From South Side Room No 3,220
44 - Malwadgaon,Malwadgaon Z.P.School South North Building From South Side Room No 5,220
45 - Malwadgaon,"Malwadgaon Z.P.School area new english school, East west Building From east Side Room No 4",220
46 - Bhamathan,"Bhamathan Z.P. School East West Building, Room no.1 from East",220
47 - Bhamathan,"Bhamathan Z.P.School,South North Building,Room no.1 from South",220
48 - Kamalpur,Kamalpur Z.P.School New Building East West Building From East Side Room No - 2,220
49 - Ghumandeo,Ghumandeo Z.P.School East west Building From East side Room No 3,220
50 - Muthewadgao n,Muthewadgaon Z P Scool East west Building From East side Room No 1,220
51 - Muthewadgao n,Muthewadgaon Z P Scool East west Building From East side Room No 3,220
52 - WadalaMaha deo,Wadala Mahadeo Z.P.School East West Building From East side Room No 2,220
53 - WadalaMaha deo,Wadala Mahadeo Z.P.School area kendra Pramukh Building .,220
54 - WadalaMahad eo,Wadala Mahadeo Z.P.School South Side East West Building from east side Room No 1,220
55 - WadalaMahad eo,Wadala Mahadeo Z.P.School South Side East West Building from east side Room No 3,220
56 - Shirasgaon,New English School Shirasgaon South North Building From South side Room No 3,220
57 - Shirasgaon,New English School Shirasgaon South North Building From South side Room No 5,220
58 - Shirasgaon,Shirasgaon Z P School East West Building from West side Room no 2,220
59 - Shirasgaon,Shirasgaon Z P School East West Building from West side Room no 4,220
60 - Shirasgaon,Shirasgaon Z P School East West Building from West side Room no 6,220
61 - Shirasgaon,Shirasgaon Z P School East West Building from West side Room no 8,220
62 - Shirasgaon,Shirasgaon New English School South North Building From South side Room No 7,220
63 - Shrirampur,"Shrirampur N P.School No 3,Godhavani South- North Building Room NO-1 From North Side",220
64 - Shrirampur,Shrirampur N P.School No 3Godhavani East- West building From East Side Room No 2,220
65 - Shrirampur,ShrirampurN P.School No 3 East- West building From East SideRoom No 3,220
66 - Shrirampur,Shrirampur Education Society School South North building From North Side Room No 1,220
67 - Shrirampur,Shrirampur Education Society Primary School South North building From North Side Room No 2,220
68 - Shrirampur,Shrirampur Education Soceity Primary School South North building From North Side Room No 3,220
69 - Shrirampur,"Shrirampur Education Society high school, East- West building from West side room No. 1.",220
70 - Shrirampur,Shrirampur Education Soceity highschool South North building From South Side Room No 1,220
71 - Shrirampur,Shrirampur Education Soceity high School South North building From South Side Room No 2,220
72 - Shrirampur,Shrirampur N P School Fakirwada South North New building From North side Room No2,220
73 - Shrirampur,Shrirampur N P School Fakirwada East West building From East side Room No 2,220
74 - Shrirampur,Shrirampur N P School Fakirwada East West building From East side Room No 1,220
75 - Shrirampur,"Hajrat Maulana Makdum Hussain Saheb Urdu Highschool Almijan urdu primary school, Sindhi colony, Tambe Chawl, Ward No 1 Shrirampur North side East West Building west side Room No 2",220
76 - Shrirampur,"Hajrat Maulana Makdum Hussain Saheb Urdu Highschool Almijan urdu primary school, Sindhi colony, Tambe Chawl, Ward No 1 Shrirampur Northen side East West Building western side Room No 4",220
77 - Shrirampur,Shrirampur Panchayat Samiti Office South North building From South Side Room No 3 (ADM Dept),220
78 - Shrirampur,Shrirampur Panchayat Office Gat Sadhan Center Room Shrirampur,220
79 - Shrirampur,Model English School Dashmeshnagar Shrirampur South side Room No 1,220
80 - Shrirampur,Shrirampur Dy.Sup.LandRecords Office MainBuilding.,220
81 - Shrirampur,Mullana Abddul Kalam Azad N.P Urdu School No 4 South North Building From South side Room No 2,220
82 - Shrirampur,Mullana Abddul Kalam Azad N.P Urdu School No 4 South North Building From South side Room No 5,220
83 - Shrirampur,Model English School East West Building From West Side Room No- 1,220
84 - Shrirampur,Model English School South North Building Form North Side Room No - 1,220
85 - Shrirampur,Paramveer Sahid A.Hamid N.P. School No-5 Sourh North Building From South Side Room No - 1,220
86 - Shrirampur,Kh.Govindrav Adik Urdu High School South North Building From North Side Room No - 1,220
87 - Shrirampur,Paramveer Sahid A.Hamid N.P.School No. 5 South North Building From South side Room No 4,220
88 - Shrirampur,Shrirampur N P School No 6 South North New Building From North Side Room No 2,220
