PS No & Name,Address,Constituency Number
1 - Bhalgaon,"Z.P. School, Bhalgaon East- West Building East Side Room No. 3",221
2 - Ustal Khalsa,"Z.P. School, Ustal Khalsa East- West Building East Side, Room No. 1",221
3 - Suregaon / Ganga,Z.P. School East- West BuildingEast side Room No.6,221
4 - Suregaon / Ganga,Z.P. School Suregaon East- West Building East side Room No.4,221
5 - Belpandhari,"Z.P. School, Belpandhari East- West Building East Side, Room No.3",221
6 - Jainpur,"GRAMPANCHAYAT OFFICE, JAINPUR",221
7 - Ghoghargaon,Z.P.School Ghogargaon East- West Building East Side Room No.1,221
8 - Ghoghargaon,Z.P.School Ghogargaon East- West Building East Side Room No.3,221
9 - Ghoghargaon,Z.P. School Ghogargaon East- West Building East Side Room No.5,221
10 - Belpimpalgaon,"Z.P. School, Belpimpalgaon East- West Building East side,. Room No. 2",221
11 - Belpimpalgaon,"Z.P. School, Belpimpalgaon East- West Building East side,. Room No. 4",221
12 - Belpimpalgaon,"Z.P. School, Belpimpalgaon East- West Building East side,. Room No. 9",221
13 - Newasa Bu.,"Z.P. School, Newasa Bu. East- West Building East side Room No. 6",221
14 - Newasa Bu.,"Z.P. School, Newasa Bu. East- West Building East side Room No. 4",221
15 - Newasa Bu.,"Z.P. School, Newasa Bu. East- West Building East side, Room No. 2",221
16 - Newasa Bu.,"Z.P. School, Sainath Nagar East- West Building East Side, Room No. 1",221
17 - Newasa Bu.,"Z.P. School, Sainath Nagar East- West Building East Side, Room No. 2",221
18 - Bahirwadi,Z.P.School Bahirwadi Vasti East- West new Building East side Room No.3,221
19 - DHAMORI,Z.P.PRIMARY SCHOOL DHAMORI East- West Building EAST SIDE ROOM NO 1,221
20 - Madke,"Z.P. School, Madke East- West Building East side, Room No. 1",221
21 - Murme,"Z.P. School, Murmi East- West Building East Side, Room No. 1",221
22 - Godhegaon,"Z.P. School, Godhegaon East- West Building East Side, Room No. 1",221
23 - Toka,"Z.P. School, Pravarasangam North-South Building (West Wing) North Side, Room No. 3",221
24 - Baku Pimapalgaon,"Z.P. School, Baku Pimpalgaon North-South Building North Side Room No. 1",221
25 - Khadaka,"Z.P. School, Khadka East- West Building East Side, Room No. 1",221
