PS No & Name,Address,Constituency Number
1 - Dhahigaon (Ne),"Dahigaon (Ne), Z. P. School, South Side Building, East side, Room No. 1",222
2 - Dhahigaon (Ne),"Dahigaon (Ne), Z. P. School, South Side Building, East side, Room No. 2",222
3 - Dhahigaon (Ne),"Dahigaon (Ne), Z. P. School, South Side Building, East side, Room No. 3",222
4 - Dhaigaon (Ne),Dahigaon Ne Z.P School South Side Building East Room No.6,222
5 - Dhaigaon (Ne),Dahigaon Ne Z.P South North Building South side Room No.1,222
6 - Dhaigaon (Ne),Dahigaon Ne Z.P South North Building South side Room No.2,222
7 - Ranjani,"Ranjani, Z. P. School, East Side, Room No. 1",222
8 - Sultanpur (Bu.),Sultanpur Bu. Z.P School South New Building East Side Room No.1,222
9 - Sultanpur (Bu.),Sultanpur Bu. Z.P School South New Building East Side Room No.2,222
10 - Bhavinimgaon,Bhavinimgaon. Z.P School East West Building East side Room No. 4,222
11 - Bhavinimgaon,Bhavinimgaon. Z.P School East West Building East side Room No. 2,222
12 - Shahartakali,Z.P School Shahartakli South North Building North Room No.2,222
13 - Shahartakali,Z.P School Shahrtakli South North Building North Room No. 3,222
14 - Shahartakali,Z.P School Shahrtakli South North Building North Room No.4,222
15 - Majaleshahar,"Majaleshahar, Z. P. School, East Side Room No. 2",222
16 - Majaleshahar,"Majaleshahar, Z. P. School, East Side Room No. 4",222
17 - Bhaygaon,"Z.P. School Bhaygaon, From West Side, Room No. 1",222
18 - Bhaygaon,"Bhaygaon, Z.P. Primary School East Building West Side Room No. 3",222
19 - Baktarpur,Z.P School Baktarpur East Room No.1,222
20 - Devtakali,"Z.P. School, Deotakali, Old Building, From West Side Room no. 1",222
21 - Devtakali,"Devtakali, Z.P. School, West Side Room No. 2",222
22 - Hingangaon Ne.,"Z. P. School, From West Side Room no. 1",222
23 - Dhorsade,"Dhorsade Z. P. School,West Side Room No. 2",222
24 - Tajnapur,"Z. P. School, Tajmapur East Side Room no. 1",222
25 - Bodakhe,Ekatmik Balvikas Anganwadi Room no. 1,222
26 - Navin Dahifal,"Navin Dahifal, Z. P. School, East side Room No. 2",222
27 - June Dahifal,"June Dahifal, Z. P. School, East west building East Room No. 2",222
28 - June Dahifal,"June Dahifal, Z. P. School, East west building East Room No. 4",222
29 - Earandgaon (Bhagwat),"Z. P. School,Erandgaon Bhagwat, East West Building, From West Side Room No.1",222
30 - Earandgaon (Samsud),"Earandgaon (samsud) Z. P. School, East west New Bulliding , From East side Room No. 2",222
31 - Earandgaon (Samsud),"Z.P. School, Earandgaon (Samsud) East West Building, New Building East Side Room no. 1",222
32 - Lakhephal,"Lakhephal, Z.P. School, South side East West building, East Side Room No.1",222
33 - Vijaypur,New Grampanchayat Karyalay weast Side Room no.1,222
34 - Karhetakali,"Karhetakali Z. P. School, New South North Building North South, Room No.1",222
35 - Khanapur,"Z.P. School, Khanapur East Side Room No.1",222
36 - Antarvali (ku.Ne.),"Antarvali (Ku.Ne.) Z. P. School, West Side, Room No. 2",222
37 - Ghotan,Z.P School Ghotan South side New Building East Side Room No.2,222
38 - Ghotan,Z.P School Ghotan West New Building South Side Room No.1,222
39 - Ghotan,"Ghotan, Z. P. School, New Building, South side Room No. 2",222
40 - Ghotan,Z.P School Ghotan Old Building South Side Room No. 4,222
41 - Talni,"Talni, Z. P. School, West side Room No. 1",222
42 - Khuntephal,Z.P School North South New Building North Side Room No.1,222
43 - Dadegaon,"Dadegaon, Z. P. School, East side Room No. – 1",222
44 - Khamgaon,"Khamgaon, Z. P. School, East West Building Room No-2",222
45 - Joharapur,Johrapur Z.P School New Building East West Bullding From East Room no. 1,222
46 - Joharapur,Johrapur Z.P School New Building East West Bullding From East Room no. 3,222
47 - Bhatkudgaon,"Bhatkudgaon Z.P. School, South Side Building East side Room No. 1",222
48 - Bhatkudgaon,"Bhatkudgaon Z.P. School, South Side Building East side Room No. 2",222
49 - Bhatkudgaon,"Bhatkudgaon Z.P. School, South Side Building East side Room No. 3",222
50 - Bhatkudgaon,"Bhatkudgaon Z.P. School, South Side Building East side Room No. 4",222
51 - Bhatkudgaon,Bhatkudgaon Z.P School South Side New Anganwadi Room No. 1,222
52 - Bhatkudgaon,"Bhatkudgaon, Z.P. School,South Side Anganwadi building Room No. 2",222
53 - Lolegaon,"Lolegaon Z. P. School, West side Room No. 1",222
54 - Akhatwade,"Akhatwade Z.P. School west Side, Room No. 1,",222
55 - Akhatwade,"Akhatwade Z.P. School west Side, Room No. 2",222
56 - Dhorjalgaon (Ne.),"Z.P. School, Dhorjalgaon Ne, From West Side Room No. 1",222
57 - Dhorjalgaon (Ne.),"Z.P. School, Dhorjalgaon Ne, From West Side Room No. 3",222
58 - Nandur Vihire,"Z.P. School, Nimbe, From East Side New Building Room no. 1",222
59 - Nimbe,"Z.P. School, Nimbe, From East Side Room no. 1",222
60 - Nimbe,"Nimbe, Z.P. School, West Side Room No. 2",222
61 - Garadwadi,"Z.P. School, Garudwadi East Side Room no. 1",222
62 - Dhorjalgaon (She),"Z.P. School, Dhorjalgaon She, Shriram vidyalay, From East Side room no. 2",222
63 - Dhorjalgaon (She),"Z.P. School, Dhorjalgaon She, Shriram vidyalay, From East Side room no. 4",222
64 - Apegaon,"Apegaon Z. P. School, West side Room No. 1",222
65 - Malegaon,"Malegaon Z. P. School, North side, Room No. 1",222
66 - Malegaon,"Z.P. School, Malegaon,North Room No.2",222
67 - Samangaon,Samangaon Z.P School New East West Building East Side Room No. 1,222
68 - Samangaon,"Z.P. School, Samangaon, From South Side Room no. 2",222
69 - Wadule (Bu),"Wadule (Bu) Z. P. School, South side Room No. 1",222
70 - Wadule (Bu),"Wadule (Bu) Z. P. School, South side Room No. 3",222
71 - Shevgaon,"Shevgaon, Z. P. Urdu Boy's School, North South Building North side Room No. 1",222
72 - Shevgaon,"Shevgaon, Z. P. Urdu Boy's School, North South Building North side Room No. 2",222
73 - Shevgaon,"Shevgaon, Z. P. Urdu Boy's School, East West Building west side Room No. 1",222
74 - Shevgaon,"Shevgaon, Z. P. Urdu Girl School, ( Bhadait Galli, )old Building East West Building West side Room No. 1",222
75 - Shevgaon,"Shevgaon, Z.P. Urdu Girl School, (Bhadaitgalli) old building, East West Building West Side Room No2",222
76 - Shevgaon,"Shevgaon,Urdu High School, and junior college of Arts shevgaon , South North Building, North Side Room No 1",222
77 - Shevgaon,"Shevgaon,Urdu High School, and junior college of Arts shevgaon, South North Building, North Side Room No 2",222
78 - Shevgaon,"Shevgaon, Z. P. School, Old Court, South North Building North Side Room No. 1",222
79 - Shevgaon,"Shevgaon, Z. P. School, Old Court, east West Building East Side Room No. 1",222
80 - Shevgaon,"Shevgaon, Balasaheb Bharde High. School East West New Building West Side Room No. 1",222
81 - Shevgaon,"Shevgaon, Balasaheb Bharde high school, east west new building, West Side Room No. 4",222
