PS No & Name,Address,Constituency Number
1 - Songaon,"Satral Z.P .School, East west building, East side Room No 1",223
2 - Songaon,"Satral, Z.P. School East West building East side Roon No 2",223
3 - Anapwadi,"Anapwadi, Z.P. School, East west building East side Room No 2",223
4 - Dhanore,"Satral Z.P .School, East west building, East side Room No. 3",223
5 - Dhanore,"Satral Z.P .School, East west building, East side, Room No 4",223
6 - Satral,"Satral, N.S.Kadupatil School, South -North New Building South Side Room No.1",223
7 - Satral,"Satral,N. S.Kadupatil School New building ,North south building ,from South side Room No 2",223
8 - Satral,"Satral, N. S.Kadupatil School , New building North south building ,South side Room No 4",223
9 - Nimbhere,"Nimbhere,Z.p. School, east -west building, east side Room No -1",223
10 - Nimbhere,"Nimbhere,Z.P. School, east -west building, East side Room No -3",223
11 - Malewadi / Dukarewadi,Malevadi Dukrevadi Z.P. School East West Building West Side Room No. 1,223
12 - Malewadi /Dukarewadi,Malewadi Dlukrewadi Z.P. School East West Building West Side Room No. 2,223
13 - Tandulner,"Tandulner Z.P. School Room, East west Building, West side No. 1",223
14 - Tambhere,Tambhere Z.P. School East West Building West side Room No. 2,223
15 - Tambhere,Tambhere Z.P. School East West Building West side Room No. 3,223
16 - Tambhere,Tambhere Z.P. School East West Building West Side Room No. 4,223
17 - Guha,Guha Z.P.. School South North building North side Room No. 5,223
18 - Guha,Guha Z.P. School South North Building North side Room No. 3,223
19 - Guha,"Guha Z.P. School South - North Building , North Side Room No. 1",223
20 - Ganegaon,Ganegaon Z.P. School East West Building Single Room,223
21 - Kangar Bu.,Kangar. Z.P. School East West Building frpm East side Room No.4,223
22 - Kangar Bu.,Kangar Z.P. School East West Building from East side Room No. 6,223
23 - Vadner,Vadner. Z.P. School East West Building. from East side Room No. 3,223
24 - Vadner,Vadner. Z.P. School East West Building East side Room No. 5,223
25 - Kanadgaon,Kanadgaon Z.P. School North South Building From North side Room No.2,223
26 - Kanadgaon,"Kanadgaon Z.P School East West Building, East side Room No 2",223
27 - Wable wadi,Wable wadi Z.P. School East West Building West side Room No. 2,223
28 - Tulapur,Tulapur Z.P. School East West Building West side Room No. 2,223
29 - Varshindya,Varshinde Z.P. School East West Building West side Room No. 1,223
30 - Taharabad,Taharabad Z.P. School East West South Building West side Room No. 2,223
31 - Taharabad,Taharabad Z.P. School East West North building West side Room No. 2,223
32 - Gadakwadi,"Gadakwadi Z.P. School New East West Building, East side Room No. 1",223
33 - Kangar Khu.,"Kangar Z.P. School North South Building, North side Room No.1",223
34 - Kangar Khu.,"Kangar Z.P. School North South Building, North side Room No.3",223
35 - Chinch Vihire,"Chinchvihire Z.P. School East West Building, East side Room No. 2",223
36 - Chinch Vihire,Chinchvihire Z.P. School East West Building East side Room No. 1,223
37 - Yevale vasti (Rahuri Bu.),Yeole Vasti Nutan Marathi School No. 9 West side Room No. 1,223
38 - Varale Vasti (Rahuri Bk. ),Varale Vasti Nutan Marathi School No. 6 East West Building East side Room No. 2,223
39 - Kale Akhada (Rahuri Bk. ),"Kale Akhada Nutan Marathi School No.11, East West Building, East side Room No.1",223
40 - Tanpure Vasti Pimpalacha Mala (Rahuri Bu.),Tanpure Vasti Nutan Marathi School No. 8 East West Building East side Room No. 1,223
41 - Tanpure Vasti Pimpalacha Mala (Rahuri Bu.),"Gyamnasium Hall, Near Blood Bank Rahuri Bk.",223
42 - Jogashwari Akhada (Rahuri Bu. ),Jogeshwari Akhada Nutan Marathi School No. 2 North South Building North side Room No. 3,223
43 - Yeole Akhada (Rahuri Bu. ),"Yeole Akhada , Nutan Marathi School, No.7 South- North Building, South Side Room No.2",223
44 - Yeole Akhada (Rahuri Bu),"Yeole Akhada , Nutan Marathi School, No.7 South- North Building, South Side Room No.4",223
45 - Tanpure Wadi (Rahuri Bu. ),Tanpure Wadi Nutan Marathi School No. 4 East West Building East side Room No. 1,223
46 - Rahuri Bu.,Rahuri Bu. Bhagirathibai Tanpure Kanya Madhyamik Vidyalaya East West Building East side Room No. 2,223
47 - Rahuri Bu.,Rahuri Bu. Bhagirathibai Tanpure Kanya Madhyamik Vidyalaya East West Building East side Room No. 4,223
48 - Rahuri Bu.,Rahuri Bu. Bhagirathibai Tanpure Kanya Madhyamik Vidyalaya South North Building North side Room No. 3,223
49 - Rahuri Bu.,Rahuri Bu. Bhagirathibai Tanpure Kanya Madhyamik Vidyalaya South North Building North side Room No. 5,223
50 - Rahuri Bu.,"Rahuri Bu. Nutan Marathi School No.1 East West Buiding, East Side Room No.2",223
51 - Rahuri Bu.,"Rahuri Bu. Nutan Marathi School No.1 East West Buiding, East Side Room No.4",223
52 - Rahuri Bu.,"Rahuri Bu. Nutan Marathi School No.1, South North Building North side Room No. 2",223
53 - Rahuri Bu.,"Rahuri Bu. Nutan Marathi School No.1, South North Building North side Room No. 3",223
54 - Rahuri Bu.,"Rahuri Bu., Pragati Vidyalaya East West Building East Side Room No. 1",223
55 - Rahuri Bu.,"Rahuri Bu., Pragati Vidyalaya East West Building East Side Room No. 2",223
56 - Rahuri Bu.,"Rahuri Bu., Pragati Vidyalaya East West Building East Side Room No. 3",223
57 - Rahuri Bu.,"Rahuri Bu., Pragati Vidyalaya East West Building East Side Room No. 4",223
58 - Rahuri Bu.,"Rahuri Bu., Pragati Vidyalaya East West Building East Side Room No. 6",223
59 - Rahuri Bu.,"Rahuri Bu., Pragati Vidyalaya East West Building East Side Room No. 7",223
60 - Rahuri Bu.,"Rahuri Bu., Pragati Vidyalaya East West Building East Side Room No. 10",223
61 - Rahuri Bu.,"Rahuri Bu., Pragati Vidyalaya East West Building East Side Room No. 11",223
62 - Rahuri Bu.,"Rahuri Bu., Vidya Mandir Prashala South North Building, North side Room No. 2",223
63 - Rahuri Bu.,"Rahuri Bu., Vidya Mandir Prashala North South Building North side Room No. 4",223
64 - Rahuri Bu.,"Rahuri Bu., Vidya Mandir Prashala South North Building North side Room No. 5",223
65 - Rahuri Bu.,"Rahuri Bu., Vidya Mandir Prashala South North Building North side Room No. 8",223
66 - Rahuri Bu.,"Rahuri Bu., Vidya Mandir Prashala East West Building East side Room No. 1",223
67 - Rahuri Bu.,"Rahuri Bu. Vidya Mandir Prashala East West Buiding, East Side Room No.4",223
68 - Rahuri Bu. (New Gavthan),"Rahuri Bu., Aganwadi School, New Gavthan Room No. 1",223
69 - Vagaca Akhada,"Waghacha Akhada, Nutan Marathi School No. 3 East West Building, West side Room No. 2",223
70 - Tandulwadi,"Tandulwadi Z.P. School North South Building, North side Room No. 1",223
71 - Tandulwadi,"Tandulwadi , Anganwadi School, East-West Building, East Side Room No.1 Near Railway Station",223
72 - Aradgaon,"Aradgaon Z.P. School East West Building, East side Room No. 1",223
73 - Aradgaon,"Aradgaon Z.P. School East West Building, East side Room No. 3",223
74 - Aradgaon,"Aradgaon Z.P. School East West Building, East side Room No. 5",223
75 - Manori,"Manori Z.P. School East West Building, West side Room No. 1",223
76 - Manori,"Manori Z.P. School East West Building, West side Room No. 2",223
77 - Manori,"Manori Z.P. School East West Building, West side Room No. 4",223
78 - Valan,"Valan Z.P. School North side East West Building , West side Room No. 2",223
79 - Valan,"Valan Z.P. School North side East West Building , West side Room No. 4",223
80 - Pimpri Valan,"Pimpri Valan Z.P. School North South Building, South side Room No. 1",223
81 - Chandakapur,"Chandkapur Z.P. School East West Building, East side Room No. 1",223
82 - Kandal Khu,"Kendal Kd. Sant Joseph Mission School North South Building, North side Room No. 1",223
83 - Kandal Khu,"Kendal Kd. Sant Joseph Mission School North South Building, North side Room No. 2",223
84 - Kandal Bu.,"Kendal Bk. Z.P. School East West Building, East side Room No. 1",223
85 - Kandal Bu.,"Kendal Bk. Z.P. School East West Buiding, East Side Room No.2",223
