PS No & Name,Address,Constituency Number
1 - Tas,"Tas Z. P. School, East West Building, Room No. 1, East side.",224
2 - Nagapurwadi,"Nagarpurwadi (Palshi) Z. P. School, South - North Building, Room No. 2 south side.",224
3 - Mandave,"Mandave Kd. Z. P.School, East West Building, Room No. 1, East side.",224
4 - Mandave,"Mandave Kd. Z. P.School, East West Building, Room No. 2, East side.",224
5 - Deswade,"Deswade Z. P. School, South North Building, Room No. 1,South side.",224
6 - Deswade,"Deswade Z. P. School, South-North Building, Room No. 2, South side.",224
7 - Pawaldara,"Pawaldara Z. P. School, East West Building, Room No. 1, East side",224
8 - Pokhari,"Pokhari Z. P. School East West side Building, Room No. 1, West side",224
9 - Pokhari,"Pokhari Z. P. School East West Building, Room No. 2, West side.",224
10 - Kanher Pokhari,"Kanher Pokhari Z. P. School, East West Building, Room No. 1, West Side.",224
11 - Mhasobazap,"Mhasobazap Z. P. School, East West Building, Room No. 1, West side.",224
12 - Gurewadi,"Gurewadi Z, P. School, South North Building, Room No . 1, North side.",224
13 - Kamatwadi,"Kamatwadi Z.P.School, East West Building, Room No. 1, East Side.",224
14 - Waranwadi,"Waranwadi Z. P. School, South-North Building, Room No. 1, south Side",224
15 - Bokanakwadi,"Bokanakwadi Z.P.School, North South Building, Room No. 1, North side.",224
16 - Palaspur,"Palaspur Z.P. School, East West Building, Room No. 2, East side.",224
17 - Palaspur,"Palaspur (Dhage Wadi) Z. P.School, East West Building, Room No. 1, West Side",224
18 - Katalwedha,"Katalwedha Z. P. School, East-West Building, Room No. 1, East Side",224
19 - Katalwedha,"Katalwedha Z. P.School, South- North Building, Room No. 4, North side",224
20 - Khadakwadi,"Khadakwadi Z. P. School, East West Building, Room No. 1, East Side",224
21 - Khadakwadi,"Khadakwadi Z. P.School, East West Building, Room No 3, East Side",224
22 - Jambhulwadi,"Z.P.School, Jambhujlwadi, East-West Building, Room No. 1",224
23 - Palashi,"Palashi Z. P. School, South North Building,.Room No. 1, South Side.",224
24 - Palashi,"Palashi Z. P. School, East-west Building, Room No. 3, East Side.",224
25 - Palashi,"Palashi Z. P. School, East West Building, Room No. 1, East Side",224
26 - Vankute,"Vankute Z. P. School, East West Building, Room No. 1, East side",224
27 - Vankute,Vankute Z.P. school east west Building room no 3 east side,224
28 - Vankute,Vankute Z.P.school east west Building east side room No. 2.,224
29 - Thakarwadi,New Z. P. School North South Building Room No. 1 North Side,224
30 - Patharwadi,"Patharwadi Z. P. School, East West Building ., Room No. 1, West Side.",224
31 - Ghanegaon (Karjule Khare ),New Z. P. School Building East West Room No. 1 West Side,224
32 - Sujalpur Kolpe-Akhada,"Kolpe-Akhada (Nandgaon), Z. P. School, South North new Building, Room No. 2, North Side",224
33 - Nandgaon,"Nandgaon Z. P. School, East West Building Room No. 1, East side",224
34 - Nandgaon,"Nandgaon Zilla Parishad . School East West BuildingRoom No. 3, East side",224
35 - Shingave,"Shingave Z. P. School, East West Building, Room No. 1, East Side",224
36 - Shingave,"Shingave Z. P. School, East West Building, Room No. 5, East Side",224
37 - Islampur,"Islampur Z. P. School, East West Building, Room No. 3, West Side",224
38 - Dehare,"Dehare Z. P. School, East West Building, Room No. 7, West Side",224
39 - Dehare,"Dehare Z. P. School, East West Building, Room No. 2, West Side",224
40 - Dehare,"Dehare Z. P. School, East West Building, Room No. 3, Westside",224
41 - Dehare,"Dehare Z. P. School, East West Building, Room No. 4, West side, Dehare",224
42 - Dehare,"Dehare Z. P. School, East West Building, Room No. 5, West Side",224
43 - Vilad,Dnyanganga Vidyalay Vilad L Size Building North Side Room No.1,224
44 - Pimprighumat (Vilad),Dnyanganga Vidyalay Vilad L Size Building North Side Room No.3,224
45 - Pimprighumat (Vilad),Dnyanganga Vidyalay Vilad L Size Building North Side Room No.4,224
46 - Karjune Khare,"Karjune Khare Z. P. School, New Building north South Building south side room No. 1",224
47 - Ghanegaon (Karjune Khare),New Z. P. School Building North South Room No. 3 from South to North direction,224
48 - Kondibachi-Thakarwadi,"Kondibachi-Thakarwadi Z. P. School, North South Building, Room No. 1, North Side.",224
49 - Lalucha Tanda,"Lalucha Tanda Z. P. School, East West Building, Room No. 1, West side.",224
50 - Sutarwadi,"Sutarwadi Z. P. School, East West Building, Room No. 1, East Side.",224
51 - Kutewadi,"Kutewadi Z. P. School, North South Building, Room No. 1, North Side.",224
52 - Dhawalpuri,"Durgadevi highschool North south building north side, Room no.1",224
53 - Dhawalpuri,"Durgadevi highschool North south building north side, Room no.2",224
54 - Dhawalpuri,"Durgadevi highschool North south building north side, Room no.3",224
55 - Dhawalpuri,"Durgadevi highschool North south building north side, Room no.5",224
56 - Bhangadewadi,"Bhangadewadi Z. P. School, East West Building, Room No. 1, East Side.",224
57 - Bhangadewadi,"Bhangadewadi Z.P.School, East West Building, Room No. 2, East Side.",224
58 - Dhotre Khu,"Dhotre-Kd Z.P. School South North Building, Room No. 1, South Side.",224
59 - Gajadipur,"Gajadipur Z. P. School, East West Building, Room No. 1, East Side.",224
60 - Dhoki,"Dhoki Z. P. School, East West Building Room No. 1, East Side",224
61 - Vadgaon-Sawatal,"Vadgaon-Sawatal Z. P. School, East West Building, Room No. 1, East Side.",224
62 - Vadgaon-Sawatal,"Vadgaon-Sawatal Z. P School, East West Building, Room No. 2, East Side.",224
63 - Vadgaon-Sawatal,"Vadgaon-Sawatal Z. P School, East West Building, Room No. 3, East Side.",224
64 - Vasunde,"Vasunde Z. P. School, South North new Building, Room No. 1, South Side",224
65 - Vasunde,"Vasunde Z. P. School, South North new Building, Room No. 2, South Side",224
66 - Kalewadi,"Kalewadi Z. P.School, East West Building, Room No. 1, East Side.",224
67 - Sawargaon,"Sawargaon Z. P. School, East West Building, Room No. 1, West Side.",224
68 - Nandur Pathar,"Nandur Pathar Z. P. School, East West Building,Room No. 1, East side.",224
69 - Nandur Pathar,"Nandur Pathar Z. P. School, East West Building, Room No. 3, East Side.",224
70 - Pimpalgaon Rotha,"Pimpalgaon Rotha Z. P. School, East West Building, Room No. 1, East Side",224
71 - Pimpalgaon Rotha,"Pimpalgaon Rotha Z. P. School, East West Building, Room No. 3, East Side",224
72 - Akkalwadi,"Akkalwadi Z. P. School, East West BuildingRoom No. 1, East Side",224
73 - Karegaon,"Karegaon Z. P. School, East West BuildingRoom No. 1, East Side",224
74 - Karjule Harya,Karjule Harya New Z.P School North South Building North Side Room No.1,224
75 - Karjule Harya,Karjule Harya New Z.P School North South Building North Side Room No.2,224
76 - Karjule Harya,Karjule Harya New Z.P School North South Building North Side Room No.3,224
77 - Kasare,"Kasare Z. P. School, East West Building, Room No. 2, East Side .",224
78 - Takli-Dhokeshwar,"Takli-Dhokeshwar Z. P. School, South-North new Building, Room No. 1, North side.",224
