PS No & Name,Address,Constituency Number
1 - Nagapur,Z.P. school Nagapur South-North building Room No 01 from South,225
2 - Nagapur,Z.P. School Nagapur South-North building Room No 02 from South,225
3 - Nagapur,Z.P. School Nagapur South-North building Room No 03 from South,225
4 - Nagapur,"Chakradhar Swami Primary School, Nagapur, East -West Building Groundfloor Room No 03 from West",225
5 - Nagapur,"Chakradhar Swami Primary School, Nagapur, East -West Building Groundfloor Room No 04 from West",225
6 - Nagapur,Z.P. School Nagapur South-North building Room No 04 from South,225
7 - Nagapur,Z.P. school Nagapur South-North building Room No 05 from South,225
8 - Nagapur,Z.P. School Nagapur North side (old building) East West building Room No 02 from West,225
9 - Savedi,"Seva Shikshan Prasarak Mandalache Dr. N.J. Paulbuddhe College of Pharmacy, Savedi, East-West (New Building) Room No 02 From East",225
10 - Savedi,"Adarsh vidyalaya, Ahilya society, Aurangabad road, Savedi, East West building Room no.02 from East",225
11 - Savedi,"Adarsh viddyalaya, Ahilya Soceity, Aurangabad road, Savedi, East West building Room No.03 from East",225
12 - Savedi,"Adarsh viddyalaya, Ahilya Society, Aurangabad road, Savedi, East West building Room No. 04 from East",225
13 - Savedi,"Seva Shikshan Prasarak Mandal Yanche Dr.N.J. Paulbuddhe College of Pharmacy, Savedi, East- West (New Building) Room No 03 From East",225
14 - Savedi,"Seva Shikshan Prasarak Mandal Yanche Dr.N.J Paulbuddhe College of Pharmacy, Savedi, North -South (New Building) Room No 01 From North",225
15 - Savedi,"Seva Shikshan Prasarak Mandal Yanche Dr. N.J. Paulbuddhe College of Pharmacy, Savedi, North -South (New Building) Room No 02 From North",225
16 - Savedi,"Seva Shikshan Prasarak Mandalache Shrinath Vidhyalaya, Savedi, New North - South building (Dr. N. J. Paulbudhe College of Education B.Ed and Ded), Room No 02 From North",225
17 - Savedi,"Seva Shikshan Prasarak Mandalache Shrinath Vidhyalaya, Savedi, New North South Building (Dr. N. J. Paulbudhe College of Education B.Ed and Ded) Room No 03 From North",225
18 - Savedi,"Seva Shikshan Prasarak Mandalache Shrinath Vidhyalaya, Savedi, New North South Building (Dr. N. J. Paulbudhe College of Education B.Ed and Ded) Room No 04 From North",225
19 - Savedi,"Seva Shikshan Prasarak Mandalache Shrinath Vidhyalaya, Savedi, New North South building (Dr. N. J. Paulbudhe College of Education B.Ed and Ded) Room No 05 From North",225
20 - Savedi,"Seva Shikshan Prasarak Mandalache Shrinath Vidyalaya, Savedi, New North South building (Dr. N. J. Paulbudhe College of Education B.Ed and Ded) Room No 06 From North",225
21 - Savedi,"Seva Shikshan Prasarak Mandalache Shrinath Vidyalaya, Savedi, New North South building (Dr. N. J. Paulbudhe College of Education B.Ed and Ded) Room No 01 From South",225
22 - Savedi,"Seva Shikshan Prasarak Mandalache Shrinath Vidyalaya, Savedi, New North-South building (Dr. N. J. Paulbudhe College of Education B.Ed and Ded) Room No 02 From South",225
23 - Savedi,"Seva Shikshan Prasarak Mandalache Shrinath Vidhyalaya, Savedi, New North-South building (Dr. N. J. Paulbudhe College of Education B.Ed and Ded) Room No 03 From South",225
24 - Savedi,"Laxmibai Doke Vidhyalaya (Motoshri Laxmibai Shantaram Doke Vidhya Mandir), Savedi, East West Building Room No 01 from East",225
25 - Savedi,"Laxmibai Doke Vidhyalaya (Motoshri Laxmibai Shantaram Doke Vidhya Mandir), Savedi, East West Building Room No 02 ‍From East",225
26 - Savedi,"Laxmibai Doke Vidyalaya (Motoshri Laxmibai Shantaram Doke Vidya Mandir), Savedi, East West Building Room No 03 from East",225
27 - Savedi,"Laxmibai Doke Vidyalaya (Motoshri Laxmibai Shantaram Doke Vidya Mandir), Savedi, East West Building Room No 04 from East",225
28 - Bolhegaon,"Marutraoji Ghule Patil Arts, Commerce & Science College Bolhegaon, Ahmednagar East side, North South Building Room No 02 from North",225
29 - Bolhegaon,"Marutraoji Ghule Patil Arts, Commerce & Science College Bolhegaon, Ahmednagar East side, North South Building Room No 03 from North",225
30 - Bolhegaon,"Kai. Balasaheb Keshav Thakare Municipality School, Bolhegaon, North - South Building Room No 03 from South",225
31 - Bolhegaon,"Kai. Balasaheb Keshav Thakare Municipality School, Bolhegaon, North -South Building Room No 01 from South",225
32 - Bolhegaon,"Marutraoji Ghule Patil Arts, Commerce & Science College Bolhegaon, Ahmednagar East side, North South Building Room No 04 from North",225
33 - Bolhegaon,"Marutraoji Ghule Patil Arts, Commerce & Science College Bolhegaon, Ahmednagar West side, South North Building Room No 05 from South",225
34 - Bolhegaon,"Marutraoji Ghule Patil Arts, Commerce & Science College Bolhegaon Ahmednagar West side, South - North Building Room No 06 from South",225
35 - Bolhegaon,"Marutraoji Ghule Patil Arts, Commerce & Science College Bolhegaon Ahmednagar West side, South - North Building Room No 07 from South",225
36 - Savedi,Damodar Shankar Renavikar Vidhya Mandir Savedi East side North South Building Room No 02 from North,225
37 - Savedi,"Damodar Shankar Renavikar Vidhya Mandir Savedi, East side North - South Building Room No 03 from North",225
38 - Savedi,Damodar Shankar Renavikar Vidhya Mandir Savedi East side North South Building Room No 04 from North,225
39 - Savedi,Damodar Shankar Renavikar Vidhya Mandir Savedi East side North South Building Room No 05 from North,225
40 - Savedi,"ZP Primary School Bhistbag, Savedi, South- North Building Room No 02 from North",225
41 - Savedi,"ZP Primary School Bhistbag, Savedi, South-North Building Room No 03 from North",225
42 - Savedi,"Damodar Shankar Renavikar Vidhya Mandir, Savedi, East side North South Building Room No 06 from North",225
43 - Savedi,"Damodar Shankar Renavikar Vidhya Mandir, Savedi, East side North South Building Room No 07 from North",225
44 - Savedi,"Damodar Shankar Renavikar Vidhya Mandir, Savedi, East side North South Building Room No 08 from North",225
45 - Savedi,"Damodar Shankar Renavikar Vidhya Mandir, Savedi, East side North South Building Room No 09 from North",225
