PS No & Name,Address,Constituency Number
1 - Aagadgaon,Bhairavnath Vidhyalaya Aagadgaon North South building Room No 3 from South Side,226
2 - Aagadgaon,Bhairavnath Vidhyalaya Aagadgaon East West building Room No 3 from East Side,226
3 - Tokewadi (Aagadgaon),Bhairavnath Vidhyalaya Aagadgaon East West building Room No 1 from East Side,226
4 - Deogaon,"Z .P. School, Deogaon East West Building Room No 1 from East Side",226
5 - Ratadgaon,Z P Primary School Ratadgaon East West New building Room No 1 from West side,226
6 - Khandke,Z P Primary School Khandke South North New building Room No 3 from North side,226
7 - Ranjani,Z. P. School Ranjani East West building Room No 1 from West Side,226
8 - Mathani,Z. P. School Mathani East West Building Room No 2 From West Side,226
9 - Mehekari,Z.P. School Mehakari East West Building Room No 2 from East Side,226
10 - Mehekari,Z.P. School Mehakari East West Building Room No 4 from East Side,226
11 - Gangotri (Mehekari),Z.P. School Gangotri (Mehakari) East West Building Room No 1 from West side,226
12 - Sahapur,Z. P. Primary School Sahapur North South Building Room No 1 From North Side,226
13 - Nimbodi,ZP Primary School Nimbaodi East West New building Room No 6 from West Side,226
14 - Nimbodi,ZP Primary School Nimbaodi East West New building Room No 9 from West Side,226
15 - Sarola Baddi,Z. P. Sarola Baddi School South North Building Room No 1 From North Side,226
16 - Kolhewadi,Z. P. Primary School Kolhewadi East West Building Room No 1 From West Side,226
17 - Pimpalgaon Landga,Z. P School Pimpalgaon Landga East West Building Room No 3 from East Side,226
18 - Bardari,Z. P. School Bardari East West Building Room No 1 from East Side,226
19 - Lamantanda (Bardari),Lamantanda (Bardari) Z. P. School South North Room No 1 From North Side,226
20 - Kaudgaon,Z.P. School Kaudgaon East West Building Room No 2 From East Side,226
21 - Kaudgaon,Z.P. School Kaudgaon East West Building Room No 4 From East Side,226
22 - Balewadi,Z. P. School Balewadi South North Building Room No 1 From North Side,226
23 - Jamb,Z. P. School Jamb South North Building Jamb Room No 1 fromSouth Side,226
24 - Pargaon Bhatodi,Z. P. School Pargaon Bhatodi East West Building Room No 3 from East Side,226
25 - Sonewadi,Z. P. School Sonewadi East West Building Sonewadi Room No 1 from East Side,226
26 - Parewadi ( Pargaon Bhatodi ),Z .P. School Parewadi ( Pargaon Bhatodi ) East West Building Room No 2 From East Side,226
27 - Madadgaon,Z. P. School Madadgaon East West Building Room No 4 from West Side,226
28 - Takali Kazi,Z .P. School Takli Kazi East West Building Room No 1 from East side,226
29 - Takali Kazi,Z .P. School Takli Kazi East West Building Room No 3 from East Side,226
30 - Narayandoho,Z. P. School Narayandhoh South North Building Room No 2 From North side,226
31 - Narayandoho,Z. P. School Narayandhoh South North Building Room No 3 From North side,226
32 - Narayandoho,Z. P. School Narayandhoh South North Building Room No 5 From North side,226
33 - Walunj,Dnyandeep School Walunj South North Building Room No 2 From South Side,226
34 - Walunj,Dnynndeep School Walunj South North Building Room No 4 From South Side,226
35 - Pargaon Maula,Z. P . School Pargaon Maula East Wast BuildING Room No 2 from West side,226
36 - Shiradhon,Z. P. School Shiradhon East Wast Building Room No 1 From East Side,226
37 - Shiradhon,Z. P. School Shiradhon East Wast Building Room No 3 From East Side,226
38 - Ukkadgaon,Ukadgaon ZP School East West building Room No1 from West side,226
39 - Ukkadgaon,Ukadgaon ZP School East West building Room No 3 from West side,226
40 - Dashmigavha n,Z.P. Primary School Dashmigavan South North Building Room No 1 from South side,226
41 - Bhatodi Pargaon,Z.P. School Bhatodi Pargaon South North Building No 3 Room No 3 From South Side,226
42 - Bhatodi Pargaon,Z.P. School Bhatodi Pargaon East West Room No 5,226
43 - Chichondi Patil,Z.P. School Chichondi Patil East West Building Room No 1 from West side (North Side Building,226
44 - Chichondi Patil,Z.P. School Chichondi Patil East West Building Room No 2 from West side (North Side Building,226
45 - Chichondi Patil,Z.P. School Chichondi Patil East West Building Room No 3 from West side (North Side Building,226
46 - Chichondi Patil,Z.P. School Chichondi Patil East West Building Room No 4 from West side (North Side Building,226
47 - Chichondi Patil,Z.P. School Chichondi Patil North- South Building Room No 1 from (North Side Building No2),226
48 - Chichondi Patil,Z.P. School Chichondi Patil North- South Building Room No 3 from North side (South side building),226
49 - Aathawad,Z .P .School Aathawad North- SouthBuilding No 1 Room No 1 from North side,226
50 - Aathawad,Z .P .School Aathawad North- South Building No 1 Room No 3 from North side,226
51 - Sandave,Z.P. School Sandave East West Building No 1 Room No 1 from East side,226
52 - Sandave,Z.P. School Sandave East West Building No 1 Room No 3 from East side,226
53 - Mandave,Z.P. Primary School Mandave North South Building Room No 1 from North side,226
54 - Mandave,Z.P. Primary School Mandave North South Building Room No 2 from North side,226
55 - Walki,New English. School Walki East West Building Room No 1 from West side,226
56 - Walki,New English. School Walki East West Building Room No 3 from West side,226
57 - Walki,New English. School Walki East Wast Building Room No 5 from West side,226
58 - Walki,New English. School Walki East Wast Building Room No 7 from West side,226
59 - Walki,Z. P. School Walki East West Building Room No 1 from West Side,226
60 - Walki,New English. School Walki East West Building Room No 9 from West side,226
61 - Walki,New English. School Walki North South building Room No 1,226
62 - Dahigaon,Shriram H.S Dahigaon East Wast Building Room No 2 from East side,226
63 - Sakat Khurd,Z .P . School Sakat Khurd East West Building Room No 3 from East side,226
64 - Watephal,Z. P. School Watephal East Wast Building Room No 1 from East side,226
65 - Wadgaon Tandali,Z.P. School Wadgaon Tandali East Wast Building Room No 1 from East side,226
66 - Wadgaon Tandali,Wadgaon Tandali East Wast Building Room No 3 from East side,226
67 - Koregaon,Z. P. School Koregaon South- North Building Room No 1 from North Side,226
68 - Koregaon,Z. P. School Koregaon South- North Building Room No 3 from North Side,226
69 - Chikhali,Z.P. School Chikhali East West Building Room No.1 from East Side,226
70 - Chikhali,Z.P. School Chikhali East West Building Room No.३ from East Side,226
71 - Ghutewadi,Z.P.school Ghutewadi East West Building Room No. 3 from West Side,226
72 - Ukhalgaon,Z.P.school Ukhalgaon East West New Building Room No.1 From West Side,226
73 - Ukhalgaon,Z.P.school Ukhalgaon East West New Building Room No.3 From West Side,226
74 - Chambhurdi,Z.P. School Chambhurdi East West Building Room No 1 from East Side,226
75 - Chambhurdi,Z.P. School Chambhurdi East West Building Room No 3 from East Side,226
76 - Sarola Somwanshi,Z. P. School Sarola Somwanshi East- West Building Room No.4 from East Side,226
77 - Yavati,Z.P Primary School Yevati East West New Building Room No 1 from East Side,226
78 - Yavati,Z.P Primary School Yevati East West New Building Room No2 from East Side,226
79 - Deodaithan,Z P Primary School Deodaithan East West Building Room No 1 from East side,226
80 - Deodaithan,ZP Primary School Deodaithan East West Building Room No 3 from East side,226
81 - Deodaithan,Z P Primary School Deodaithan East West Building Room No 4 from East side,226
82 - Deodaithan,Z P Primary School Deodaithan East West Building Room No 8 from East side,226
83 - Deodaithan,Z P Primary School Deodaithan East West Building Room No 10 from East side,226
84 - Hingni Du.,Z. P .School Hingni Du.East- West Building Room No 3 from East Side,226
85 - Hingni Du.,Z. P .School Hingni Du.East west Building Room No 1 from East Side,226
86 - Hingni Du.,Z. P .School Hingni Du.South North Building l Room No 3 from south Side,226
87 - Gavhanewadi,Z. P . School Gavhanewadi South North Building Room No 2 From South Side,226
88 - Motewadi (Gavhanewadi ),Z.P. School Motewadi East- west Building Room No 2 From East Side,226
89 - Danewadi,Z .P. School Danewadi East West Building Room No 1 from East Side,226
90 - Rajapur,Z. P. School Rajapur East West Building No 1 Room No 1 From East Side,226
91 - Rajapur,Z. P. School Rajapur East West Building Room No 1 From East Side,226
92 - Kolhewadi,Anganwadi School Kolhewadi North South New building Room No 1 from South side,226
93 - Dhawalgaon,Z P Primary School Dhawalgaon North South New Building Room No 1 from South side,226
94 - Arangaon Du.,Z. P. School Arangaon Du. East West Building Room No 2 From East Side,226
95 - Koregavhan,Z P Primary School Koregavhan South North New building Room No 1 from North side,226
96 - Visapur,Sarswati Vidyalaya Visapur South- North Building Room No 1 south side,226
97 - Visapur,Sarswati Vidyalaya Visapur East West Building Room No 2 East side,226
98 - Visapur Jail,Z. P. School Visapur Jail North South Building Room No 1 form south Side,226
99 - Suregaon,Z. P. Primary School Suregaon North South Building Room No 1 from South Side,226
100 - Pandharewadi,Z. P. School Pandharewadi East West Building Room No 1 from West Side,226
101 - Bhapkarwadi,Z. P. School Bhapkarwadi South North Building Room No 1 from North Side,226
102 - Gundegaon,New English School Gundegaon South North Building Room No 2 from South Side,226
103 - Gundegaon,New English School Gundegaon South North Building Room No 4 room South Side,226
104 - Gundegaon,New English School Gundegaon South North Building Room No 6 from South Side,226
105 - Haral Mala (Gundegaon),Z. P. School Gundegaon (Haral Mala) South-North Building Room No 1 from South Side,226
