PS No & Name,Address,Constituency Number
1 - Nimgaon Gangarda,"Nimgaon Gangarda Z.P.Pri. School North South Building No.Two,Room No.1 From South",227
2 - Nimgaon Gangarda,Nimgaon Gangarda Z.P.Pri.School East West Building West Room No 5,227
3 - Nimgaon Gangarda,Nimgaon Gangarda Z.P.Pri.School East West Building Room No 2 From West,227
4 - Mandali,Mandali Z.P.Pri.School East West Building East Room No 1,227
5 - Chincholi Ramjan,Chincholi Ramjan Z P Pri School East West Building East Room No 2,227
6 - Ghumari,Ghumari Z.P.Pri.School East West Building No Two Room No 1 From East,227
7 - Ghumari,Ghumari Z.P.Pri.School East West Building No Two Room No 2 From East,227
8 - Thergaon,Thergaon Z.P.Pri.School East West Building West Room No 1,227
9 - Thergaon,Thergaon Z.P.Pri.School East West Building West Room No 3,227
10 - Khandavi,Khandavi Z.P.Pri.School East West New Building Room No 2 From West,227
11 - Khandavi,Khandavi Z.P.Pri.School East West New Building Room No 4 From West,227
12 - Kombhali,Kombhali Z.P.Pri.School East West Building East Room No 1,227
13 - Kombhali,Kombhali Z.P.Pri.School East West Building East Room No 3,227
14 - Ravalgaon,Ravalgaon Z.P.Pri.School New Building South North North Room No 2,227
15 - Ravalgaon,Ravalgaon Z.P.Pri.School New Building East Room No 2,227
16 - Kokangaon,Kokangaon Z.P.Pri.School East West Building East Room No 1,227
17 - Kokangaon,Kokangaon Z.P.Pri.School East West Building East Room No 2,227
18 - Belgaon,Belgaon Z.P.Pri.School East West Building West Room No 1,227
19 - Belgaon,Belgaon Z.P.Pri.School East West Building West Room No 2,227
20 - Tikhi,Tikhi samaj Mandir East West Building East Room No 2,227
21 - Mirajgaon,"Mirajgaon Z P Pri School Southern Side East West Building ,Room No 2 from West",227
22 - Mirajgaon,"Mirajgaon Z P Pri School Southern Side East West Building,Room No 5 from West",227
23 - Mirajgaon,"Mirajgaon Z P Pri School Southern Side East West Building ,Room No 6 from West",227
24 - Mirajgaon,Mirajgaon Bharat Vidhalaya South North Building Room No 1 from south,227
25 - Mirajgaon,Bharat Vidhalaya Mirajgaon South North Building Room No 3 from South,227
26 - Mirajgaon,Bharat Vidhalaya Mirajgaon Southern Side East West Building Room No 2 from East,227
27 - Mirajgaon,Mirajgaon Nutan Vidhalaya South North Building Room No 2 from south,227
28 - Mirajgaon,Mirajgaon Nutan Vidhalaya South North Building Room No 5 from south,227
29 - Mirajgaon,Bharat Vidhalaya Mirajgaon Southern Side East West Building Room No 3 from East,227
30 - Mirajgaon,"Mirajgaon Z P Pri School Eastern Side South North Building ,Room No 2 From South",227
31 - Mirajgaon,"Mirajgaon Z P Pri School Northern Side East West Building ,Room No 2 From East",227
32 - Ratanjan,Ratanjan Z.P.Pri.School North South Building Room No 1 From North,227
33 - Gurvpimpri,Gurvpimpri Z.P.Pri.School South North Building North Room No 1,227
34 - Gurvpimpri,Gurvpimpri Z.P.Pri.School North South Building Room No 2 From North,227
35 - Mulewadi,Mulewadi Z.P.Pri.School East West Building East Room No 1,227
36 - Kaudane,Kaudane Z P Pri School East West Building Room No 1 From East,227
37 - Chakhalewadi,Chakhalewadi Z P Pri School New Hexagonal Room,227
38 - Bhose,Bhose Z P Pri School South North Building Room No 1 From South,227
39 - Bhose,Bhose Z P Pri School South North Building Room No 2 From South,227
40 - Ruighwan,Ruighwan Z P Pri School North south New Slab Building Room No 1 From South,227
41 - Shinde,Shinde Z.P.Pri.School East West New Building Room No 1 from east,227
42 - Shinde,Shinde Z.P.Pri.School East west New Building East Room No 2,227
43 - Shinde,Shinde Z.P.Pri.School East West New Building east Room No 3,227
44 - Bitkewadi,Bitkewadi Z P Pri School South North Building Room No 2 From North,227
45 - Malewadi,Malewadi Z.P.Pri.School South North Building Room No 1 From South,227
46 - Khurangewadi,Khurangewadi Z.P.Pri.School South North Building South side Room No 2,227
47 - Chande Bk,Chande Bk Z.P.Pri.School East West Old Building From West Room No 1,227
48 - Chande Bk,Chande Bk Z.P.Pri.School East West Old Building From West Room No 3,227
49 - Chande kh,Chande kh Z P Pri School East West Building Room No 1 From east,227
50 - Thetewadi,Thetewadi Z.P.Pri.School East West Building East Room No 1,227
51 - Gondardi,Gondardi Z.P.Pri.School East West Building East Room No 1,227
52 - Dikasal,Diksal Z.P.Pri.School South North Building Room No 1 From North,227
53 - Babhulgaon kh,Babhulgaon kh Z P Pri School south north Building Room No 2 from north,227
54 - Babhulgaon kh,Babhulgaon kh Z P Pri School east west Building Room No 2 from east,227
55 - Naglwadi,Naglwadi Z.P.Pri.School East West Building East Room No 1,227
56 - Naglwadi,Naglwadi Z.P.Pri.School East West Building East Room No 5,227
57 - Nagapur,Nagapur Z.P.Pri.School East West Building West Room No 1,227
58 - Takali Kandeshwari,Takali khandeshwari Z P Pri School south north Building Room No 2 from South,227
59 - Takali Kandeshwari,Takali khandeshwari New English School South north Building Room No 1 from north,227
60 - Chincholi Kaldat,Chincholi Kaldat Z.P.Pri.School East West Building West Room No 2,227
61 - Chincholi Kaldat,Chincholi Kaldat Z.P.Pri.School East West Building West Room No 4,227
62 - Supe,Supe Z.P.Pri.School East West Building Room No 1 From East,227
63 - Walwad,Walwad Z P Pri School New Hexagonal Room,227
64 - Rehekuri,Rehekuri Z.P.Pri.School East West Building East Room No 1,227
65 - Rehekuri,Rehekuri Z.P.Pri.School East West Building East Room No 2,227
66 - Nandgaon,Nandgaon Z.P.Pri.School South North Building South side Room No 2,227
67 - Kopardi,Kopardi Z.P.Pri.School East West Building East Room No 1,227
68 - Kopardi,Kopardi Z.P.Pri.School East West Building East Room No 3,227
69 - Rakshashwadi kh,Rakshashwadi kh Z.P.Pri.School East West New Building Room No 1,227
70 - Kuldharan,Kuldharan Z.P.Pri.School South North New Building South Room No 1,227
71 - Kuldharan,Kuldharan Z.P.Pri.School South North New Building South Room No 2,227
72 - Kuldharan,Kuldharan Z.P.Pri.School South North New Building South Room No 4,227
73 - Supekarwadi,Supekarwadi Z.P.Pri.School East West Building East Room No 1,227
74 - Khandala,Khandala Z.P.Pri.School East West Building West Room No 2,227
75 - Jalgaon,Jalgaon Z.P.Pri.School East West Building West Room No 1,227
76 - Jalgaon,Jalgaon Z.P.Pri.School South North Building Room No 1 from south,227
77 - Mahi,Mahi Z.P.Pri.School East West Building East Room No 1,227
78 - Mahi,Mahi Z.P.Pri.School South North Building South Room No.1,227
79 - Shitpur,Shitpur Z.P.Pri.School East West Building West Room No 1,227
80 - Parewadi,Parewadi Z P Pri School New Hexagonal Room,227
81 - Dongaon,Dongaon Z.P.Pri.School South North Building South Room No 1,227
82 - Dongaon,Dongaon Z.P.Pri.School East West Building West Room No 3,227
83 - Jambwadi,Jambwadi Z.P.Pri.School North South Building Room No 5,227
84 - Bhutwada,Bhutwada Z.P.Pri.School East West Building Room No 1 from West,227
85 - Lehanewadi,Lihanewadi Z.P.Pri.School East West Building Room No 1 from East,227
86 - Moha,Moha Z.P.Pri.School East West Building East Room No 1,227
87 - Moha,Moha Z.P.Pri.School East West Building East Room No 2,227
88 - Pimpalwadi,Pimpalwadi Z.P.Pri.School East West Building Room No 2 from West,227
89 - Kolhewadi,Kolhewadi New Z.P.School East West building.Eestern Side Room.No.1,227
90 - Sakat,Sakat New Z.P.School East West building Wastern side .Room No. 1,227
91 - Sakat,Sakat Z.P.School East West new building Wastern side .Room No. 3,227
