PS No & Name,Address,Constituency Number
1 - Kuranpimpri,Zillah Parishad Primary School Room No.1 Kuranpimpri,228
2 - Kuranpimpri,Zillah Parishad Primary School Room No.2 Kuranpimpri,228
3 - Borgaon Bu,Zillah Parishad Primary School East side Borgaon Bu,228
4 - Borgaon Khu.,Zillah Parishad Primary School Borgaon Khu.,228
5 - Guntegaon,Zillah Parishad Primary School Guntegaon,228
6 - Patharwala Bu.,Zillah Parishad Primary School Patharwala Bu.,228
7 - Malegaon Bu.,Zillah Parishad Primary School room No. 1 Malegaon Bu.,228
8 - Malegaon Bu.,Zillah Parishad Primary School West side Malegaon Bu.,228
9 - Malegaon Khu.,Zillah Parishad Primary School Malegaon Khu.,228
10 - Malegaon Khu.,Zillah Parishad Primary School Malegaon Khu.,228
11 - Gulaj,Zillah Parishad Central Primary School room No.1 Gulaj,228
12 - Gulaj,Zillah Parishad Central Primary School room No.2 Gulaj,228
13 - Bhagwannagar (G),Zillah Parishad Primary School West side Bhagwannagar (G),228
14 - Surlegaon,Zillah Parishad Primary School West side Surlegaon,228
15 - Rakshasbhuvan,Zillah Parishad Primary School Room No.1 Rakshasbhuvan,228
16 - Rakshasbhuvan,Zillah Parishad Primary School Room No.2 Rakshasbhuvan,228
17 - Rakshasbhuvan,Zillah Parishad Primary School Room No.3 Rakshasbhuvan,228
18 - Panchaleshwar,Zillah Parishad Primary School Room No.1 Panchaleshwar,228
19 - Panchaleshwar,Zillah Parishad Primary School Room No.2 Panchaleshwar,228
20 - Khamgaon,Zillah Parishad Primary School Khamgaon,228
21 - Savleshwar,Zillah Parishad Primary School Savleshwar,228
22 - Malaspimpalgaon,Zillah Parishad Primary School Malaspimpalgaon,228
23 - Talnewadi,Zillah Parishad Primary School Room No.1 Talnewadi,228
24 - Talnewadi,Zillah Parishad Primary School Room No.2 Talnewadi,228
25 - Gangawadi,Zillah Parishad Primary School Gangawadi,228
26 - Umapur,Zillah Parishad Central Primary School North side Room No.1 Umapur,228
