PS No & Name,Address,Constituency Number
1 - Mahatapuri,Z.P.P.S. Mahatapuri,229
2 - Sulatanapur,Z.P.P.S. Room No..1 Sultanpur,229
3 - Sulatanapur,Z.P.P.S. Room No..2 Sultanpur,229
4 - Vaghora,Z.P.P.S. Room No..1 Waghora,229
5 - Vaghora,Z.P.P.S. Room No..2 Waghora,229
6 - Purushottamapuri,Z.P.P.S. Purushottamapuri,229
7 - Purushottamapuri,Z.P.P.S.No.rth Side Purushottamapuri,229
8 - Jayakochivadi,Z.P.P.S. Jayakochivadi,229
9 - Sadola,Z.P.P.S EAST SIDE ROOM No.. 5 SADOLA,229
10 - Sadola,Z.P.P.S. South Side Sadola,229
11 - Sadola,Z.P.P.S. HEXAGONAL BUILDING SADOLA,229
12 - Govindavadi,Z.P.P.S. Govindavadi,229
13 - Shahajanapur,Z.P.P.S. Shahajanapur,229
14 - Maliparagaon,Z.P.P.S. South Side Malipargaon,229
15 - Maliparagaon,Z.P.P.S. No.rth Side Malipargaon,229
16 - Payatalavadi,Z.P.P.S. Payatalavadi,229
17 - Kitti Adagaon,Z.P.P.S. South Side Kitti Adagaon,229
18 - Kitti Adagaon,Z.P.P.S. Centre Side Kitti Adagaon,229
19 - Kitti Adagaon,Z.P.P.S.(Anganwadi) Kitti Adgaon,229
20 - Manjarath,Z.P.P.S. East Side Manjarath,229
21 - Manjarath,Z.P.P.S. West Side Manjarath,229
22 - Chhatraboraganv,Z.P.P.S. Chhatraboragaon,229
23 - Chhatraboraganv,Z.P.P.S .South Side Chhatraboragaon,229
24 - Abegaon,Z.P.P.S. No.RTH SIDE AABEGAON,229
25 - Abegaon,Z.P.P.S. South Side AABEGAON,229
26 - Sarvar Pimpalagaon,Z.P.P.S. Sarvar Pimpalgaon,229
27 - Somathana,Z.P.P.S. Somathana,229
28 - Adola,Z.P.P.S. Adola,229
29 - Mothevadi,Z.P.P.S. East Side Mothevadi,229
30 - Mothevadi,Z.P.P.S. West Side Mothiwadi,229
31 - Mothevadi,Gramapanchayat Office Mothevadi,229
32 - Sandas Chincholi,Z.P.P.S. West Side Sandas Chincholi,229
33 - Sandas Chincholi,Z.P.P.S. Sandas Chincholi Vasahat,229
34 - Depegaon,Z.P.P.S. Depegaon,229
35 - Govindapur,Z.P.P.S. Govindapur,229
36 - Kesapuri,Z.P.P.S. East Side Kesapuri,229
37 - Kesapuri,Z.P.P.S. West Side Kesapuri,229
38 - Phule Pimpalagaon,Z.P.P.S. East Side Phulepimpalgaon,229
39 - Phule Pimpalagaon,Z.P.P.S. West Side Phulepimpalgaon,229
40 - Bhatavadagaon,Z.P.P.S. Bhatavadagaon,229
41 - Bhatavadagaon,Z.P.P.S.No.rth Side Bhatavadagaon,229
42 - Manuravadi,Z.P.P.S. No.rth Side Manurwadi,229
43 - Lukhegaon,Z.P.P.S.Lukhegaon,229
44 - Nagadagaon,Z.P.P.S.Nagadagaon,229
45 - Roshanapuri,Z.P.P.S. Roshanapuri,229
46 - Shimpetakali,Z.P.P.S. SHIMPETAKALI,229
47 - Chhotivadi,Z.P.P.S. Chhotivadi,229
48 - Ram Nagar,Ashramashala Ramnagar,229
49 - Gangamasala,Gramapanchayat Office Gangamasalaala,229
50 - Gangamasala,Z.P.P.S. Centre Side Gangamasala,229
51 - Gangamasala,Z.P.P.S. West Side Gangamasalaa,229
52 - Surumagaon,Z.P.P.S. Surumagaon,229
53 - Gunjathadi,Z.P.P.S. Gunjathadi,229
54 - Sonnathadi,Z.P.P.S. East Side Sonnathad,229
55 - Sonnathadi,Z.P.P.S. West Side Sonnathad,229
56 - Kharat Adagaon,Z.P.P.S. East Side Kharat Adgaon,229
57 - Kharat Adagaon,Z.P.P.S. West Side Kharat Adgaon,229
58 - Siddheshwar Nagar,Samaj Mandir Building Siddheshwar Nagar,229
59 - Kalyananagar,Anganwadi Building Kalyannagar,229
60 - Majalagaon,Z.P.P.S. West Side Majalagaon No..2,229
61 - Majalagaon,Z.P.P.S.No.rth Side Majalagaon No..2,229
62 - Majalagaon,Chhatrapati Shivaji Vidayalay New Building Room No..1 Majalgaon,229
63 - Majalagaon,M.S.E.D.C.L. Office West Side Majalgaon,229
64 - Majalagaon,M.S.E.D.C.L. Office South Side Majalgaon,229
65 - Majalagaon,Chhatrapati Shivaji Vidayalay New Building Room No..2 Majalgaon,229
66 - Majalagaon,Chhatrapati Shivaji Vidayalay New Building Room No..3 Majalgaon,229
67 - Majalagaon,Chhatrapati Shivaji Vidayalay New Building Room No..4 Majalgaon,229
68 - Majalagaon,Z.P.P.S. No.rth Side Bhimnagar Majalgaon,229
69 - Majalagaon,Z.P.P.S. South Side Bhimnagar Majalgaon,229
70 - Majalagaon,Z.P.P.S.South Side Bhimnagar Majalgaon,229
71 - Majalagaon,Z.P.P.S. East Side Banjararanagar Majalagaon,229
72 - Majalagaon,Z. P.P.S. South Side Bhimnagar Majalgaon,229
73 - Majalagaon,Z.P.P.S. Banjararanagar Majalagaon,229
