PS No & Name,Address,Constituency Number
1 - Malegaon,Zilla Parishad Marathi Secondary School Room No. 1 Malegaon,22
2 - Malegaon,Zilla Parishad Marathi Secondary School Room No. 2 Malegaon,22
3 - Nipana,Zilla Parishad Primary School Nipana,22
4 - Savargaon Jahagir,Zilla Parishad Primary School Savargaon Jahagir,22
5 - Avha Yunusapur,Zilla Parishad Marathi Secondary School Room No. 1 Avha Yunusapur,22
6 - Avha Yunusapur,Zilla Parishad Marathi Secondary School Room No. 2 Avha Yunusapur,22
7 - Urha,Zilla Parishad Marathi Secondary School Urha,22
8 - Dahigaon,Zilla Parishad Marathi Secondary School Dahigaon,22
9 - Vadgaon Mahalungi,Zilla Parishad Marathi Secondary School Room No. 2 Vadgaon Mahalungi,22
10 - Mahalungi Jahagir,Zilla Parishad Marathi Secondary School Room No. 2 Mahalungi Jahagir,22
11 - Pimpalgaon Devi,Zilla Parishad Marathi Secondary School Room No. 1 Pimpalagaon Devi,22
12 - Pimpalgaon Devi,Zilla Parishad Marathi Secondary School Room No. 2 Pimpalagaon Devi,22
13 - Liha Bu,Zilla Parishad Marathi Secondary School Room No. 1 Liha Bk,22
14 - Liha Bu,Zilla Parishad Marathi Secondary School Room No. 2 Liha Bk,22
15 - Tembhi,Zilla Parishad Marathi Secondary School Tembhi,22
16 - Shelgaon Bazaar,Zilla Parishad Marathi Primary School Room No. 1 Shelgaon Bazar,22
17 - Shelgaon Bazaar,Zilla Parishad Marathi Primary School Room No. 2 Shelgaon Bazar,22
18 - Dabhadi,Zilla Parishad Marathi Primary School Room No. 1 Dabhadi,22
19 - Dabhadi,Zilla Parishad Marathi Primary School Room No. 2 Dabhadi,22
20 - Ghussar Bu,Zilla Parishad Marathi Primary School Ghussar Bk,22
21 - Shelapur Bu,Zilla Parishad Marathi Primary School North Side Shelapur Bk,22
22 - Shelapur B.,Zilla Parishad Marathi Primary School SouthSide Shelapur Bk,22
23 - Shelapur Khurd,Zilla Parishad Marathi Primary School East Side Shelapur Kh,22
24 - Shelapur Khurd,Zilla Parishad Marathi Primary School West Side Shelapur Kh,22
25 - Talani,Zilla Parishad Marathi Primary School NorthSide Room No.1 Talani,22
26 - Talani,Zilla Parishad Marathi Primary School North Side Room No. 2 Talani,22
27 - Talani,Zilla Parishad Marathi Primary School North Side Room No. 3 Talani,22
