PS No & Name,Address,Constituency Number
1 - FULASANGAVI,Zilha Parishad High School East side Fulsangavi,230
2 - FULASANGAVI,Zilha Parishad High School West side Fulasangavi,230
3 - MARKADWADI,"Zilha Parishad Primary School , Marakadavadi",230
4 - HAJIPUR,"Zilha Parishad Primary School , Hajipur",230
5 - K.DHANORA,"Zilha Parishad Primary School , K. Dhanora",230
6 - Sakshalpimpri,"Zilha Parishad Primary School , East Side Sakshalpimpri",230
7 - Sakshalpimpri,"Zilha Parishad Primary School , West Side Sakshalpimpri",230
8 - Bahadarpur,"Zilha Parishad Primary School , Bhadarpur",230
9 - Tandalwadi Bhill,Zilha Parishad Primary School East-West Building East Side Room No 2 Tandalwadi Bhill,230
10 - Songaon,"Zilha Parishad Primary School , Songaon",230
11 - PONDUL NO 1,"Zilha Parishad Primary School , Paundul No. 1",230
12 - PONDUL NO 3,"Zilha Parishad Primary School , Paundul No. 3",230
13 - SHIRAPUR G.,"Zilha Parishad Primary School , Sirapuragat",230
14 - GAJIPUR,"Zilha Parishad Primary School , Gajipur",230
15 - ARVI,Zilha Parishad High School & Primary. School East side Arvi,230
16 - ARVI,Zilha Parishad High School & Primary. School West side Arvi,230
17 - JAMB,"Zilha Parishad Primary School , Jamb",230
18 - KAMBA,"Zilha Parishad Primary School , Khamba",230
19 - PONDUL NO2,"Zilha Parishad Primary School , Paundul No. 2",230
20 - Ketura,"Zilha Parishad Primary School , Ketura",230
21 - Avvlpur,"Zilha Parishad Primary School , Avvlpur",230
22 - Rudrapur,"Zilha Parishad Primary School , Rudrapur",230
23 - Pargaon Sirs,"Zilha Parishad Central Primary School , North Side Building Room No 1 Pargaon Sirs",230
24 - Umarad Jhagir,"Zilha Parishad Primary School , Umrad Jhagir Room no 1",230
25 - Umarad Jhagir,"Zilha Parishad Primary School , Umrad Jhagir Room no 2",230
26 - Belura,"Zilha Parishad Primary School , Belura",230
27 - Belura,"Zilha Parishad Primary School , Belura",230
28 - LIMBA,"Zilha Parishad Primary School , Limba",230
29 - KHALAPURI,"Zilha Parishad Primary School , KHALAPURI",230
30 - KHALAPURI,"Zilha Parishad Primary School , KHALAPURI",230
31 - PADALI,"Zilha Parishad Primary School , East side Padali",230
32 - PADALI,"Zilha Parishad Primary School , North side Padali",230
33 - PADALI,"Zilha Parishad Primary School , South side Padali",230
34 - NAGAREWADI,"Zilha Parishad Primary School , Nagaryachivadi",230
35 - TAGADAGAV,"Zilha Parishad Primary School , Tagadagaon",230
36 - TAGADAGAV,"Zilha Parishad Primary School , Tagadagaon",230
37 - KHOKARMOH,Zilha Parishad High School East side Khokaramoha,230
38 - KHOKARMOH,Zilha Parishad High School West side Khokaramoha,230
39 - KHOKARMOH,Zilha Parishad High School Middle side Khokaramoha,230
40 - AURANGAPUR,"Zilha Parishad Primary School , Aurangapur",230
41 - HIVARSHINGA,"Zilha Parishad Primary School , East side Hivarasinga",230
42 - HIVARSHINGA,"Zilha Parishad Primary School , West side Hivarasinga",230
43 - Katwatwadi,"Zilha Parishad Primary School , New Building Katwatwadi",230
44 - Ruilimba,"Zilha Parishad Primary School , Ruilimba",230
45 - Limbarui,"Zilha Parishad Primary School , East - West Bullding, West Side Room 2, Limbarui",230
46 - Limbarui,"Zilha Parishad Primary School , Limbarui West Side",230
47 - Wasnwadi,Grampanchyat Office Wasnwadi,230
48 - Wasnwadi,"Anganwadi Building , Wasanwadi",230
49 - Beed,"Zilha Parishad Primary School , Police Colony Nagar Road Beed, Room no. 1",230
50 - Beed,"Zilha Parishad Primary School , Police Colony Nagar Road Beed Room no.2",230
51 - Beed,"Zilha Parishad Primary School , Police Colony Nagar Road Beed, Room no.3",230
52 - Beed,"Zilha Parishad Primary School , Police Colony Nagar Road Beed, Room no.9",230
53 - Beed,"Indira Gandhi Momoriyal Udru Secondory & Higher Secondory Viddyalaya Beed, room No. 1",230
54 - Beed,"Indira Gandhi Momoriyal Udru Secondory & Higher Secondory Viddyalaya Beed, room No. 3",230
55 - Beed,"Sub Divisional Engineer P.W.D. Sub Divn. Beed, Room No. 1",230
56 - Beed,"Sub Divisional Engineer P.W.D. Sub Divn. Beed, Room No. 4",230
57 - Beed,"Sub Divisional Engineer P.W.D. Sub Divn. Beed, Room No. 3",230
58 - Beed,"Sub Divisional Engineer P.W.D. Sub Divn. Beed, Room No. 5",230
59 - Beed,"Sub Divisional Engineer P.W.D. Sub Divn. Beed, Room No. 6",230
60 - Beed,Bhagvan vidyalaya dhanora road beed Room No.7,230
61 - Beed,Bhagvan vidyalaya dhanora road beed Room No.9,230
62 - Beed,Bhagvan vidyalaya dhanora road beed Room No.11,230
63 - Beed,Bhagvan vidyalaya dhanora road beed Room No.12,230
64 - Beed,"Prgati Vidyalaya Balepir Beed, East Side Room no.1",230
65 - Beed,"Prgati Vidyalaya Balepir Beed, East Side Room no.3",230
66 - Beed,"Prgati Vidyalaya Balepir Beed, West Side Room no.02",230
67 - Beed,"Champavati Primary High School West Side Beed,",230
68 - Beed,"Govt.Industrial Training Institute Beed, North Side Room no.01",230
69 - Beed,"Govt.Industrial Training Institute (Girls ) Beed, Room no.02",230
70 - Beed,"Kidzi Tivikling Star English School Shaunagar ,West Side No.2,",230
71 - Beed,"Kidzi Tivikling Star English School Shaunagar ,West Side No.3",230
72 - Beed,"Kidzi Tivikling Star English School Shaunagar ,West Side No.4",230
73 - Beed,"Kidzi Tivikling Star English School Shaunagar ,West Side No.5",230
74 - Beed,"Kidzi Tivikling Star English School Shaunagar ,West Side No.6",230
75 - Beed,"Kidzi Tivikling Star English School Shaunagar ,West Side No.7",230
76 - Beed,"Chhatrpati Shahu High School Shaunagar Beed, Room no.01",230
77 - Beed,"Chhatrpati Shahu High School Shaunagar Beed, Room no.02",230
78 - Beed,"Chhatrpati Shahu High School .Shaunagar Beed, Room no.03",230
79 - Beed,"Chhatrpati Shahu High School .Shaunagar Beed, Room no.04",230
80 - Beed,"Chhatrpati Shahu High School Shaunagar Beed, Room no.05",230
