PS No & Name,Address,Constituency Number
1 - MARATHWADI,ZILHA PARISHAD PRIMARY SCHOOL NORTH SIDE MARATHWADI,231
2 - HAREWADI,ZILHA PARISHAD PRIMARY SCHOOL NORTH SIDE HAREWADI,231
3 - PIMPALGAON GHAT,ZILHA PARISHAD PRIMARY SCHOOL EAST SIDE NEW BUILDING PIMPALGAON GHAT,231
4 - KEL,ZILHA PARISHAD PRIMARY SCHOOL WEST SIDE KEL,231
5 - DEULGAON GHAT,ZILHA PARISHAD PRIMARY SCHOOL EAST SIDE NEW BUILDING DEULGAON GHAT,231
6 - DEULGAON GHAT,ZILHA PARISHAD PRIMARY SCHOOL WEST SIDE NEW BUILDING DEULGAON GHAT,231
7 - CHINCHEWADI,ZILHA PARISHAD PRIMARY SCHOOL CHINCHEWADI,231
8 - BANDHKHEL,ZILHA PARISHAD PRIMARY SCHOOL WEST SIDE NEW BUILDING BANDKHEL,231
9 - DAULAWADGAON,Z.P.P.S. North Side Daulawadgaon,231
10 - DAULAWADGAON,ZILHA PARISHAD PRIMARY SCHOOL NORTH SIDE DAULAWADGAON,231
11 - DAULAWADGAON,ZILHA PARISHAD PRIMARY SCHOOL WEST SIDE DAULAWADGAON,231
12 - AMBEWADI,ZILHA PARISHAD PRIMARY SCHOOL AMBEWADI,231
13 - KARKHEL KHU,ZILHA PARISHAD PRIMARY SCHOOL WEST SIDE KARKHEL KHU,231
14 - SALEWADGAON,ZILHA PARISHAD PRIMARY SCHOOL EAST SIDE SALEWADGAON,231
15 - UNDARKHEL,ZILHA PARISHAD PRIMARY SCHOOL NEW BUILDING UNDARKHEL,231
16 - AMBHORA,ZILHA PARISHAD PRIMARY SCHOOL AMBHORA ROOM NUMBER 1,231
17 - AMBHORA,ZILHA PARISHAD PRIMARY SCHOOL AMBHORA ROOM NUMBER 2,231
18 - LAMANTANDA WA,ZILHA PARISHAD PRIMARY SCHOOL LAMANTANDA WA,231
19 - WAGHALUJ,ZILHA PARISHAD PRIMARY SCHOOL WAGHALUJ,231
20 - NANDUR,ZILHA PARISHAD PRIMARY SCHOOL WEST SIDE NANDUR,231
21 - NANDUR,Z.P.P.S EAST SIDE NANDUR,231
22 - DHANGARWADI PI,ZILHA PARISHAD PRIMARY SCHOOL DHANGARWADI PI,231
23 - LONI (S),ZILHA PARISHAD PRIMARY SCHOOL NORTH SIDE LONI (S),231
24 - LONI (S),ZILHA PARISHAD PRIMARY SCHOOL EAST SIDE LONI (S),231
25 - LONI (S),ZILHA PARISHAD PRIMARY SCHOOL SOUTH SIDE LONI (S),231
26 - SAKAT,Z.P.P.S SOUTH SIDE ROOM NO.1 SAKAT,231
27 - KHUNTEFAL VA,ZILHA PARISHAD PRIMARY SCHOOL ROOM NUMBER 2 KHUNTEFAL VA,231
28 - KOYAL,ZILHA PARISHAD PRIMARY SCHOOL ROOM NUMBER 2 KOYAL,231
29 - PIMPALA,ZILHA PARISHAD PRIMARY SCHOOL NORTH SIDE PIMPALA,231
30 - PIMPALA,ZILHA PARISHAD PRIMARY SCHOOL SOUTH SIDE PIMPALA,231
31 - KAKADWADI,ZILHA PARISHAD PRIMARY SCHOOL EAST SIDE KAKADWADI,231
32 - KHARADGAVHAN,GRAMPACHAYAT OFFICE,231
33 - SUMBEWADI,ZILHA PARISHAD PRIMARY SCHOOL EAST SIDE SUMBEWADI,231
34 - THOMBALSANGAVI,ZILHA PARISHAD PRIMARY SCHOOL EAST SIDE THOMBAL SANGAVI,231
35 - HATOLAN/AURANGPUR,ZILHA PARISHAD PRIMARY SCHOOL ROOM NUMBER 3 HATOLAN,231
36 - BORODI,ZILHA PARISHAD PRIMARY SCHOOL ROOM NUMBER 2 BORODI,231
37 - PARODI,ZILHA PARISHAD PRIMARY SCHOOL EAST SIDE PARODI,231
38 - NIMGAON BO,ZILHA PARISHAD PRIMARY SCHOOL NIMGAON BO,231
39 - WAHIRA,ZILHA PARISHAD PRIMARY SCHOOL WAHIRA ROOM NUMBER 1,231
40 - WAHIRA,ZILHA PARISHAD PRIMARY SCHOOL WAHIRA ROOM NUMBER 2,231
41 - GHONGADEWADI,ZILHA PARISHAD PRIMARY SCHOOL GHONGADEWADI,231
42 - PIMPARI GHUMARI,ZILHA PARISHAD PRIMARY SCHOOL NEW BUILDING EAST SIDE,231
43 - PIMPARI GHUMARI,ZILHA PARISHAD PRIMARY SCHOOL WEST SIDE PIMPARI GHUMARI,231
44 - KANADI BU,ZILHA PARISHAD PRIMARY SCHOOL KANADI BU ROOM NUMBER 1,231
45 - KANADI BU,ZILHA PARISHAD PRIMARY SCHOOL KANADI BU ROOM NUMBER 2,231
46 - RUINALKOL,ZILHA PARISHAD PRIMARY SCHOOL EAST SIDE RUINALKOL,231
47 - RUINALKOL,ZILHA PARISHAD PRIMARY SCHOOL WEST SIDE RUINALKOL,231
48 - ANANDWADI,ZILHA PARISHAD PRIMARY SCHOOL WEST SIDE ANANDWADI,231
49 - SARATEWADGAON,ZILHA PARISHAD PRIMARY SCHOOL SARATEWADGAON,231
