PS No & Name,Address,Constituency Number
1 - Anandwadi,Anganwadi Bilding Anandwadi,232
2 - Bhandarwadi,Zilha Parishad Primary School Bhandarwadi,232
3 - Karegavan,Zilha Parishad Primary School Karegavan room no.1,232
4 - Karegavan,Zilha Parishad Primary School Karegavan room no.2,232
5 - Gaurwadi,Zilha Parishad Primary School Gaurwadi,232
6 - Kordewadi,Zilha Parishad Primary School Kordewadi,232
7 - Kordewadi,Zilha Parishad Primary School Kordewadi,232
8 - Mandavkhel,Zilha Parishad Primary School Mandavkhel,232
9 - Kalsambar (W),Zilha Parishad Primary School Kalsambar (W),232
10 - Wadgaon (K),Zilha Parishad Primary School Wadgaon (K),232
11 - Sanapwadi,Zilha Parishad Primary School Sanapwadi,232
12 - Sonpethwadi,"Z P P S, Sonpethwadi South side Room No. 1",232
13 - Pirachwadi,Zilha Parishad Primary School Pirachwadi,232
14 - Buranwadi,Zilha Parishad Primary School Burunwadi,232
15 - Ghatewadi,Zilha Parishad Primary School Ghatewadi,232
16 - Bengalwadi,Zilha Parishad Primary School Bengalwadi,232
17 - Jaital wadi,Zilha Parishad Primary School Jaital wadi,232
18 - Nivdungwadi,Zilha Parishad Primary School Nivdungwadi,232
19 - Doiphodwadi,Zilha Parishad Primary School Doiphodwadi,232
20 - Limbachiwadi,Zilha Parishad Primary School Limbachiwadi,232
21 - Andhalewadi,Zilha Parishad Primary School Andhalewadi,232
22 - Namewadi,Zilha Parishad Primary School Namewadi,232
23 - Tukuchiwadi,Zilha Parishad Primary School Tukuchiwadi,232
24 - Jiwachiwadi,Zilha Parishad Primary School Jiwachiwadi,232
25 - Jiwachiwadi,Zilha Parishad Primary School Jiwachiwadi Room No.2,232
26 - Jiwachiwadi,Zilha Parishad Primary School Jiwachiwadi Room No.3,232
27 - Kashidawadi,Zilha Parishad Primary School Kashidawadi,232
28 - Nagzhari,Zilha Parishad Primary School Nagzhri,232
29 - Gappewadi,Zilha Parishad Primary School Gappewadi,232
30 - Dahiphal wad,Zilha Parishad Primary School dahiphal Wad Room No 1,232
31 - Dahiphal wad,Zilha Parishad Primary School dahiphal Wad Room No.2,232
32 - Dahiphal wad,Zilha Parishad Primary School dahiphal Wad Room No.1 East side,232
33 - Tandalychiwadi,Zilha Parishad Primary School Tandalyachiwadi,232
34 - Yelambghat,Zilha Parishad Primary School Yelamghat Room No. 1,232
35 - Yelambghat,Zilha Parishad Primary School Yelamghat Room No. 2,232
36 - Yelambghat,Zilha Parishad Primary School Yelamghat Room No. 3,232
37 - Neknoor,Z.P.HSchool Neknoor Room No. 1,232
38 - Neknoor,Z.P.HSchool Neknoor Room No. 2,232
39 - Neknoor,Zilha Parishad Primary Girls Urdu School Neknoor Room No. 1,232
40 - Neknoor Sawantwadi,Gramin Sec. And H.Sec school neknoor Room No. 1,232
41 - Neknoor,ZPH School Neknoor Room No. 3,232
42 - Neknoor,ZPH School Neknoor Room No. 4,232
43 - Neknoor,ZPH School Neknoor Room No. 5,232
44 - Neknoor,ZPH School Neknoor Room No. 6,232
45 - Neknoor,Gramin Sec. And H.Sec school neknoor Room No. 2,232
46 - Neknoor,Zilha Parishad Primary School Girls East Side Office Room,232
47 - Vaitagwadi,Zilha Parishad Primary School Vaitagwadi,232
48 - Pandharyachiwadi,Zilha Parishad Primary School Pandharyachiwadi,232
49 - Khardychwadi,Zilha Parishad Primary School Khardychwadi,232
50 - Dhavjachiwadi,Zilha Parishad Primary School Dhavjachiwadi,232
51 - Devgaon,Zilha Parishad Primary School East Side Devgaon,232
52 - Devgaon,Zilha Parishad Primary School West Side Devgaon,232
53 - Vida,Zilha Parishad Primary School Vida Room 1,232
54 - Vida,Zilha Parishad Primary School Vida Room 2,232
55 - Vida,Zilha Parishad Primary School Vida Room 3,232
56 - Shindi,Zilha Parishad Primary Shindi Room No. 1,232
57 - Shindi,Zilha Parishad Primary Shindi Room No. 2,232
58 - Massajog,Zilha Parishad Primary School East Side Massajog,232
59 - Massajog,Zilha Parishad Primary School West Side Massajog,232
60 - Yewata,Zilha Parishad Primary School South Side Yewata,232
61 - Yewata,Zilha Parishad Primary School North Side Yewata,232
62 - Yewata,Zilha Parishad Primary School Middle Side Yewata,232
63 - Tarnali,Zilha Parishad Primary S Tarnali,232
64 - Kaluchiwadi,Zilha Parishad Primary S Kaluchiwadi,232
65 - Kolhewadi,Zilha Parishad Primary School Kolhewadi,232
66 - Lahuri,Zilha Parishad Primary School Lahuri,232
67 - Lahuri,Zilha Parishad Primary School Lahuri,232
68 - Lahuri,Zilha Parishad Primary School Lahuri,232
69 - Pimpalgavhan,Zilha Parishad Primary School Pimpalghavwan Room No.1,232
70 - Pimpalgavhan,Zilha Parishad Primary School Pimpalghavwan Room No.2,232
71 - Sasura,Zilha Parishad Primary School Sasura room No.01,232
72 - Jola,Zilha Parishad Primary School Jola,232
73 - Chakarwadi,Zilha Parishad Primary School Chakarwadi,232
74 - Ambilwadgaon,Zilha Parishad Primary School Ambilwadgaon,232
75 - Balapur,Zilha Parishad Primary School Balapur,232
