PS No & Name,Address,Constituency Number
1 - Digras,Zilla Parishad Primary School Digras,233
2 - Pohner,Zilla Parishad Primary School Pohner South Side New Building,233
3 - Pohner,Zilla Parishad Primary School Pohner West Side New Building,233
4 - Pohner,Zilla Parishad Higher Secondary Schoool Pohner North Side New Building,233
5 - Telashmukh,"Zilla Parishad Primary School Telashmukh, Room No. 2",233
6 - Kasarwadi R.,Zilla Parishad Primary School Kasarwadi (Ra.),233
7 - Jalgavhan,"Zilla Parishad Primary School Jalgavhan, Room No. 2",233
8 - Hivara Go.,Zilla Parishad Primary School East side Hivara Go.,233
9 - Hivara Go.,Zilla Parishad Primary School West side Hivara Go.,233
10 - Jaigaon,Zilla Parishad Primary School Jaigaon Room No. 1,233
11 - Jaigaon,Zilla Parishad Primary School Jaigaon Room No. 3,233
12 - Govardhan Hi.,Zilla Parishad Primary School Govardhan Hi. Room No. 1,233
"13 - GovardhanHi., Khari Tanda.",Zilla Parishad Primary School Govardhan Hi. Room No. 3,233
14 - Pimpri Bu.,Zilla Parishad Primary School East side Pimpri Bu.,233
15 - Pimpri Bu.,Zilla Parishad Primary School West side Pimpri Bu.,233
16 - Borkhed,Zilla Parishad Primary School Borkhed Room No. 2,233
17 - Mamdapur,Zilla Parishad Primary School Mamdapur Room No. 3,233
"18 - Kaudgaon Hu. Shrikrishnagar,",Zilla Parishad Primary School Kaudgaon Hu. East Side,233
"19 - Kaudgaon Hu. Shrikrishnagar,",Zilla Parishad Primary School Kaudgaon Hu. West Side,233
20 - Acharya Takli,Zilla Parishad Primary School South Side Acharya Takli,233
21 - Acharya Takli,Zilla Parishad Primary School North Side Acharya Takli,233
22 - Hasnabad,Zilla Parishad Primary School Hasnabad,233
23 - Paduli,Zilla Parishad Primary School Paduli,233
24 - Aurangpur,Zilla Parishad Primary School Aurangpur,233
25 - Tapovan,Zilla Parishad Primary School Tapovan,233
26 - Sirsala,"New High School Higher Secandery School, Sirsala, North Side, Room No. 1",233
27 - Sirsala,"New High School Higher Secondary School, Sirsala, North Side, Room No. 2",233
28 - Sirsala,"New High School Higher Secondary School, Sirsala, North Side, Room No. 4",233
29 - Sirsala,Zilla Parishad Primary School New Building Room No.3 Sirsala,233
30 - Sirsala,Zilla Parishad Primary School New Building Room No.5 Sirsala,233
31 - Sirsala,Zilla Parishad Primary School New Building Room No.4 Sirsala,233
32 - Sirsala,Zilla Parishad Primary School New Building Room No.6 Sirsala,233
33 - Sirsala,Zilla Parishad Primary School New Building East Side Room No.7 Sirsala,233
34 - Kaudgaon Gho.,Zilla Parishad Primary School Kaudgaon Gho. East side,233
35 - Kaudgaon Gho.,Zilla Parishad Primary School Kaudgaon Gho. West side,233
36 - Kaudgaon Sab.,Gram Panchyt office Kaudgaon Sab.,233
37 - Kanadi,Zilla Parishad Primary School Kanadi,233
38 - Pimpalgaon Ga.,Zilla Parishad Primary School .New East side Room No. 1 Pimpalgaon Ga.,233
39 - Pimpalgaon Ga.,Zilla Parishad Primary School New Middle side Room No. 4 Pimpalgaon Ga.,233
40 - Pimpalgaon Ga.,Zilla Parishad Primary School New West side Room No. 7 Pimpalgaon Ga.,233
41 - Nathra,Zilla Parishad Primary School Nathra East Side,233
42 - Nathra,Zilla Parishad Primary School Nathra West Side,233
43 - Revali,Zilla Parishad Primary School East Side Room No. 1 Revali,233
44 - Revali,Zilla Parishad Primary School West Side Room No. 2 Revali,233
45 - Waka,Zilla Parishad Primary School Waka Room No. 2 South Side,233
46 - Selu Sab.,Gram Panchyat office Selu Sab. Room No. 1,233
47 - Sabdarabad,Zilla Parishad Primary School Sabdarabad Room No. 1,233
48 - Injegaon,Zilla Parishad Primary School Injegaon South side,233
49 - Injegaon,Zilla Parishad Primary School Injegaon West side,233
50 - Takli De.,Zilla Parishad Primary School d.p.e.p. room Takli De.,233
51 - Wadkhel,Zilla Parishad Primary School Wadkhel,233
52 - Parchundi,Zilla Parishad Primary School Parchundi,233
53 - Malnathpur,Zilla Parishad Primary School Malnathpur Room No. 1 West side,233
54 - Bhilegaon,Zilla Parishad Primary School Bhilegaon South Side,233
55 - Waghala P.,Zilla Parishad Primary School Waghala P.,233
56 - Tadoli,Zilla Parishad Primary School Tadoli,233
57 - Pangri,Zilla Parishad Primary School Pangri,233
58 - Pangri Camp,Zilla Parishad Primary School Pangri camp,233
59 - Pangri Camp,Anganwadi shala pangri camp,233
60 - Limbota,Zilla Parishad Primary School Limbota,233
61 - Limbota tanda,Zilla Parishad Primary School Limbota Tanda,233
62 - Kauthali,Zilla Parishad Primary School Kauthali South Side,233
63 - Kauthali,Zilla Parishad Primary School Kauthali North Side,233
64 - Kauthali Tanda,Zilla Parishad Primary School d.p.e.p. room Kauthali Tanda,233
65 - Selu P.,Zilla Parishad Primary School Selu P.,233
66 - Loni,Zilla Parishad Primary School North Side Loni,233
67 - Loni,Zilla Parishad Primary School South Side Loni,233
68 - Dagadwadi,Zilla Parishad Primary School Dagadwadi,233
69 - Wadgaon Da.,Zilla Parishad Primary School East Side Wadgaon Da.,233
70 - Wadgaon Da.,Zilla Parishad Primary School West Side Wadgaon Da.,233
71 - Dautpur,Zilla Parishad Primary School North Side Dautpur,233
72 - Lonarwadi,Zilla Parishad Primary School Lonarwadi,233
73 - Belamba,"Zilla Parishad Primary School Belamba, North Side",233
74 - Belamba,"Zilla Parishad Primary School Belamba, West Side",233
75 - Wagbet,Zilla Parishad Primary School South side Wagbet,233
76 - Sangam,Zilla Parishad Primary School North side Sangam,233
77 - Tokwadi,Zilla Parishad Primary School Tokwadi East side,233
