PS No & Name,Address,Constituency Number
1 - Moravad,Z.P.P.S Morwad Right Side,234
2 - Moravad,Z.P.P.S Morwad Left side,234
3 - Chadgaon,Z.P.P.S. Chadgaon,234
4 - Motegaon,Z.P.P.S. Motegaon Right Side,234
5 - Motegaon,Z.P.P.S. MotegaonLeft side,234
6 - Sarsa,Z.P.P.S Sarsa West Baju,234
7 - Sarsa,Z.P.P.S Sarsa East Baju,234
8 - Takalgaon,Z.P.P.S Takalagaon,234
9 - Kanadi Borgaon,Z.P.P.S Kanadi Borgaon East side,234
10 - Kanadi Borgaon,Z.P.P.S Kanadi Borgaon West Baju,234
11 - Tandulja,Z.P.P.S Tandulaja new building Right side,234
12 - Tandulja,Z.P.P.S Tandulaja new building Left side,234
13 - Tandulja,Z.P.P.S Tandulja West side,234
14 - Pimpalgaon Amba,Gram Panchayat Office Pimpalgaon Amba,234
15 - Neelkanth,Gram Panchayat Office Neelkanth,234
16 - Bhosa,Z.P.P.S Bhosa West side,234
17 - Bhosa,Z.P.P.S Bhosa East side,234
18 - Wadi Vagholi,Z.P.P.S Wadi Vagholi,234
19 - Masla,Z.P.P.S Masla East side,234
20 - Masla,Z.P.P.S Masla West side,234
21 - Vagholi,Z.P.P.S Vagholi south side,234
22 - Vagholi,Z.P.P.S Vagholi East side,234
23 - Vagholi,Z.P.P.S Vagholi West side,234
24 - Gadhawad,"Z.P.P.S. Gadhwad South side, Room no. 1st from West Side",234
25 - Gadhawad,"Z.P.P.S., Gadhwad South side, Room no. 1st from East Side",234
26 - Gadhawad,"Z.P.P.S., Gadhwad East side, Room no. 2 from North Side",234
27 - Vanjarkheda,Z.P.P.S Vanjarkheda Left side,234
28 - Vanjarkheda,Z.P.P.S Vanjarkheda Right side,234
29 - Vanjarkheda Tanda,Z.P.P.S Vanjarkheda Tanda,234
30 - Bodka,Z.P.P.S Bodka,234
31 - Wakdi,Z.P.P.S wakdi,234
32 - Ganjur,Z.P.P.S Ganjur,234
33 - Tadki,Z.P.P.S Tadki West side,234
34 - Wangdari,Z.P.P.S Wangdari (Right side ),234
35 - Wangdari,Z.P.P.S Wangdarii (Left side ),234
