PS No & Name,Address,Constituency Number
1 - Sai,Z.P. P.S Sai (East Side ),235
2 - Sai,Z.P.P.S. Sai (West Side ),235
3 - Raiwadi,Z.P.P.S. Rayavadi,235
4 - Nandagav,Z.P.P.S. (East Side ) Nandagav,235
5 - Nandagav,Z.P.P.School Class 5 Nandagav,235
6 - Nandagav,Z.P.P.S. (North Side ) Nandagav,235
7 - Mahapur,Swami Vivekanand Vidyamandir South Side Class 4 Mahapur,235
8 - Mahapur,Swami Vivekanand Vidyamandir Middle Side Class 5 Mahapur,235
9 - Mahapur,Swami Vivekanand Vidyamandir North Side Class 6 Mahapur,235
10 - Boravati,Z. P.P S School Borvati,235
11 - Boravati,Z. P.P S School. Right Side Borvati,235
12 - Kasaragav,Z.P.P.S. ;kasaragav,235
13 - Hanmantwadi,Z.P.P.S. Hanamantavadi,235
14 - Arvi,Z.P.P.S. (Left Side) Arvi,235
15 - Arvi,Z P Pra. School Right Side Arvi,235
16 - Arvi,Punyashlok Ahilyadevi Pra. School Arvi (North Side ),235
17 - Arvi,Punyashlok Ahilyadevi Pra. School. Arvi (South Side ),235
18 - Arvi,Punyashlok Ahilyadev Pra. Sha. Class-7 Arvi North Side.,235
19 - Arvi,Punyashlok Ahilyadev Pra. Sha. Centre Side.,235
20 - Kashilingeshwar Nagar,Renaissance International CBSE School Room No.3A North East Side Latur,235
21 - Varavanti,Z.P.P.S. School . Varavanti,235
22 - Varavanti,Z.P.P.S. School East Middle Side Varavanti,235
23 - Varavanti,Z.P.P.S. School Basavantapur,235
24 - Harangul Khu.,Z.P.P.S. Schoo Harangul Khu. East Side,235
25 - Harangul Khu.,Z.P.P.S. Schoo Harangul Khu Centre Side,235
26 - Harangul Khu.,Z.P.P.S Schoo Harangul Khu Navin Imarat (West Side ),235
27 - Haragul Bu.,Z.P.School Navin Vasti Harangngul Bu.,235
28 - Haragul Bu.,Z P Pra. School Navin Vasti Harangul Bu.,235
29 - Harangul Bu.,Z. P. P.School North Side Navin Vasti Harangul Bu.,235
30 - Harangul Bu,Z P C P School Harangul Bu.,235
31 - Haragul Bu.,Z P C P School Harangul Bu.,235
32 - Harangul Bu. Bara N. Pati,Z.P.P.S. School 12 No. Pati Sham Nagar,235
33 - Harangul Bu. Bara N. Pati,Z.P.P.S. 12 No. Pati Sham Nagar Anganavadi,235
34 - Harangul Bu,Z.P.P.S. Navin Imarat Harangul Bu.,235
35 - Harangul Bu,Z.P.P.S. Navin Imarat Harangul Bu.,235
36 - Khadagav,Gra. P. Karyalay Khadagav Anganwadi No 2,235
37 - Khadagav,Z.P.P.S. Khadagav (Left Side ),235
38 - Khadagav,Gr. P. Karyalay New building Right Side Khadgaon,235
39 - Khadagav,Khadgaon Anganwadi No 1,235
40 - Latur,Z.P.P.S. Shasakiy Vasahat South Side Latur,235
41 - Latur M I D C Shasakiy Vasahat,Z.P.P.S. Girls School Shasakiy Colony North Side Latur,235
42 - Latur M I D C,M I D C Office Latur,235
43 - Latur M I D C,M I D C Office West side Latur,235
44 - Latur,Smt. Sushiladevi Deshmukh Womens College Room No. 1 Khadagav Road Latur,235
45 - Latur,Smt. Sushiladevi Deshmukh Womens College Right Side Khadagav Road Latur,235
46 - Latur,Smt. Sushiladevi Deshmukh Womens College Room No. 10 Khadagav Road Latur,235
47 - Latur,Smt. Sushiladevi Deshmukh Womens College Right side Room No. 07 Khadagav Road Latur,235
48 - Latur,Smt. Sushiladevi Deshmukh Womens College East Side Khadagav Road Latur,235
49 - Latur,Saraswati Vidyalay Prakash Nagar Latur North Side,235
50 - Latur,Saraswati Vidyalay Prakash Nagar Latur (South Sides ),235
51 - Latur,Saraswati Vidyalay Prakash Nagar Latur West Side,235
52 - Latur,Saraswati Vidyalaya New Building Anganwadi Room Prakash Nagar (East Side ),235
53 - Latur,"H. P. Urdu P.School, Chaudhari Nagar, latur",235
54 - Latur,"H. P. Urdu P.School Right side Chaudhari Nagar, latur",235
55 - Latur,"H. P. Urdu P. School Left Side Chaudhari Nagar, latur",235
56 - Latur,"H. P. Urdu P. Middle side School Chaudhari Nagar, latur",235
57 - Latur,Matoshri Kesharbai Jagannath Kadtne Pr Vidya Mandir Nutan Balwadi Paschim Baju Latur,235
58 - Latur,Matoshri Kesharbai Jagannath Kadtne Pr Vidya Mandir Class No 5 Latur,235
59 - Latur,Mahatmafule Prathmik Vidya Mandir Ganpati Chowk South Side Latur,235
60 - Latur,Mahatmafule Prathmik Vidya Mandir Ganpati Chowk South Side Latur,235
61 - Latur,Mahatmafule Prathmik Vidya Mandir Ganpati Chowk North Side Latur,235
62 - Latur,Mahatmafule Prathmik Vidya Mandir Room No 7 Store Room Ganpati Chowk Latur,235
63 - Latur,Mahatma Phule Vidyamandir Room No. 3 Ganpati Chowk Latur,235
64 - Latur,Mahatma Phule Vidyamandir Room No. 6 Ganpati Chowk Latur,235
65 - Latur,Godavaridevi Lahoti Kanyapathshala Balak Mandir B Latur,235
66 - Latur,Godavaridevi Lahoti Kanyapathshala Balak Mandir K Latur,235
67 - Latur,Godavaridevi Lahoti Kanya Vidyalay New Building East Side Latur,235
68 - Latur,Godavaridevi Lahoti Kanya Vidyalay New Building East Side Class No 5 A Latur,235
69 - Latur,Godavaridevi Lahoti Kanya Vidyalay New Building West Side Latur,235
70 - Latur,Godavaridevi Lahoti Kanya Vidyalay New Building West Side Latur,235
71 - Latur,Godavari Lahoti Kanya PathShala New Building East Side Latur,235
72 - Latur,Godavari Devi Lahoti Kanya PathShala New Building Center Side Latur,235
73 - Latur,Godavari Devi Lahoti Kanya PathShala New Building West Side Latur,235
74 - Latur,Godavari Devi Lahoti Kanya PathShala New Building Balakmandir A Latur,235
75 - Latur,Godavaridevi Lahoti Kanya Vidyalay Conference Hall South Middle Side Latur,235
76 - Latur,Godavaridevi Lahoti Kanya Vidyalay Abhyasika Hall South East Side Latur,235
77 - Latur,Mahanagar palika Primary School No. 11 Class No 5 Sale galli Latur,235
78 - Latur,Mahanagar palika Primary School No. 11 Class No 7 Sale galli Latur,235
79 - Latur,Mahanagar Palika Primary School No 11 Class No 6 East West Bulding Sale Galli Latur,235
80 - Sale Galli Latur,Mahanagar Palika Primary School No 11 Right Side East West Bulding Sale Galli Latur,235
81 - Sale Galli Latur,Mahanagar Palika Primary School No 11 Room No 14 Sale Galli Latur,235
82 - Latur,Mahanagar Palika Primary School No 11 Room No 16 Sale Galli Latur,235
83 - Latur,Mahanagar Palika Primary School No 11 Room No 17 Sale Galli Latur,235
84 - Latur,Siddharth Pra. Vidyamadir Left Side Bauddh Nagar Latur,235
