PS No & Name,Address,Constituency Number
1 - Khandali,Z.P.H.S. Khandali (East Side ),236
2 - Khandali,Z.P.H.S. Khandali (West Side ),236
3 - Khandali,Z.P.H.S. Khandali (Center Side ),236
4 - Dhasvadi,Z.P.P.S. Dhaswadi (Left Side),236
5 - Dhasvadi,Z.P.P.S. Dhaswadi (Right Side),236
6 - Naravatvadi,Z.P.P.S. Narvatwadi,236
7 - Yeldarvadi,Z.P.P.S. Yeldarwadi,236
8 - Andhori,Z.P.H.S.Andhori (East Side),236
9 - Andhori,Z.P.H.S. Andhori (South Side),236
10 - Andhori,Z.P.H.S. Andhori New Buliding (North Side),236
11 - Andhori,Z.P.H.S. Andhori New Buliding (South Side),236
12 - Guttewadi,Z.P.P.S. Guttewadi,236
13 - Molvan,Z.P.P.S. Molvan,236
14 - Hinganaganv,Z.P.P.S. Hingangaon,236
15 - Devkara,Z.P.P.S. Devkara,236
16 - Mohaganv Kha,Z.P.P.S. Mohgaon (Kha),236
17 - Dagadwadi,Z.P.P.S. Dagadwadi,236
18 - Kolwadi,Z.P.P.S. Kolwadi (New Building),236
19 - Kingaon,Z.P.H.S. Kingaon (East Side),236
20 - Kingaon,Z.P.H.S. Kingaon (West Side),236
21 - Kingaon,Z.P.Girls School New building Kingaon,236
22 - Kingaon,Z.P.H.S. New Building Kingaon,236
23 - Kingaon,Bhagwan Vidhyalaya Old Building Kingaon (North Side),236
24 - Kingaon,Bhagwan Vidhyalaya new Building Room no 1 Kingaon,236
25 - Kingaon,Bhagvan Vidyalya New Building Room No.3 Kingaon,236
26 - Chikhali,Z.P.C.P.S. Chikhali ( East Side),236
27 - Chikhali,Z.P.C.P.S. Chikhali (West Side),236
28 - Kendrevadi,Z.P.P.S. Kendrewadi,236
29 - Dhalegaon,Z P C.P.S Dhalegaon (East Side),236
30 - Dhalegaon,Z P C.P.S Dhalegaon (West Side),236
31 - Dhalegaon,Z P C.P.S. Dhalegoan (North Center Side),236
32 - Vannjaravadi,Z.P.P.S. Wanjarwadi,236
33 - Yestar,Z. P. P. S Yestar,236
"34 - Takalgao She,",Z.P.P.S. Takalgaon (Shen),236
35 - Sumthana,Z.P.P.S. Sumthana,236
36 - Nagzari,Z.P.P.S.New Building Nagzari,236
37 - Gangahipparga,Z.P.C.P.S. GangaHipparga (left side ),236
38 - Gangahipparga,Z.P.C.P.S.Gangahipparga,236
39 - Ujana,Z.P.P.S. Ujana (east side ),236
40 - Ujana,Z.P.P.S. Ujana (west side),236
41 - Wadarwadi,Z.P.P.S.Wadarwadi,236
42 - Sangavi Su,Z.P.C.P.S. Sangavi Su (right side ),236
43 - Sangavi Su,Z.P.C.P.S. Sangavi Su (left side ),236
44 - Sunegav Sa,Z.P.P.S. Sunegaon sa.,236
45 - Ralga,Z.P.P.S. Ralga,236
46 - Rui Uttar,Z.P.P.S. Rui (Utter),236
47 - Rui Dakshin,Z.P.P.S. Rui (Dakshin),236
48 - Rui Tanda,Z.P.P.S. Rui Dakshin (North Side),236
49 - Manndari,Z.P.P.S. Mangdari,236
50 - Shindagi Ku,Z.P.P.S. Sindgi Kh.,236
51 - Varavanti Tanda,Z.P.P.S. Varwanti Tanda,236
52 - Varavanti,Z.P.P.S. Varwanti,236
53 - Hagadal,Z.P.P.S. Hagdal,236
54 - Gugdal,Z.P.P.S.Gugdal,236
55 - Rudha,Z.P.P.S. Ruddha,236
56 - Anandvadi,Z.P.P.S. Anandwadi (Ka),236
57 - Kalegav,Z.P.P.S. Kalegaon (East Side),236
58 - Kalegav,Z.P.P.S. Kalegaon (West Side),236
59 - Suenegav Shannedri,Z.P.P.S. Sunegaon Shendri,236
60 - Sheendri Suneganv,Z.P.P.S. Shendri Su.,236
61 - Shenakud,Z.P.P.S. Shenkud,236
62 - Chilkha,Z. P. P.Chilkha,236
63 - Sora,Z. P. P.S.Sora,236
64 - Par,Z. P. P.S.Par,236
65 - Borgaon,Z. P. P.S Borgaon (khu),236
66 - Mavalgaon,Z. P. P.S Mavalgaon,236
67 - Lendegaon,Z. P. P. S. Lendegaon,236
68 - Vairagad,Z. P. P. S. Vairagad,236
69 - Mankhed,Z.P.P.S. Mankhed,236
70 - Sonkhed,Z.P.P.S. Sonkhed,236
71 - Kopra,Z.P.C.P.S. New Building Kopra (South Side),236
72 - Kopra,Z.P.C.P.S. New Building Kopra (North Side),236
73 - Patoda,Z.P.P.S. Patoda,236
74 - Khanapur Mo,Z.P.P.S. Khanapur (Mo),236
75 - Dhanora Bk.,Z.P.P.S. Dhanora Bk (East Side ),236
76 - Dhanora Bk.,Z.P.P.S. Dhanora Bk (North Side ),236
77 - Gunjoti,Z.P.P.S. Gunjoti,236
78 - Satala Khu.,Z.P.C.P.S. Satala Khu.(North-East Side),236
79 - Satala Khu.,Z.P.C.P.S. Satala Khu.(South-West Side),236
80 - Jadhala,Z.P.P.S. Jadhala (East Side),236
81 - Jadhala,Z.P.P.S. Jadhala (West Side),236
82 - Dalvewadi,Z.P.P.S. Dalvewadi,236
83 - Hipparga Kopdev,Z.P.P.S. Hipparga Kopdev,236
84 - Parchanda,Z.P.P.S. Parchanda,236
85 - Ugilewadi,Z.P.P.S. Ugilewadi,236
86 - Hipparga Kajal,Z.P.H.S.Hipparga Kajal (East Side),236
87 - Hipparga Kajal,Z.P.H.S.Hipparga Kajal(West Side),236
88 - Vilegaon,Z.P.P.S. Vilegav (east side),236
89 - Vilegaon,Z.P.P.S. Vilegaon (West Side),236
90 - Vhotala,Z.P.P.S. Vhotala,236
91 - Lanji,Z.P.P.S. Lanji,236
92 - Tambatsangvi,Z.P.P.S. Tambatsangvi,236
93 - Halani,Z.P.P.S. Halni,236
94 - Ahmedpur,Gat Sadhan Kendra Ahmedpur,236
95 - Ahmedpur,Gat Sadhan Kendra Ahmedpur (West Side),236
96 - Ahmedpur,Z.P.C.P.S. Ahmedpur (Middle Side),236
97 - Ahmedpur,Sarv Samavekshak Sanshodhan Prashikshan Kendra Ahmedpur,236
98 - Ahmedpur,Z.P.C.P.S. Ahmedpur (North Side),236
99 - Ahmedpur,Mahatma Phule Vidyalaya Ahmedpur (West Side) Room No. 4,236
100 - Ahmedpur,Mahatma Phule Vidyalaya Ahmedpur (West Side) Room No. 5,236
101 - Ahmedpur,Ravindranath Tagor Vidhyalaya. Ahmedpur (North Side) Room No. 3,236
102 - Ahmedpur,Ravindranath Tagor Vidhyalaya Ahmedpur.(North Side) Room No. 4,236
103 - Ahmedpur,Ravindranath Tagor Vidhyalaya.Ahmedpur (Left Side) Room No. 1,236
104 - Ahmedpur,Ravindranath Tagor Vidhyalaya.Ahmedpur (Left Side) Room No. 2,236
105 - Ahmedpur,"Kamla Nehru Vidyalay, Ahmedpur (East Side)",236
106 - Ahmedpur,"Kamla Nehru Vidyalay, Ahmedpur (West Side)",236
107 - Ahmedpur,"Kamla Nehru Vidyalay, Ahmedpur (West Side) Class 8th B",236
108 - Ahmedpur,"Yeshwant Pra. School Kalegaon Road, Ahmedpur (East Side)",236
109 - Ahmedpur,"Yeshwant Pra. School Kalegaon Road, Ahmedpur (Center Side)",236
110 - Ahmedpur,"Yeshwant Pra. School Kalegaon Road, Ahmedpur (West Side)",236
111 - Ahmedpur,Yashvant Vidhyalaya Main Building Side Building No.1 Room No. 1 Ahmedpur,236
