PS No & Name,Address,Constituency Number
1 - Vadagaon,Z. P. Pra. Sha. Vadaganv,237
2 - Soraga,Z. P. Pra. Sha. Soraga,237
3 - Sheladara,Z. P. Pra. Sha. Sheladara,237
4 - Umerga retu,Z. P. Pra. Sha. Umaraga Retu,237
5 - Umerga retu,Z. P. Pra. Sha. Umaraga Retu,237
6 - Chera,Z. P. Pra. Sha. Chera,237
7 - Chera,Z. P. Pra. Sha. Chera West Side,237
8 - Vanjaravada,Z. P. Pra. Sha. Vanjaravada Uttar Side,237
9 - Vanjaravada,Z. P. Pra. Sha. Vanjaravada Dakshin Side,237
10 - Vanjaravada,Z. P. Pra. Sha. Vanjaravada MadhyaSide,237
11 - Hokarna,Z. P. Pra. Shala Hokarna,237
12 - Hokarna,Z. P. Pra. Shala Hokarna,237
13 - Umaradara,Z. P. Pra. Sha. Umaradara,237
14 - Kekat Sindagi,Z. P. Pra. Sha. Kekatasindagi,237
15 - Chatewadi,Z. P. Pra. Sha.Chatewadi,237
16 - Kunaki,Z. P. Pra. Sha. Kunaki,237
17 - Kunaki,Z. P. Pra. Shala Kunuki,237
18 - Dhamanaganv,Z. P. Pra. Sha. Dhamanaganv East Side,237
19 - Dhamanaganv,Z. P. Pra. Sha. Dhamanaganv West Side,237
20 - Domagav,Z. P. Pra. Sha. Domag,237
21 - Havarga,Z. P. Pra. Sha. Havaraga,237
22 - Yeladara (kumatha ),Z. P. Pra. Sha. Yaladara,237
23 - Jagalapur Bu,Z. P. Pra. Sha. Jagalapur Bu.,237
24 - Jagalapur Bu,Z. P. Pra. Sha. Jagalapur Bu.,237
25 - Jiraga,Z. P. Pra. Sha. Jiraga,237
26 - Dhorasangavi,Z. P. Pra. Sha. Dhorasangavi,237
27 - Viral,Z. P. Pra. Sha. Viral,237
28 - Karanji,Z. P. Pra. Shala Karanji,237
29 - Patoda Bu,Z. P. Pra. Shala Patoda Bu.,237
30 - Patoda Bu,Z P P S Patoda Bk South Side,237
31 - Patoda Bu.,Z. P. Pra. Sha. Patoda Bu.,237
32 - Jalakot,Krushi Utpann Bajar Samiti Jalkot,237
33 - Jalkot,"Khaja Gariban Nawaj Urdu Prathamik Shala , Jalkot South Side",237
34 - Jalakot,Z.P.P.S Jalkot East Wing,237
35 - Jalkot,"Gurudatt Secondary & higher Secondary School Jalkot, East South Side",237
36 - Jalakot,Z.P.P.S Jalkot South Wing,237
37 - Jalkot,"Gurudatt Secondary & higher Secondary School Jalkot, North East Side",237
38 - Jalakot,Z.P.P.S Jalkot North Wing,237
39 - Jalkot,"Vividh Karyakari Seva Sahkari Society, Jalkot",237
40 - Jalakot,Z. P. Pra. Shala Jalakot West Side,237
41 - Jalakot,Gat Sadhan Kendra Jalkot,237
42 - Halad Vadhavana,Z. P. Kanya Pra. Sha. Halad Vadhavana,237
43 - Ravanakola,Z.P.P.S Ravanakola,237
44 - Ravankola,"Z.P.P.S Ravanakola, South Wimg",237
45 - Ravanakola,Z. P. Pra. Shala Ravanakola,237
46 - Mal Hipparaga,Z. P. Pra. Shala Malahipparaga West Side,237
47 - Mal Hipparaga,Z. P. Pra. Shala Malahipparaga Pu. Side,237
48 - Shivaji Nagar Tanda,Z. P. Pra. Shala Shivaji Nagar Tanda,237
49 - Patoda Khu,Z. P. Pra. Shala Patoda Khu.,237
50 - Kolanur,Z. P. Pra. Shala Kolanur,237
51 - Konali Dongar,Z. P. Pra. Shala. Konali Dongar,237
52 - Sonavala,Z. P. Pra. Shala. Sonavala,237
53 - Sonavala,Z. P. Pra. Shala. Sonavala,237
54 - Dhangarwadi,Z. P. Pra. Shala.Dhangarwadi,237
55 - Lali Bu,Z. P. Pra. Shal. Lali Bu.,237
56 - Mangarul,Z. P. Pra. Shal. Mangalur West Side,237
57 - Mangarul,Z. P. Pra. Shal. Mangalur East Side,237
58 - Lali Khu,Z. P. Pra. Shala. Lali Khu.,237
59 - Belasangavi,Z. P. Pra. Shala. Belasangavi,237
60 - Yevari,Z. P. Pra. Shala Yevari,237
61 - Chimachivadi,Z.P.P.S.. Chimachi Wadi,237
62 - Moratalavadi,Z.P.P.S.. East Wing Moratalavadi,237
63 - Adolavadi,Z.P.P.S.. Adolavadi,237
64 - Handaraguli,Z.P.C.P.S. Handaraguli East Wing,237
65 - Handaraguli,Z.P.C.P.S. Handaraguli West Wing,237
66 - Handaraguli,Z.P.P.G.S..Handaraguli Second Room From East wing,237
67 - Handaraguli,Z.P.P.G.S.Handaraguli First Room From West wing,237
68 - Handaraguli,Z.P. G P.SCHOOL HANDARGULI BUILDING NO. 2 Room 1 from North,237
69 - Vanjaravadi,Z.P.P.S.. Vanjaravadi,237
70 - Hali,Z.P.P.S. Hali West Wing,237
71 - Hali,Z.P.P.S. Hali West Wing,237
72 - Hali,Z.P.P.S.. East Wing Hali,237
73 - Hali,Z.P.P.S. Hali East Wing,237
74 - Rudravadi,Z.P.P.S.. Rudravadi,237
75 - Anapavadi,Z.P.P.S.. Anupavadi,237
76 - Sukani,Z.P.P.S.. Sukani,237
77 - Sukani,Z.P.P.S. Room of Sukani Anganwadi No.1,237
78 - Kiniyelladevi,Z.P.P.S.. Kini Yelladevi North side,237
79 - Kiniyelladevi,Z.P.P.S.. Kini Yelladevi West Wing,237
80 - Vadhavana Khu,Z.P.P.S.. Vadhavana Khu. East Wing,237
81 - Vadhavana Khu,Z.P.P.S.. Vadhavana Khu. West Wing,237
82 - Honihipparaga,Z.P.P.S.. Honihipparaga,237
83 - Umaraga Manna,Z.P.P.S.. Umaraga Manna,237
84 - Akurka Road,Z.P.P.S.. Ekuraka Road East Wing,237
85 - Akurka Road,Z.P.P.S.. Ekuraka Road West Wing,237
86 - Kherda Bu,Z.P.P.S.. Kherda Bu.,237
