PS No & Name,Address,Constituency Number
1 - Chambharaga,Z. P. Pra. Shala Chamaraga,238
2 - Bolegav Bu,Z.P.P.S. Bolegano Bu,238
3 - Bolegav Bu,Z.P.P.S. west Side Bolegano Bu,238
4 - Dhamanagaon,Z. P. Pra. Shala Dhamanagav,238
5 - Shivapur,Z. P. Pra. Shala East Baju Shivapur,238
6 - Shivapur,Aganwadi No-2 Shivpur,238
7 - Hippalagaon,Z. P. Pra. Sha. East Baju Hippalagav,238
8 - Hippalagaon,Z. P. Pra. Sha. West Baju Hippalagav,238
9 - Savaragaon,Z.P.Pra.Sha.South Side Savargaon,238
10 - Ganeshavadi,Z. P. Pra. Sha. Ganeshavadi,238
11 - Jogala,Z. P. Pra. Sha. Jogala,238
12 - Theragaon,Z. P. Pra. Sha. East Baju Theragav,238
13 - Theragaon,Z. P. Pra. Sha. Dakshin Baju Theragav,238
14 - Rapaka,Z. P. Pra. Sha. Rapaka,238
15 - Anandavadi,Z. P. Pra. Sha. Anandavadi,238
16 - Lakkadajavalaga,Z. P. Pra. Sha. Lakkadajavalaga,238
17 - Nagevadi,Z. P. Pra. Sha. Nagevadi,238
18 - Hanamantavadi,Z. P. Pra. Sha. Hanamantavadi,238
19 - Karevadi,Z. P. Pra. Sha. Karevadi,238
20 - Yerol,Z. P. Pra. Sha. East Baju Yerol,238
21 - Yerol,Z. P. Pra. Sha. West Baju Yerol,238
22 - Yerol,Z. P. Pra. Sha. East Baju Navi Imarat Yerol,238
23 - Digol,Z. P. Pra. Sha. East Baju Digol,238
24 - Digol,Z. P. Pra. Sha. West Baju Digol,238
25 - Sumathana,Z. P. Pra. Sha. Sumathana,238
26 - Daithana,Z. P. Pra. Sha. East Baju Daithana,238
27 - Daithana,Z. P. Pra. Sha. West Baju Daithana,238
28 - Pandharavadi,Z. P. Pra. Sha. Pandharavadi,238
29 - Shirur Anantapal,Z. P. Pra. Sha. Mulachi Dakshin Baju Shi. Anantapal,238
30 - Shirur Anantapal,Z.P.Pra.Sha.Boys South Side Shi.Anantpal,238
31 - Shirur Anantapal,Z. P. Pra. Sha. Mulichi Svatantr Imarat Shi. Anantapal,238
32 - Shirur Anantapal,Z. P. Pra. Sha. Mulichi Dakshin Baju Shi. Anantapal,238
33 - Shirur Anantapal,Z. P. Pra. Sha. Mulichi Uttar Baju Shi. Anantapal,238
34 - Shirur Anantapal,Shri. Anantapal Nutan Vidayalay East Baju Shi. Anantapal,238
35 - Shirur Anantapal,Z. P. Pra. Sha. Bhojraj Nagar Shi. Anantapal,238
36 - Turukavadi,Z. P. Pra. Sha. Turukavadi,238
37 - Bhingoli,Z. P. Pra. Sha. Bhingoli,238
38 - Ari,Z. P. Pra. Sha. Ari,238
39 - Kambalaga,Z. P. Pra. Sha. Kambalaga,238
40 - Umaradara,Z. P. Pra. Sha. Umaradara,238
41 - Taleganv Bori,"Z.P. Karyalaya, Talegaon Bori",238
42 - Taleganv Bori,Anganwadi Talegaon Bori.,238
43 - Halaki,Z. P. Pra. Sha.North sade Halaki,238
44 - Halaki,Z. P. Pra. Sha. North center sade Halaki,238
45 - Bevanal,Z. P. Pra. Shala Bevanal,238
46 - Bevanalavadi,Z. P. Pra. Shala Bevanalavadi,238
47 - Ankulaga Sayyed,Z. P. Pra. Shala Ankulaga (s ) East Baju,238
48 - Ankulaga Sayyed,Z. P. Pra. Shala Ankulaga Sayyed,238
49 - Kalammagav,Z. P. Pra. Sha. Kalamagav,238
50 - Ajani Bu,Z. P. Pra. Sha. East Baju Ajani Bu.,238
51 - Ajani Bu,Z. P. Pra. Sha. West Baju Ajani Bu.,238
52 - Honamal,Z. P. Pra. Sha. Honamal,238
53 - Taleganv De,Z. P. Pra. Sha. Talegav Dey.,238
54 - Shend Uttar,Z. P. Pra. Sha. Shend Uttar,238
55 - Shend Dakshin,Z. P. Pra. Sha. Shend D.,238
56 - Shend West,Z. P. Pra. Sha. Shend P.,238
57 - Tiparal,Z. P. Pra. Sha. Tiparal,238
58 - Kanegaon,Z. P. Pra. Sha. Kanegav,238
59 - Chavan Hipparaga,Z. P. Pra. Sha. East Baju Chavan Hipparaga,238
60 - Chavan Hipparaga,Z. P. Pra. Sha. West Baju Chavan Hipparaga,238
61 - Gurdhal Her,Anganwadi Gurdhal,238
62 - Gurdhal Her,Z.P.Pra.Sha.North Side Gurdhal,238
63 - Dhotaravadi,Z. P. Pra. Sha Dhotaravadi,238
64 - Arasanal,Z. P. Pra. Sha. Arasanal,238
65 - Nagral,Z. P. Pra. Sha. Nagral,238
66 - Kumadal Her,Z. P. Pra. Sha. Kumadal Her,238
67 - Konali Na,Z. P. Pra. Sha. Dakshin Baju Konali,238
