PS No & Name,Address,Constituency Number
1 - Budhoda,Z. P. Pra. Sha. Ujavi Baju Budhoda,239
2 - Budhoda,Z. P. Pra. Sha. Davi Baju Budhoda,239
3 - Umbadaga Bu.,Z. P. Pra. Sha. Umbadaga Bu.,239
4 - Alamala,"z.p.p.s.west side building North side, Almala",239
5 - Alamala,Z. P. Pra. Sha. Davi Baju Alamala,239
6 - Alamala,Z. P. Pra. Sha. Madhy Baju Alamala,239
7 - Ausa Tanda,Z. P. Pra. Sha. Ausa Tanda,239
8 - Umbadaga Khu,Z. P. Pra. Sha. Umbadaga Khu,239
9 - Selu,Z. P. Pra. Sha. Ujavi Baju Selu,239
10 - Selu,Z. P. Pra. Sha. Davi Baju Selu,239
11 - Selu,Anganwadi Kr.2 Selu,239
12 - Hasala,Anganwadi Building Hasala,239
13 - Sindala J,Z. P. Pra. Sha. Sindala J,239
14 - Jamalpur,Z. P. Pra. Sha. Jamalpur,239
15 - Khuntegav,Z. P. Pra. Sha. Ujavi Baju Khuntegav,239
16 - Khuntegav,Z. P. Pra. Sha. Davi Baju Khuntegav,239
17 - Hasegav,Z. P. Pra. Sha. Ujavi Baju Hasegav,239
18 - Hasegav,Z. P. Pra. Sha. Davi Baju Hasegav,239
19 - Hipparasoga,Z. P. Pra. Sha. Hipparasoga,239
20 - Dhanora,Z. P. Pra. Sha. Dhanora,239
21 - Gondri,Z. P. Pra. Sha. Davi Baju Gondri,239
22 - Gondri,Z. P. Pra. Sha. Ujavi Baju Gondri,239
23 - Bhusani,Z. P. Pra. Sha. Bhusani,239
24 - Shivani Bu.,Z. P. Pra. Sha. Shivani Bu.,239
25 - Shivani Bu,Anganwadi No 3. Building Shivani Bu,239
26 - Tondoli,z.p.p.s. new building Tondoli,239
27 - Holi,Anganwadi No 1. Building Holi,239
28 - Holi,Anganwadi No 2. Building Holi,239
29 - Kavatha Latur,Z. P. Pra. Sha. Kavatha Latur,239
30 - Lodaga,Z. P. Ken. Pra. Sha. Ujavi Baju Lodaga,239
31 - Lodaga,Z. P. Ken. Pra. Sha. Davi Baju Lodaga,239
32 - Bhangevadi,Z. P. Pra. Sha. Bhangevadi,239
33 - Hasegavavadi,Z. P. Pra. Sha. Ujavi Baju Hasegaon vadi,239
34 - Hasegavavadi,Z. P. Pra. Sha. Davi Baju Hasegaon vadi,239
35 - Sarola,Z.P.Pra.Sha.Davi Baju Sarola,239
36 - Sarola,Z. P. Pra. Sha. Ujavi Baju Sarola,239
37 - Erandi,Z. P. Pra. Sha. Arandi,239
38 - Yakatapur,Z. P. Pra. Sha. Ujavi Baju Yakatapur,239
39 - Yakatapur,Z.P.Pra.Sha. Davi Baju Yakatapur,239
40 - Ausa,Z.P.Ken.Pra.Sha Busstand Javal Davi Baju Ausa,239
41 - Ausa,Z. P. Ken. Pra. Sha. Balavadi Room Ausa,239
42 - Ausa,Bharat Ratna Dr. Babasaheb Ambedkar Competitive Examination Center East Side N.P. Cultural Hall Main Road Ausa,239
43 - Ausa,Bharat Ratna Dr. Babasaheb Ambedkar Competitive Examination Center West Side N.P. Cultural Hall Main Road Ausa,239
44 - Ausa,Shri Kumarswami College Main Building Left Side Room No 7 Ausa,239
45 - Ausa,Shri Kumarswami College Main Building Left Side Room No 8 Ausa,239
46 - Ausa,Z.p.Ken.Pra.Sha. Madhy Ujvikadil Ausa,239
47 - Ausa,Z.p.Ken.Pra.Sha. Madhy Baju Davikadil Ausa,239
48 - Ausa,"K.B.Hasina Urdu Girls Highschool, std.6th A, East Side, Khadakpura, Ausa",239
49 - Ausa,"K.B.Hasina Urdu Girls Highschool, std.4th B, West Side, Khadakpura, Ausa",239
50 - Ausa,Azim. Pra.Sha. Urdu East Baju Ausa,239
51 - Ausa,Ajim P.S. north side Ausa,239
52 - Ausa,Mukteshwar P.S. east side Room No.1 Talmajala side Ausa,239
53 - Ausa,Mukteshwar P.S. east side Room No.3 Talmajala side Ausa,239
54 - Ausa,Mukteshwar P.S.South side Room No.6 Talmajala side Ausa,239
55 - Ausa,Azim Pra. Sha. Police Station Front Ausa,239
56 - Ausa,Azim Pra. School Police Station East Baju Ausa,239
57 - Ausa,Azim Pra. Sha. Police Station West Baju,239
58 - Ausa,Azim Pra. Sha. Police Station Uttar Baju,239
59 - Ausa,Ajim p.s. south side Marathi Ausa,239
60 - Ausa,"Mukteshwar Pra.School, West Side Room No.8 Talmajala Ausa",239
61 - Ausa,panchyat samiti Office west side Ausa,239
62 - Ausa,panchyat samiti Office east side Ausa,239
63 - Ausa,Bachatabhavan Panchayatasamiti Ausa,239
64 - Ausa,Z.P.Pra.Sha Mulanchi Urdu School Ausa,239
65 - Ausa,Mukteshor Secondary and high secondary School Room No-11 Ausa,239
66 - Ausa,Mukteshor Secondary and high secondary School Room No-9 Ausa,239
67 - Ausa,panchayat samiti office north side Near bus stand Ausa,239
68 - Ausa,Mukteshor Secondary and high secondary School Room No-8 Ausa,239
69 - Ausa,Mukteshor Secondary and high secondary School Room No-22 Ausa,239
70 - Khanapur Tanda,Z. P. Pra. Sha. Khanapur Tanda,239
71 - Akambi Tanda,Z. P. Pra. Sha. Ujavi Baju Akambi Tanda,239
72 - Akambi Tanda,Z. P. Pra. Sha. Davi Baju Akambi Tanda,239
73 - Akambi,Z. P. Pra. Sha. Akambi,239
74 - Akambi,Z. P. Pra. Sha. Akambi Wadi,239
75 - Masurdi,Z. P. Pra. Sha. Ujavi Baju Masurdi,239
76 - Masurdi,Z. P. Pra. Sha. Davi Baju Masurdi,239
77 - Gulakheda,Z.P.Pra.Sha. New Building Gulakheda,239
78 - Gulakheda Wadi,Z. P. Pra. Sha. Davi Baju Gulakheda Wadi,239
79 - Borafal,Z. P. Pra. Sha. Ujavi Baju Borafal,239
80 - Borafal,Z. P. Pra. Sha. Davi Baju Borafal,239
81 - Borafal,Anganwadi Kr.3 Borphal,239
82 - Fattepur,Z. P. Pra. Sha. Fattepur,239
83 - Karajagav,Z. P. Pra. Sha. Ujavi Baju Karajagav,239
84 - Karajagav,Z. P. Pra. Sha. Davi Baju Karajagav,239
85 - Kanheri,Z. P. Pra. Sha. Kanheri,239
