PS No & Name,Address,Constituency Number
1 - Malegaon,Zilla Parishad Marathi Secondary School Room No. 1 Malegaon,23
2 - Malegaon,Zilla Parishad Marathi Secondary School Room No. 2 Malegaon,23
3 - Nipana,Zilla Parishad Primary School Nipana,23
4 - Savargaon Jahagir,Zilla Parishad Primary School Savargaon Jahagir,23
5 - Avha Yunusapur,Zilla Parishad Marathi Secondary School Room No. 1 Avha Yunusapur,23
6 - Avha Yunusapur,Zilla Parishad Marathi Secondary School Room No. 2 Avha Yunusapur,23
7 - Urha,Zilla Parishad Marathi Secondary School Urha,23
8 - Dahigaon,Zilla Parishad Marathi Secondary School Dahigaon,23
9 - Vadgaon Mahalungi,Zilla Parishad Marathi Secondary School Room No. 2 Vadgaon Mahalungi,23
10 - Mahalungi Jahagir,Zilla Parishad Marathi Secondary School Room No. 2 Mahalungi Jahagir,23
11 - Pimpalgaon Devi,Zilla Parishad Marathi Secondary School Room No. 1 Pimpalagaon Devi,23
12 - Pimpalgaon Devi,Zilla Parishad Marathi Secondary School Room No. 2 Pimpalagaon Devi,23
13 - Liha Bu,Zilla Parishad Marathi Secondary School Room No. 1 Liha Bk,23
14 - Liha Bu,Zilla Parishad Marathi Secondary School Room No. 2 Liha Bk,23
15 - Tembhi,Zilla Parishad Marathi Secondary School Tembhi,23
16 - Shelgaon Bazaar,Zilla Parishad Marathi Primary School Room No. 1 Shelgaon Bazar,23
17 - Shelgaon Bazaar,Zilla Parishad Marathi Primary School Room No. 2 Shelgaon Bazar,23
18 - Dabhadi,Zilla Parishad Marathi Primary School Room No. 1 Dabhadi,23
19 - Dabhadi,Zilla Parishad Marathi Primary School Room No. 2 Dabhadi,23
20 - Ghussar Bu,Zilla Parishad Marathi Primary School Ghussar Bk,23
21 - Shelapur Bu,Zilla Parishad Marathi Primary School North Side Shelapur Bk,23
22 - Shelapur B.,Zilla Parishad Marathi Primary School SouthSide Shelapur Bk,23
23 - Shelapur Khurd,Zilla Parishad Marathi Primary School East Side Shelapur Kh,23
24 - Shelapur Khurd,Zilla Parishad Marathi Primary School West Side Shelapur Kh,23
25 - Talani,Zilla Parishad Marathi Primary School NorthSide Room No.1 Talani,23
26 - Talani,Zilla Parishad Marathi Primary School North Side Room No. 2 Talani,23
27 - Talani,Zilla Parishad Marathi Primary School North Side Room No. 3 Talani,23
28 - Jahagir Pur,Zilla Parishad Marathi Primary School Room No. 1 Jahagirpur,23
29 - Jahagir Pur,Zilla Parishad Marathi Primary School Room No. 2 Jahagirpur,23
30 - Makodi,Zilla Parishad Marathi Primary School Room No. 1 Makodi,23
31 - Makodi,Zilla Parishad Marathi Primary School Room No. 2 Makodi,23
32 - Takali Ghadekar,Zilla Parishad Marathi Primary School Office Room Takali Ghadekar,23
33 - Kolhi Gavli,Zilla Parishad Marathi Primary School Kolhi Gavli,23
34 - Kolhigolar,Zilla Parishad Marathi Primary School Kolhi Golar,23
35 - Sindkhed,Zilla Parishad Marathi Primary School Room No. 1 Sindkhed,23
36 - Sindkhed,Zilla Parishad Marathi Primary School Room No. 2 Sindkhed,23
37 - Lapali,Zilla Parishad Marathi Primary School Lapali,23
38 - Gugali,Zilla Parishad Marathi Primary School Gugali,23
39 - Pimpri Gavli,Zilla Parishad Marathi Primary School Room No. 1 Pimpri Gavli,23
40 - Pimpri Gavli,Zilla Parishad Marathi Primary School Room No. 2 Pimpri Gavli,23
41 - Pimpri Gavli,Zilla Parishad Marathi Primary School Room No. 3 Pimpri Gavli,23
42 - Pimpri Gavli,Zilla Parishad Marathi Primary School Room No. 4 Pimpri Gavli,23
43 - Pimpalpati,Zilla Parishad Marathi Primary School Pimpalpati,23
44 - Bhoratek,Zilla Parishad Marathi Primary School Bhortek,23
45 - Talkhed,Zilla Parishad Marathi Primary School Room No.1 Talkhed,23
46 - Talkhed,Zilla Parishad Marathi Primary School Room No. 2 Talkhed,23
47 - Talkhed,Zilla Parishad Marathi Primary School Room No. 5 Talkhed,23
48 - Chichampur,Zilla Parishad Marathi Primary School Chinchpur,23
49 - Kabarkhed,Zilla Parishad Marathi Primary School Room No.1 Kabarkhed,23
50 - Kabarkhed,Zilla Parishad Marathi Primary School Room No. 2 Kabarkhed,23
51 - Chavarda,Zilla Parishad Marathi Primary School Chavarda,23
52 - Dhonkhed,Zilla Parishad Marathi Primary School Dhonakhed,23
53 - Pofali,Zilla Parishad Marathi Primary School Room No.1 Pofali,23
54 - Pofali,Zilla Parishad Marathi Primary School Room No. 2 Pofali,23
55 - Ridhora Khandopant,Zilla Parishad Marathi Primary School Room No. 1 Ridhora Khandopant,23
56 - Wadi,Zilla Parishad Marathi Primary School Wadi,23
57 - Sarola Maroti,Zilla Parishad Marathi Primary School Room No. 1 Sarola Maroti,23
58 - Sarola Maroti,Zilla Parishad Marathi Primary School Room No. 2 Sarola Maroti,23
59 - Sarola Peer,Zilla Parishad Marathi Primary School Sarola Peer,23
60 - Punai,Zilla Parishad Marathi Primary School Punhai,23
61 - Ridhora Jahagir,Zilla Parishad Marathi Primary School Ridhora Jahagir,23
62 - Didola Bu,Zilla Parishad Marathi Primary School Didola Bk,23
63 - Didola Khurd,Zilla Parishad Marathi Primary School Didola Khurd,23
64 - Adavihir,Zilla Parishad Marathi Primary School Room No. 1 Aadvihir,23
65 - Adavihir,Zilla Parishad Marathi Primary School Room No. 2 Aadvihir,23
66 - Tighra,Zilla Parishad Marathi Primary School Tighra,23
67 - Jaipur,Zilla Parishad Primary School Room No.1 Jaipur,23
68 - Jaipur,Zilla Parishad Primary School Room No. 2 Jaipur,23
69 - Varud,Zilla Parishad School East Side Room Varud,23
70 - Motala,Zilla Parishad Marathi Primary School Room No.1 Near B. D. Junior College Motala,23
71 - Motala,Zilla Parishad Marathi Primary School Room No.2 Near B. D. Junior College Motala,23
72 - Motala,Zilla Parishad Marathi Primary School Room No.3 Near B. D. Junior College Motala,23
