PS No & Name,Address,Constituency Number
1 - Arni,Zilla Parishad Primary School West Side Room no.1 Arni,240
2 - Kamalpur,Zilla Parishad Primary School Room no.1 Kamalpur,240
3 - Kanegaon,Zilla Parishad Primary School East Side Room no. 1 Kanegaon,240
4 - Kanegaon,Zilla Parishad Primary School Central Side Room no.2 Kanegaon,240
5 - Kanegaon,Zilla Parishad Primary School West Side Room no. 3 Kanegaon,240
6 - Kanegaon,Anganwadi No.6 Near Kanegaon Zilla Parishad Primary School Kanegaon,240
7 - Bhatagali,Zilla Parishad Primary School East Side Room no. 1 Bhatagali,240
8 - Bhatagali,Zilla Parishad Primary School West Side Room no. 2 Bhatagali,240
9 - Bhatagali,Zilla Parishad Primary School West Side Room no. 3 Bhatagali,240
10 - Kasti Kh,Zilla Parishad Primary School East Side Room no.2 Kasti Kh,240
11 - Kasti Bk,Zilla Parishad Central School New Bulding East Side Room no.1 Kasti Bk,240
12 - Kasti Bk,Zilla Parishad Central School New Bulding North Side Room no. 1 Kasti Bk,240
13 - Nagur,Zilla Parishad Primary School West Side Room no. 1 Nagur,240
14 - Nagur,Zilla Parishad Primary School North Side Room no. 7 Nagur,240
15 - Khed,Zilla Parishad Primary School East Side Room no.2 Khed,240
16 - Khed,Zilla Parishad Primary School West Side Room no.5 Khed,240
17 - Makani,Zilla Parishad Primary Girls School East Side Room no.4 Makani,240
18 - Makani,Zilla Parishad Primary Girls School West Side Room no.5 Makani,240
19 - Makani,Bharat Vidyalay West Side Room no.1 Makani,240
20 - Makani,Bharat Vidyalay East Side Room no.5 Makani,240
21 - Makani,Bharat Vidyalay South Side Room no. 1 Makani,240
22 - Karajgaon,Zilla Parishad Primary School East Side Room no. 1 Karajgaon,240
23 - Chincholi kate,Zilla Parishad Primary School West Side Room no. 6 Chincholi kate,240
24 - Sastur,Shanteshwar Vidyalay North Side Room no.4 Sastur,240
25 - Sastur,Shanteshwar Vidyalay West Side Room no.3 Sastur,240
26 - Sastur,Shanteshwar Vidyalay South Side Room no.3 Sastur,240
27 - Sastur,Zilla Parishad Primary School Girls North Side Room no.1 Sastur,240
28 - Sastur,Zilla Parishad Primary School Girls East Side Room no.2 Sastur,240
29 - Udatpur,Zilla Parishad Primary School East Side Room no.1 Udatpur,240
30 - Murshadpur,Zilla Parishad Primary School Central Side Room no.2 Murshadpur,240
31 - Chinchole Rebe,Zilla Parishad Primary School North Side Room no. 3 Chinchole Rebe,240
32 - Rajegaon,Zilla Parishad Primary School Central Side Room no.4 Rajegaon,240
33 - Holi,Zilla Parishad Primary School North Side Room no.2 Holi,240
34 - Holi,Zilla Parishad Primary School South Side Room no.2 Holi,240
35 - Ekondi (Lo),Zilla Parishad Primary School West Side Room no.1 Ekondi (Lo),240
36 - Kavatha,Zilla Parishad Primary School South Side Room No 6 Kavtha,240
37 - Kavatha,Zilla Parishad Primary School North Side Room No 7 Kavtha,240
38 - Kavatha,Zilla Parishad Primary School East Side Room No 2 Kavtha,240
39 - Pethasangavi,Zilla Parishad Primary School East Side Room No 7 Pethsangavi,240
40 - Pethasangavi,Zilla Parishad Primary School North Side Room No 16 Pethsangavi,240
41 - Pethasangavi,Zilla Parishad Primary School West Side Room No 11 Pethsangavi,240
42 - Narangavadi,Zilla Parishad Central Primary School West Side Room No 2 Narangwadi,240
43 - Narangavadi,Zilla Parishad Central Primary School West Side Room No 4 Narangwadi,240
44 - Narangavadi,Zilla Parishad Central Primary School . East Side Room No 7 Narangwadi,240
45 - Babalasur,Zilla Parishad Primary School Room No 3 Babalsur,240
46 - Bori,Zilla Parishad Primary School Room No 4 Bori,240
47 - Matola,Zilla Parishad Primary School West Side Room No 5 Matola,240
48 - Bhagatavadi,Zilla Parishad Primary School Room No 2 Bhagatwadi,240
49 - Savalasur,Zilla Parishad Primary School Room No 7 Savalsur,240
50 - Naichakur,Zilla Parishad High Schoo East Side Room No 6 Naichakur,240
51 - Naichakur,Zilla Parishad High School West Side Room No 14 Naichakur,240
52 - Naichakur,Zilla Parishad Primary School North Side Room No 4 Naichakur,240
53 - Naichakur,Zilla Parishad Primary School East Side Room No 7 Naichakur,240
54 - Wagdari,Zilla Parishad Primary School Room No 4 Wagdari,240
55 - Madaj,Zilla Parishad High School East Side Room No 3 Madaj,240
56 - Madaj,Zilla Parishad High School West Side Room No 5 Madaj,240
57 - Madaj,Zilla Parishad High School North Side Room No 8 Madaj,240
58 - Madaj,Zilla Parishad Primary School West Side Room No 1 Madaj,240
59 - Javalagabet,Zilla Parishad Primary School East Side Room No 4 Jawalga Bet,240
60 - Javalagabet,Zilla Parishad Primary School South Side Room No 7 Jawalga Bet,240
61 - Vhantal,Zilla Parishad Primary School East Side Room No 5 Vhantal,240
62 - Vhantal,Zilla Parishad Primary School West Side Room No 3 Vhantal,240
63 - Kadadora,Zilla Parishad Primary School Room No 2 Kaddora,240
64 - Samudral,Zilla Parishad Primary School Room No 1 Samudral,240
65 - Kondgigad,Zilla Parishad Primary School Central Side Room no.2 Kondgigad,240
66 - Kaldev Nimbala,Zilla Parishad Primary School .East Side Room No 1 Kaldev Limbala,240
67 - Kaldev Nimbala,Zilla Parishad Primary School West Side Room No 12 Kaldev Limbala,240
68 - Salegaon,Zilla Parishad Primary School New Building East Side Room no.1 Salegaon,240
69 - Salegaon,Zilla Parishad Primary School New Building West Side Room no. 1 Salegaon,240
70 - Tawashigad,Zilla Parishad Primary School New Building Room no.1 Tawashigad,240
71 - Tawashigad,Zilla Parishad Primary School North Side Room no.2 Tawashigad,240
