PS No & Name,Address,Constituency Number
1 - Gaddevdari,Zilla Parishad Primary School Building West Side Room No.01 Gaddevdari,241
2 - Tugaon,Zilla Parishad Primary School Building East Side Room No.03 Tugaon,241
3 - Tugaon,Zilla Parishad Primary School Building West Side Room No.03 Tugaon,241
4 - Rui dhoki,Zilla Parishad Primary School Building South Side Room no. 1 Rui Dhoki,241
5 - Rui dhoki,Zilla Parishad Primary School Building South Side Room no. 2 Rui Dhoki,241
6 - Mulewadi,Zilla Parishad Primary School Building West Side Room no. 1 Mulewadi,241
7 - kini,Zilla Parishad Primary School Building South Side Room no. 01 Kini,241
8 - kini,Zilla Parishad Primary School Building North Side Room no. Room No. 01 Kini,241
9 - Jahagirdar Wadi,Zilla Parishad Primary School Building West Side Room No.01 Jagirdarwadi,241
10 - Jahagirdar Wadi (Laman Tanda),Zilla Parishad Primary School Building East Side Room No. 01 Jagirdarwadi,241
11 - Shingoli,Zilla Parishad Primary School Building West Side Room No.01 Shingoli,241
12 - Shingoli,Zilla Parishad Primary School Building North Side . Room No.1 Shingoli,241
13 - Shingoli,Zilla Parishad Primary School Building North Side Room no. 2 Shingoli,241
14 - Upala (ma.),Zilla Parishad Central Primary School Building East Side Room no. Room No.01 Upla (Ma),241
15 - Upala (ma.),Zilla Parishad Central Primary School Building North Side Room No.02 Upla (Ma),241
16 - Upala (ma.),Zilla Parishad Primary School Building Shahoongar East Side Room No.01 Upla (Ma),241
17 - Upala (ma.),Zilla Parishad Central Primary School Building West Side Room No.01 Upla (Ma),241
18 - Upala (ma.),Zilla Parishad Central Primary School Building Central Side. Room No.01 Upla (Ma),241
19 - varuda,Zilla Parishad Primary School Building North Side Room No.02 Varuda,241
20 - varuda,Zilla Parishad Primary School Building East Side Room No.01 Varuda,241
21 - Pavarwadi,Zilla Parishad Primary School Building West Side Room No.01 Pawarwadi,241
22 - Hinglajwadi,Zilla Parishad Primary School Building West Side Room No.01 Hingaljawadi,241
23 - Hinglajwadi,Zilla Parishad Primary School Building East Side Room No.01 Hingaljawadi,241
24 - Ter,Zilla Parishad Primary School Building Special East Side Room No.01 Ter,241
25 - Ter,Zilla Parishad Primary School Building West Side Special Ter Room No.01,241
26 - Ter,Gram Panchayat Office Ter Room No.01,241
27 - Ter,Zilla Parishad Girls' School Building Central Side Ter Room No.01,241
28 - Ter,Zilla Parishad Primary School Building Peth South Side Ter Room No.01,241
29 - Ter,Zilla Parishad Primary School Building North Side Ter Room No.01,241
30 - Ter,Zilla Parishad Primary School Building North Side Ter Room No.02,241
31 - Ter,Zilla Parishad Primary School Building Opposite Building North Side Peth Ter Room No.03,241
32 - Ter,Zilla Parishad Primary School Building Children's East Side Ter Room No.01,241
33 - Dakwadi,Zilla Parishad Primary School Building Building East Side Room No.01 Duckwadi,241
34 - Vanewadi,Zilla Parishad Primary School Building Central Side Wanewadi room no.01,241
35 - Wagholi,Zilla Parishad Primary School Building East Side Room No.01 Wagholi,241
36 - Wagholi,Zilla Parishad Primary School Building West Side Room no. 01 Wagholi,241
37 - Wagholi,District Parishad Primary School Building Near Post Office Room No. 01 Wagholi,241
38 - Wagholi,Zilla Parishad Primary School Building East Side Room No. 2 Wagholi,241
39 - Shekapur,Zilla Parishad Primary School Building West Side Room no. 1 Shekapur,241
40 - Shekapur,Zilla Parishad Primary School Building East Side Room No. 1 Shekapur,241
41 - Devalali,Zilla Parishad Primary School Building West Side Room no. 1 Devalali,241
42 - Devalali,Zilla Parishad Primary School Building East Side Room No. 2 Devalali,241
43 - Medsinga,Zilla Parishad Primary School Building East Side Room No. 1 Medsinga,241
44 - Medsinga,Zilla Parishad Primary School Building North Side Room no. 1 Medsinga,241
45 - Sarola bu.,Zilla Parishad Central Primary School Building East Side Room no. 1 Sarola Budruk,241
46 - Sarola bu.,Zilla Parishad Central Primary School Building North Side Room No.1 Sarola Budruk,241
47 - Sarola bu.,Zilla Parishad Central Primary School Building Middle Side Room No. 1 Sarola Budruk,241
48 - Shindewadi,Zilla Parishad Primary School Building Right Side Room No.1 Shindewadi,241
49 - Kajala,Zilla Parishad Primary School Building South Side Room no. 2 kajala,241
50 - Kajala,Zilla Parishad Primary School Building East Side Room No. 1 kajala,241
51 - kolewadi,Zilla Parishad Primary School Building North Side Room No.3 Kolewadi,241
52 - Ramwadi,Zilla Parishad Primary School Building North Side Room no. 1 Ramwadi,241
53 - Bhandarwadi,Zilla Parishad Primary School East Side Building Left Side Room No. 1 Bhandarwadi,241
54 - Bhandarwadi,Zilla Parishad Primary School East Side Building Right Side Room No. 3 Bhandarwadi,241
