PS No & Name,Address,Constituency Number
1 - Bhaula,Zilla parishad primary school west side room no.1 Bhaula,242
2 - Bhogji,Zilla parishad primary school west side room no.4 Bhogji,242
3 - Adsulwadi,Zilla parishad primary school south side room no.2 Adsulwadi,242
4 - Adhala,Zilla parishad primary school south side room no.2 Adhala,242
5 - Athardi,Zilla parishad primary school east side room no.1 Athardi,242
6 - Pathardi,Zilla parishad primary school east side room no.3 Pathardi,242
7 - Satra,Zilla parishad primary school south side room no.1 Satra,242
8 - Khondla,Zilla parishad primary school east side room no.1 Khondla,242
9 - Bhatsangvi,Zilla parishad primary school west side room no.1 Bhatsangvi,242
10 - Kalamb,Integrated Child Development Service Office Kallam,242
11 - Kalamb,Panchayat Samiti Meeting Hall Kalamb,242
12 - Kalamb,Zilla parishad girls school east side room no.4 Kalamb,242
13 - Kalamb,"Shikshan Mahrashi Dynandev Mohekar Mahavidalaya, north Side Room No.5 Kalamb",242
14 - Kalamb,"Shikshan Mahrashi Dynandev Mohekar Mahavidalaya, south Side Room No.17 Kalamb",242
15 - Kalamb,"Nagar Parishad Primary School Near, Police Station east side room no. 3 Kalamb",242
16 - Kalamb,"Nagar Parishad Primary School Near, Police Station north side room no.2 Kalamb",242
17 - Kalamb,Zilla Parishad Girls High school east side room no.1 Kalamb,242
18 - Kalamb,Zilla Parishad Boyes High school south side room no.1 Kalamb,242
19 - Kalamb,Zilla Parishad Prashala south side room no.3 Kalamb,242
20 - Kalamb,Zilla Parishad Boyes High school west side room no.3 Kalamb,242
21 - Kalamb,Nagar Parishad Primary School no.2 Punarwasan Sawargaon south facing building east side room no.1 Kalamb,242
22 - Kalamb,Nagar Parishad Primary School no.2 Punarwasan Sawargaon south facing building east side room no.4 Kalamb,242
23 - Kalamb,Nagar Parishad Primary School no.2 Punarwasan Sawargaon east facing building south side room no.4 Kalamb,242
24 - Kalamb,Nagar Parishad Primary School no.2 Punarwasan Sawargaon east facing building south side room no.3 Kalamb,242
25 - Kalamb,Zilla Parishad Boyes High school west side room no.2 Kalamb,242
26 - Kalamb,VidyaBhuvan High school weast facing Building south Side room no.1 Kalamb,242
27 - Kalamb,VidyaBhuvan Highschool weast facing Building north side room no.1 Kalamb,242
28 - Kalamb,Savitribai Phule High school west side room no.2 Kalamb,242
29 - Kalamb,Savitribai Phule High school west side room no.4 Kalamb,242
30 - Khadki,Zilla Parishad Primary School west side room no.2 Khadki,242
31 - Lohata weast,"Zilla Parishad Primary School South side Room No 4,Lohata(West)",242
32 - Lohata weast,"Zilla Parishad Primary School East side Room No 6 ,Lohata(West)",242
33 - Lohata east,Zilla Parishad Primary School West side Room No 10 Lohata(East),242
34 - Lohata east,Zilla Parishad Primary School South side Room No 7 Lohata(East),242
35 - Lohata east,Zilla Parishad Primary School East side Room No 3 Lohata(East),242
36 - Awad shirpura,Zilla Parishad Primary School east Side building room no.3 Awad Shirpura,242
37 - Awad shirpura,"Zilla Parishad Primary School, East Side building room no.5 Awad Shirpura",242
38 - Saundana Amba,Zilla Parishad Primary School west side room no.2 Saundana (Amba),242
39 - Wakdi Isthal,Zilla Parishad Primary School west side room no.3 Wakdi Istal,242
40 - Lasra,Zilla Parishad Primary School east side room no.1 Lasra,242
41 - Ranjni,"Zilla Parishad Primary School, North Side Room No 3 Ranjani",242
42 - Ranjni,"Zilla Parishad Primary School, West Side Room NO 4, Ranjani",242
