PS No & Name,Address,Constituency Number
1 - Antarwali,Zilla Parishad Primary School West Side Room No 1 Antarwali,243
2 - Nali,Zilla Parishad Primary School Room No 1 Nali,243
3 - Wadgaon (Nali),Zilla Parishad Primary School Room No 1 Wadgaon (Nali),243
4 - Giralgaon,Zilla Parishad Primary School Room No 1 Giralgaon,243
5 - Jotibachiwadi,Zilla Parishad Primary School Room No 1 Jotibachiwadi,243
6 - Pakharud,Zilla Parishad Primary School South Side Room No 1 Pakharud,243
7 - Pakharud,Zilla Parishad Primary School North Side Room No 3 Pakharud,243
8 - Malewadi,Zilla Parishad Primary School Room No 1 Malewadi,243
9 - Nipani,Zilla Parishad Primary School South Side Room No 1 Nipani,243
10 - Lanjeshwar,Zilla Parishad Primary School Room No 1 Lanjeshwar,243
11 - Andrud,Zilla Parishad Primary School Room No 1 Andrud,243
12 - Andrud,Zilla Parishad Primary School Room No 3 Andrud,243
13 - Ieet,Zilla Parishad Primary School East Side Toranagad Building Room No 2 Ieet,243
14 - Ieet,Zilla Parishad Primary School South Side Pratapgad Building Room No 1 Ieet,243
15 - Ieet,Zilla Parishad Primary School South Side Pratapgad Building Room No 5 Ieet,243
16 - Ieet,Zilla Parishad Central Primary School Sinhgad Building Room No 2 Ieet,243
17 - Ieet,Zilla Parishad Central Primary School North side Panhalgad Building Room No 1 Ieet,243
18 - Girwali,Zilla Parishad Primary School North Side Room No 1 Girwali,243
19 - Girwali,Zilla Parishad Primary School South Side Room No 3 Girwali,243
20 - Pargaon,Z P Primary School North Side Room No 3 Pargaon,243
21 - Pargaon,Zilla Parishad Primary School East Side Room No 1 Pargaon,243
22 - Pargaon,Zilla Parishad Primary School East Side Room No 2 Pargaon,243
23 - Rui,Zilla Parishad Primary School Room No 1 Rui,243
24 - Jankapur,Zilla Parishad Primary School Room No 1 Jankapur,243
25 - Hatola,Zilla Parishad Primary School Room No 1 Hatola,243
26 - Pangari,Zilla Parishad Primary School south side Room No 1 Pangari,243
27 - Fakrabad,Zilla Parishad Primary School Room No 1 Fakrabad,243
28 - Para,Zilla Parishad Primary School North side Room No 1 Para,243
29 - Para,Zilla Parishad Primary School North side Room No 2 Para,243
30 - Para,Zilla Parishad Primary School Middle side Room No 3 Para,243
31 - Para,Zilla Parishad Primary School South side Room No 4 Para,243
32 - Lakhangaon,Zilla Parishad Primary School South side Room No 1 Lakhangaon,243
33 - Lakhangaon,Zilla Parishad Primary School North side Room No 2 Lakhanagaon,243
34 - Shendi,Zilla Parishad Primary School East side Room No 1 Shendi,243
35 - Pimpalagaon (k ),Zilla Parishad Primary School South side Room No 1 Pimpalagaon (k ),243
36 - Pimpalagaon (k ),Zilla Parishad Primary School North side Room No 3 Pimpalagaon (k ),243
37 - Dahifal,Zilla Parishad Primary School East side Room No 1 Dahifal,243
38 - Anjansonda,Zilla Parishad Primary School Room No 1 Anjansonda,243
39 - Ghatapimpari,Zilla Parishad Primary School East Side Room No 01 Ghatapimpari,243
40 - Ghatapimpari,Zilla Parishad Primary School East Side Room No 03 Ghatapimpari,243
41 - Chandwad,Zilla Parishad Primary School South Side Room no 4 Chandwad,243
42 - Ghatnandur,Zilla Parishad Primary School Room No 1 Ghatnandur,243
43 - Dokewadi,Zilla Parishad Primary School North Side Room No 1 Dokewadi,243
44 - Dokewadi,Zilla Parishad Primary School South Side Room No 2 Dokewadi,243
45 - Nagewadi,Zilla Parishad Primary School Room No 1 Nagewadi,243
46 - Umachiwadi,Zilla Parishad Primary School South Side Room No1 Umachiwadi,243
47 - Pathrud,Zilla Parishad Primary School North Side Room No 3 Pathrud,243
48 - Pathrud,Zilla Parishad Primary School South Side Room No-7 Pathrud,243
49 - Pathrud,Zilla Parishad Primary School West Side Room No 1 Pathrud,243
50 - Pathrud,Zilla Parishad Primary School South Side Room No 6 Pathrud,243
51 - Dudhodi,Zilla Parishad Primary School Room No 1 Dudhodi,243
52 - Savargaon Pa,Zilla Parishad Primary School Room No 1 Savargaon Pa,243
53 - Anandwadi,Zilla Parishad Primary School Room No 1 Anandwadi,243
54 - Jejla,Zilla Parishad Primary School Room No 1 Jejla,243
55 - Tintraj,Zilla Parishad Primary School East Side Room No 1 Tintraj,243
56 - Tintraj,Zilla Parishad Primary School West Side Room No 3 Tintraj,243
57 - Dandegaon,Zilla Parishad Primary School Room No 1 Dandegaon,243
58 - Devgaon (bu. ),Zilla Parishad Primary School Room No 1 Devgaon (Bu),243
59 - Jektevadi,Zilla Parishad Primary School Room No 1 Jektewadi,243
60 - Chinchpur BK,Zilla Parishad Primary School Room No 1 Chinchpur BK,243
61 - Chinchpur BK,Zilla Parishad Primary School West Side Room No 3 Chinchpur BK,243
62 - Pandharewadi,Zilla Parishad Primary School West Side Room No 2 Pandharewadi,243
63 - Pandharewadi,Zilla Parishad Primary School East Side Room No 1 Pandharewadi,243
64 - Sakkarawadi,Zilla Parishad Primary School Room No 1 Sakkarwadi,243
65 - Lonarawadi,Zilla Parishad Primary School Room No 2 Lonarwadi,243
66 - Kokarwadi,Zilla Parishad Primary School Room No 1 Kokarwadi,243
67 - Dhotri,Zilla Parishad Primary School Room No 1 Dhotri,243
68 - Shelgaon,Zilla Parishad Primary School South Side Room No 01 Shelgaon,243
69 - Shelgaon,Zilla Parishad Primary School North Side Room No 01 Shelgaon,243
70 - Shelgaon,Zilla Parishad Primary School East Side Room No 02 Shelgaon,243
