PS No & Name,Address,Constituency Number
1 - Ranzani (Bhimanagar),Zilla Parishad School South Building From North Side Room No2 Ranzani Bhimanagar,245
2 - Ranzani (Bhimanagar),Zilla Parishad School South Building North Side Room No 1Ranzani Bhimanagar,245
3 - Ranzani,Zilla Parishad School East Side Room No 2 Ranzani,245
4 - Ranzani,Zilla Parishad School West Side Room No 3 Ranzani,245
5 - Ujani(Te),"Zilla Parishad School, Ujani te New Bulding, West Facing, Room No 1 Ujani Te",245
6 - Surli,Zilla Parishad School East Side Room No2 Surli,245
7 - Futajavalgaon,Zilla Parishad School West Side Room No1 Futajavalgaon,245
8 - Akole (kh),Zilla Parishad School New Building East Side Room No1 AkoleKh,245
9 - Akole (KH),Zilla Parishad School Old Building Northern Side Room No1 AkoleKh,245
10 - Akole (KH),Zilla Parishad School New Building West Side Room No1 AkoleKh,245
11 - Akole (KH),Zilla Parishad School Old Building North Side Room No 2 AkoleKh,245
12 - Shiral(Te),Zilla Parishad School North Side Building Form East Side Room No1 Shiral Te,245
13 - ShiralaTe),Zilla Parishad School North Side Building Room No3 Shiral Te,245
14 - Adhegaon,Zilla Parishad School North Building From West Side Room No1 Adhegaon,245
15 - Adhegaon,Zilla Parishad School Near Entrance West Side Room No 1 Adhegaon,245
16 - Alegaon(Bu),Zilla Parishad School West Building From West Side Room No1 Alegaon Bu,245
17 - Alegaon(Bu),Zilla Parishad School West Building From West Side Room No.3,245
18 - Rui,Zilla Parishad School East Side Room No 2 Rui,245
19 - Alegaon(KH),Zilla Parishad School South Side Room No 1 Alegaon KH,245
20 - Garakole,Zilla Parishad School Room No1 Garakole,245
21 - Takali (Te),Zilla Parishad School New Building East Side Room Takali (Te),245
22 - Takali (Te),Zilla Parishad School New Building West Side Room Takali (Te),245
23 - Chandaj,Zilla Parishad School South Side Room No 2 Chandaj,245
24 - Chandaj,Zilla Parishad School North Side R No1 Chandaj,245
25 - Vadoli,Zilla Parishad School EastSide R No1 Vadoli,245
26 - Nagorli,Zilla Parishad School South Building From East Side Room No2 Nagorli,245
27 - Tembhurni,Zilla Parishad Boys School No 2 East Side R No1 Tembhurni,245
28 - Tembhurni,Zilla Parishad Boys School No 2 East Side R No 2 Tembhurni,245
29 - Tembhurni,Zilla Parishad Boys School No 2 Westside R No1 Tembhurni,245
30 - Tembhurni,Zilla Parishad Girls School EastSide R No 4 Tembhurni,245
31 - Tembhurni,Zilla Parishad Girls School East Side R No 5 Tembhurni,245
32 - Tembhurni,New English School Tembhurni East Side Room No1 Tembhurni,245
33 - Tembhurni,New English School Tembhurni East Side Room No2 Tembhurni,245
34 - Tembhurni,Janta Vidyalaya Tembhurni Western Bulding South Side Room No 2 Tembhurni,245
35 - Tembhurni,Janta Vidyalaya Tembhurni Western Bulding South Side Room No 4 Tembhurni,245
36 - Tembhurni,Janta Vidyalaya Tembhurni East Bulding South Side Room No1 Tembhurni,245
37 - Tembhurni,Zilla Parishad Boys School Ujani Nagar West Side Room No 2 Tembhurni,245
38 - Tembhurni,Zilla Parishad Boys School Ujani Nagar Tembhurni West Side Room No3 Tembhurni,245
39 - Tembhurni,Zilla Parishad Boys School Ujani Nagar East Side Room No 2 Tembhurni,245
40 - Tembhurni,Kanya Prashala Temburni East Side Room No 3 Tembhurni,245
41 - Tembhurni,Kanya Prashala Temburni West Side Room No.2.,245
42 - Sapatene (Te),Zilla Parishad School East Side Room No 2 SapateneTe,245
43 - Sapatene (Te),Zilla Parishad School East Side Room No 4 SapateneTe,245
44 - Pimpalner,Zilla Parishad Schoo lEast Side Room No 3 Pimpalner,245
45 - Pimpalner,Zilla Parishad Schoo lSouth Side Room No 1 New Slab Building Pimpalner,245
46 - Pimpalner,Ganesh Vidyalaya North Side Room No 2 Pimpalner,245
47 - Pimpalner,Ganesh Vidyalaya North Side Room No6 Pimpalner,245
48 - Shiral (ma),Zilla Parishad SchoolWest Side Room No2 Shirala Ma,245
49 - Shiral (ma),Zilla ParishadSchool West Side Room No 4 Shirala Ma,245
50 - Laul,Zilla Parishad School South Building From East Side Room No3 Laul,245
51 - Laul,Zilla Parishad School South Building Room No5 Laul,245
52 - Laul,Zilla Parishad School South Building Room No1 Laul,245
53 - Laul,Kurmadas Vidyalaya East Side BuildingRoom No 1 Laul,245
54 - Laul,Kurmadas Vidyalaya East Side building Room No 4 Laul,245
55 - Laul,Kurmadas Vidyalaya South Side Building Room No4 Laul,245
56 - Vadashinge,Zilla Parishad School South Side Building From West Side Room No 4 Vadashinge,245
57 - Wadshinge,Zilla Parishad School South Side Building From West Side Room No2 Vadashinge,245
58 - Wadshinge,Zilla Parishad School South Side Building From West Side Room No1 Vadashinge,245
59 - Nimagaon (ma),Zilla Parishad SchoolEast Side Room No 1 Nimagaon Ma,245
60 - Rahul Nagar,Zilla Parishad School West Side Room No1 Rahulnagar,245
61 - Vadachiwadi (AU),"Zilla Parishad School westfaced Building , from North side Room No1 Vadachivadi A.U.",245
62 - Anjangaon (u),Zilla Parishad School North Building EastSide Room No1 AnjangaonU,245
63 - Anjangaon U,Zilla Parishad School South Side Building From East Side Room No 4 AnjangaonU,245
64 - Anjangaon U,Zilla Parishad School South Side Building Room No 3 AnjangaonU,245
65 - Jamagaon,Zilla Parishad School New Buiding East Side Room No 1 Jamagaon,245
66 - Darfal,"Nav Bharat Vidyalaya From East Side,west Facing Room No. 9 Darfal",245
67 - Darfal,Nav Bharat Vidyalaya West Side Room No13 Darfal,245
68 - Darfal,"Nav Bharat Vidyalaya Darfal,From East Side, West Facing Room No.2 Darfal",245
69 - Mahatpur,Zilla Parishad School South Side Room No 1 Mahatpur,245
70 - Ranadivewadi,Zilla Parishad School East SideRoom No 1 Ranadivewadi,245
71 - Vetalwadi,Grampanchayat Office meeting Hall East Side Bullding Vetalwadi,245
72 - Madha,Zilla Parishad Boyes School No 2 South Side New Building From East SideRoom No 1 Madha,245
73 - Madha,Zilla Parishad Boyes School No.2 West side Building south Side east faced Room No1. Madha,245
74 - Madha,"Sahakar Maharshi Ganpatrao Sathe Zilla Parishad Prashala Madha , Westside Bullding East Faced South Side Room No.22",245
75 - Madha,"Sahakar Maharshi Ganpatrao Sathe Zilla Parishad Prashala Madha , North side, East-West Bullding South Faced West Side Room No.30",245
76 - Madha,Zilla Parishad Girls School No 1 South Face Building From East Side Room No 3 Madha,245
77 - Madha,Zilla Parishad Girls School No 1 South Face Building From East Side Room No 5 Madha,245
78 - Madha,Zilla Parishad Boys School No 1 North Side South Fcae Building From East Side Room No4 Madha,245
79 - Madha,Zilla Parishad Boys School South Side South Faced Building From East Side Room No 5 Madha,245
80 - Madha,Zilla Parishad Boys School South Side South Faced Building From East Side Room No 3 Madha,245
81 - Jadhavwadi (Ma),Zilla ParishadSchoolRoom No 1 JadhavwadiMa,245
82 - Chincholi,Zilla Parishad Schoo lEast Side Room No 1 Chincholi,245
83 - Chincholi,Zilla Parishad School East Side Room No 3 Chincholi,245
84 - Bhutashte,Zilla Parishad School East Side Room No 1 Slab Building Bhutashte,245
85 - Bhutashte,Zilla Parishad School East Side Room No 3 Bhutashte,245
86 - Bhutashte,Zilla Parishad School West Side Building South Side Room No 1 Slab Buliding Bhutashte,245
87 - Padasali,Zilla ParishadSchoolNorth Side Bulding East Side Room No 2 Padasali,245
88 - Padasali,Zilla Parishad School North Side Building From West Side Room No 2 Padasali,245
89 - Bhend,Zilla Parishad School South North Side Building North Side Room No 3 Bhend,245
90 - Bhend,Zilla Parishad School South North Side Bulding From North Side Room No 2 Bhend,245
91 - Hole (kh),"Zilla Parishad School, From South Side, North facing ,Room No. 1 Hole Kh",245
92 - Hole (kh),"Zilla Parishad School From North Side, East facing Room No. 4 Hole Kh",245
93 - Ujani(ma),Zilla Parishad School West Side Room No 2 Ujani Ma,245
94 - Ujani(ma),Zilla Parishad School West Side Room No 3 Ujani Ma,245
95 - Palvan,Zilla Parishad School West Side Room No 1 Palvan,245
96 - Bhuinje,Zilla Parishad School South Side Room No 1 Bhuinje,245
97 - Akole (Bu),Zilla Parishad School New Bullding East Side Room No 1 Akole Bu,245
98 - Akole (Bu),Zilla Parishad School New Bullding East Side Room No 3 Akole Bu,245
99 - Tambave,Zilla Parishad School East Side Room No 2 Tambave,245
100 - Tambave,Zilla Parishad School East Side Room No 1 Tambave,245
101 - Chavhanwadi (te),Zilla Parishad School Room No 1 Chavhanwadi Te,245
102 - Venegaon,Zilla Parishad School East Side Room No 2 Venegaon,245
103 - Venegaon,Zilla Parishad School West Side Room No 2 Venegaon,245
104 - Shevare,Zilla Parishad School South Side Room No2 Shevare,245
105 - Shevare,Zilla Parishad School North Side Room No 1 Shevare,245
106 - Malegaon,Zilla Parishad School East Side Room No 1 Malegaon,245
107 - Malegaon,Zilla Parishad School West Side Room No 1 Malegaon,245
108 - Mitakalwadi,Zilla Parishad School North Side Room No1 Mitakalwadi,245
109 - Bembale,Zilla Parishad School East West Building East Side Slab Building Room No 1 Bembale,245
110 - Bembale,Zilla Parishad School South North Side Slab Building Room No 2 Bembale,245
111 - Bembale,Zilla Parishad School South North Bullding South Side Room No 3 Bembale,245
112 - Bembale,Z.P.Primary School East West side Building west side Room No. 3 Bembale,245
113 - Bembale,Zilla Parishad School Harinagar Room No 1 Bembale,245
114 - Ghoti,Zilla Parishad School New Building South Side Room No 1 Ghoti,245
115 - Ghoti,Zilla Parishad School New Building North Side Room No 1 Ghoti,245
116 - Ghoti,Zilla Parishad School New Building Middle Room No 2 Ghoti,245
117 - Parite,Vinayakrao Patil High School South Side Room No. 2 Parite,245
118 - Parite,Vinayakrao Patil High School South Side Room No. 3 Parite,245
119 - Parite,Vinayakrao Patil High School South Side Room No. 4 Parite,245
120 - Ahergaon,Zilla Parishad School North Side Room No 4 Ahergaon,245
121 - Ahergaon,Zilla Parishad School North Faced Building West Side Room No 1 Ahergaon,245
122 - Akumbhe,Zilla Parishad School East South Corner Room Akumbhe,245
123 - Paritewadi,Zilla Parishad School East Side Room No 1 Paritewadi,245
124 - Varvade,Zilla Parishad Schoo lEast Side Room No 2 Varvade,245
125 - Varvade,Zilla Parishad School East Side Room No 4 Varvade,245
126 - Tulshi,Zilla Parishad School North Faced East Side Room No 2 Tulashi,245
127 - Tulshi,Zilla Parishad School North Faced East Side Room No 4 Tulashi,245
128 - Tulashi,Zilla Parishad School North Faced East Side Room No 6 Tulashi,245
129 - Tulshi,Zilla Parishad School New Bulding On north side of Road West Side Room No1 Tulashi,245
130 - Aran,Sant Savata Mali Vidyalaya South Side Building East Side Room No3,245
131 - Aran,Sant Savata Mali Vidyalaya South Side Building North Faced West Side Room No1,245
132 - Aran,Zilla Parishad School New Building East Side Room No 3 Aran,245
133 - Aran,Zilla Parishad School New Building East side Room No 4 Aran,245
134 - Solankarwadi,Zilla Parishad School New Buildning South Side Room No. 2 Solankar Wadi,245
135 - Bavi,Zilla Parishad School South Side Bulding East Side Room No 1 Bavi,245
136 - Bavi,Zilla Parishad School North Side Bulding From West Side Room No 1 Bavi,245
137 - Ropale (Khu),Zilla Parishad School New Building North Side Room No1 Ropale Khu,245
138 - Uplai Bk,Maharani Kanya Prashala East Building South Side Room No3 Upalai Bk,245
139 - Uplai Bk,Maharani Kanya Prashala East Faced Building South Side Room No4 Upalai Bk,245
140 - Uplai Bk,Zilla Parishad School North Faced Old Building West Side Room No 4 Upalai Bk,245
141 - Uplai Bk,Zilla Parishad School old Buiding West Side R No 3 Near Upalai Bk,245
142 - Uplai Bk,Maharani Kanya Prashala East Faced Building South Side Room No 5 Upalai Bk,245
143 - Upalai(KH),Zilla Parishad Primary School East Faced Building North Side Room No 1 Upalai KH,245
144 - Upalai(KH),Zilla Parishad Primary School South Faced Bullding East Side Room No 1 Upalai Kh,245
145 - Upalai(KH),Zilla Parishad School South Faced Buiding West Side Room No 1 Upalai KH,245
146 - Vitthalwadi,Zilla Parishad School North Faced Old Bullding EastSide Room No3 Old Buiding Vitthal Wadi,245
147 - Undargaon,"Zilla Parishad School New Building, From North side, South Facing Room No.1 Undargaon",245
148 - Undargaon,"Zilla Parishad School New Building, From West Side,East Facing Room No.2 Undargaon",245
149 - Kevad,Zilla Parishad School East Side Room No1 Old Building Kevad,245
150 - Kevad,Zilla Parishad School Old Building East Side Room No2 Kevad,245
151 - Kapasewadi (Hatkarwadi),"Z.P School New Building, From West side Room no. 1 Kapasewadi (Hatkarwadi)",245
152 - Dhanore,"Z.P School, From West Side Building, From South side, Room no. 3 Dhanore",245
153 - Dhanore,Zilla Parishad School West Side Building From South Side Room No1 Dhanore,245
154 - Manegaon,Zill Parishad School East Side Room No 1 Anand Nagar Manegaon,245
155 - Manegaon,Zilla Parishad School North Side New Building Room No 1 Manegaon,245
156 - Manegaon,Zilla Parishad School East Side Room No 6 Manegaon,245
157 - Manegaon,Zilla Parishad School East Side Room No 4 Manegaon,245
158 - Budrukavadi,Zilla Parishad School West Side Room No1 Budrukavadi,245
159 - Khairav,Zilla Parishad School North Side Building West Side Room No 1 Khairav,245
160 - Khairav,Zilla Parishad School North side Building East Side Room No 2 Khairav,245
161 - Vakav,"Z.P.Primary School New Building south faced , from west side Room No.2 Wakav",245
162 - Vakav,"Z.P.Primary School Wakav New Building south faced , from west side Room No. 4 Wakav",245
163 - Khairewadi,"Zilla Parishad School From North Side, East Facing Building Room No. 1 Khairewadi",245
164 - Londhewadi,"Z.P.Primary School Eestfaced New Building , from South side Room No2 Londhewadi",245
165 - Kumbhej,Zilla Parishad School South Faced Building East Side Room No1 Kumbhej,245
166 - Anjangaon (Khe),Khiloba Vidyalaya South Faced Building East Side From East Side Room No 1 Anjangaon Khe,245
167 - Anjangaon Khe,Zilla Parishad School South Faced Building East Side Room No 5 Anjangaon Khe,245
168 - Anjangaon Khe,Zilla Parishad School South Faced Building East Side Room No 3 Anjangaon Khe,245
169 - Anjangaon (Khe),Zilla Parishad School South Faced Building East Side Room No 1 Anjangaon Khe,245
170 - Vadachi wadi (UB),Zilla Parishad School North Faced Building West SideRoom No 1 5 Vadachi Wadi UB,245
171 - Modnimb,Zilla Parishad Girls School Near Police Station West Side Room No2 Modnimb,245
172 - Modnimb,Zilla Parishad Boys School NO 1 Soth Faced Bullding East SideRoom No5 Modnimb,245
173 - Modnimb,Zilla Parishad Girls School North Faced East Side Room No 3 Modnimb,245
174 - Modnimb,Shri Shivyogi Sanganbasweshwar Kanya Pashala South North Building South Side Room No 1 Modnimb,245
175 - Modnimb,Zilla Parishad Boys School East Faced South Side Room No 4Modnimb,245
176 - Modnimb,Zilla Parishad Girls School East Side Room No 2 Adarsh Nagar Modnimb,245
177 - Modnimb,Shri Sanganbasweshwar Shivzyogi Prashala Kanya South North Building South Side R No 5 Modnimb,245
178 - Jadhavwadi (Mo),Zilla Parishad School East Side Room No1 Jadhavwadi Mo,245
179 - Bairagwadi,Zilla Parishad School East Side Room No 1 Bairagwadi Mo,245
180 - Bairagwadi,Zilla Parishad School New Building East Side Room No 3 Bairagwadi Mo,245
181 - Karole,Z P School Karole East Side Room Karole,245
182 - Karole,Z P School East Side Room No2 Karole,245
183 - Karole,Z P School Patil wasti East Side Room No 2 Karole,245
184 - Kanhapuri,Zilla Parishad School New Building North Side Room 1Kanhapuri,245
185 - Kanhapuri,Zilla Parishad School East Room No 1 Chavanwadi Kanhapuri,245
186 - Umbare,Zilla Parishad School Umbare North Side New Building Room No 1 Umbare,245
187 - Umbare,Zilla Parishad School North Side Room No2 Kadam Vasti Umbare,245
188 - Umbare,Zilla Parishad School North Side Room No 1 Umbare,245
189 - Jaloli,Zilla Parishad School Jaloli Western Side Room No 1 Jaloli,245
190 - Jaloli,Zilla Parishad School West Side Room No 1 with East Side Ramp Jaloli,245
191 - Sangvi,Gagangiri Vidyala North Faced Building East Side Room No.2,245
192 - Badalkot,Zilla Parishad School Room No1 Badalkot,245
193 - Karkamb,New English School Westside Room No 2 Karkamb,245
194 - Karkamb,New English School Eastside Room No 4 Karkamb,245
195 - Karkamb,New English School Eastside Room No 6 Karkamb,245
196 - Karkamb,Rambhau Joshi High School West Side South Faced Room No 1 Karkamb,245
197 - Karkamb,Rambhau Joshi High School West Side South Faced Room No 5 Karkamb,245
198 - Karkamb,Rambhau Joshi High School West Side south faced Room No 7,245
199 - Karkamb,Zilla Parishad School Girl No 2 North Side Room No 4 Karkamb,245
200 - Karkamb,Zilla Parishad School Girl No 2 North Side Room No 7 Karkamb,245
201 - Karkamb,Zilla Parishad Primary School Boys No 1 Karkamb West Side Room No 5,245
202 - Karkamb,Zilla Parishad Primary girls School No 1 Tilak Chouk East faced room,245
203 - Karkamb,Anganwadi Tilak Chouk Karkamb South faced Room,245
204 - Karkamb,Zilla Parishad Primary girls School No 1 Tilak Chowk Karkamb,245
205 - Karkamb,Zilla Parishad Primary Boys School No 2East side Room No 1 Karkamb,245
206 - Karkamb,Zilla Parishad Primary School No2 North Side room no 2 from west side Karkamb,245
207 - Karkamb,Zilla Parishad Primary School Khare Vasti West faced Room No 1 Karkamb,245
208 - Karkamb,Zilla Parishad Primary School Khare Vasti South faced Room No 1 Karkamb,245
209 - Bardi,Zilla Parishad School Western Side Room No 1 Bardi,245
210 - Bardi,Zilla Parishad School East Side Corner Slab Room No 2 Bardi,245
211 - Jadhavwadi,Zilla Parishad School Room No 1 Jadhavwadi,245
212 - Mendhapur,Zilla Parishad School Village Outer Northern Side Room No 1 Mendhapur,245
213 - Mendhapur,Zilla Parishad School Outer Village North Side Room No 3,245
214 - Mendhapur,Zilla Parishad School South Side East Faced Room No. 6 Mendhapur,245
215 - Pandhrewadi,Zilla Parishad School South faced western Side Room No 1 Pandhrewadi,245
216 - Pandhrewadi,"Z. P. School, Pandharwadi West Facing Building, From North side, Room no. 2",245
217 - Pandhrewadi,Zilla Parishad School South Side Room 3 Pandhrewadi,245
218 - Bhose,Zilla Parishad Boyes School North faced East side Room No 4 Bhose,245
219 - Bhose,Zilla Parishad Boyes School North facedwest side Room No 1 Bhose,245
220 - Bhose,Zilla Parishad girls School North faced west side Room No 1Bhose,245
221 - Bhose,Yashwant Vidyalaya Behind New Building Room No 23Bhose,245
222 - Bhose,Yashwant Vidyalaya Behind Building Room No 19 Bhose,245
223 - Bhose,Yashwant VidyalayaIn Fron Of Bhose Gate Building West Side Room No 1 Bhose,245
224 - Bhose,Yashwant Vidyalaya In Frant Of Bhose Get Bulding Eastern SideNo 1 Bhose,245
225 - Nematwadi,Zilla Parishad School East Side Room No1 Nematwadi,245
226 - Nematwadi,Zilla Parishad School Nematwadi West Room No 1,245
227 - Pehe,Zilla Parishad SchoolNorth Side Room No 1Pehe,245
228 - Nandore,Zilla Parishad SchoolWest SideRoom No 2 Nandore,245
229 - Nandore,Zilla Parishad School East Side Room No1 Nandore,245
230 - Aavhe,Zilla Parishad SchoolEast Side Room No3 Avhe,245
231 - Aavhe,Zilla Parishad School South faced Hexaangle Room Aavhe,245
232 - Taratgaonn (Bhose),Zilla Parishad School Room No 1 Taratgaon Bhose,245
233 - Patwardhankuroli,Patwardhankuroli Prashala Patwardhankuroli New Building North Side Room No 3Patwardhankuroli,245
234 - Patwardhankuroli,Zilla Parishad SchoolPunarvasan Ujani Vasahat SouthSideRoom Patwardhankuroli,245
235 - Patwardhankuroli,Zilla Parishad Schooltin shed New Building South Side Room No 2 Patwardhankuroli,245
236 - Patwardhankuroli,Zilla Parishad School tin shed New Building North Side Room No 2 Patwardhankuroli,245
237 - Pirachikuroli,Anganwadi No 2 Sawant Vasti East Side Bullding Pirachikuroli,245
238 - Pirachikuroli,Zilla Parishad SchoolEast Side Room No 1 Pirachikuroli,245
239 - Pirachikuroli,Anganwadi North side Room Pirachikuroli,245
240 - Pirachikuroli,Z P PriSchool south Side Room No 1 Pirachikuroli,245
241 - Wadikuroli,Zilla Parishad School East Side Room No 1 Wadikuroli,245
242 - Wadikuroli,Zilla Parishad School East Side Room No 3 Wadikuroli,245
243 - Devade,Zilla Parishad SchoolIn Front Of Maruti Temple West faced Room Devade,245
244 - Devade,Zilla Parishad SchoolIn Front Of Maruti Temple East faced Room Devade,245
245 - Shevate,"Zilla Parishad School Shewate,East Side, South Facing Bulding Room No.1",245
246 - Shevate,"Zilla Parishad School Shewate, South Facing Bulding Room No.3 From East",245
247 - Khedbhose,Zilla Parishad School Near Maruti Temple North Side Slab Building Near Hatpamp Room No 1 Khedbhose,245
248 - Khedbhose,"Zilla Parishad School, Front Maruti Temple, SouthFaced Room Khedbhose",245
249 - Sugaonn Bhose,Zilla Parishad School West SideRoom No 2 Sugaon Bhose,245
250 - Hole (Bu),Zilla Parishad School Vhole Bu West Facing (New Bulding) Room No.1 From North,245
251 - Hole (Bu),Zilla Parishad School Vhole Bu West Facing (New Bulding) Room No.2 From North,245
252 - Chilaiwadi,Zilla Parishad School West side Room No 1 Chilaiwadi,245
253 - Kharatwadi,Anganwadi South Faced Room Kharatwadi,245
254 - Gursale,Zilla Parishad School Northern Side Room No 2 Building Gursale,245
255 - Gursale,"Punarvasan Takali Zilla Parishad School, North Facing Building, East Side Room no 2 Gursale",245
256 - Gursale,Zilla Parishad School East Side Room No 2 Gursale,245
257 - Gursale,Zilla Parishad School East SideRoom No 4 Gursale,245
258 - Ajoti (NV),Zilla Parishad School North Side Room No2 Ajoti NV,245
259 - Babhulgaon,Zilla Parishad School Northern SideNew Building Westside Room No 2 Babhulgaonn,245
260 - Babhulgaon,Zilla Parishad School Southern Side New Building west Room No 2 Babhulgaonn,245
261 - Babhulgaon,Zilla Parishad School Southern SideNew Building East Side Room No 2 Babhulgaonn,245
262 - Ropale,"Z.P School Ropale, South Facing Building, West side Room no. 2",245
263 - Ropale,"Z.P School Ropale, South Facing Building, West side Room no. 4",245
264 - Ropale,"Z.P School Ropale, West Facing Building, North side Room no. 2",245
265 - Ropale,"Z.P School Ropale, West Facing Building, South side Room no. 3",245
266 - Ropale,"Z.P School Ropale, North Facing New Building, West side Room no. 1",245
267 - Tungat,Zilla Parishad School New Building East side Room No. 1 Tungat,245
268 - Tungat,Zilla Parishad School New Building East side Room No. 2 Tungat,245
269 - Tungat,Zilla Parishad School New Building West side Room No. 2 Tungat,245
270 - Tungat,"Zilla Parishad School, ,New Building East Side, Room No. 1, Tungat.",245
271 - Narayanchincholi,Zilla Parishad School Eastern Side Room No 1 Narayanchincholi,245
272 - Narayanchincholi,Zilla Parishad School Eastern Side Room 2 Narayanchincholi,245
273 - Adhiv,Zilla Parishad School West Side Building . South-North Building RoomNo 2 Adhiv,245
274 - Adhiv,Zilla Parishad School West Faced Building . South-North Building RoomNo 2 Adhiv,245
275 - Bhatumbare,Anganwadi Center No.2 East Faced Room Bhatumbare,245
276 - Bhatumbare,"Zilla Parishad School, Vitthal Wadi(Visava) New Building East Side Room No1 Bhatumbare",245
277 - Chincholi(Bhose),Zilla Parishad School New Building Central Room No 2 Chincholi Bhose,245
278 - Shegaondumala,Zilla Parishad Primary School South Side New Building South Side Room No 1 Shegaondumala,245
279 - Shegaondumala,Zilla Parishad Primary School South Side New Building From North Side Room No 2 Shegaondumala,245
280 - Degaon,Zilla Parishad Primary School East Side Room No 2 Degaon,245
281 - Degaon,Zilla Parishad Primary School Eastern Side Room No 3 Degaon,245
282 - Degaon,Z P Primary Anganwadi Degaon,245
283 - Ishwarwathar,Zilla Parishad School Southern Side Room No 1 Ishwarwathar,245
284 - Ishwarwathar,Zilla Parishad School North Side Room No 1 Ishwarwathar,245
285 - Ajansond,Zilla Parishad School Eastern Side Room No1 Ajansond,245
286 - Ajansond,Zilla Parishad School Western Side New Building Room No 1 Ajansond,245
287 - Bitargaon (NV),Zilla Parishad School West Side Room No1 Bitargaonn NV,245
288 - Suste,Shri Datta Vidya Mandir Susute North Side Room No5,245
289 - Suste,Shri Datta Vidya Mandir East faced South Side Room No 13 Suste,245
290 - Suste,Shri Datt Vidya Mandir West faced South Side Room No 2 Suste,245
291 - Suste,Shri Datta Vidya Mandir Room No 10 Suste,245
292 - Mhalung,Z P School East Side Room No 1 Mahalung,245
293 - Mhalung,Zilla Parishad School New South Side Building Room No 1 Mahalung,245
294 - Mahalung,Zilla Parishad Primary School New West SideSouth faced RoomNo 3 Mahalung,245
295 - Mhalung Bhagatvasti,Zilla Parishad School Room No 1 Bhagatvasti Mahalung,245
296 - Mhalung,Zilla Parishad School Room No 1 Mayanar VastiMahalung,245
297 - Mhalung (Mundfanevasti),Zilla Parishad School Room No 2 Mundfanevasti Mahalung,245
298 - Mhalung (Mundfanevasti),Zilla Parishad School Room No1 Mundfanevasti Mahalung,245
299 - Mahalung,The Saswad Mali Edu Sociaty Malinagar Prymary School No 3 West Faced Bullding East Side Room No 2 Gat No 2 Mahalung,245
300 - Mahalung,The Saswad Mali Edu Sociaty Malinagar Prymary School No 3 North Faced Bullding South Side Room No 1Gat No 2 Mhalung,245
301 - Mahalung,The Saswad Mali Edu Sociaty Malinagar Prymary School No 3 North Faced Bullding South Side Room No 3Gat No 2 Mahalung,245
302 - Mhalung Shreepur Gota No. 9,Zilla Parishad School Gat No 9 Gota south Side Room No 1 Mahalung Shreepur,245
