PS No & Name,Address,Constituency Number
1 - Atkal,Jilha Parishad Marathi Primary School New Building Room No 1 Atkal,24
2 - Dahid Kh.,Jilha Parishad Marathi Primary School Old Building Room No 1 Dahid Kd,24
3 - Deopur,Jilha Parishad Marathi Primary School Room No. 1 East Side Deopur,24
4 - Deopur,Jilha Parishad Marathi Primary School Room No.1 west Side Deopur,24
5 - Chikhla,Jilha Parishad Marathi Primary School Room N0. 1 South Side Chikhla,24
6 - Sakhli Kh.,Jilha Parishad Marathi Primary School Sakhli Kd,24
7 - Sakhli Bk.,Jilha Parishad Marathi Primary School ( Room No. 1 ) East Side Sakhli Bk.,24
8 - Sakhli Bk.,"Jilha Parishad Marathi Primary School ( Room No.2) West Side, Sakhli Bk.",24
9 - Sakhali Bk.,Jilha Parishad Marathi Primary School ( Room No. 1 ) West Side Sakhli Bu.,24
10 - Sakhali Bk.,"Jilha Parishad Marathi Primary School ( Room No 4 ) East Side, Sakhli Bk.",24
11 - Sakhali Bk.,"Jilha Parishad Marathi Primary School ( Room No.2 ) West Side,Sakhli Bu.",24
12 - Sakhali Bk.,Jilha Parishad Marathi Primary School ( Room No.3 ) West Side Sakhli Bu.,24
13 - Antri Teli,"Jilha Parishad Marathi Primary School , Antri Teli",24
14 - Kinhola,Jilha Parishad Marathi Pre Middle School ( New Building Room No 1 ) Kinhola,24
15 - Kinhola,Jilha Parishad Marathi Pre Middle School (New Building Room No.2) Near bus stand Kinhola,24
16 - Kinhola,Jilha Parishad Urdu Middle School (Near bus stand Room No.1) Kinhola,24
17 - Kinhola,Jilha Parishad Urdu Middle School (Near bus stand Room No.2) Kinhola,24
18 - Dongar Shewli,Jilha Parishad Marathi Primary School (Room No. 1 ) Dongar Shevali,24
19 - Dongar Shewli,Jilha Parishad Marathi Primary School ( Room No.2) Dongar Shewli,24
20 - Dongar Shewli,Jilha Parishad Marathi Primary School ( Room No.3 ) Dongar Shevali,24
21 - Borala,Jilha Parishad Marathi Primary School Borala,24
22 - Harni,Jilha Parishad Marathi Primary School New Building ( Room No 1 ) Harni,24
23 - Harni,Jilha Parishad Marathi Primary School New Building (Room No.2) Harni,24
24 - Vairagad,Jilha Parishad Marathi Pre Middle School Room N0.1 Vairagad,24
25 - Vairagad,Jilha Parishad Marathi Pre Middle School Room N0 2 Vairagad,24
26 - Kinhi Sawadad,Jilha Parishad Marathi Pre Middle School Kinhi Savadat,24
27 - Toranwada,Jilha Parishad Marathi Primary School Toranvada,24
28 - Udaynagar,"Shahaji Raje College, Room No 3 East Side, Udaynagar",24
29 - Udaynagar,"Shahaji Raje College, Room No 5 East Side, Udaynagar",24
30 - Udaynagar,"Shahaji Raje College, Room No 6 East Side, Udaynagar",24
31 - Udaynagar,"Shivaji High School, Room No 3 North Side, Udaynagar",24
32 - Udaynagar,"Shivaji High School, Room No 5 North Side, Udaynagar",24
33 - Dasala,Jilha Parishad Marathi Primary School ( New Building ) Dasala,24
34 - Takarkhed Helga,Jilha Parishad Marathi Pre Middle School Room No.1 Takarkhed Helaga,24
35 - Takarkhed Helga,Jilha Parishad Marathi Pre Middle School Room No 2 Takarkhed Helaga,24
36 - Karwand,Jilha Parishad Marathi Pre Middle School Room No.1 Karvand,24
37 - Karwand,Jilha Parishad Marathi Pre Middle School Room No. 4 Karvand,24
38 - Karwand,Jilha Parishad Marathi Pre Middle School Room No 2 Karvand,24
39 - Palaskhed Sapakal,Jilha Parishad Primary School Room No 1 South Side Palaskhed Sapkal,24
40 - Dhodap,Jilha Parishad Marathi Primary School ( Room No.3) East Side Dhodap,24
41 - Dhodap,Jilha Parishad Marathi Primary School ( Room No.2) East Side Dhodap,24
42 - Bramhapuri,Jilha Parishad Marathi Primary School Room No1 Bramhapuri,24
43 - Bramhapuri,Jilha Parishad Marathi Primary School Room No. 2 Bramhapuri,24
44 - Kelwad,Jilha Parishad Marathi Pre Middle School (Old building Room No. 2 ) Kelwad,24
45 - Kelwad,Jilha Parishad Marathi Pre Middle School (Old building Room No. 3 ) Kelwad,24
46 - Kelwad,Jilha Parishad Marathi Primary School (New building Room No. 3 ) Kelwad,24
47 - Shirpur,Jilha Parishad Marathi Primary School Shirpur,24
48 - Shirpur,Jilha Parishad Marathi Pre Middle School Room No. 2 ) North Side Shirpur,24
49 - Shirpur,Jilha Parishad Marathi Primary School (Middle Room ) Shirpur,24
50 - Pangri,Jilha Parishad Marathi Pre Middle School Room No. 1 East Side Pangri Pr.Deulghat,24
51 - Pangri,Jilha Parishad Marathi Pre Middle School Room No 2 Pangri Pr.Deulghat,24
52 - Pangri,Jilha Parishad Marathi Pre Middle School Room ) West Side Pangri Pr. Deulghat,24
53 - Kesapur,Jilha Parishad Marathi Middle School Room No. 2 North Side Kesapur,24
54 - Kesapur,Jilha Parishad Marathi Middle School Room No.3 North Side Kesapur,24
55 - Malwandi,Jilha Parishad Marathi Middle School Room No. 2 East Side Malvandi,24
56 - Malwandi,Jilha Parishad Marathi Middle School Room No. 3 East Side Malvandi,24
57 - Dudha,Jilha Parishad Marathi Pre Middle School Room No 1 West Side Dudha,24
58 - Dudha,Jilha Parishad Marathi Pre Middle School Room No.3 Dudha,24
59 - Jamthi,Jilha Parishad Marathi Primary School Room N0. 1 Jamthi,24
60 - Jamthi,Jilha Parishad Marathi Primary School Room No. 2 Jamthi,24
61 - Masrul,Jilha Parishad Marathi Primary School Room No. 1 North Side Masrul,24
62 - Masrul,Jilha Parishad Marathi Primary School Room No. 2 North Side Masrul,24
63 - Masrul,Jilha Parishad Marathi Primary School Room No. 3 South Side Masrul,24
64 - Masrul,Grampanchayat Hall Masrul,24
65 - Soigaon,Jilha Parishad Marathi Primary School Room No. 1 West Side Soygaon,24
