PS No & Name,Address,Constituency Number
1 - Mangrul,Zilla Parishad Marathi Primary School Room No.1 Mangrul,25
2 - Mangrul,Zilla Parishad Marathi Primary School Room No.2 Mangrul,25
3 - Shelgaon Atol,Zilla Parishad Marathi Primary School Room No. 1 Shelgaon Atol,25
4 - Shelgaon Atol,Zilla Parishad Marathi Primary School Room No. 1 Shelgaon Atol,25
5 - Shelgaon Atol,Zilla Parishad Marathi Primary School Room No. 3 Shelgaon Atol,25
6 - Misalwadi,Zilla Parishad Marathi Primary School Misalavadi,25
7 - Amona,Zilla Parishad Marathi Primary School Room No. 1 Amona,25
8 - Amona,Zilla Parishad Marathi Primary School Room No. 2 Amona,25
9 - Deulgaon Dhangar,Zilla Parishad Marathi Primary School Room No 1 Deulgaon Dhangar,25
10 - Deulgaon Dhangar,Zilla Parishad Marathi Primary School Room No 2 Deulgaon Dhangar,25
11 - Konad,Zilla Parishad Marathi Primary School Room No. 1 Konad,25
12 - Pimpalwadi,Zilla Parishad Marathi Primary School Room No. 1 Pimpalwadi,25
13 - Malgi,Zilha Parishad Marathi Primary School Malgi,25
14 - Muradpur,Zilla Parishad Marathi Primary School Room No. 2 Muradpur,25
15 - Rohda,Zilla Parishad Marathi Primary School Room No. 1 Rohda,25
16 - Mera Khurd,Zilla Parishad Marathi Primary School West Side Room 1 Mera Khurd,25
17 - Mera Khurd,Zilla Parishad Urdu Primary School East Room 1 Mera Khurd,25
18 - Mera Khurd,Zilla Parishad Marathi Primary School Weat Room No 1 Mera Khurd,25
19 - Antri Khedekar,Zilla Parishad Marathi Primary School Antri Khedekar Room No 1,25
20 - Antri Khedekar,Zilla Parishad Marathi Primary School East Antri Khedekar,25
21 - Antri Khedekar,Zilla Parishad Marathi Primary School Room 3 Antrri Khedekar,25
22 - Ratali,Zilla Parishad Primary High School Ratali,25
23 - Mohadi,Zilla Parishad Marathi Primary School Room No. 1 Mohadi,25
24 - Mohadi,Zilla Parishad Marathi Primary School Room No. 5 Mohadi,25
25 - Sawdad,Zilla Parishad Higher Primary School Room No 2 Sawdad,25
26 - Sawdad,Zilla Parishad Higher Primary School Room No 9 Sawdad,25
27 - Sakhar kherda,Zilla Parishad Urdu Higher Primary School Room No 1 Sakharkherda,25
28 - Sakhar kherda,Zilla Parishad Urdu Higher Primary School Room No 9 Sakharkherda,25
29 - Sakhar kherda,Zilla Parishad Urdu Higher Primary School Room No 13 Sakharkherda,25
30 - Sakhar kherda,Zilla Parishad Boys Center Primary School Room No.1 Sakharkhedra,25
31 - Sakhar kherda,Zilla Parishad Boys Center Primary School Room No.2 Sakharkhedra,25
32 - Sakhar kherda,Zilla Parishad Boys Center Primary School Room No.3 Sakharkhedra,25
33 - Sakhar kherda,Zilla Parishad Boys Center Primary School Room No.4 Sakharkhedra,25
34 - Sakhar kherda,Zilla Parishad Girls Primary School Room No.2 Sakharkhedra,25
35 - Sakhar kherda,Zilla Parishad Girls Primary School Room No.3 Sakharkhedra,25
36 - Sakhar kherda,Zilla Parishad Girls Primary School Sakharkhedra Room No.5,25
37 - Shindi,Zilla Parishad Higher Primary School Room No 1 Shindi,25
38 - Shindi,Zilla Parishad Higher Primary School New Building Shindi,25
39 - Mera Bk,Zilla Parishad Higher Secondary School Room No. 1 Mera Bk,25
40 - Mera Bk,Zilla Parishad Higher Secondary School Room No. 2 Mera Bk,25
