PS No & Name,Address,Constituency Number
1 - Ravalje,R.Z.P.P. Marathi Shala Ravalaje (kolani Shala ) West Side Room No.1,263
2 - Saje,R.Z.P.P. Marathi Shala Saje East Room No.1,263
3 - Patnus 1,R.Z.P.P. Marathi Shala Patanus East Room No.1,263
4 - Patnus,Tata Vidayabhavan Bhira South Room No.1,263
5 - Vile,R.Z.P.P.Marathi Shala Vile North Side Room No.2,263
"6 - Bedgaon, Varchiwadi",R.Z.P.P. Marathi Shala Vile (dakshin ),263
7 - Sanaswadi,R.Z.P.P.Marathi Shala Sanasavadi North Side Room No.1,263
8 - Bhagad,R.Z.P.P. Marathi Shala Bhagad (New Building),263
9 - Tasgaon,R.Z.P.P. Marathi Shala Tasaganv East Room No.1,263
10 - Bondshet,R.Z.P.P.Marathi Shala Bondashet,263
"11 - Kandalgaon Bk. ,Kandalgaon Kh.",R.Z.P Marathi School Bandalwadi (Kandalgaon Bk),263
12 - Koshimble/ Nijampur,R.Z.P Marathi School Koshimble/Nijampur,263
13 - Nijampur 1,R.Z.P Urdu School Nijampur East Side No.1,263
14 - Nijampur 2,R.Z.P Urdu School Nijampur East Side No.2,263
15 - Nijampur 3,R.Z.P Marathi School Nijampur South Room No.1,263
16 - Nijampur 4,G.R. Metha Highschool Nijampur East Side Room No.1,263
"17 - Nijampur 5, Kumbharte",R.Z.P.P. Marathi Shala Kumbharte,263
18 - Panaspe,R.Z.P.P.Marathi Shala Panaspe West Room No.1,263
19 - Javate,R.Z.P.P. Marathi Shala Javate North Side Room No.1,263
20 - Bhale,R.Z.P.P.Marathi Shala Bhale (North Room No.1),263
21 - Pansai 1,R.Z.P.P.Marathi Shala Karanjevadi room no 1,263
22 - Pansai 2 (Bhinad),R.Z.P.P. Marathi Shala Bhinad West Room No.1,263
23 - Vadhwan,R.Z.P.P.Marathi Shala Vadhavan West Room No.1,263
24 - Kalvan,R.Z.P.P.Marathi Shala Kalavan North Side Room No.1,263
25 - Dakhane,R.Z.P.P.Marathi Shala Dakhane North Side Room No.2,263
26 - Koste Bk.,R.Z.P.P.Marathi Shala Koste Bu. North Side Room No.1,263
27 - Koste Kh.,R.Z.P.P. Marathi Shala Koste Khu East Side Room No.2,263
28 - Khardi Bk.,R.Z.P.P. Marathi Shala Khardi Bu. East Side Room No.1,263
29 - Waki/Nijampur,R.Z.P.P.Marathi Shala Vaki T. Nijamapur South Side Room No.1,263
30 - Panose,R.Z.P.P. Marathi Shala Panose North Side Room No.1,263
31 - Bamangaon,R.Z.P.P.Marathi Shala Bamanaganv West Room No.1,263
"32 - Shirsad, Dhamani",R.Z.P.P.Marathi Shala Shirasad Borwadi West Room No.1,263
"33 - Harvandi, Karambeli",R.Z.P.P.Marathi Shala Haravandi East Side Room No.1,263
"34 - Chach, Mashidwadi",R.Z.P.P.Marathi Shala Chach North Room No.1,263
"35 - Kelgan, Manjurne",R.Z.P.P.Pra.Marathi Shala Kelagan Mulgaon room no.1,263
36 - Channat,R.Z.P.P.Marathi Shala Channat East Side Room No.1,263
37 - Kumbhe,R.Z.P.P.Marathi Shala Kumbhe East Room No.1,263
38 - Kadape,R.Z.P.P. Marathi Shala Kadape East Room No.2,263
39 - Yerad,R.Z.P.P.Marathi Shala Yerad,263
"40 - Shirvali/Nijampur, Tharmari",R.Z.P.P. Marathi Shala Shiravali T. Nijamapur,263
41 - Yelwade,R.Z.P.P. Marathi Shala Yelavade South Room No.1,263
42 - Sangi,R.Z.P.P. Marathi Shala Sangi North Side Room No.1,263
43 - Titve ( Maluste ),R.Z.P.P.Marathi Shala Titave,263
44 - Borvali,R.Z.P.P.Marathi School Bormach(Borvali),263
45 - Jite,R.Z.P.P.Marathi Shala Jite East Room No.2,263
46 - Umbardi,R.Z.P.P.Marathi Shala Umbardi East Room No.1,263
47 - Salve,R.Z.P.P.Marathi Shala Salve South Side Room No.2,263
"48 - Gangvali, Tamhane/Goregaon",R.Z.P.P.Marathi Shala Gangavali West Side Room No.1,263
49 - Kharbachi wadi,R.Z.P.P.Marathi Shala Gangavali ?Eest Side Room No.1,263
50 - Jor,R.Z.P.P.Marathi Shala Jor West Side Room No.1,263
51 - Palasgaon Bk.,R.Z.P.P.Marathi Shala Palasgoan Bdk,263
"52 - Palasgaon Kh., Kadapur",R.Z.P.P.Marathi Shala Palasaganv Khu.South Side Room No.1,263
53 - Gharoshi,R.Z.P.P.Marathi Shala Gharoshi,263
54 - Gharoshi wadi,R.Z.P.P.Marathi Shala Gharoshivadi East Side Room No.2,263
55 - Kavilvahal Bk.,R.Z.P.P.Marathi Shala Kavilavahal Bu. East Side Room No .1,263
"56 - Kavilvahal Bk., Kond",R.Z.P.P.Marathi Shala Kavilavahal Bu. (kond ) North Side Building,263
57 - Panhalghar Kh.,R.Z.P.P.Marathi Shala Panhalaghar Khu East Side Room No.1,263
58 - Panhalghar Bk.,R.Z.P.P.Marathi Shala Panhalaghar Bu.East Side Room No.1,263
59 - Ambarle 1,R.Z.P.P.Marathi Shala Ambarle East Side Room No.1,263
"60 - Ambarle 2, Katlacha Kond",R.Z.P.P.Marathi Shala Katalacha Kond East Side Room No.1,263
61 - Mangrul,R.Z.P.P.Marathi Shala Mangarul East Side Room No.1,263
62 - Bhandare,R.Z.P.P.Marathi Shala Bhandare,263
63 - Nhave,R.Z.P.P.Marathi Shala Nhave West Side Room No.1,263
64 - Repoli,R.Z.P.P.Marathi Shala Repoli East Side Room No.3,263
65 - Talegaon T.Goregaon,R.Z.P.P. Marathi School Talegaon T. Goregaon New Building East Side Room No.1,263
66 - Kurvade,R.Z.P.P.Marathi Shala Kuravade North Side Room No.1,263
67 - Vadgaon,R.Z.P.P.Marathi Shala Vadaganv (Purwa Bhimukh building south side room no.1),263
68 - Dahivali/Govele 1,R.Z.P.P.Urdu Shala Dahivali T. Govele (Uttara Bhimukh Imarat),263
69 - Dahivali/Govele 2,R.Z.P.P.Marathi Shala Dahivali T. Govele East Side Room No.2,263
"70 - Ranvade Kond, Nalephodi",R.Z.P.P.Marathi Shala Ranvade East Side Room No.2,263
71 - Tarne/Govele,R.Z.P.P.Urdu Shala Tarne T. Gonvele(East side building North side room no.2),263
72 - Vadvali 1,R.Z.P.P.Urdu Shala Vadavali South Side Room No.2,263
73 - Vadvali 2,R.Z.P.P.Urdu Shala Vadavali South Side Room No.5,263
74 - Shirvali/Govele,R.Z.P.P.Marathi Shala Shiravali T. Govele East Side Room No.2,263
75 - Kumshet,R.Z.P.P.Marathi Shala Kumashet East Side Room No.1,263
76 - Manjarvane 1,R.Z.P.P.Pra. Urdu Shala Maajaravane South Side Room No.2,263
"77 - Dahivali Kond, Dhaksheli",R.Z.P.P.Marathi Shala Dahivali Kond (Purwa Bhimukh Imarat),263
"78 - Vadghar, Mundre",R.Z.P.P.Marathi Shala Vadaghar North Side Room No.1,263
79 - Chandore,R.Z.P.P.Marathi Shala Chandore West side building North side romm no.2,263
80 - Govele,R.Z.P.P.Marathi Shala Govele South Side Room No.2,263
81 - Govele Kond,R.Z.P.P.Marathi Shala Govele Kond North side romm no.1,263
82 - Palsap Shilim,R.Z.P.P. Marathi Shala Palasap / Hedamalai East side building,263
83 - Alsunde Harkol,R.Z.P.P.Urdu Shala Harakol North side romm no.1,263
84 - Navshi Harkol Kond,R.Z.P.P. Marathi Shala Harakolakond West Side Room No.1,263
85 - Purar,R.Z.P.P. Uru Shala Purar (vani ) East Side Room No.1,263
86 - Malaikond Vani,R.Z.P.P.Uru Shala Purar (vani ) West Side Room No.3,263
87 - Madheganv Falani Kachale,R.Z.P.P.Marathi Shala Madheganv East Side Room No.1,263
88 - Nandavi 1,R.Z.P.P.Marathi Shala Nandavi South Side Room No.3,263
89 - Nandavi 2,R.Z.P.P.Marathi Shala Nandavi South Side Room No.5,263
90 - Bhandivali,R.Z.P.P.Marathi Shala Bhandivali West Side Room No.1,263
91 - Tolkhurd,R.Z.P.P.Marathi Shala Tol Khu. West Side Room No.1,263
92 - 92 - Hurdikushede T. Govele Vaki T. Govele,R.Z.P.P.Marathi Shala Hurdi,263
93 - Goregaon 1,R.Z.P.P. Marathi Shala Gorabanagar Goregaon North side Room no.1,263
94 - Goregaon 2,R.Z.P.P. Urdu Shala Goregaon South Side Room No.1,263
95 - Goregaon 3,R.Z.P.P. Urdu Shala Goregaon Room No.3,263
96 - Goregaon 4,R.Z.P.P.Vidayamandir Mulanchi Shala Goregaon 1 East Side Room No.1,263
97 - Goregaon 5,R.Z.P.P.Kanya Shala Goregaon West Side Room No.3,263
98 - Goregaon 6,R.Z.P.P.Kanya Shala Goregaon East Side Room No.1,263
99 - Chinchvali 1,R.Z.P.P.Vidayamandir Mulanchi Shala Goregaon 1 East Side Room No.1,263
100 - Chinchvali 2,R.Z.P.P.Vidayamandir Mulanchi Shala Goregaon 1 East Side Room No.1 West Side Room No.3,263
101 - Chinchvali 3,R.Z.P.P.School Chinchawal Mulgaon West Side Room No.1,263
102 - Nagaon,R.Z.P.P.Marathi Shala Naganv North side Room no.2,263
103 - Bhintad,R.Z.P.P.Pra.Marathi Shala Bhintad New Bulding,263
104 - Mur,R.Z.P.P. Marathi Shala Mur West Side Room No.1,263
105 - Devli,R.Z.P.P.Marathi Shala Devli West Side Room No.2,263
106 - Usarghar,R.Z.P.P.Marathi Shala Usaraghar North Side Room No.2,263
107 - Lonere 1,R.Z.P Marathi School Lonere East Side Room No.2,263
108 - Lonere 2,R.Z.P.P.Marathi Shala Lonere Navi Imarat East Side Room No.1,263
109 - Pahel,R.Z.P.P. Marathi Shala Pahel East Side Room No.1,263
110 - Khandpale,R.Z.P.P.Marathi School Khandpale New Building,263
