PS No & Name,Address,Constituency Number
1 - Ambavane Budruk,Z.P. Marathi Shala Ambavane Bk. Room No.1,264
2 - kondgaon,Z.P. Urdu School Haveli Mohlla kondgav Navi Emarat Room No.2,264
3 - Peve,Z.P.Purn. Prathmik.Marathi School Peve no.1 Room No.1,264
4 - Padave,Z.P. Pra. Shala Umbershet Purvekadil Kholi No 1,264
5 - Mhapral Lokarvan,Z.P. School Lokarvan Room No. 2,264
6 - Mhapral,Z.P.Purn. Prathmik. Urdu School Mhapral Room No.2,264
7 - Mhapral,Z. P. School Mhapral Bandarwadi Room No.1,264
8 - Mhapral,Z.P. School Chambharwadi Room No.2,264
9 - Panhali Khurd,Z.P.School Panhali Khurd Room No.1,264
10 - Panderi,Purn.Prarthmik.Urdu School old Building Room No. 1,264
11 - Panderi,Z.P.Purn. Prathmik.Marathi School Panderi (Bahiravali) Room No.2,264
12 - Buri,Z.P. Marathi School Buri Room No.1,264
13 - Ambadave (Shigvan),Grampanchyat Office Shigvan Room No. 1,264
14 - Nigadi,Purn.Prarthmik. Marathi School Nigadi Room No.2,264
15 - Savri,Marathi School Savari Room No.2,264
16 - Adakhal,Z.P.Marathi School Adkhal Room No.1,264
17 - Pat,Sharda Vidhya Mandir Pat Room No.1,264
18 - Shenale,Saraswati vidya Mandir Shenale Old Building behind Room no 1,264
19 - Kuduk Khurd,Purn Prathmik Vidhyamandir Kuduk Khurd Room No.1,264
20 - Soveli,Purn Prathmik Vidhyamandir Soveli Room No.1,264
21 - Shirgaon,Z.P.Marathi School Shirgaon Room No.2,264
22 - Dhutroli,Sharda Vidhya Mandir Marathi School Dhutroli Room No.2,264
23 - Mandangad,Z.P. Marathi School Bhingloli Purve kadil Room no2,264
24 - Mandangad (Bhingaloli),Z.P. Marathi School Bhingloli Purve kadil Room no3,264
25 - Mandangad (Gandhichauk ),Z.P. Nutan Vidya Mandir Mandangad (Gandhi Chowk) Room No.2,264
26 - Mandangad,Z.P.Nutan Vidya Mandir Mandangad Room No.2,264
27 - Mandangad,Nutan Vidya Mandir Purve kadil Room No.3,264
28 - Ghosale,Z.P.Purn Prathmik Ghosale Room No.2,264
29 - Gothe,Z.P.Marathi School Gothe Room No.2,264
30 - Nayane,Z.P. Vikas Vidya Mandir Nayane Room No.2,264
31 - Devhare,Z.P.Aadarsh Kendra Shala Devhare Purvekadil Kholi No 2,264
32 - Ambavane Khurd,Z.P. Ambavane Khurd Room No.2,264
33 - Pale,Azad Vidya mandir Pale Room No.3,264
34 - Mahu,Z.P. Purn Prathmik School Mahu Room No.2,264
35 - Taleghar,Z.P. Pra.Marathi School Taleghar Room No.1,264
36 - Sade,Sharada Vidyamandir Sade No.1 South Side Room no.2,264
37 - Takede,Purn.Prathmik Marathi School Takede Room No.1,264
38 - Palvani,"Jivan Shikshan Mandir Marathi School,Palvani Dakshinekadil Kholi Room No.1",264
39 - Naragoli,"Z.P. Marathi School, Nargoli Room No.1",264
40 - Tulshi,Z.P. Marathi School Tulashi No.1 Room No.3,264
41 - Konhavali,Konhvali Tahmane Marathi school Konhvali Room No.1,264
42 - wadavali,Atale Vadavali Marathi school Atale Vadavali Room No.2,264
43 - Kuduk Budruk,Z.P. Marathi Shala Kuduk Bk Boricha Kond Kholi No 3,264
44 - Umaroli,Z.P.Prathmik Marathi School Umroli Room No.2,264
45 - Shipole,Z.P.Urdu School Shipole Mohlla kondgaon Navi Emarat Room No.2,264
46 - Vesvi Walmikinagar,Purn.Prathmik Marathi School Valmikinagar Vahranda Magachi Kholi Room No.1,264
47 - Velas (Bankot ),Z.P.Prathmik Urdu school Bankot Room No.2,264
48 - Velas (Bankot ),Z.P.Prathmik Urdu school Bankot Room No.3,264
49 - Narayananagar,Z.P.Prathmik school No.1 Room No.2,264
50 - Vesvi (ranavali ),Samajmandir Kengwal room no.1 near East,264
51 - Vesvi,Purn.Prathmik.Marathi School Vesavi Room No.2,264
